"lang"
{
"Language"	"turkish"
"DOTA_Tooltip_ability_brewmaster_earth_pulverize_chance"	"%ŞANS:"
"[english]DOTA_Tooltip_ability_brewmaster_earth_pulverize_chance"	"%CHANCE:"
"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic"	"Dispel Magic"
"[english]DOTA_Tooltip_ability_brewmaster_storm_dispel_magic"	"Dispel Magic"
"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_Lore"	" "
"[english]DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_Lore"	""
"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_Description"	"Küçük bir yarıçaptaki çağrılmış birimlere hasar verir ve çoğu güçlendirmeyi ya da zayıflığı kaldırır."
"[english]DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_Description"	"Damages summoned units in an area and purges most buffs or debuffs."
"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_damage"	"ÇAĞIRILANLARA HASAR:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_damage"	"DAMAGE TO SUMMONS:"
"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_radius"	"YARIÇAP:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_radius"	"RADIUS:"
"DOTA_Tooltip_ability_brewmaster_storm_cyclone"	"Cyclone"
"[english]DOTA_Tooltip_ability_brewmaster_storm_cyclone"	"Cyclone"
"DOTA_Tooltip_ability_brewmaster_storm_cyclone_Lore"	" "
"[english]DOTA_Tooltip_ability_brewmaster_storm_cyclone_Lore"	""
"DOTA_Tooltip_ability_brewmaster_storm_cyclone_Description"	"Birimi bir hortumla kuşatarak savaş alanından çıkarır."
"[english]DOTA_Tooltip_ability_brewmaster_storm_cyclone_Description"	"Encloses a unit in a tornado, removing it from the battlefield."
"DOTA_Tooltip_ability_brewmaster_storm_cyclone_duration_hero"	"KAHRAMANLAR İÇİN SÜRE:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_cyclone_duration_hero"	"HERO DURATION:"
"DOTA_Tooltip_ability_brewmaster_storm_cyclone_duration_unit"	"KAHRAMAN OLMAYANLAR İÇİN SÜRE:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_cyclone_duration_unit"	"NON-HERO DURATION:"
"DOTA_Tooltip_ability_brewmaster_storm_wind_walk"	"Wind Walk"
"[english]DOTA_Tooltip_ability_brewmaster_storm_wind_walk"	"Wind Walk"
"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_Lore"	" "
"[english]DOTA_Tooltip_ability_brewmaster_storm_wind_walk_Lore"	""
"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_Description"	"Geçici görünmezlik verir. Görünmezken fazladan hareket hızı ve saldırı hasarı sağlar."
"[english]DOTA_Tooltip_ability_brewmaster_storm_wind_walk_Description"	"Provides temporary invisibility.  Bonus movement speed and attack damage when invisible."
"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_bonus_damage"	"FAZLADAN HASAR:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_wind_walk_bonus_damage"	"BONUS DAMAGE:"
"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_bonus_movement_speeed"	"FAZLADAN HAREKET HIZI:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_wind_walk_bonus_movement_speeed"	"BONUS MOVEMENT SPEED:"
"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_duration"	"SÜRE:"
"[english]DOTA_Tooltip_ability_brewmaster_storm_wind_walk_duration"	"DURATION:"
"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation"	"Permanent Immolation"
"[english]DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation"	"Permanent Immolation"
"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_Lore"	" "
"[english]DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_Lore"	""
"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_Description"	"Yakındaki düşman birimleri yakar."
"[english]DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_Description"	"Burns nearby enemy units."
"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_damage"	"SANİYE BAŞINA HASAR:"
"[english]DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_damage"	"DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_radius"	"YARIÇAP:"
"[english]DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_radius"	"RADIUS:"
"DOTA_Tooltip_ability_shadow_demon_disruption"	"Disruption"
"[english]DOTA_Tooltip_ability_shadow_demon_disruption"	"Disruption"
"DOTA_Tooltip_ability_shadow_demon_disruption_Description"	"Hedef birimi sürgün ederek belli bir süre boyunca savaş alanından siler. Geri dönüşte hedefin, Shadow Demon kontrolünde 2 illüzyonu oluşur."
"[english]DOTA_Tooltip_ability_shadow_demon_disruption_Description"	"Banishes the targeted unit from the battlefield for a short duration.  Upon returning, two illusions of the banished unit are created under Shadow Demon's control."
"DOTA_Tooltip_ability_shadow_demon_disruption_illusion_duration"	"İLLÜZYON SÜRESİ:"
"[english]DOTA_Tooltip_ability_shadow_demon_disruption_illusion_duration"	"ILLUSION DURATION:"
"DOTA_Tooltip_ability_shadow_demon_disruption_illusion_outgoing_tooltip"	"%İLLÜZYON HASARI:"
"[english]DOTA_Tooltip_ability_shadow_demon_disruption_illusion_outgoing_tooltip"	"%ILLUSION DAMAGE:"
"DOTA_Tooltip_ability_shadow_demon_soul_catcher"	"Soul Catcher"
"[english]DOTA_Tooltip_ability_shadow_demon_soul_catcher"	"Soul Catcher"
"DOTA_Tooltip_ability_shadow_demon_soul_catcher_Description"	"Hedeflenen alandaki rastgele bir düşmanı lanetleyerek daha fazla hasar almasına neden olur. Disruption etkisi altındaki birimler de Soul Catcher'dan etkilenebilir."
"[english]DOTA_Tooltip_ability_shadow_demon_soul_catcher_Description"	"Curses a random enemy in an area to take increased damage.  Units under the effect of Disruption can still be affected by Soul Catcher."
"DOTA_Tooltip_ability_shadow_demon_soul_catcher_bonus_damage_taken"	"%FAZLADAN HASAR:"
"[english]DOTA_Tooltip_ability_shadow_demon_soul_catcher_bonus_damage_taken"	"%BONUS DAMAGE:"
"DOTA_Tooltip_ability_shadow_demon_soul_catcher_radius"	"YARIÇAP:"
"[english]DOTA_Tooltip_ability_shadow_demon_soul_catcher_radius"	"RADIUS:"
"DOTA_Tooltip_ability_shadow_demon_shadow_poison"	"Shadow Poison"
"[english]DOTA_Tooltip_ability_shadow_demon_shadow_poison"	"Shadow Poison"
"DOTA_Tooltip_ability_shadow_demon_shadow_poison_Description"	"Bir çizgide hasar yaratır ve düşman birimleri zehirler. Zehir 5 istife kadar hedefteki istif sayısına göre istif hasarının 1/2/4/8/16 katı hasar verir. Fazladan istifler 50'şer hasar verir. Bu gecikmeli hasar Shadow Poison'ın süresi bittiğinde ya da Release alt yeteneği kullanıldığında verilir."
"[english]DOTA_Tooltip_ability_shadow_demon_shadow_poison_Description"	"Deals damage in a line, and afflicts enemy units with a poison effect. The poison deals 1/2/4/8/16 times the stack damage based on the number of stacks on the target, up to 5 stacks. Additional stacks cause 50 damage each.  This deferred damage is dealt when Shadow Poison's duration is expired, or the Release sub-ability is used."
"DOTA_Tooltip_ability_shadow_demon_shadow_poison_stack_damage"	"İSTİF HASARI:"
"[english]DOTA_Tooltip_ability_shadow_demon_shadow_poison_stack_damage"	"STACK DAMAGE:"
"DOTA_Tooltip_ability_shadow_demon_shadow_poison_release"	"Shadow Poison Release"
"[english]DOTA_Tooltip_ability_shadow_demon_shadow_poison_release"	"Shadow Poison Release"
"DOTA_Tooltip_ability_shadow_demon_shadow_poison_release_Description"	"Etkilenmiş tüm düşmanlara hasar vermek üzere zehri serbest bırakır. Disruption etkisindeki birimler Shadow Poison'dan etkilenmeye devam eder."
"[english]DOTA_Tooltip_ability_shadow_demon_shadow_poison_release_Description"	"Releases the poison to do damage on all affected enemies. Units under the effect of Disruption can still be affected by Shadow Poison."
"DOTA_Tooltip_ability_shadow_demon_demonic_purge"	"Demonic Purge"
"[english]DOTA_Tooltip_ability_shadow_demon_demonic_purge"	"Demonic Purge"
"DOTA_Tooltip_ability_shadow_demon_demonic_purge_Description"	"Hedefi yavaşlatır ve belli bir süre boyunca üzerindeki güçlendirmeleri kaldırır. Birim, süre bitene kadar hızını yavaş yavaş kazanır, en sonunda hasar alır. Disruption etkisi altındaki birimler Demonic Purge'dan etkilenmeye devam eder.\n\nAghanim's Scepter ile geliştirilebilir."
"[english]DOTA_Tooltip_ability_shadow_demon_demonic_purge_Description"	"Purges the target enemy unit, removing positive buffs, and slowing the target for the duration.  The unit slowly regains its speed until the end of the duration, upon which damage is dealt.  Units under the effect of Disruption can still be affected by Demonic Purge.\n\nUpgradable with Aghanim's Scepter."
"npc_dota_hero_shadow_demon_bio"	"Bu dünyaya rahatça erişebilen yüce iblislerden Shadow Fiend neredeyse her toplama seferinde geçiş yaparken, Doom nadiren cehennem dışı yaratıklar ve zayıf hayalet yoldaşlarla muhatap olur. Shadow Demon ise bu dayanıklı boyutsal bağ, bütün evrenlere tümden hakimiyetin anahtarı olabileceği için maddesel evrene derin ve sonsuz bir ilgi besliyordu. Başlarda zayıf büyücüler tarafından çağrılan Shadow Demon her dileği yerine getirdi ve gittikçe artan bir kudretle en büyük şeytan bilimcilerin ve onların aracılığıyla dünyevi güçlerini devam ettirmek için büyüye ihtiyaç duyan birçok efendi, despot, derebeyi ve veliahtın dikkatini çekti. Büyük bir aldatmacayla çağırıcılarının kendilerini efendisi ve onu da hizmetçi olarak görmesini sağlayarak onların benliklerini sarstı ve zihinlerini ele geçirdi. Sonunda tarikatın neredeyse tüm üyeleri tam manasıyla onun şeytani arzularını yerine getiren kuklalara dönüştü. Shadow Demon'ın bir sonraki adımının ne olabileceği hâlâ net değildi. Ancak Shadow Fiend, Nevermore bu sefer bilhassa iğrenç bir ruhtan ısırık aldı ve onun Shadow Demon'ın kokuşmuş özünden başka bir şey barındırmadığını anladı. Bir darbenin yolda olduğu ve Gölge Paktının tarihi dengelerinin bozulmak üzere olduğu uyarılarında bulundu. Doom Bringer ve Shadow Fiend çabucak, filizlenmekte olan tarikati yoketmek üzere güçlerini birleştirdi. Olağanüstü güçlü büyülerini birleştirerek Shadow Demon'ın tarikatını parçalara bölüp tüm üyelerini kanlı et parçaları gibi yağdırarak yüzyıllar alan sabır dolu emeklerini boşa çıkardılar. Zerre kadar bir iblis gölgesi dışında hiçbir şey kalmadı. Ölümsüz ve zayıflatılamaz olan bu kötülük tomurcuğu Shadow Demon'ın sonraki yüzyıllarda başlatacağı bir sonraki komplosunu yeşertmek için yeterliydi. Bu tomurcuk dokunduğu her şeyi bozdu ve hakimiyeti giderek arttı. Hasarlı parçaların karmaşası bir araya geldi ve Shadow Demon'a eskisinden daha güçlü bir biçim kazandırdı. O, artık kendini toparladı ve sonsuz hakimiyet planı artık eski zaaflarından uzak. Böylesine saf kin ve fesat dolu, tüm yaratılanlar için tehdit olan bir varlık sonsuza kadar dünyamızda yer alamazmış gibi görünse de Shadow Demon'ın azımsanamayacak kadar müridi vardır."
"[english]npc_dota_hero_shadow_demon_bio"	"Among the sovereign Demons with explicit access to this world, Doom scarcely bothers with the affairs of Noninfernals and Lesser Spectral Consorts, while Shadow Fiend passes through almost exclusively on collecting expeditions. The Shadow Demon, however, has always taken a deep and abiding interest in the material plane, as if sensing that mastery of this gritty dimensional nexus might be the key to total domination of all realities. Summoned first by minor wizards, the Shadow Demon granted every wish and put on increasingly impressive displays of power until he had the full attention of the greatest demonologists, and through them the various lords, tyrants, autarchs and heirophants who depended on sorcery to buttress their mundane power. So great was his deception that all his summoners considered themselves the master and Shadow Demon the servant; meanwhile, he eroded their identities and made their minds his own. In the end, most members of the cult were hollow puppets, extensions of his evil will. What Shadow Demon's next step would have been remains open to speculation, for around this time, Nevermore the Shadow Fiend bit into a particularly nasty-tasting soul and discovered that it held nothing but a foul nougat of Shadow Demon's essence. Alerted that a coup was underway, and that the ancient equilibrium of the Umbral Pact was about to be destabilized, Doom and Shadow Fiend briefly joined forces to destroy the burgeoning cult. Combining spells of incredible force, they undid Shadow Demon's centuries of patient work, reducing his cult to smithereens--and all its members to a bloody splatter. Nothing remained except a tiny speck of demon shadow. Immortal and irreducible, this mote of evil was enough to seed the Shadow Demon's next scheme, and in fits and starts, over further centuries, he began to regroup. Whatever that speck of shadow touched, it tainted, and its influence gradually grew. A chaos of damaged parts pulled together, reknit, and combined to give Shadow Demon a form even stronger than his former. He is all but complete now, and his plan for infinite dominion lacks all of its former weaknesses. It would seem that such a being of pure malice and malevolence, a threat to all creation, would be forever out of place in our world...yet Shadow Demon does not lack for followers. "
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt"	"Chaos Bolt"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt"	"Chaos Bolt"
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Description"	"Hedeflenen birime gizemli bir enerji yıldırımı fırlatır. Rastgele bir süre için sersemletir ve rastgele hasar verir."
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Description"	"Throws a mysterious bolt of energy at the target unit. It stuns for a random duration and deals random damage."
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Lore"	"Chaos Knight bile şeytani enerjinin ortaya çıkışını önceden tahmin edemez."
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Lore"	"Even Chaos Knight cannot predict this manifest of unholy energy."
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_stun_min"	"MİNİMUM SERSEMLETME:"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt_stun_min"	"MINIMUM STUN:"
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_stun_max"	"MAKSİMUM SERSEMLETME:"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt_stun_max"	"MAXIMUM STUN:"
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_damage_min"	"MİNİMUM HASAR:"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt_damage_min"	"MINIMUM DAMAGE:"
"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_damage_max"	"MAKSİMUM HASAR:"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_bolt_damage_max"	"MAXIMUM DAMAGE:"
"DOTA_Tooltip_ability_chaos_knight_reality_rift"	"Reality Rift"
"[english]DOTA_Tooltip_ability_chaos_knight_reality_rift"	"Reality Rift"
"DOTA_Tooltip_ability_chaos_knight_reality_rift_Description"	"Seni, sahip olduğun imajları ve hedeflenen birimi, ikiniz arasındaki doğruda rastgele bir noktaya ışınlar. Bir saldırı için fazladan saldırı hasarı verir."
"[english]DOTA_Tooltip_ability_chaos_knight_reality_rift_Description"	"Teleports you, any images you have and the target unit to a random point along the line between the two of you. Gives you bonus attack damage for one attack."
"DOTA_Tooltip_ability_chaos_knight_reality_rift_Lore"	"Armageddon boyutlar arasında gezinir ve Chaos Knight'ı kurbanı her nereye saklanırsa oraya götürür."
"[english]DOTA_Tooltip_ability_chaos_knight_reality_rift_Lore"	"Armageddon rides between the planes, bringing Chaos Knight to his victim wherever he may hide."
"DOTA_Tooltip_ability_chaos_knight_reality_rift_bonus_damage"	"FAZLADAN HASAR:"
"[english]DOTA_Tooltip_ability_chaos_knight_reality_rift_bonus_damage"	"BONUS DAMAGE:"
"DOTA_Tooltip_ability_chaos_knight_reality_rift_bonus_duration"	"FAZLADAN SÜRE:"
"[english]DOTA_Tooltip_ability_chaos_knight_reality_rift_bonus_duration"	"BONUS DURATION:"
"DOTA_Tooltip_ability_chaos_knight_reality_rift_cast_range"	"MENZİL:"
"[english]DOTA_Tooltip_ability_chaos_knight_reality_rift_cast_range"	"RANGE:"
"DOTA_Tooltip_ability_chaos_knight_chaos_strike"	"Chaos Strike"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_strike"	"Chaos Strike"
"DOTA_Tooltip_ability_chaos_knight_chaos_strike_Description"	"Chaos Knight'ın her bir saldırısı ona hedefinin zırhını %armor_duration% saniye boyunca %armor_reduction_tooltip% düşürme ve fazladan hasar verme şansı verir."
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_strike_Description"	"Each of Chaos Knight's attacks has a chance to deal bonus damage and reduce the target's armor by %armor_reduction_tooltip% for %armor_duration% seconds."
"DOTA_Tooltip_ability_chaos_knight_chaos_strike_Lore"	"Chaos Knight'ın hantal kuvveti onun karşısında duranları alt ederek zırhların en kalınını bile ufalar."
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_strike_Lore"	"Chaos Knight's unwieldy power bludgeons those who stand before him, crushing the thickest of armors."
"DOTA_Tooltip_ability_chaos_knight_chaos_strike_crit_chance"	"%KRİTİK ŞANSI:"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_strike_crit_chance"	"%CRITICAL CHANCE:"
"DOTA_Tooltip_ability_chaos_knight_chaos_strike_crit_damage"	"%KRİTİK HASAR:"
"[english]DOTA_Tooltip_ability_chaos_knight_chaos_strike_crit_damage"	"%CRITICAL DAMAGE:"
"DOTA_Tooltip_ability_chaos_knight_phantasm"	"Phantasm"
"[english]DOTA_Tooltip_ability_chaos_knight_phantasm"	"Phantasm"
"DOTA_Tooltip_ability_chaos_knight_phantasm_Description"	"Alternatif boyutlardan Chaos Knight'ın birkaç siluetini çağırır. 50%% şansla ek bir siluet çağırma şansı vardır. Siluetler hasarı tam verir, ancak iki kat hasar alır."
"[english]DOTA_Tooltip_ability_chaos_knight_phantasm_Description"	"Summons several phantasmal copies of the Chaos Knight from alternate dimensions. There is a 50%% chance an extra phantasm will be summoned. The phantasms deal full damage, but take double damage."
"DOTA_Tooltip_ability_chaos_knight_phantasm_Lore"	"Birçok mekan ve zamanda cenk etmiş Kaos Şovalyesi'nin hayaletleri ona karşı gelen tüm düşmanlara boyun eğdirmeye hazır."
"[english]DOTA_Tooltip_ability_chaos_knight_phantasm_Lore"	"Drawing on his battles fought across many worlds and many times, phantasms of the Chaos Knight rise up to quell all who oppose him."
"DOTA_Tooltip_ability_chaos_knight_phantasm_images_count"	"PHANTASM SAYISI:"
"[english]DOTA_Tooltip_ability_chaos_knight_phantasm_images_count"	"NUMBER OF PHANTASMS:"
"npc_dota_hero_chaos_knight_bio"	"Sayısız savaşların muharibi Kaos Şovalyesi evrenin temel kanunlarının duyusal anlam bulduğu uzak bir nehir akıntısı aleminden selamlıyor. Tüm kadim temellerin en eskilerinden biri olan Şovalye tükenmez kudreti ile durmaksızın “Işık” olarak adlandırdığı varlığı aramaktadır. Uzunca bir süre önce Işık ilk anlaşmaya meydan okuyarak tarihi alemden kendisini açığa çıkardı. Bunun üzerine Kaos Şovalyesi durmaksızın alemden aleme geçerek Işığı bulduğu yerde yok etmeyi kendine görev edindi. Binlerce kez Işığın izini yakalamasına rağmen halen arayışını sürdüren Şovalye, mahşer kısrağının üzerinde gücünü evrenin kargaşasından alarak savaş alanına delice akın eder. Kaos şovalyesinin fiziksel tezahüre ihtiyaç duyduğu zamanlar da kendisinin farklı kopyaları diğer alemlerden yardımına koşar, beraberce bu kara atlılar doğanın durdurulamaz bir gücü gibi savaşa atılırlar. Ancak yeryüzünden son ışık parçası silinip atıldığın da Şovalyenin arayışı sona erecektir. Kaos Şovalyesi'nin atını sürdüğü yerde ölüm de beraberinde gelecektir."
"[english]npc_dota_hero_chaos_knight_bio"	"The veteran of countless battles on a thousand worlds, Chaos Knight hails from a far upstream plane where the fundamental laws of the universe have found sentient expression.  Of all the ancient Fundamentals, he is the oldest and most tireless, endlessly searching out a being he knows only as \"The Light.\"  Long ago the Light ventured out from the progenitor realm, in defiance of the first covenant.  Now Chaos Knight shifts from plane to plane, always on the hunt to extinguish the Light wherever he finds it.  A thousand times he has snuffed out the source, and always he slides into another plane to continue his search anew.  
Upon his steed Armageddon he rides, wading into battle with maniacal frenzy, drawing strength from the disorder of the universe.  A physical manifestation of chaos itself, in times of need he calls upon other versions of himself from other planes, and together these dark horsemen ride into battle, as unstoppable as any force of nature.  Only when the last Light of the world is scoured from existence will the search be ended.  Where rides the Chaos Knight, death soon follows."
"DOTA_Lobby_Game_Offline_Setup"	"ÇEVRİMDIŞI ALIŞTIRMA LOBİSİ AYARLARI"
"[english]DOTA_Lobby_Game_Offline_Setup"	"OFFLINE PRACTICE LOBBY SETTINGS"
"DOTA_Lobby_Prefs_Password"	"PAROLA"
"[english]DOTA_Lobby_Prefs_Password"	"PASSWORD"
"DOTA_Lobby_Prefs_Cheats_caps"	"HİLELER"
"[english]DOTA_Lobby_Prefs_Cheats_caps"	"CHEATS"
"UI_ENTER_LOBBY_PASSWORD"	"LOBİ PAROLASI GİRİN"
"[english]UI_ENTER_LOBBY_PASSWORD"	"ENTER LOBBY PASSWORD"
"UI_Save_Settings"	"AYARLARI KAYDET"
"[english]UI_Save_Settings"	"SAVE SETTINGS"
"UI_Edit_Settings"	"AYARLARI DEĞİŞTİR"
"[english]UI_Edit_Settings"	"EDIT SETTINGS"
"join_error_already_in_game"	"Alıştırma lobisine girilemiyor. Zaten oyundasın."
"[english]join_error_already_in_game"	"Unable to join practice lobby, as you are already in a game."
"join_error_invalid_lobby"	"Alıştırma lobisine girilemiyor. Seçtiğiniz lobi artık bulunmuyor."
"[english]join_error_invalid_lobby"	"Unable to join practice lobby.  The lobby you specified no longer exists."
"join_error_incorrect_password"	"Alıştırma lobisine girilemiyor. Parola hatalı."
"[english]join_error_incorrect_password"	"Unable to join practice lobby.  Incorrect password."
"join_error_access_denied"	"Alıştırma lobisine girilemiyor. Erişim reddedildi."
"[english]join_error_access_denied"	"Unable to join practice lobby.  Access denied."
"join_error_generic"	"Alıştırma lobisine girilemiyor."
"[english]join_error_generic"	"Unable to join practice lobby."
"dota_region_stockholm"	"Stockholm"
"[english]dota_region_stockholm"	"Stockholm"
"dota_region_amsterdam"	"Amsterdam"
"[english]dota_region_amsterdam"	"Amsterdam"
"dota_region_automatic_desc"	"Benim bölgem için en iyi sunucuyu seç."
"[english]dota_region_automatic_desc"	"Choose the server that is best for my region."
"dota_region_select_desc"	"Herhangi bir bölgeden sunucu seçmeme izin ver."
"[english]dota_region_select_desc"	"Let me choose servers from any region."
"Average_wait_time"	"Ortalama bekleme süresi: %s1"
"[english]Average_wait_time"	"Average wait time: %s1"
"dota_matchgroup_hk"	"Hong Kong"
"[english]dota_matchgroup_hk"	"Hong Kong"
"UI_region_settings_command"	"EŞLEŞTİRME BÖLGELERİNİ SEÇ"
"[english]UI_region_settings_command"	"SELECT MATCHMAKING REGIONS"
"dota_mm_select_region_hint"	"Bir veya daha fazla eşleştirme bölgesi seç.\nEn iyi deneyim için sana en yakın bölgeleri seç."
"[english]dota_mm_select_region_hint"	"Select one or more matchmaking regions.\nSelect only the closest regions to you for the best experience."
"DOTA_Tooltip_modifier_darkseer_wallofreplica_illusion"	"Wall of Replica İllüzyonu"
"[english]DOTA_Tooltip_modifier_darkseer_wallofreplica_illusion"	"Wall of Replica Illusion"
"DOTA_Tooltip_modifier_knockback"	"Greater Bash"
"[english]DOTA_Tooltip_modifier_knockback"	"Greater Bash"
"DOTA_Tooltip_modifier_knockback_Description"	"Sersemletildi"
"[english]DOTA_Tooltip_modifier_knockback_Description"	"Stunned"
"DOTA_Tooltip_modifier_silencer_last_word_aura"	"Last Word Çalma"
"[english]DOTA_Tooltip_modifier_silencer_last_word_aura"	"Last Word Steal"
"DOTA_Tooltip_modifier_silencer_last_word_aura_Description"	"Çalınan toplam zekâ"
"[english]DOTA_Tooltip_modifier_silencer_last_word_aura_Description"	"Total intelligence stolen"
"DOTA_Tooltip_modifier_lycan_summon_wolves_invisibility"	"Görünmez"
"[english]DOTA_Tooltip_modifier_lycan_summon_wolves_invisibility"	"Invisible"
"DOTA_Tooltip_modifier_lycan_shapeshift"	"Shapeshift"
"[english]DOTA_Tooltip_modifier_lycan_shapeshift"	"Shapeshift"
"DOTA_Tooltip_modifier_lycan_shapeshift_Description"	"Çabukluk ve kritik vuruş şansı kazanıyor."
"[english]DOTA_Tooltip_modifier_lycan_shapeshift_Description"	"Gaining haste and critical strike."
"DOTA_Tooltip_modifier_lycan_shapeshift_speed"	"Shapeshift"
"[english]DOTA_Tooltip_modifier_lycan_shapeshift_speed"	"Shapeshift"
"DOTA_Tooltip_modifier_lycan_shapeshift_speed_Description"	"Hız kazanıyor."
"[english]DOTA_Tooltip_modifier_lycan_shapeshift_speed_Description"	"Gaining haste."
"DOTA_Tooltip_modifier_lone_druid_spirit_bear_entangle_effect"	"Entangling Claws"
"[english]DOTA_Tooltip_modifier_lone_druid_spirit_bear_entangle_effect"	"Entangling Claws"
"DOTA_Tooltip_modifier_lone_druid_spirit_bear_entangle_effect_Description"	"Hareket edemez ve zaman içinde hasar alıyor."
"[english]DOTA_Tooltip_modifier_lone_druid_spirit_bear_entangle_effect_Description"	"Immobilized and taking damage over time."
"DOTA_Tooltip_modifier_brewmaster_thunder_clap"	"Thunder Clap"
"[english]DOTA_Tooltip_modifier_brewmaster_thunder_clap"	"Thunder Clap"
"DOTA_Tooltip_modifier_brewmaster_thunder_clap_Description"	"Hareket hızı %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, saldırılar %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% yavaşlatıldı."
"[english]DOTA_Tooltip_modifier_brewmaster_thunder_clap_Description"	"Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attacks slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"DOTA_Tooltip_modifier_brewmaster_drunken_haze"	"Drunken Haze"
"[english]DOTA_Tooltip_modifier_brewmaster_drunken_haze"	"Drunken Haze"
"DOTA_Tooltip_modifier_brewmaster_drunken_haze_Description"	"Hareket hızı %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% yavaşlatıldı ve saldırılarda %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% ıskalama şansı var."
"[english]DOTA_Tooltip_modifier_brewmaster_drunken_haze_Description"	"Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% chance to miss attacks."
"DOTA_Tooltip_modifier_brewmaster_drunken_brawler"	"Drunken Brawler"
"[english]DOTA_Tooltip_modifier_brewmaster_drunken_brawler"	"Drunken Brawler"
"DOTA_Tooltip_modifier_brewmaster_drunken_brawler_Description"	"%dMODIFIER_PROPERTY_EVASION_CONSTANT%%% saldırıları atlatma şansı var.\n%dMODIFIER_PROPERTY_TOOLTIP%%% şansla %dMODIFIER_PROPERTY_TOOLTIP%%% kritik hasar verebilir."
"[english]DOTA_Tooltip_modifier_brewmaster_drunken_brawler_Description"	"%dMODIFIER_PROPERTY_EVASION_CONSTANT%%% chance to dodge attacks.\n%dMODIFIER_PROPERTY_TOOLTIP%%% chance to %dMODIFIER_PROPERTY_TOOLTIP%%% crit."
"DOTA_Tooltip_modifier_brewmaster_earth_pulverize"	"Pulverize"
"[english]DOTA_Tooltip_modifier_brewmaster_earth_pulverize"	"Pulverize"
"DOTA_Tooltip_modifier_brewmaster_earth_pulverize_Description"	"%dMODIFIER_PROPERTY_TOOLTIP%%% şansla, saldırısıyla beraber çevresindeki birimlere daha fazla hasar verir."
"[english]DOTA_Tooltip_modifier_brewmaster_earth_pulverize_Description"	"%dMODIFIER_PROPERTY_TOOLTIP%%% chance to do additional damage to units around his attack."
"DOTA_Tooltip_modifier_brewmaster_earth_spell_immunity"	"Büyü Bağışıklığı"
