"dota"
{
"DOTA_Accept"	"Принять"
"DOTA_Marketplace_Purchase_Under_Construction_Text"	"Покупка с Торговой площадки пока что не доступна, но покупки из магазина Dota 2 поддерживаются. Взгляните на наборы предметов в левой части списка доступных предметов."
"DOTA_PartyJoinRequest_Title"	"Запрос на присоединение к группе"
"DOTA_PartyJoinRequest_Description"	"{g:dota_persona:b:inviter} хочет войти в вашу группу."
"DOTA_PartyMergeRequest_Title"	"Запрос на объединение групп"
"DOTA_PartyMergeRequest_Description"	"{g:dota_persona:b:inviter} хочет объединить свою группу с вашей."
"DOTA_PartyMergeRequestLowPriWarning"	"Примечание: приняв запрос, вы поместите свою группу в низкий приоритет."
"DOTA_PartyInvite_Title"	"Приглашение в группу"
"DOTA_Invite_IOfN"	"{d:received_invite_index} / {d:received_invite_count}"
"DOTA_PartyInvite_Description"	"{g:dota_persona:b:inviter} приглашает вас в группу."
"DOTA_PartyInvite_LowPriority_Title"	"Приглашение в группу с низким приоритетом"
"DOTA_PartyInvite_LowPriority_Description"	"{g:dota_persona:b:inviter} приглашает вас в группу с низким приоритетом."
"DOTA_PartyInvite_BlockPartyLeader"	"Заблокировать все связи с {g:dota_persona:b:inviter}"
"DOTA_LobbyInvite_BlockInviter"	"Заблокировать все связи с этим игроком"
"DOTA_PartyInvite_BlockNonFriendInvites"	"Запретить приглашения от игроков не из списка друзей"
"DOTA_PartyInvite_BlockNonFriendInvitesDescription"	"Можно изменить в настройках (вкладка «Настройки», раздел «Профиль»)."
"DOTA_PartyInvite_Expired"	"Запрос истек или более не действителен."
"DOTA_PartyInvite_Coach"	"Тренер:"
"DOTA_PartyVisTooltip_TitleOpen"	"Ищет игроков"
"DOTA_PartyVisTooltip_TitleNotOpen"	"Не ищет игроков"
"DOTA_PartyVisTooltip_SoloNotOpen"	"Нажмите для смены состояния."
"DOTA_PartyVisTooltip_SoloOpen"	"Друзья могут попросить присоединиться к вам.<br/>Нажмите для смены состояния."
"DOTA_PartyVisTooltip_LeaderOpen"	"Друзья участников группы принимаются автоматически.<br/>Нажмите, чтобы сделать группу закрытой."
"DOTA_PartyVisTooltip_LeaderOpenManualAccept"	"Друзья участников группы могут попросить присоединиться.<br/>Нажмите, чтобы сделать группу закрытой."
"DOTA_PartyVisTooltip_LeaderNotOpen"	"Друзья участников группы могут попросить присоединиться.<br/>Нажмите, чтобы сделать группу открытой. Друзья смогут легко найти ее."
"DOTA_PartyVisTooltip_NotOpenHidden"	"В соответствии с настройками приватности вы не показываете друзьям, что находитесь в этой группе<br/>Внимание: возможно, друзья других участников группы видят ее и могут попросить присоединиться к ней."
"DOTA_PartyVisTooltip_NonLeaderOpen"	"Запросы друзей.<br/>Нажмите, чтобы сделать группу закрытой."
"DOTA_PartyVisTooltip_NonLeaderNotOpen"	"Друзья членов группы могут просить пригласить их.<br/>Только лидер группы может принимать эти запросы.<br/>Нажмите, чтобы сделать группу открытой. Друзья смогут легко найти ее."
"DOTA_TogglePartyOpenMic_Tooltip"	"Говорить с группой без нажатия"
"DOTA_PartySettings"	"Настройки группы"
"DOTA_PartySettings_OpenParty"	"Разрешить запросы на присоединение к группе"
"DOTA_PartySettings_BroadcastToFriends"	"Показывать друзьям, что я в группе"
"DOTA_PartySettings_OpenState_NotOpen"	"Руководитель группы не разрешил запросы на вход в нее."
"DOTA_PartySettings_OpenState_NotOpenLeader"	"Эта группа закрыта от запросов на присоединение."
"DOTA_PartySettings_OpenState_OpenButHiddenFromFriends"	"В эту группу можно запросить вход. Ваши друзья ее не видят, но, возможно, она видна друзьям других участников группы."
"DOTA_PartySettings_OpenState_Open"	"Группа открыта для запросов на вход и видна вашим друзьям. Она также видна друзьям остальных участников группы."
"DOTA_LobbyInvite_Title"	"Приглашение в лобби"
"DOTA_LobbyInvite_Description"	"{g:dota_persona:inviter} приглашает вас в лобби."
"DOTA_PartyJoinedLobby_Title"	"Вы в лобби"
"DOTA_PartyJoinedLobby_Generic"	"{s:party_leader} помещает вас в лобби."
"DOTA_PartyJoinedLobby_Custom"	"{s:party_leader} помещает вас в лобби игры {s:custom_game}."
"DOTA_PartyLeader"	"Лидер группы"
"DOTA_LobbyKicked_Header"	"Вас исключили из лобби."
"DOTA_LobbyKicked_Message"	"Лидер лобби выгнал вас."
"DOTA_PlayerContextMenu_ViewProfile"	"Посмотреть профиль"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"Отправить сообщение"
"DOTA_PlayerContextMenu_InviteToParty"	"Пригласить в группу"
"DOTA_PlayerContextMenu_SuggestInviteToParty"	"Предложить пригласить"
"DOTA_PlayerContextMenu_KickFromParty"	"Выгнать из группы"
"DOTA_PlayerContextMenu_SetPartyLeader"	"Сделать лидером группы"
"DOTA_PlayerContextMenu_LeaveParty"	"Покинуть группу"
"DOTA_PlayerContextMenu_CoachParty"	"Стать тренером группы"
"DOTA_PlayerContextMenu_StopCoachingParty"	"Перестать быть тренером"
"DOTA_PlayerContextMenu_AddFriend"	"Добавить в друзья"
"DOTA_PlayerContextMenu_RemoveFriend"	"Удалить из друзей"
"DOTA_PlayerContextMenu_AcceptFriendRequest"	"Принять запрос дружбы"
"DOTA_PlayerContextMenu_IgnoreFriendRequest"	"Игнорировать запрос"
"DOTA_PlayerContextMenu_Spectate"	"Смотреть игру"
"DOTA_PlayerContextMenu_InviteToLobby"	"Пригласить в лобби"
"DOTA_PlayerContextMenu_SuggestInviteToLobby"	"Предложить пригласить"
"DOTA_PlayerContextMenu_KickFromLobby"	"Выгнать из лобби"
"DOTA_PlayerContextMenu_KickFromLobbyTeam"	"Выгнать из команды"
"DOTA_FeaturedHero_UnableToLoad"	"Не удалось загрузить избранных героев."
"DOTA_FeaturedHero_ViewGrid"	"Сетка"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_FeaturedHeroReason_NewHero"	"Недавно выпущенный герой"
"DOTA_FeaturedHeroReason_NewItem"	"Новый предмет редкости {s:item_rarity}"
"DOTA_FeaturedHeroReason_FrequentlyPlayedHero"	"Так как вы им играли"
"DOTA_FeaturedHeroReason_FeaturedItem"	"Избранный предмет"
"DOTA_FeaturedHeroReason_PopularItem"	"Популярный товар"
"DOTA_FeaturedHeroReason_SaleItem"	"Со скидкой"
"DOTA_NewFeaturedHero_WinterWyvern"	"На крыльях холодного ветра летит древний дракон."
"DOTA_HeroSelectorCategory_Default"	"Все герои"
"DOTA_HeroSelectorCategory_NewItems"	"С новыми предметами"
"DOTA_HeroSelectorCategory_Favorites"	"Избранные"
"DOTA_HeroSelectorCategory_MostPlayed"	"Наиболее выбираемые"
"DOTA_HeroSelectorCategory_LeastPlayed"	"Наименее выбираемые"
"DOTA_HeroSelectorCategory_HaveItems"	"Для которых у меня есть предметы"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Сила"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Ловкость"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Интеллект"
"DOTA_HeroSelectorCategory_AttackRange_Melee"	"Ближ. бой"
"DOTA_HeroSelectorCategory_AttackRange_Ranged"	"Дальн. бой"
"DOTA_HeroSelector_SelectHero_Label"	"Выбрать"
"DOTA_HeroSelector_ClearFilters"	"Сбросить фильтры"
"DOTA_OwnedItemSet_Selector_Title"	"Имеющиеся"
"DOTA_EquippedItemSet_Selector_Title"	"Надетые"
"DOTA_OwnedItemSet_Available_Title"	"Доступные"
"DOTA_FeaturedItemSet_Selector_Title"	"Избранные"
"DOTA_AllItemSet_Selector_Title"	"Все"
"DOTA_ConfirmLANLobby_title"	"ЛОКАЛЬНОЕ ЛОББИ"
"DOTA_ConfirmLANLobby_desc"	"На вашем компьютере запущен сервер локальной игры. Системные требования к ПК на время этой игры будут выше."
"DOTA_ConfirmLANLobbyDisconnect_title"	"Покинуть локальное лобби?"
"DOTA_ConfirmLANLobbyDisconnect_desc"	"Игра этого лобби размещена на вашем компьютере, отключение завершит игру для всех игроков. Продолжить?"
"DOTA_ConfirmLANLobbyDisconnect_ok"	"Да, отключиться"
"DOTA_Lobby_Settings_General"	"ОСНОВНЫЕ НАСТРОЙКИ ЛОББИ"
"DOTA_Lobby_Settings_Required"	"ОБЯЗАТЕЛЬНО"
"DOTA_Lobby_Settings_Confirm"	"{s:lobby_confirm_label}"
"DOTA_Lobby_Settings_Game_Mode"	"РЕЖИМ ИГРЫ"
"DOTA_Lobby_Settings_Region"	"РАСПОЛОЖЕНИЕ СЕРВЕРА"
"DOTA_Lobby_Settings_Password"	"ПАРОЛЬ ЛОББИ"
"DOTA_Lobby_Settings_Game_Name"	"НАЗВАНИЕ ИГРЫ"
"DOTA_Lobby_Settings_Advanced"	"РАСШИРЕННЫЕ НАСТРОЙКИ ЛОББИ"
"DOTA_Lobby_Settings_Competitive"	"СОРЕВНОВАТЕЛЬНЫЕ"
"DOTA_Lobby_Settings_Starting_Team"	"ПРАВО ПЕРВОГО ВЫБОРА"
"DOTA_Lobby_Settings_Starting_Team_Random"	"СЛУЧАЙНО"
"DOTA_Lobby_Settings_Starting_Team_Radiant"	"СВЕТ"
"DOTA_Lobby_Settings_Starting_Team_Dire"	"ТЬМА"
"DOTA_Lobby_Settings_Penalty_Radiant"	"ШТРАФНОЕ ВРЕМЯ - СВЕТ"
"DOTA_Lobby_Settings_Penalty_Dire"	"ШТРАФНОЕ ВРЕМЯ - ТЬМА"
"DOTA_Lobby_Settings_Penalty_Level_0"	"Нет"
"DOTA_Lobby_Settings_Penalty_Level_1"	"-30 сек. на запрет"
"DOTA_Lobby_Settings_Penalty_Level_2"	"-70 сек. на запрет"
"DOTA_Lobby_Settings_Penalty_Level_3"	"-110 сек. на запрет"
"DOTA_Lobby_Settings_Penalty_Tooltip"	"В режиме Captain's Mode снижает время на запрет героя этой командой."
"DOTA_Lobby_Settings_Series_Type"	"СЕРИЯ ИГР"
"DOTA_Lobby_Settings_No_Series"	"ОДНА ИГРА"
"DOTA_Lobby_Settings_Series_Best_of_3"	"ДО 2 ПОБЕД"
"DOTA_Lobby_Settings_Series_Best_of_5"	"ДО 3 ПОБЕД"
"DOTA_Lobby_Settings_Gameplay_Rules"	"ПРАВИЛА ИГРЫ"
"DOTA_Lobby_Settings_Enable_Cheats"	"ВКЛЮЧИТЬ ЧИТЫ"
"DOTA_Lobby_Settings_All_Chat"	"ОБЩИЙ ЧАТ"
"DOTA_Lobby_Settings_Fill_Bots"	"ИСПОЛЬЗОВАТЬ БОТОВ"
"DOTA_Lobby_Settings_Bot_Difficulty"	"УРОВЕНЬ СЛОЖНОСТИ БОТОВ"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"ПАССИВНЫЙ"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"НИЗКИЙ"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"СРЕДНИЙ"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"ВЫСОКИЙ"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"НЕЧЕСТНЫЙ"
"DOTA_Lobby_Settings_Version"	"ВЕРСИЯ"
"DOTA_Lobby_Settings_Version_Latest"	"ПОСЛЕДНЯЯ"
"DOTA_Lobby_Settings_Version_Tournament"	"ТУРНИРНАЯ"
"DOTA_Lobby_Settings_Spectator_Section"	"НАБЛЮДЕНИЕ"
"DOTA_Lobby_Settings_Dota_TV_Delay"	"ЗАДЕРЖКА DOTA TV"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 минуты"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 минут"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 секунд"
"DOTA_Lobby_Settings_Spectators"	"ЗРИТЕЛИ"
"DOTA_Lobby_Settings_Spectators_Enabled"	"РАЗРЕШЕНЫ"
"DOTA_Lobby_Settings_Spectators_Disabled"	"ЗАПРЕЩЕНЫ"
"dota_lobby_settings_hide_password"	"Скрыть пароль"
"dota_lobby_settings_local_host"	"Локальный"
"DOTA_Lobby_Settings_Visibility"	"Видимость лобби"
"DOTA_Lobby_Settings_Visibility_Public"	"Публичное"
"DOTA_Lobby_Settings_Visibility_Friends"	"Только для друзей"
"DOTA_Lobby_Settings_Visibility_Unlisted"	"Скрытое"
"DOTA_Lobby_Settings_Visibility_Tooltip"	"Видимость лобби. Публичные лобби видны в браузере лобби и списке друзей. Лобби «только для друзей» видны исключительно им, хотя можно приглашать других игроков. Скрытые лобби не видны ни в браузере, ни в друзьях."
"DOTA_TeamUnsetHeader"	"Команда не выбрана"
"DOTA_TeamUnsetMessage"	"Как минимум у одной из команд отсутствует название/логотип. Всё равно начать игру?"
"DOTA_LeagueUnsetHeader"	"Турнир не выбран"
"DOTA_LeagueUnsetMessage"	"Для этого лобби не выбрана лига, но вы можете ее назначить. Всё равно начать игру?"
"DOTA_LobbyAllowSpectatingHeader"	"Не удается запустить игру из лобби"
"DOTA_LobbyAllowSpectatingMessage"	"Если в лобби присутствуют зрители, игра должна быть видна им. Разрешите присутствие зрителей в настройках лобби."
"dota_radiant"	"Силы Света"
"dota_dire"	"Силы Тьмы"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"Нет команды"
"dota_lobby_broadcast_default_channel_name"	"Название канала"
"dota_lobby_broadcast_join"	"Войти"
"dota_lobby_broadcast_leave"	"Покинуть"
"dota_lobby_broadcast_create"	"Создать новый канал"
"dota_lobby_broadcast_no_channels"	"Каналы трансляций отсутствуют"
"dota_popup_broadcast_channel_edit_title"	"Настроить канал трансляции"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_channel_name"	"Название канала"
"dota_popup_broadcast_channel_edit_country"	"Страна"
"dota_popup_broadcast_channel_edit_language"	"Язык"
"dota_popup_broadcast_channel_edit_save"	"Сохранить эти настройки и применять их при входе в пустой канал"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Другой язык"
"lobby_slot_error_header"	"Невозможно сменить слот"
"generic_gc_timeout"	"Время доставки сообщения истекло."
"lobby_slot_success_header"	"Готово"
"lobby_slot_denied"	"Вам не разрешено занять этот слот."
"lobby_slot_cameramanalready"	"У канала трансляции может быть только один оператор"
"lobby_slot_cameramanon"	"Вы являетесь оператором"
"lobby_slot_cameramanoff"	"Вы больше не оператор"
"lobby_slot_error"	"Не удалось сменить слот в лобби."
"lobby_create_timeout"	"Не удалось создать лобби."
"find_match_error"	"Не удалось начать поиск игры."
"DOTA_DialogVariableTest1"	"Простая: {s:var}"
"DOTA_DialogVariableTest2"	"Денежная: {m:money}"
"DOTA_DialogVariableTest3"	"Ссылка на предмет: {g:dota_item_link:item_def}"
"DOTA_DialogVariableTest4"	"Стоимость предмета: {g:dota_item_price:item_def}"
"DOTA_DialogVariableTest5"	"Имя профиля по ID: {g:dota_persona:account_id}, проф. псевдоним: {g:dota_persona:pro:account_id}"
"DOTA_DialogVariableTest6"	"Простая в теге span: <span class=\"TextSpan\">{s:var}</span>"
"LobbySetting_GameMode"	"Режим игры"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Боты"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Пароль"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Сервер"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Читы"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Зрители"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Видимость"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"ЛОКАЛЬНОЕ ЛОББИ"
"dota_lobby_coaches_none"	"Нет тренеров"
"dota_lobby_coaches"	"Тренеры:"
"DOTA_Custom_Game"	"Пользовательская игра"
"DOTA_Custom_Game_Info"	"Информация"
"DOTA_Custom_Game_View_Details"	"Подробнее об игре"
"DOTA_Custom_Game_Author"	"от {g:dota_persona:author}"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} лобби"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} лобби"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"Друзей с открытым лобби игры: {d:friend_count}"
"DOTA_Custom_Game_Friend_Lobbies_Alert_Plural"	"Друзей с открытым лобби игры: {d:friend_count}"
"DOTA_Custom_Game_Quick_Join"	"Быстрая игра"
"DOTA_Custom_Game_View_Lobbies"	"Список лобби"
"DOTA_Custom_Game_Find_Lobby"	"Найти лобби"
"DOTA_Custom_Game_Create_Lobby"	"Создать лобби"
"DOTA_Custom_Game_Game_Page"	"Страница игры"
"DOTA_Custom_Game_Workshop_Page"	"Страница в Мастерской"
"DOTA_Custom_Game_Download_Queued"	"Загрузка в очереди"
"DOTA_Custom_Game_Downloading"	"Загрузка…"
"DOTA_Custom_Game_Downloading_Percent"	"Загрузка - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Требуется обновление"
"DOTA_Custom_Game_Play"	"Играть в {s:game_mode_name}"
"DOTA_Custom_Game_Uninstall"	"Удалить"
"DOTA_Custom_Game_Install"	"Установить"
"DOTA_Custom_Game_Installed"	"Установлено"
"DOTA_Custom_Game_Not_Installed"	"Не установлено"
"DOTA_Custom_Game_Connect"	"Войти в лобби"
"DOTA_Custom_Game_FileSize"	"{d:file_size} МБ"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"Выпущена {s:release_date};</b> Автор: <b>{g:dota_persona:author}</b>"
"DOTA_Custom_Game_Subscription"	"Подписчиков: {s:subscriptions_count}"
"DOTA_Custom_Game_Subscriptions"	"Подписчиков: {s:subscriptions_count}"
"DOTA_Custom_Game_Rating"	"Оценка"
"DOTA_Custom_Game_Release_Date"	"Выпущена"
"DOTA_Custom_Game_Playing_Now"	"В игре: {s:player_count}"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Обновлено {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Скриншоты"
"DOTA_Custom_Game_Map_Label"	"Карта"
"DOTA_Custom_Game_Map_Any"	"Любая"
"DOTA_Custom_Game_Update"	"Обновить"
"DOTA_Custom_Game_Spectate"	"Наблюдать"
"DOTA_Custom_Game_Already_In_Lobby"	"Закончите текущую игру, прежде чем начать эту."
"DOTA_Custom_Game_Friends_Playing"	"Друзей в пользовательских играх"
"DOTA_Custom_Game_Friends_In_Lobbies"	"В открытых лобби: {d:friends_in_open_lobbies}"
"DOTA_Custom_Game_Friends_In_Game"	"Друзей в польз. игре: {d:friends_in_game}"
"DOTA_Custom_Games_Friends_Play"	"Во что играют ваши друзья"
"DOTA_Custom_Game_Invite_Friend"	"Пригласить друга"
"DOTA_Custom_Game_Tooltip_Subscribers"	"Подписчиков: {d:subscriber_count}"
"DOTA_Custom_Game_Tooltip_Subscriber"	"Подписчиков: {d:subscriber_count}"
"DOTA_Custom_Game_Most_Popular"	"Самые популярные"
"DOTA_Custom_Game_Installed_Games"	"Установленные игры"
"DOTA_Custom_Game_Favorite_Games"	"Показывать избранное"
"DOTA_Custom_Game_Add_Favorite"	"Добавить в избранное"
"DOTA_Custom_Game_VotePrompt"	"Следует ли другим игрокам узнать об этой игре больше?"
"DOTA_Custom_Game_DetailsPrompt"	"Узнать больше об этой игре, а также установить и запустить ее можно на ее странице."
"DOTA_Custom_Game_Vote_Box_Title"	"Голосование в Мастерской"
"DOTA_Custom_Game_Vote_Box_Desc"	"Помогите малоизвестным играм набрать популярность."
"DOTA_Custom_Game_Vote_Start"	"Голосовать"
"DOTA_Custom_Game_VoteThanks"	"Спасибо за голосование!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Пред. игра"
"DOTA_Custom_Game_Vote_NextLabel"	"След. игра"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Голосование в Мастерской"
"DOTA_Custom_Game_Vote_YesLabel"	"Да, продвинуть ее!"
"DOTA_Custom_Game_Vote_NoLabel"	"Не-а, нужна доработка."
"DOTA_Custom_Game_Vote_SkipLabel"	"Пропустить эту игру."
"DOTA_Custom_Game_Vote_Up"	"Хорошая игра"
"DOTA_Custom_Game_Vote_Down"	"Нужна доработка"
"Video_Support_Coming_Soon"	"Поддержка видео скоро выйдет"
"DOTA_Custom_Game_Leave_Lobby"	"Покинуть лобби"
"DOTA_Custom_Game_Suggested_Title"	"Предложенные игры"
"DOTA_Custom_Game_Suggested_Info"	"В этот список входят игры, набирающие известность или хорошие отзывы.<br><br>Выборка обновляется раз в 30 минут, предоставляя всему сообществу по 15 игр одновременно."
"DOTA_Custom_Game_Addon_Restricted"	"Невозможно сделать это в игре с выключенными дополнениями."
"DOTA_Custom_Game_Search"	"Искать пользовательские игры"
"DOTA_Custom_Lobby_Create_Button"	"Создать лобби польз. игры"
"DOTA_Custom_Lobby_Settings_Title"	"Создать лобби"
"DOTA_Custom_Lobby_Settings_Mode"	"Режим игры"
"DOTA_Custom_Lobby_Settings_Map"	"Карта"
"DOTA_Custom_Lobby_LobbyName"	"Описание (необязательно)"
"DOTA_Custom_Lobby_List_Desc"	"Список закрытых (защищенных паролем) лобби и всех текущих пользовательских игр."
"DOTA_Custom_Lobby_Public"	"Открытое"
"DOTA_Custom_Lobby_Passworded"	"Игроки могут войти в лобби только по приглашению или паролю."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Не удалось войти"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Join_Failed_Prompt"	"Хотите найти открытое лобби игры {s:game_name}?"
"DOTA_Lobby_Failed_Pings"	"Не удалось получить информацию о задержке. Убедитесь, что интернет-соединение и серверы Dota 2 работают."
"DOTA_Custom_Lobby_Create_Private_Button"	"Создать закрытое лобби"
"DOTA_Custom_Lobby_Find_Private_Button"	"Найти закрытое лобби"
"DOTA_Custom_Lobby_Find_Private_Title"	"Найти закрытое лобби"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Введите пароль закрытого лобби:"
"DOTA_Custom_Lobby_List_Game_Header"	"Игра"
"DOTA_Custom_Lobby_List_Name_Header"	"Описание"
"DOTA_Custom_Lobby_List_Players_Header"	"Игроков"
"DOTA_Custom_Lobby_List_Map_Header"	"Карта"
"DOTA_Custom_Lobby_List_Region_Header"	"Регион"
"DOTA_Custom_Lobby_List_Connection_Header"	"Соединение"
"DOTA_Custom_Lobby_List_Status_Header"	"Установлено"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"…"
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Карта: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Игроков: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"Видимость лобби"
"DOTA_Custom_Join_Chat"	"Войти в чат"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"Покинуть чат"
"DOTA_Custom_Game_Vote_Up_Tooltip"	"Проголосовать за эту игру в мастерской Steam"
"DOTA_Page_Number"	"Страница: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"Обзор"
"DOTA_TabName_ModsSubscribed"	"Библиотека"
"DOTA_TabName_ModsWorkshop"	"Мастерская"
"DOTA_TabName_ModsBrowse"	"Просмотр"
"DOTA_WatchTabName_Live"	"Прямой эфир"
"DOTA_WatchTabName_Featured"	"Избранное"
"DOTA_WatchTabName_Replays"	"Записи"
"DOTA_WatchTabName_Tournaments"	"Турниры"
"DOTA_WatchTabName_Downloads"	"Загрузки"
"DOTA_WatchLive_Search"	"Поиск по героям"
"DOTA_WatchLive_DataPending"	"Поиск игр в прямом эфире..."
"DOTA_WatchLive_DataError"	"Не удалось загрузить игры в прямом эфире"
"DOTA_WatchLive_NoGames"	"Нет игр в прямом эфире"
"DOTA_WatchLive_Connecting"	"Ожидание информации об игре…"
"DOTA_WatchLive_HeroFilter"	"Герой: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"Зрителей: {i:num_spectating}"
"DOTA_WatchLive_CountSpecFriend"	"Зрителей: {i:num_spectating} (друзей: {i:num_friends_spectating})"
"DOTA_WatchLive_CountSpecFriends"	"Зрителей: {i:num_spectating} (друзей: {i:num_friends_spectating})"
"DOTA_WatchLive_CountFriends"	"Друзей: {i:num_friends_playing}"
"DOTA_WatchLive_ParticipantsVs"	"{s:team_1} против {s:team_2}"
"DOTA_WatchLive_ParticipantsMMR"	"Средний рейтинг: {i:mmr}"
"DOTA_WatchLive_ParticipantsUnranked"	"Нерейтинговая"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} и {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2} и {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3} и еще {i:friend_count_over_3}…"
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"Смотреть в Dota TV"
"DOTA_WatchLivePurchase"	"Купить билет на турнир {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends1"	"Зритель: {g:dota_persona:spectator_friend_1}"
"DOTA_WatchLiveSpectatorFriends2"	"Зрители: {g:dota_persona:spectator_friend_1} и {g:dota_persona:spectator_friend_2}"
"DOTA_WatchLiveSpectatorFriends3"	"Зрители: {g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} и {g:dota_persona:spectator_friend_3}"
"DOTA_WatchLiveSpectatorFriends4Plus"	"Зрители: {g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} и еще {i:spectator_friend_count_over_3} друзей"
"DOTA_WatchLiveSpectatorCount"	"Зрителей: {i:spectator_count}"
"DOTA_WatchLivePreGame"	"Подготовка"
"DOTA_WatchLive_ElapsedTime"	"Время:"
"DOTA_WatchLive_Spectating"	"Зрителей:"
"DOTA_WatchReplays_TournamentsHeader"	"ПОПУЛЯРНЫЕ ТУРНИРНЫЕ МАТЧИ"
"DOTA_WatchReplays_FriendsHeader"	"ИГРЫ ДРУЗЕЙ"
"DOTA_WatchReplays_Popular"	"ПОПУЛЯРНЫЕ МАТЧИ"
"DOTA_WatchReplays_SavedForLater"	"ОТЛОЖЕННЫЕ НА ПОТОМ"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} против {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
