"dota"
{
"DOTA_Accept"	"Accepteren"
"DOTA_ChatCommand_GameAllies"	"allies"
"DOTA_ChatCommand_GameAllies_Name"	"Team"
"DOTA_ChatCommand_GameAllies_Description"	"Chat met je team."
"DOTA_ChatCommand_GameCoaching"	"coach"
"DOTA_ChatCommand_GameCoaching_Name"	"Coachen"
"DOTA_ChatCommand_GameCoaching_Description"	"Chat met je student of coach."
"DOTA_ChatCommand_GameSpectator"	"spectator"
"DOTA_ChatCommand_GameSpectator_Name"	"Toeschouwer"
"DOTA_ChatCommand_GameSpectator_Description"	"Chat met andere toeschouwers."
"DOTA_ChatCommand_Clear"	"clear"
"DOTA_ChatCommand_Clear_Name"	"Wissen"
"DOTA_ChatCommand_Clear_Description"	"Wis alle zichtbare chat in dit tabblad."
"DOTA_Chat_UnknownCommandMessage"	"Onbekend chatcommando '{s:chat_command}'"
"DOTA_ChatHelp_Targets"	"Doelen"
"DOTA_ChatHelp_Commands"	"Commando's"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_LeftParty"	"Groep opgeheven."
"DOTA_Chat_MemberLeftParty"	"Speler heeft de groep verlaten: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"Uitgenodigd: {s:party_members}"
"DOTA_Chat_PartyMemberSeparator"	", "
"DOTA_PartyInvite_Title"	"Groepsuitnodiging"
"DOTA_Invite_IOfN"	"{d:received_invite_index} van {d:received_invite_count}"
"DOTA_PartyInvite_Coach"	"Coach:"
"DOTA_PartyVisTooltip_SoloNotOpen"	"Klik om je status te wijzigen."
"DOTA_LobbyInvite_Title"	"Lobby-uitnodiging"
"DOTA_LobbyKicked_Header"	"Gekickt uit lobby"
"DOTA_LobbyKicked_Message"	"Je bent door de lobbyleider uit de spellobby gekickt."
"DOTA_PlayerContextMenu_ViewProfile"	"Profiel bekijken"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"Bericht versturen"
"DOTA_PlayerContextMenu_AddFriend"	"Vriend toevoegen"
"DOTA_PlayerContextMenu_RemoveFriend"	"Vriend verwijderen"
"DOTA_PlayerContextMenu_IgnoreFriendRequest"	"Vriendschapsverzoek negeren"
"DOTA_PlayerContextMenu_Spectate"	"Spel bekijken"
"DOTA_FeaturedHero_ViewGrid"	"Rooster weergeven"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_FeaturedHeroReason_NewHero"	"Vers van de pers"
"DOTA_FeaturedHeroReason_NewItem"	"Nieuw - {s:item_rarity}"
"DOTA_HeroSelectorCategory_Default"	"Alle helden"
"DOTA_HeroSelectorCategory_NewItems"	"Nieuwe items"
"DOTA_HeroSelectorCategory_Favorites"	"Favorieten"
"DOTA_HeroSelectorCategory_MostPlayed"	"Mijn meest gespeelde"
"DOTA_HeroSelectorCategory_LeastPlayed"	"Mijn minst gespeelde"
"DOTA_HeroSelectorCategory_HaveItems"	"Heb ik items voor"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Kracht"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Behendigheid"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Intelligentie"
"DOTA_HeroSelector_SelectHero_Label"	"Kiezen"
"DOTA_HeroSelector_ClearFilters"	"Filters wissen"
"DOTA_OwnedItemSet_Selector_Title"	"In bezit"
"DOTA_EquippedItemSet_Selector_Title"	"Uitgerust"
"DOTA_OwnedItemSet_Available_Title"	"Beschikbaar"
"DOTA_FeaturedItemSet_Selector_Title"	"Uitgelicht"
"DOTA_AllItemSet_Selector_Title"	"Alles"
"DOTA_ConfirmLANLobby_title"	"LOKALE LOBBY"
"DOTA_ConfirmLANLobby_desc"	"Er wordt een lokale game op je machine gehost. De systeemvereisten zijn hoger als je een lokale game host."
"DOTA_ConfirmLANLobbyDisconnect_title"	"Lokale lobby verlaten?"
"DOTA_ConfirmLANLobbyDisconnect_ok"	"Ja, verbinding verbreken"
"DOTA_Lobby_Settings_General"	"ALGEMENE LOBBY-INSTELLINGEN"
"DOTA_Lobby_Settings_Required"	"VEREIST"
"DOTA_Lobby_Settings_Confirm"	"{s:lobby_confirm_label}"
"DOTA_Lobby_Settings_Game_Mode"	"SPELMODUS"
"DOTA_Lobby_Settings_Region"	"SERVERLOCATIE"
"DOTA_Lobby_Settings_Password"	"LOBBYWACHTWOORD"
"DOTA_Lobby_Settings_Game_Name"	"SPELNAAM"
"DOTA_Lobby_Settings_Advanced"	"GEAVANCEERDE LOBBY-INSTELLINGEN"
"DOTA_Lobby_Settings_Competitive"	"COMPETITIEF"
"DOTA_Lobby_Settings_Starting_Team_Random"	"WILLEKEURIG"
"DOTA_Lobby_Settings_Starting_Team_Radiant"	"RADIANT"
"DOTA_Lobby_Settings_Starting_Team_Dire"	"DIRE"
"DOTA_Lobby_Settings_Penalty_Radiant"	"STRAF - RADIANT"
"DOTA_Lobby_Settings_Penalty_Dire"	"STRAF - DIRE"
"DOTA_Lobby_Settings_Penalty_Level_0"	"Geen straf"
"DOTA_Lobby_Settings_Series_Best_of_3"	"BESTE VAN 3"
"DOTA_Lobby_Settings_Series_Best_of_5"	"BESTE VAN 5"
"DOTA_Lobby_Settings_Gameplay_Rules"	"SPELREGELS"
"DOTA_Lobby_Settings_Enable_Cheats"	"CHEATS INSCHAKELEN"
"DOTA_Lobby_Settings_Bot_Difficulty"	"MOEILIJKHEIDSGRAAD BOTS"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"PASSIEF"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"MAKKELIJK"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"GEMIDDELD"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"MOEILIJK"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"ONEERLIJK"
"DOTA_Lobby_Settings_Version"	"VERSIE"
"DOTA_Lobby_Settings_Version_Latest"	"NIEUWSTE"
"DOTA_Lobby_Settings_Version_Tournament"	"TOERNOOI"
"DOTA_Lobby_Settings_Spectator_Section"	"TOESCHOUWER"
"DOTA_Lobby_Settings_Dota_TV_Delay"	"DOTA TV-VERTRAGING"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 minuten"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 minuten"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 seconden"
"DOTA_Lobby_Settings_Spectators"	"TOESCHOUWERS"
"DOTA_Lobby_Settings_Spectators_Enabled"	"INGESCHAKELD"
"DOTA_Lobby_Settings_Spectators_Disabled"	"UITGESCHAKELD"
"dota_lobby_settings_hide_password"	"Wachtwoord verbergen"
"dota_lobby_settings_local_host"	"Lokale host"
"DOTA_Lobby_Settings_Visibility"	"Lobbyzichtbaarheid"
"DOTA_Lobby_Settings_Visibility_Public"	"Openbaar"
"DOTA_Lobby_Settings_Visibility_Friends"	"Vrienden"
"DOTA_TeamUnsetHeader"	"Team niet gekozen"
"DOTA_TeamUnsetMessage"	"Ten minste een team heeft geen teamnaam of logo ingesteld. Weet je zeker dat je de wedstrijd wilt starten?"
"DOTA_LeagueUnsetHeader"	"League niet geselecteerd"
"DOTA_LeagueUnsetMessage"	"Er is geen league ingesteld voor deze lobby, maar je kunt dat wel doen. Wedstrijd echt starten?"
"dota_radiant"	"De Radiant"
"dota_dire"	"De Dire"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"Geen team"
"dota_lobby_broadcast_default_channel_name"	"Kanaalnaam"
"dota_lobby_broadcast_join"	"Deelnemen"
"dota_lobby_broadcast_leave"	"Verlaten"
"dota_lobby_broadcast_create"	"Nieuw kanaal maken"
"dota_lobby_broadcast_no_channels"	"Er zijn geen uitzenderskanalen gemaakt"
"dota_popup_broadcast_channel_edit_title"	"Uitzenderskanaal aanpassen"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_channel_name"	"Kanaaltitel"
"dota_popup_broadcast_channel_edit_country"	"Land"
"dota_popup_broadcast_channel_edit_language"	"Taal"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Andere taal"
"lobby_slot_error_header"	"Kan niet van plaats wisselen"
"generic_gc_timeout"	"Bericht onderbroken."
"lobby_slot_success_header"	"Gelukt"
"lobby_slot_denied"	"Je hebt geen toestemming om deze plaats in te nemen."
"lobby_slot_cameramanalready"	"Uitzendkanalen kunnen slechts één cameraman hebben"
"lobby_slot_cameramanon"	"Je bent nu gemarkeerd als cameraman"
"lobby_slot_cameramanoff"	"Je bent niet langer een cameraman"
"lobby_slot_error"	"Kan lobbypositie niet wijzigen."
"lobby_create_timeout"	"Lobby maken mislukt."
"DOTA_DialogVariableTest1"	"Eenvoudig: {s:var}"
"DOTA_DialogVariableTest2"	"Geldwaarde: {m:money}"
"DOTA_DialogVariableTest4"	"Itemprijs: {g:dota_item_price:item_def}"
"LobbySetting_GameMode"	"Spelmodus"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Bots"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Wachtwoord"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Server"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Cheats"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Toeschouwers"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Zichtbaarheid"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Lokale server"
"dota_lobby_coaches_none"	"Coaches: geen"
"dota_lobby_coaches"	"Coaches:"
"DOTA_Custom_Game"	"Aangepast spel"
"DOTA_Custom_Game_Info"	"Info"
"DOTA_Custom_Game_Author"	"door {g:dota_persona:author}"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} lobby"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} lobby's"
"DOTA_Custom_Game_Quick_Join"	"Snel meedoen"
"DOTA_Custom_Game_View_Lobbies"	"Lobby's bekijken"
"DOTA_Custom_Game_Find_Lobby"	"Lobby zoeken"
"DOTA_Custom_Game_Create_Lobby"	"Lobby maken"
"DOTA_Custom_Game_Game_Page"	"Spelpagina"
"DOTA_Custom_Game_Workshop_Page"	"Workshop-pagina"
"DOTA_Custom_Game_Download_Queued"	"Download in wachtrij"
"DOTA_Custom_Game_Downloading"	"Downloaden..."
"DOTA_Custom_Game_Downloading_Percent"	"Downloaden - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Update vereist"
"DOTA_Custom_Game_Play"	"{s:game_mode_name} spelen"
"DOTA_Custom_Game_Uninstall"	"Deïnstalleren"
"DOTA_Custom_Game_Install"	"Installeren"
"DOTA_Custom_Game_Installed"	"Geïnstalleerd"
"DOTA_Custom_Game_Not_Installed"	"Niet geïnstalleerd"
"DOTA_Custom_Game_Connect"	"Aan lobby deelnemen"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} abonnees"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} abonnees"
"DOTA_Custom_Game_Rating"	"Beoordeling"
"DOTA_Custom_Game_Release_Date"	"Uitgebracht"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} spelen nu"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Laatst bijgewerkt op {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Screenshots"
"DOTA_Custom_Game_Map_Label"	"Map"
"DOTA_Custom_Game_Map_Any"	"Alle"
"DOTA_Custom_Game_Update"	"Vernieuwen"
"DOTA_Custom_Game_Spectate"	"Toeschouwen"
"DOTA_Custom_Game_Invite_Friend"	"Een vriend uitnodigen"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} abonnees"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} abonnee"
"DOTA_Custom_Game_Most_Popular"	"Meest populair"
"DOTA_Custom_Game_Installed_Games"	"Geïnstalleerde spellen"
"DOTA_Custom_Game_Favorite_Games"	"Alleen favorieten tonen"
"DOTA_Custom_Game_Add_Favorite"	"Favoriet toevoegen"
"DOTA_Custom_Game_Vote_Start"	"Begin met stemmen"
"DOTA_Custom_Game_VoteThanks"	"Bedankt voor het stemmen!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Vorige spel"
"DOTA_Custom_Game_Vote_NextLabel"	"Volgende spel"
"DOTA_Custom_Game_Vote_YesLabel"	"Ja, raad het aan!"
"DOTA_Custom_Game_Vote_NoLabel"	"Nee, heeft verbetering nodig."
"DOTA_Custom_Game_Vote_SkipLabel"	"Dit spel overslaan, ik heb geen opmerkingen."
"DOTA_Custom_Game_Vote_Up"	"Goed spel"
"DOTA_Custom_Game_Vote_Down"	"Heeft verbetering nodig"
"Video_Support_Coming_Soon"	"Video-ondersteuning binnenkort verwacht"
"DOTA_Custom_Game_Leave_Lobby"	"Deze lobby verlaten"
"DOTA_Custom_Game_Suggested_Title"	"Voorgestelde spellen"
"DOTA_Custom_Game_Search"	"Aangepaste spellen zoeken"
"DOTA_Custom_Lobby_Create_Button"	"Aangepaste lobby maken"
"DOTA_Custom_Lobby_Settings_Title"	"Lobby maken"
"DOTA_Custom_Lobby_Settings_Mode"	"Spelmodus"
"DOTA_Custom_Lobby_Settings_Map"	"Map"
"DOTA_Custom_Lobby_LobbyName"	"Optionele beschrijving"
"DOTA_Custom_Lobby_List_Desc"	"Een lijst met privélobby's (met wachtwoorden beveiligd) en ongesorteerde, actieve aangepaste spellen"
"DOTA_Custom_Lobby_Public"	"Openbaar"
"DOTA_Custom_Lobby_Passworded"	"Spelers kunnen alleen deelnemen aan deze lobby via uitnodigen of door middel van het wachtwoord."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Deelnemen mislukt"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Join_Failed_Prompt"	"Wil je nu naar een open {s:game_name}-lobby zoeken?"
"DOTA_Custom_Lobby_Create_Private_Button"	"Privélobby aanmaken"
"DOTA_Custom_Lobby_Find_Private_Button"	"Privélobby zoeken"
"DOTA_Custom_Lobby_Find_Private_Title"	"Privélobby zoeken"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Voer een wachtwoord in om een privélobby te vinden:"
"DOTA_Custom_Lobby_List_Game_Header"	"Spel"
"DOTA_Custom_Lobby_List_Name_Header"	"Beschrijving"
"DOTA_Custom_Lobby_List_Players_Header"	"Spelers"
"DOTA_Custom_Lobby_List_Map_Header"	"Map"
"DOTA_Custom_Lobby_List_Region_Header"	"Regio"
"DOTA_Custom_Lobby_List_Connection_Header"	"Verbinding"
"DOTA_Custom_Lobby_List_Status_Header"	"Lokale status"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Map: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Spelers: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"Lobbyzichtbaarheid"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"Chat verlaten"
"DOTA_Page_Number"	"Pagina: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"Overzicht"
"DOTA_TabName_ModsSubscribed"	"Bibliotheek"
"DOTA_TabName_ModsWorkshop"	"Workshop"
"DOTA_TabName_ModsBrowse"	"Bladeren"
"DOTA_WatchTabName_Live"	"Live"
"DOTA_WatchTabName_Featured"	"Uitgelicht"
"DOTA_WatchTabName_Replays"	"Herhalingen"
"DOTA_WatchTabName_Tournaments"	"Toernooien"
"DOTA_WatchTabName_Downloads"	"Downloads"
"DOTA_WatchLive_Search"	"Naar helden om te bekijken zoeken"
"DOTA_WatchLive_DataPending"	"Live spellen zoeken..."
"DOTA_WatchLive_DataError"	"Live spellen laden mislukt"
"DOTA_WatchLive_NoGames"	"Er worden momenteel geen live spellen gespeeld"
"DOTA_WatchLive_Connecting"	"Wachten op spelgegevens..."
"DOTA_WatchLive_HeroFilter"	"Filter: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} toeschouwers"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} vriend en {i:num_spectating} toeschouwers"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} vrienden en {i:num_spectating} toeschouwers"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} vrienden spelen"
"DOTA_WatchLive_ParticipantsVs"	"<font color='#ffffff'>{s:team_1}</font> <font color='#888888'>vs.</font> <font color='#ffffff'>{s:team_2}</font>"
"DOTA_WatchLive_ParticipantsMMR"	"<font color='#ffffff'>{i:mmr}</font> <font color='#888888'>gemiddelde MMB</font>"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} en {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2} en {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3} en {i:friend_count_over_3} anderen..."
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"In DotaTV bekijken"
"DOTA_WatchLivePurchase"	"Toernooipas kopen {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends3"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} en {g:dota_persona:spectator_friend_3} aan het toeschouwen"
"DOTA_WatchLiveSpectatorFriends4Plus"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} en {i:spectator_friend_count_over_3} andere vrienden aan het toeschouwen"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} aan het toeschouwen"
"DOTA_WatchLivePreGame"	"Voor het spel"
"DOTA_WatchLive_ElapsedTime"	"Verstreken tijd:"
"DOTA_WatchReplays_TournamentsHeader"	"POPULAIRE TOERNOOISPELLEN"
"DOTA_WatchReplays_FriendsHeader"	"SPELLEN VAN VRIENDEN"
"DOTA_WatchReplays_Popular"	"POPULAIRE SPELLEN"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} vs {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Views"	"{i:views} keer bekeken"
"DOTA_WatchReplays_Price"	"{g:dota_item_price:ticket_itemdef}"
"DOTA_WatchReplays_SharedMatch"	"{g:dota_persona:shared_by} heeft gedeeld: '{s:shared_text}'"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
"DOTA_WatchReplays_Tag"	"\"{s:recommendation_text}\""
"DOTA_WatchTournaments_FeaturedTitle"	"{s:tournament_featured_title}"
"DOTA_WatchTournaments_FeaturedDates"	"{s:tournament_featured_start} - {s:tournament_featured_end}"
"DOTA_WatchTournaments_FeaturedDescription"	"{s:tournament_featured_description}"
"DOTA_WatchTournaments_FeaturedTeams"	"Teams"
"DOTA_WatchTournaments_PrizePool"	"Prijzenpot:"
"DOTA_WatchTournaments_PrizePoolAmt"	"{s:tournament_featured_prize_pool}"
"DOTA_WatchTournaments_Purchase"	"Toernooipas - {s:tournament_featured_price}"
"DOTA_WatchTournament_TournamentName"	"{s:tournament_name}"
"DOTA_WatchTournament_Price"	"{s:price}"
"DOTA_Watch_GameServerNotFound"	"De spelserver die dit spel host kan niet worden gevonden."
"DOTA_Watch_Unavailable"	"Kan dit spel momenteel niet bekijken."
"DOTA_Watch_LobbyNotFound"	"Lobby niet gevonden."
"dota_matchmaking_language_primary"	"{s:environment_language}"
"dota_matchmaking_language_no_selection"	"Geen selectie"
"dota_matchmaking_language_english"	"Engels"
"dota_matchmaking_language_russian"	"Russisch"
"dota_matchmaking_language_chinese"	"Chinees"
"dota_matchmaking_language_schinese"	"Chinees"
"dota_matchmaking_language_korean"	"Koreaans"
"dota_matchmaking_language_koreana"	"Koreaans"
"dota_matchmaking_language_spanish"	"Spaans"
"dota_matchmaking_language_portuguese"	"Portugees"
"GameUI_Language_English"	"Engels"
"GameUI_Language_German"	"Duits"
"GameUI_Language_French"	"Frans"
"GameUI_Language_Italian"	"Italiaans"
"GameUI_Language_Korean"	"Koreaans"
"GameUI_Language_Spanish"	"Spaans"
"GameUI_Language_Simplified_Chinese"	"Chinees (vereenvoudigd)"
"GameUI_Language_Traditional_Chinese"	"Chinees (traditioneel)"
"GameUI_Language_Russian"	"Russisch"
"GameUI_Language_Thai"	"Thai"
"GameUI_Language_Japanese"	"Japans"
"GameUI_Language_Portuguese"	"Portugees"
"GameUI_Language_Polish"	"Pools"
"GameUI_Language_Danish"	"Deens"
"GameUI_Language_Dutch"	"Nederlands"
"GameUI_Language_Finnish"	"Fins"
"GameUI_Language_Norwegian"	"Noors"
"GameUI_Language_Swedish"	"Zweeds"
"GameUI_Language_Hungarian"	"Hongaars"
"GameUI_Language_Czech"	"Tsjechisch"
"GameUI_Language_Romanian"	"Roemeens"
"GameUI_Language_Turkish"	"Turks"
"GameUI_Language_Brazilian"	"Braziliaans-Portugees"
"GameUI_Language_Bulgarian"	"Bulgaars"
"GameUI_Language_Greek"	"Grieks"
"GameUI_Language_Ukrainian"	"Oekraïens"
"client_version_out_of_date_title"	"Update vereist"
"client_version_out_of_date"	"De spelclient is verouderd. Sluit Dota 2 af en start het opnieuw op om de laatste versie te downloaden."
"limited_heroes_abandon_header"	"Gelimiteerde Helden-modus"
"dota_abandon_dialog_title"	"Spel verlaten"
"dota_abandon_dialog_confirm"	"Weet je zeker dat je dit spel wilt verlaten?"
"dota_abandon_dialog_yes"	"Ja, spel verlaten."
"dota_leave_dialog_title"	"Spel verlaten"
"dota_leave_dialog_confirm"	"Weet je zeker dat je dit spel wilt verlaten?"
"dota_leave_dialog_yes"	"Ja, spel verlaten."
"dota_accept_match_title"	"Je spel is gereed"
"dota_accept_match_accept"	"Accepteren"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"Weigeren"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_finding_match_players"	"( {s:searching_player_count} aan het zoeken )"
"dota_finding_match_generic"	"Normaal spel"
"dota_finding_match_ranked"	"Ranked spel"
"dota_finding_match_bot"	"Spel met bots"
"dota_finding_1v1_match_casual"	"1v1-spel"
"dota_safe_to_abandon_inline"	"Spel is veilig om te verlaten"
"dota_match_connected"	"Verbonden met spel"
"dota_match_local_game"	"Verbonden met een lokaal spel"
"dota_match_connecting"	"Verbinden met spel..."
"dota_match_in_progress"	"Spel bezig"
"dota_match_finished"	"Spel afgelopen"
"matchmaking_waiting_for_players"	"Wachten op andere spelers"
"matchmaking_player_declined"	"Een speler heeft de match afgewezen"
"dota_match_wait_for_host"	"Wachten op host"
"dota_match_find_server"	"Server zoeken"
"ranked_mmr_solo_label"	"Solo"
"ranked_mmr_solo_value"	"{i:solo_mmr}"
"ranked_mmr_party_label"	"Groep"
"ranked_mmr_party_value"	"{i:party_mmr}"
"matchmaking_account_disabled"	"Je bent te storend geweest waardoor je niet kunt chatten of aansluiten bij de matchmakingwachtrij. Resterende tijd: {t:r:match_denied_time}"
"matchmaking_match_disabled_party"	"{s:match_denied_player_name} zal het zoeken van een spel voorkomen omdat hij of zij niet op tijd klaar was, of zijn of haar vorige spel verlaten heeft. Resterende tijd: {t:r:match_denied_time}"
"matchmaking_low_priority_party"	"{s:match_denied_player_name} staat enkel matchmaking met lage prioriteit toe wegens het verlaten van spellen of het ontvangen van buitensporig veel rapporten. Resterende spellen: {d:match_denied_games}"
"matchmaking_match_disabled_local"	"Je bent verhinderd om deel te nemen door het missen van de ready-up of door het verlaten van je laatste spel. Resterende tijd: {t:r:match_denied_time}"
"matchmaking_low_priority_local"	"Je zit in de matchmakingpoule met lage prioriteit wegens het verlaten van spellen of het ontvangen van buitensporig veel rapporten. Resterende spellen: {d:match_denied_games}"
"dota_ready_up_count"	"{s:ready_up_ready} / {s:ready_up_lobby_members}"
"dota_play_ranked_match"	"Ranked spel"
"dota_play_1v1_desc"	"Oefen je solospel in het middelste pad tegen een andere speler. Oefening eindigt wanneer een speler tweemaal doodgaat of een toren verliest."
"dota_play_button_label"	"{s:play_button_label}"
"dota_play"	"Dota spelen"
"dota_play_lobby_find_server"	"Server zoeken"
"dota_play_find_match_label"	"{s:find_match_label}"
"dota_reconnect"	"Opnieuw verbinden"
"dota_safe_leave_game"	"Spel verlaten"
"dota_disconnect"	"Verbinding verbreken"
"dota_play_unavailable"	"Niet beschikbaar"
"dota_leaver_consequence_tooltip_header"	"Gevolgen"
"dota_leaver_consequences"	"{s:leaver_consequences}"
"dota_leaver_consequences_details"	"{s:leaver_consequences_details}"
"dota_leaver_view_tooltip"	"Details bekijken"
"dota_leaver_consequence_header_failure_to_reconnect"	"Er niet in slagen opnieuw te verbinden zal de volgende gevolgen hebben:"
"dota_leaver_consequence_header_leave_match"	"Het verlaten van dit spel zal negatieve gevolgen hebben"
"dota_leaver_consequence_LetDownTeammates"	"Je teamleden spelen in een achterstandspositie."
"dota_leaver_consequence_SmallMatchmakingCooldown"	"Je zult voor een tijdje niet aan matchmaking mee kunnen doen."
"dota_leaver_consequence_CreditWithAbandon"	"Dit wordt beschouwd als een opgave."
"dota_leaver_consequence_ForcedLossForLeaver"	"Dit spel zal als verloren worden beschouwd."
"dota_leaver_consequence_ForcedLossForLeaversParty"	"Iedereen in je groep zal een verlies ontvangen."
"dota_leaver_consequence_ForcedLossForLeaversTeam"	"Je team, %s1, zal een verlies ontvangen."
"dota_leaver_consequence_MMRLossForLeaver"	"Je MMB zal afnemen."
"dota_leaver_consequence_MMRLossForLeaversParty"	"De MMB van iedereen in je groep zal afnemen."
"dota_leaver_consequence_MMRLossForLeaversTeam"	"De MMB van je team, %s1, zal afnemen."
"dota_leaver_consequence_MatchDiscardedForOtherPlayers"	"De wedstrijd wordt niet gescoord voor andere spelers."
