"dota"
{
"DOTA_Accept"	"Kabul Et"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"ORTA"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"ZOR"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"AŞIRI ZOR"
"DOTA_Lobby_Settings_Version"	"VERSİYON"
"DOTA_Lobby_Settings_Version_Latest"	"EN SON"
"DOTA_Lobby_Settings_Version_Tournament"	"TURNUVA"
"DOTA_Lobby_Settings_Spectator_Section"	"İZLEYİCİ"
"DOTA_Lobby_Settings_Dota_TV_Delay"	"DOTA TV GECİKMESİ"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 Dakika"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 Dakika"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 Saniye"
"DOTA_Lobby_Settings_Spectators"	"İZLEYİCİLER"
"DOTA_Lobby_Settings_Spectators_Enabled"	"ETKİN"
"DOTA_Lobby_Settings_Spectators_Disabled"	"DEVRE DIŞI"
"dota_lobby_settings_hide_password"	"Parolayı gizle"
"dota_lobby_settings_local_host"	"Yerel Sunucu"
"DOTA_Lobby_Settings_Visibility"	"Lobi görünebilirliği"
"DOTA_Lobby_Settings_Visibility_Public"	"Genel"
"DOTA_Lobby_Settings_Visibility_Friends"	"Arkadaşlar"
"DOTA_Lobby_Settings_Visibility_Unlisted"	"Gizli"
"DOTA_Lobby_Settings_Visibility_Tooltip"	"Lobinin nerede görünür olacağını belirler. Genel lobiler, lobi tarayıcısında ve arkadaş listesinde görünür durumdadır. Arkadaş lobileri sadece arkadaşlara görünür fakat diğer oyuncular davet edilebilir. Gizli lobiler ise tarayıcıda veya arkadaş listesinde gösterilmez."
"DOTA_TeamUnsetHeader"	"Takım Seçilmedi"
"DOTA_TeamUnsetMessage"	"En az bir takımın takım adı/logosu belirlenmedi. Maçı başlatmak istediğine emin misin?"
"DOTA_LeagueUnsetHeader"	"Lig Seçilmedi"
"DOTA_LeagueUnsetMessage"	"Lobi için lig seçimi yapılmadı fakat bir seçim yapabilirsiniz. Maç gerçekten başlatılsın mı?"
"DOTA_LobbyAllowSpectatingHeader"	"Lobi Oyunu başlatılamıyor"
"DOTA_LobbyAllowSpectatingMessage"	"Lobide izleyiciler bulunuyorsa oyun izlenebilir olarak ayarlanmalıdır. Ayarlar panelinden izlemeyi etkinleştirin."
"dota_radiant"	"Radiant"
"dota_dire"	"Dire"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"Takım Yok"
"dota_lobby_broadcast_default_channel_name"	"Kanal Adı"
"dota_lobby_broadcast_join"	"Katıl"
"dota_lobby_broadcast_leave"	"Ayrıl"
"dota_lobby_broadcast_create"	"Yeni Kanal Oluştur"
"dota_lobby_broadcast_no_channels"	"Hiçbir Yayın Kanalı oluşturulmadı"
"dota_popup_broadcast_channel_edit_title"	"Yayıncı Kanalını Özelleştir"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_channel_name"	"Kanal Başlığı"
"dota_popup_broadcast_channel_edit_country"	"Ülke"
"dota_popup_broadcast_channel_edit_language"	"Dil"
"dota_popup_broadcast_channel_edit_save"	"Varsayılan ayarlar olarak kaydet ve boş kanallara girildiğinde uygula"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Diğer Diller"
"lobby_slot_error_header"	"Yer değiştirilemiyor"
"generic_gc_timeout"	"Mesaj zaman aşımına uğradı."
"lobby_slot_success_header"	"Başarılı"
"lobby_slot_denied"	"Bu yere girmeye iznin yok."
"lobby_slot_cameramanalready"	"Yayıncı Kanalları sadece bir adet Kameraman içerebilir"
"lobby_slot_cameramanon"	"Kameraman olarak seçildin"
"lobby_slot_cameramanoff"	"Artık kameraman değilsin"
"lobby_slot_error"	"Lobide yer değiştirilemedi."
"lobby_create_timeout"	"Lobi Oluşturma başarısız."
"find_match_error"	"Şu anda eşleştirme için sıraya girilemiyor."
"DOTA_DialogVariableTest1"	"Basit: {s:var}"
"DOTA_DialogVariableTest2"	"Para değeri: {m:money}"
"DOTA_DialogVariableTest3"	"Eşya bağlantısı: {g:dota_item_link:item_def}"
"DOTA_DialogVariableTest4"	"Eşya fiyatı: {g:dota_item_price:item_def}"
"DOTA_DialogVariableTest5"	"Hesap Kullanıcı Adı: {g:dota_persona:account_id}, Profesyonel Kullanıcı Adı: {g:dota_persona:pro:account_id}"
"LobbySetting_GameMode"	"Oyun Modu"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Botlar"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Parola"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Sunucu"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Hileler"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"İzleyiciler"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Görünürlük"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Yerel Sunucu"
"dota_lobby_coaches_none"	"Koçlar: Yok"
"dota_lobby_coaches"	"Koçlar:"
"DOTA_Custom_Game"	"Özel Oyun"
"DOTA_Custom_Game_Info"	"Bilgi"
"DOTA_Custom_Game_View_Details"	"Oyun Detaylarını Gör"
"DOTA_Custom_Game_Author"	"{g:dota_persona:author} tarafından"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} lobi"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} lobi"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"Açık oyun lobisinde bulunan {d:friend_count} arkadaşınız var."
"DOTA_Custom_Game_Friend_Lobbies_Alert_Plural"	"Açık oyun lobisinde bulunan {d:friend_count} arkadaşınız var."
"DOTA_Custom_Game_Quick_Join"	"Hızlı Katıl"
"DOTA_Custom_Game_View_Lobbies"	"Lobileri Görüntüle"
"DOTA_Custom_Game_Find_Lobby"	"Lobi Bul"
"DOTA_Custom_Game_Create_Lobby"	"Lobi Oluştur"
"DOTA_Custom_Game_Game_Page"	"Oyun Sayfası"
"DOTA_Custom_Game_Workshop_Page"	"Atölye Sayfası"
"DOTA_Custom_Game_Download_Queued"	"İndirme Sıraya Eklendi"
"DOTA_Custom_Game_Downloading"	"İndiriliyor..."
"DOTA_Custom_Game_Downloading_Percent"	"İndiriliyor - %{d:lobby_download_percent}"
"DOTA_Custom_Game_Needs_Update"	"Güncelleme Gerekli"
"DOTA_Custom_Game_Play"	"{s:game_mode_name} Oyna"
"DOTA_Custom_Game_Uninstall"	"Kaldır"
"DOTA_Custom_Game_Install"	"Yükle"
"DOTA_Custom_Game_Installed"	"Yüklendi"
"DOTA_Custom_Game_Not_Installed"	"Yüklenmedi"
"DOTA_Custom_Game_Connect"	"Lobiye Katıl"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"{g:dota_persona:author}</b> Tarafından <b>{s:release_date}</b> Tarihinde Yayınlandı"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} Abone"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} Abone"
"DOTA_Custom_Game_Rating"	"Beğeni"
"DOTA_Custom_Game_Release_Date"	"Yayınlandı"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} kişi şu anda oynuyor"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Son güncelleme {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Ekran Görüntüleri"
"DOTA_Custom_Game_Map_Label"	"Harita"
"DOTA_Custom_Game_Map_Any"	"Herhangi"
"DOTA_Custom_Game_Update"	"Güncelle"
"DOTA_Custom_Game_Spectate"	"İzle"
"DOTA_Custom_Game_Already_In_Lobby"	"Bu oyun moduna başlamak için mevcut oyununuzu bitirmelisiniz."
"DOTA_Custom_Game_Friends_Playing"	"Özel oyun oynayan arkadaşlar"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} kişi açık lobide"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} arkadaş özel oyunda"
"DOTA_Custom_Games_Friends_Play"	"Arkadaşlarının Oynadığı Özel Oyunlar"
"DOTA_Custom_Game_Invite_Friend"	"Arkadaşını Davet Et"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} abone"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} abone"
"DOTA_Custom_Game_Most_Popular"	"En Popüler"
"DOTA_Custom_Game_Installed_Games"	"Yüklenen Oyunlar"
"DOTA_Custom_Game_Favorite_Games"	"Sadece Favorileri Göster"
"DOTA_Custom_Game_Add_Favorite"	"Favorilere Ekle"
"DOTA_Custom_Game_VotePrompt"	"Bu oyunu daha fazla insanın öğrenmesi için yardım etmeli miyiz?"
"DOTA_Custom_Game_DetailsPrompt"	"Daha fazlasını öğrenmek, yüklemek ve oynamak için oyunun detay sayfasını ziyaret edin."
"DOTA_Custom_Game_Vote_Box_Title"	"Atölye Oylaması"
"DOTA_Custom_Game_Vote_Box_Desc"	"Keşfedilmemiş oyunların toplulukta yer almasına yardım edin."
"DOTA_Custom_Game_Vote_Start"	"Oylamaya başla"
"DOTA_Custom_Game_VoteThanks"	"Oyladığınız için teşekkürler!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Önceki Oyun"
"DOTA_Custom_Game_Vote_NextLabel"	"Sonraki Oyun"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Atölye Oylaması"
"DOTA_Custom_Game_Vote_YesLabel"	"Evet, destekle!"
"DOTA_Custom_Game_Vote_NoLabel"	"Hayır, üzerinde çalışılması gerekiyor."
"DOTA_Custom_Game_Vote_SkipLabel"	"Bu oyunu atla, bir fikrim yok."
"DOTA_Custom_Game_Vote_Up"	"İyi Oyun"
"DOTA_Custom_Game_Vote_Down"	"Çalışılması Gerekiyor"
"Video_Support_Coming_Soon"	"Görüntü desteği pek yakında"
"DOTA_Custom_Game_Leave_Lobby"	"Bu Lobiden Ayrıl"
"DOTA_Custom_Game_Suggested_Title"	"Önerilen Oyunlar"
"DOTA_Custom_Game_Suggested_Info"	"Bu liste popüler olan ve olumlu olarak oylanan oyunları içerir.<br><br>Belirli zaman aralığında topluluktaki herkese aynı 15 oyunu gösterecek şekilde her 30 dakikada bir seçim değişecektir."
"DOTA_Custom_Game_Addon_Restricted"	"Sınırlı eklenti araçları modunda çalıştırılırken bu işlemi gerçekleştirmeniz mümkün değil."
"DOTA_Custom_Game_Search"	"Özel oyun ara"
"DOTA_Custom_Lobby_Create_Button"	"Özel lobi oluştur"
"DOTA_Custom_Lobby_Settings_Title"	"Lobi Oluştur"
"DOTA_Custom_Lobby_Settings_Mode"	"Oyun Modu"
"DOTA_Custom_Lobby_Settings_Map"	"Harita"
"DOTA_Custom_Lobby_LobbyName"	"İsteğe Bağlı Açıklama"
"DOTA_Custom_Lobby_List_Desc"	"Özel Lobilerin (parola korumalı) bir listesi ve filtresiz aktif Özel Oyunlar"
"DOTA_Custom_Lobby_Public"	"Genel"
"DOTA_Custom_Lobby_Passworded"	"Oyuncular bu lobiye sadece davet yoluyla veya lobi listesini parola ile filtreleyerek katılabilir."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Katılma Başarısız"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Join_Failed_Prompt"	"Şimdi açık bir {s:game_name} lobisi aramak istiyor musunuz?"
"DOTA_Lobby_Failed_Pings"	"Ping bilgisi toplama işlemi başarısız. Lütfen internet bağlantınızın çalıştığını ve Dota 2 sunucularının çevrimiçi olduğunu doğrulayın."
"DOTA_Custom_Lobby_Create_Private_Button"	"Özel lobi oluştur"
"DOTA_Custom_Lobby_Find_Private_Button"	"Özel lobi bul"
"DOTA_Custom_Lobby_Find_Private_Title"	"Özel Lobi Bul"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Özel bir lobi bulmak için bir parola gir:"
"DOTA_Custom_Lobby_List_Game_Header"	"Oyun"
"DOTA_Custom_Lobby_List_Name_Header"	"Açıklama"
"DOTA_Custom_Lobby_List_Players_Header"	"Oyuncular"
"DOTA_Custom_Lobby_List_Map_Header"	"Harita"
"DOTA_Custom_Lobby_List_Region_Header"	"Bölge"
"DOTA_Custom_Lobby_List_Connection_Header"	"Bağlantı"
"DOTA_Custom_Lobby_List_Status_Header"	"Yerel Durum"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Harita: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Oyuncu: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"Lobi Görünürlüğü"
"DOTA_Custom_Join_Chat"	"Sohbete katıl"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"Sohbetten ayrıl"
"DOTA_Custom_Game_Vote_Up_Tooltip"	"Steam Atölyesinde bu oyunu olumlu olarak oylamak için tıklayın."
"DOTA_Page_Number"	"Sayfa: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"Genel bakış"
"DOTA_TabName_ModsSubscribed"	"Kütüphane"
"DOTA_TabName_ModsWorkshop"	"Atölye"
"DOTA_TabName_ModsBrowse"	"Gözat"
"DOTA_WatchTabName_Live"	"Canlı"
"DOTA_WatchTabName_Featured"	"Öne Çıkanlar"
"DOTA_WatchTabName_Replays"	"Tekrarlar"
"DOTA_WatchTabName_Tournaments"	"Turnuvalar"
"DOTA_WatchTabName_Downloads"	"İndirmeler"
"DOTA_WatchLive_Search"	"Seyretmek İçin Kahraman Ara"
"DOTA_WatchLive_DataPending"	"Canlı Oyunlar Bulunuyor..."
"DOTA_WatchLive_DataError"	"Canlı oyunların yüklenmesinde hata"
"DOTA_WatchLive_NoGames"	"Şu anda oynanan Canlı Oyun bulunmamaktadır"
"DOTA_WatchLive_Connecting"	"Oyun Verisi Bekleniyor..."
"DOTA_WatchLive_HeroFilter"	"Filtre: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} kişi izliyor"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} arkadaş ve {i:num_spectating} kişi izliyor"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} arkadaş ve {i:num_spectating} kişi izliyor"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} arkadaş oynuyor"
"DOTA_WatchLive_ParticipantsVs"	"<font color='#ffffff'>{s:team_1}</font> <font color='#888888'>vs.</font> <font color='#ffffff'>{s:team_2}</font>	"
"DOTA_WatchLive_ParticipantsMMR"	"<font color='#ffffff'>{i:mmr}</font> <font color='#888888'>ortalama ED</font>"
"DOTA_WatchLive_ParticipantsUnranked"	"Derecesiz"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} ve {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2} ve {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3} ve {i:friend_count_over_3} arkadaş daha..."
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"DotaTV'de Seyret"
"DOTA_WatchLivePurchase"	"Turnuva Bileti Al {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends1"	"{g:dota_persona:spectator_friend_1} izliyor"
"DOTA_WatchLiveSpectatorFriends2"	"{g:dota_persona:spectator_friend_1} ve {g:dota_persona:spectator_friend_2} izliyor"
"DOTA_WatchLiveSpectatorFriends3"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} ve {g:dota_persona:spectator_friend_3} izliyor"
"DOTA_WatchLiveSpectatorFriends4Plus"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} ve {i:spectator_friend_count_over_3} arkadaş daha izliyor"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} kişi izliyor"
"DOTA_WatchLivePreGame"	"Oyun Öncesi"
"DOTA_WatchLive_ElapsedTime"	"Geçen Zaman:"
"DOTA_WatchLive_Spectating"	"İzleme:"
"DOTA_WatchReplays_TournamentsHeader"	"POPÜLER TURNUVA MAÇLARI"
"DOTA_WatchReplays_FriendsHeader"	"ARKADAŞ MAÇLARI"
"DOTA_WatchReplays_Popular"	"POPÜLER MAÇLAR"
"DOTA_WatchReplays_SavedForLater"	"DAHA SONRA SEYRETMEK İÇİN KAYDEDİLDİ"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} vs {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_MatchType_Public"	"Maç {s:match_id} - {s:game_mode}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations3Plus"	"{g:dota_persona:friend_1} + {i:friend_count_over_1} arkadaş daha + {i:recommendations}"
"DOTA_WatchReplays_Friends1"	"{g:dota_persona:b:friend_1} oynadı"
"DOTA_WatchReplays_Friends2"	"{g:dota_persona:b:friend_1} ve {g:dota_persona:friend_2} oynadı"
"DOTA_WatchReplays_Friends3Plus"	"{g:dota_persona:b:friend_1}, {g:dota_persona:b:friend_2} ve {i:friend_count_over_2} arkadaş daha"
"DOTA_WatchReplays_Views"	"{i:views} izlenme"
"DOTA_WatchReplays_Price"	"{g:dota_item_price:ticket_itemdef}"
"DOTA_WatchReplays_SharedMatch"	"{g:dota_persona:shared_by} paylaştı - '{s:shared_text}'"
"DOTA_WatchReplays_SharedHighlight"	"{g:dota_persona:shared_by} bir önemli an paylaştı"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
"DOTA_WatchReplays_Tag"	"\"{s:recommendation_text}\""
"DOTA_WatchTournaments_FeaturedTitle"	"{s:tournament_featured_title}"
"DOTA_WatchTournaments_FeaturedDates"	"{s:tournament_featured_start} - {s:tournament_featured_end}"
"DOTA_WatchTournaments_FeaturedDescription"	"{s:tournament_featured_description}"
"DOTA_WatchTournaments_FeaturedTeams"	"Takımlar"
"DOTA_WatchTournaments_PrizePool"	"Ödül Havuzu:"
"DOTA_WatchTournaments_PrizePoolAmt"	"{s:tournament_featured_prize_pool}"
"DOTA_WatchTournaments_Purchase"	"Turnuva Bileti - {s:tournament_featured_price}"
"DOTA_WatchTournament_TournamentName"	"{s:tournament_name}"
"DOTA_WatchTournament_Price"	"{s:price}"
"DOTA_Replays_Search"	"Maç No Ara"
"DOTA_Watch_GameStatus"	"Oyun Durumunu İzle"
"DOTA_Watch_Pending"	"Oyunu izlemek için bekliyor..."
"DOTA_Watch_GameServerNotFound"	"Bu oyunu sunan oyun sunucusu bulunamadı."
"DOTA_Watch_Unavailable"	"Şu anda bu oyun izlenemez."
"DOTA_Watch_LobbyNotFound"	"Lobi bulunamadı."
"DOTA_Watch_MissingLeagueSubscription"	"Bu oyun seyretmek için abonelik gerektiren bir lig oyunudur."
"vs"	"VS"
"dota_matchmaking_language_title"	"Eşleştirme Dilini Seç"
"dota_matchmaking_language_primary_label"	"Birincil eşleştirme diliniz:"
"dota_matchmaking_language_primary"	"{s:environment_language}"
"dota_matchmaking_language_primary_invalid"	"Diliniz ({s:environment_language}) Dota 2 eşleştirme dilleri arasında mevcut değildir."
"dota_matchmaking_language_select_secondary"	"Eğer isterseniz, ikincil bir dil seçebilirsiniz:"
"dota_matchmaking_language_select_primary"	"Lütfen eşleştirme dilini seçin:"
"dota_matchmaking_language_no_selection"	"Seçim Yok"
"dota_matchmaking_language_english"	"İngilizce"
"dota_matchmaking_language_russian"	"Rusça"
"dota_matchmaking_language_chinese"	"Çince"
"dota_matchmaking_language_schinese"	"Çince"
"dota_matchmaking_language_korean"	"Korece"
"dota_matchmaking_language_koreana"	"Korece"
"dota_matchmaking_language_spanish"	"İspanyolca"
"dota_matchmaking_language_portuguese"	"Portekizce"
"GameUI_Language_English"	"İngilizce"
"GameUI_Language_German"	"Almanca"
"GameUI_Language_French"	"Fransızca"
"GameUI_Language_Italian"	"İtalyanca"
"GameUI_Language_Korean"	"Korece"
"GameUI_Language_Spanish"	"İspanyolca"
"GameUI_Language_Simplified_Chinese"	"Basitleştirilmiş Çince"
"GameUI_Language_Traditional_Chinese"	"Geleneksel Çince"
"GameUI_Language_Russian"	"Rusça"
"GameUI_Language_Thai"	"Tayca"
"GameUI_Language_Japanese"	"Japonca"
"GameUI_Language_Portuguese"	"Portekizce"
"GameUI_Language_Polish"	"Lehçe"
"GameUI_Language_Danish"	"Danca"
"GameUI_Language_Dutch"	"Flemenkçe"
"GameUI_Language_Finnish"	"Fince"
"GameUI_Language_Norwegian"	"Norveççe"
"GameUI_Language_Swedish"	"İsveççe"
"GameUI_Language_Hungarian"	"Macarca"
"GameUI_Language_Czech"	"Çekce"
"GameUI_Language_Romanian"	"Rumence"
"GameUI_Language_Turkish"	"Türkçe"
"GameUI_Language_Brazilian"	"Brezilya Portekizcesi"
"GameUI_Language_Bulgarian"	"Bulgarca"
"GameUI_Language_Greek"	"Yunanca"
"GameUI_Language_Ukrainian"	"Ukraynaca"
"client_version_out_of_date_title"	"Güncelleme Gerekli"
"client_version_out_of_date"	"Oyun güncel değil. En yeni sürümü edinmek için Dota 2'yi kapatıp yeniden başlatın."
"dota_matchmaking_region_title"	"Eşleştirme Bölgelerini Seç"
"dota_matchmaking_region_auto"	"Konumuma göre en iyi bölgeyi otomatik olarak seç."
"dota_matchmaking_region_select"	"Üç taneye kadar eşleştirme bölgesi seçin. En iyi deneyim için sadece size en yakın olan bölgeleri seçin."
"limited_heroes_abandon_header"	"Sınırlı Kahraman Modu"
"limited_heroes_abandon_explanation"	"Kahramanınız bir bot ile yer değiştireceği için Sınırlı Kahraman maçından ayrılmanın herhangi bir cezası yoktur. Fakat diğer oyun modlarından ayrılmak düşük öncelik havuzuna düşmeniz ile sonuçlanabilir."
"dota_abandon_dialog_title"	"Oyunu Terk Et"
"dota_abandon_dialog_confirm"	"Bu oyunu terketmek istediğinizden emin misiniz?"
"dota_abandon_dialog_yes"	"Evet, oyunu terket."
"dota_leave_dialog_title"	"Oyundan Ayrıl"
"dota_leave_dialog_confirm"	"Bu oyundan ayrılmak istediğinize emin misiniz?"
"dota_leave_dialog_yes"	"Evet, oyundan ayrıl."
"dota_accept_match_title"	"Oyununuz Hazır"
"dota_accept_match_readyup_title"	"Oyuncular Bekleniyor"
"dota_accept_match_accept"	"Kabul et"
"dota_accept_match_accept_low_pri"	"Düşük Öncelikli Maçı Kabul Et"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"Reddet"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_finding_match_players"	"( {s:searching_player_count} aranıyor)"
"dota_finding_match_time"	"maç süresi bul: {s:find_match_time}"
"dota_finding_match_accept_count"	"maçı kabul edenler: {s:match_num_accepted} / {s:match_num_total}"
"dota_finding_match_generic"	"Normal Maç"
"dota_finding_match_ranked"	"Dereceli Maç"
"dota_finding_match_bot"	"Bot Maçı"
"dota_finding_match_bot_passive"	"Bot Maçı ( Pasif )"
"dota_finding_match_bot_easy"	"Bot Maçı ( Kolay )"
"dota_finding_match_bot_medium"	"Bot Maçı ( Orta )"
"dota_finding_match_bot_hard"	"Bot Maçı ( Zor )"
"dota_finding_match_bot_unfair"	"Bot Maçı ( Aşırı Zor )"
"dota_finding_match_team"	"Dereceli Takım Maçı"
"dota_finding_1v1_match_casual"	"1v1 Maç"
"dota_finding_match_practice_lobby"	"Lobi Oyunu"
"dota_safe_to_abandon_inline"	"Oyundan güvenli bir şekilde çıkılabilir"
"dota_match_connected"	"Oyuna bağlanıldı"
"dota_match_local_game"	"Yerel oyuna bağlanıldı"
"dota_match_connecting"	"Oyuna bağlanılıyor..."
"dota_match_in_progress"	"Oyun devam ediyor"
"dota_match_finished"	"Oyun sona erdi"
"matchmaking_waiting_for_players"	"Diğer oyuncular bekleniyor"
"matchmaking_player_declined"	"Bir oyuncu maçı reddetti"
"dota_match_wait_for_host"	"Sunucu bekleniyor"
"dota_match_find_server"	"Sunucu aranıyor"
"ranked_disabled"	"Dereceli Eşleştirme geçici olarak devre dışı."
"ranked_mmr"	"Eşleştirme Dereceniz"
"ranked_mmr_solo_label"	"Solo"
"ranked_mmr_solo_value"	"{i:solo_mmr}"
"ranked_mmr_solo_calibrating"	"Belirlenecek - {i:solo_calibrating_games} Oyun Kaldı"
"ranked_mmr_solo_no_data"	"Ayarlama İçin {i:solo_calibrating_required_games} Oyun Gerekli"
"ranked_mmr_party_label"	"Parti"
"ranked_mmr_party_value"	"{i:party_mmr}"
"ranked_mmr_party_calibrating"	"Belirlenecek - {i:party_calibrating_games} Oyun Kaldı"
"ranked_mmr_party_no_data"	"Ayarlama İçin {i:party_calibrating_required_games} Oyun Gerekli"
"ranked_mmr_locked_explain"	"Dereceli Eşleştirme:\nTecrübe Kupa Seviyesi 50 iken açılır.\nHer oyuncunun ED'sini (eşleştirme derecesi) takip eden ve gösteren daha rekabetçi bir mod."
"matchmaking_account_disabled"	"Zarar verici davranışlarından ötürü %s1 süresince ileti gönderemeyecek veya eşleştirme maçlarına katılamayacaksın. Kalan süre: {t:r:match_denied_time}"
"matchmaking_match_disabled_party"	"{s:match_denied_player_name} son oyunununda hazır olmadığı ya da oyundan çıktığı için %s2 süresince eşleşmeyi engelleyecek. Kalan süre: {t:r:match_denied_time}"
"matchmaking_low_priority_party"	"{s:match_denied_player_name}, terk edilen oyunlar sebebiyle yada aşırı şikayet nedeniyle düşük öncelikli eşleştirme havuzunda bulunacak. Kalan oyun: {d:match_denied_games}"
"matchmaking_match_disabled_local"	"Son oyunu kabul etmekte geciktiğin yada terk ettiğin için eşleşmeden önlendin. Kalan süre: {t:r:match_denied_time}"
"matchmaking_low_priority_local"	"Oyunları terk etmen veya birçok kez rapor edilmen nedeniyle daha düşük öncelikli eşleştirme havuzundakilerle oynayacaksın. Kalan oyun: {d:match_denied_games}"
