"dota"
{
"DOTA_Accept"	"Hyväksy"
"DOTA_ChatCommand_LeaveChannel"	"leavechannel"
"DOTA_ChatCommand_LeaveChannel_Name"	"Lähde kanavalta"
"DOTA_ChatCommand_LeaveChannel_Description"	"Poistu tietyltä keskustelukanavalta."
"DOTA_ChatCommand_GameAll"	"all"
"DOTA_ChatCommand_GameAll_Name"	"Kaikki"
"DOTA_ChatCommand_GameAll_Description"	"Kirjoita kaikille pelissä oleville."
"DOTA_ChatCommand_GameAllies"	"allies"
"DOTA_ChatCommand_GameAllies_Name"	"Liittolaiset"
"DOTA_ChatCommand_GameAllies_Description"	"Keskustele liittolaisten kesken."
"DOTA_ChatCommand_GameCoaching"	"coach"
"DOTA_ChatCommand_GameCoaching_Name"	"Valmentaja"
"DOTA_ChatCommand_GameCoaching_Description"	"Keskustele valmentajan ja valmennettavan kesken."
"DOTA_ChatCommand_GameSpectator"	"spectator"
"DOTA_ChatCommand_GameSpectator_Name"	"Katsoja"
"DOTA_ChatCommand_GameSpectator_Description"	"Keskustele muiden katsojien kanssa."
"DOTA_ChatCommand_Clear"	"clear"
"DOTA_ChatCommand_Clear_Name"	"Tyhjennä"
"DOTA_ChatCommand_Clear_Description"	"Poista kaikki tämän välilehden viestit."
"DOTA_Chat_UnknownCommandMessage"	"Tuntematon komento '{s:chat_command}'"
"DOTA_ChatHelp_Targets"	"Kohteet"
"DOTA_ChatHelp_Commands"	"Komennot"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_JoinedParty"	"Liityit ryhmään: {s:party_members}"
"DOTA_Chat_LeftParty"	"Ryhmä lakkautettiin."
"DOTA_Chat_MemberJoinedParty"	"Pelaaja liittyi ryhmään: {s:party_members}"
"DOTA_Chat_MemberLeftParty"	"Pelaaja lähti ryhmästä: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"Kutsuttiin: {s:party_members}"
"DOTA_Chat_RequestedToJoinParty"	"Haluaa liittyä: {s:party_members}"
"DOTA_Chat_PartyMemberSeparator"	", "
"DOTA_Feature_Under_Construction_Title"	"Työn alla"
"DOTA_PartyJoinRequest_Title"	"Liittymispyyntö"
"DOTA_PartyJoinRequest_Description"	"{g:dota_persona:b:inviter} haluaisi liittyä ryhmääsi."
"DOTA_PartyMergeRequest_Title"	"Yhdistämispyyntö"
"DOTA_PartyMergeRequest_Description"	"{g:dota_persona:b:inviter} haluaisi, että hänen ryhmänsä liittyisi sinun ryhmääsi."
"DOTA_PartyMergeRequestLowPriWarning"	"Huom: tämän pyynnön hyväksyminen tuo mukanaan ryhmälle alhaisen prioriteetin statuksen."
"DOTA_PartyInvite_Title"	"Ryhmäkutsu"
"DOTA_Invite_IOfN"	"{d:received_invite_index} / {d:received_invite_count}"
"DOTA_PartyInvite_Description"	"{g:dota_persona:b:inviter} on kutsunut sinut ryhmäänsä."
"DOTA_PartyInvite_LowPriority_Title"	"Alhaisen prioriteetin ryhmäkutsu"
"DOTA_PartyInvite_LowPriority_Description"	"{g:dota_persona:b:inviter} on kutsunut sinut alhaisen prioriteetin ryhmäänsä."
"DOTA_PartyInvite_BlockPartyLeader"	"Estä kaikki viestintä pelaajalta {g:dota_persona:b:inviter}"
"DOTA_LobbyInvite_BlockInviter"	"Estä kaikki viestintä tältä pelaajalta"
"DOTA_PartyInvite_BlockNonFriendInvites"	"Estä kutsut kaikilta, jotka eivät ole kavereitasi"
"DOTA_PartyInvite_BlockNonFriendInvitesDescription"	"Tätä voi muuttaa asetusvalikon Profiili-osiossa"
"DOTA_PartyInvite_Expired"	"Pyyntö on peruttu tai ei kelpaa enää."
"DOTA_PartyInvite_Coach"	"Valmentaja:"
"DOTA_PartyVisTooltip_TitleOpen"	"Etsii peliseuraa"
"DOTA_PartyVisTooltip_TitleNotOpen"	"Ei etsi peliseuraa"
"DOTA_PartyVisTooltip_SoloNotOpen"	"Vaihda tilaa klikkaamalla."
"DOTA_PartyVisTooltip_SoloOpen"	"Kaverit voivat pyytää liittymistä ryhmääsi.<br/>Vaihda tilaa klikkamalla."
"DOTA_PartyVisTooltip_LeaderOpen"	"Liittymispyynnöt ryhmäläisten kavereilta hyväksytään automaattisesti.<br/>Poista avoin ryhmä -tila käytöstä klikkaamalla."
"DOTA_PartyVisTooltip_LeaderOpenManualAccept"	"Ryhmäläisten kaverit voivat pyytää liittymistä<br/>Poista avoin ryhmä -tila käytöstä klikkaamalla."
"DOTA_PartyVisTooltip_NonLeaderNotOpen"	"Ryhmäläisten kaverit voivat pyytää liittymistä.<br/>Vain ryhmän johtaja voi hyväksyä pyynnöt.<br/>Ota avoin ryhmä -tila käyttön klikkaamalla. Tämä lisää ryhmän näkyvyyttä kavereille."
"DOTA_TogglePartyOpenMic_Tooltip"	"Avoin mikrofoni ryhmässä"
"DOTA_PartySettings"	"Ryhmän asetukset"
"DOTA_PartySettings_OpenParty"	"Salli liittymispyynnöt ryhmään"
"DOTA_PartySettings_BroadcastToFriends"	"Anna kavereiden nähdä, että olen ryhmässä"
"DOTA_PartySettings_OpenState_NotOpenLeader"	"Liittymispyynnöt tähän ryhmään eivät ole mahdollisia."
"DOTA_PartySettings_OpenState_OpenButHiddenFromFriends"	"Liittymispyynnöt tähän ryhmään ovat mahdollisia. Et mainosta tätä ryhmää kavereillesi, mutta se saattaa olla näkyvissä muiden jäsenten kavereille."
"DOTA_PartySettings_OpenState_Open"	"Liittymispyynnöt tähän ryhmään ovat mahdollisia. Ryhmä näkyy kavereillesi, ja mahdollisesti muiden jäsenten kavereille."
"DOTA_LobbyInvite_Title"	"Aulakutsu"
"DOTA_LobbyInvite_Description"	"{g:dota_persona:inviter} on kutsunut sinut aulaan."
"DOTA_PartyJoinedLobby_Title"	"Liityit aulaan"
"DOTA_PartyJoinedLobby_Generic"	"{s:party_leader} siirsi sinut aulaan."
"DOTA_PartyJoinedLobby_Custom"	"{s:party_leader} siirsi sinut pelin {s:custom_game} aulaan"
"DOTA_PartyLeader"	"Ryhmän johtaja"
"DOTA_LobbyKicked_Header"	"Erotettu aulasta"
"DOTA_LobbyKicked_Message"	"Peliaulan johtaja erotti sinut aulasta."
"DOTA_PlayerContextMenu_ViewProfile"	"Näytä profiili"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"Lähetä viesti"
"DOTA_PlayerContextMenu_InviteToParty"	"Kutsu ryhmään"
"DOTA_PlayerContextMenu_SuggestInviteToParty"	"Ehdota kutsumista ryhmään"
"DOTA_PlayerContextMenu_KickFromParty"	"Erota ryhmästä"
"DOTA_PlayerContextMenu_SetPartyLeader"	"Aseta ryhmän johtajaksi"
"DOTA_PlayerContextMenu_LeaveParty"	"Lähde ryhmästä"
"DOTA_PlayerContextMenu_CoachParty"	"Valmenna tätä ryhmää"
"DOTA_PlayerContextMenu_StopCoachingParty"	"Lopeta ryhmän valmennus"
"DOTA_PlayerContextMenu_AddFriend"	"Lisää kaveriksi"
"DOTA_PlayerContextMenu_RemoveFriend"	"Poista kavereista"
"DOTA_PlayerContextMenu_AcceptFriendRequest"	"Hyväksy kaveripyyntö"
"DOTA_PlayerContextMenu_IgnoreFriendRequest"	"Hylkää kaveripyyntö"
"DOTA_PlayerContextMenu_Spectate"	"Katso peliä"
"DOTA_PlayerContextMenu_InviteToLobby"	"Kutsu aulaan"
"DOTA_PlayerContextMenu_SuggestInviteToLobby"	"Ehdota kutsumista aulaan"
"DOTA_PlayerContextMenu_KickFromLobby"	"Poista aulasta"
"DOTA_PlayerContextMenu_KickFromLobbyTeam"	"Poista aulan tiimistä"
"DOTA_FeaturedHero_ViewGrid"	"Näytä ruudukko"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_FeaturedHeroReason_NewHero"	"Äskettäin lisätty sankari"
"DOTA_FeaturedHeroReason_NewItem"	"Uusi {s:item_rarity} esine"
"DOTA_FeaturedHeroReason_FeaturedItem"	"Esitelty esine"
"DOTA_FeaturedHeroReason_PopularItem"	"Eniten myyty"
"DOTA_FeaturedHeroReason_SaleItem"	"Alennuksessa"
"DOTA_HeroSelectorCategory_Default"	"Kaikki sankarit"
"DOTA_HeroSelectorCategory_NewItems"	"Uudet esineet"
"DOTA_HeroSelectorCategory_Favorites"	"Suosikit"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Voima"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Ketteryys"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Älykkyys"
"DOTA_HeroSelectorCategory_AttackRange_Melee"	"Lähi"
"DOTA_HeroSelectorCategory_AttackRange_Ranged"	"Kauko"
"DOTA_HeroSelector_SelectHero_Label"	"Valitse"
"DOTA_HeroSelector_ClearFilters"	"Tyhjennä suodattimet"
"DOTA_AllItemSet_Selector_Title"	"Kaikki"
"DOTA_ConfirmLANLobby_title"	"PAIKALLINEN AULA"
"DOTA_ConfirmLANLobby_desc"	"Paikallinen peli isännöidään sinun koneellasi. Järjestelmävaatimukset ovat normaalia korkeammat isännöijäkoneelle."
"DOTA_Lobby_Settings_Starting_Team_Random"	"SATUNNAINEN"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"HELPPO"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"VAIKEA"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"EPÄREILU"
"DOTA_Lobby_Settings_Version"	"VERSIO"
"DOTA_Lobby_Settings_Version_Latest"	"VIIMEISIN"
"DOTA_Lobby_Settings_Version_Tournament"	"TURNAUS"
"DOTA_Lobby_Settings_Spectator_Section"	"KATSOJA"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 Minuuttia"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 Minuuttia"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 Sekuntia"
"dota_lobby_settings_hide_password"	"Piilota salasana"
"DOTA_Lobby_Settings_Visibility_Public"	"Julkinen"
"DOTA_Lobby_Settings_Visibility_Friends"	"Kaverit"
"DOTA_TeamUnsetHeader"	"TIIMIÄ EI ASETETTU"
"DOTA_LeagueUnsetHeader"	"LIIGAA EI ASETETTU"
"DOTA_LeagueUnsetMessage"	"Tätä aulaa ei ole merkitty kuuluvaksi mihinkään liigaan, vaikka pystyisit tekemään niin. Haluatko silti aloittaa pelin?"
"dota_lobby_broadcast_default_channel_name"	"Kanavan nimi"
"dota_lobby_broadcast_join"	"Liity"
"dota_lobby_broadcast_leave"	"Poistu"
"dota_lobby_broadcast_create"	"Perusta uusi kanava"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_country"	"Maa"
"dota_popup_broadcast_channel_edit_language"	"Kieli"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Muu kieli"
"lobby_slot_error_header"	"Paikkaa ei voitu vaihtaa"
"generic_gc_timeout"	"Viesti aikakatkaistiin."
"lobby_slot_denied"	"Sinulla ei ole lupaa ottaa tätä paikkaa."
"lobby_slot_cameramanalready"	"Selostajakanavalla voi olla vain yksi kameravastaava"
"lobby_slot_cameramanon"	"Sinä olet nyt kameravastaava"
"lobby_slot_cameramanoff"	"Et ole enää kameravastaava"
"lobby_slot_error"	"Aulapaikan vaihto epäonnistui."
"LobbySetting_GameMode"	"Pelimuoto"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Botit"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Salasana"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Palvelin"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Huijaukset"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Katsojat"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Näkyvyys"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Paikallinen palvelin"
"dota_lobby_coaches_none"	"Valmentajat: ei ole"
"dota_lobby_coaches"	"Valmentajat:"
"DOTA_Custom_Game_Info"	"Tiedot"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} aula"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} aulaa"
"DOTA_Custom_Game_View_Lobbies"	"Näytä aulat"
"DOTA_Custom_Game_Find_Lobby"	"Etsi aula"
"DOTA_Custom_Game_Create_Lobby"	"Perusta aula"
"DOTA_Custom_Game_Game_Page"	"Pelin sivu"
"DOTA_Custom_Game_Workshop_Page"	"Workshop-sivu"
"DOTA_Custom_Game_Download_Queued"	"Lataus jonossa"
"DOTA_Custom_Game_Downloading"	"Ladataan..."
"DOTA_Custom_Game_Downloading_Percent"	"Ladataan - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Vaatii päivityksen"
"DOTA_Custom_Game_Play"	"Pelaa {s:game_mode_name}"
"DOTA_Custom_Game_Uninstall"	"Poista asennus"
"DOTA_Custom_Game_Install"	"Asenna"
"DOTA_Custom_Game_Installed"	"Asennettu"
"DOTA_Custom_Game_Not_Installed"	"Ei asennettu"
"DOTA_Custom_Game_Connect"	"Liity aulaan"
"DOTA_Custom_Game_FileSize"	"{d:file_size} Mt"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} tilaus"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} tilausta"
"DOTA_Custom_Game_Rating"	"Arvostelut"
"DOTA_Custom_Game_Release_Date"	"Julkaistu"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} pelaamassa"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Viimeksi päivitetty {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Kuvankaappaukset"
"DOTA_Custom_Game_Map_Label"	"Kartta"
"DOTA_Custom_Game_Map_Any"	"Mikä tahansa"
"DOTA_Custom_Game_Invite_Friend"	"Kutsu kaveri"
"DOTA_Custom_Game_Most_Popular"	"Suosituimmat"
"DOTA_Custom_Game_Favorite_Games"	"Näytä vain suosikit"
"DOTA_Custom_Game_Vote_Box_Title"	"Workshop-äänestys"
"DOTA_Custom_Game_Vote_Start"	"Aloita äänestäminen"
"DOTA_Custom_Game_VoteThanks"	"Kiitos äänestämisestä!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Edellinen peli"
"DOTA_Custom_Game_Vote_NextLabel"	"Seuraava peli"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Workshop-äänestys"
"DOTA_Custom_Game_Vote_Up"	"Hyvä peli"
"DOTA_Custom_Game_Vote_Down"	"Tarvitsee korjailua"
"DOTA_Custom_Game_Suggested_Title"	"Suositellut pelit"
"DOTA_Custom_Game_Suggested_Info"	"Tähän on listattu sekä nousevia että positiivisia arvosteluja saavia pelejä.<br><br>Valikoima vaihtuu 30 minuutin välein, ja samat 15 peliä näytetään kaikille pelaajille samaan aikaan."
"DOTA_Custom_Lobby_Create_Button"	"Perusta oma aula"
"DOTA_Custom_Lobby_Settings_Title"	"Perusta aula"
"DOTA_Custom_Lobby_Settings_Mode"	"Pelimuoto"
"DOTA_Custom_Lobby_Settings_Map"	"Kartta"
"DOTA_Custom_Lobby_LobbyName"	"Valinnainen kuvaus"
"DOTA_Custom_Lobby_Public"	"Julkinen"
"DOTA_Custom_Lobby_Join_Failed_Title"	"Liittyminen epäonnistui"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Create_Private_Button"	"Perusta yksityinen aula"
"DOTA_Custom_Lobby_Find_Private_Button"	"Etsi yksityinen aula"
"DOTA_Custom_Lobby_Find_Private_Title"	"Etsi yksityinen aula"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Etsi yksityinen aula kirjoittamalla sen salasana:"
"DOTA_Custom_Lobby_List_Game_Header"	"Peli"
"DOTA_Custom_Lobby_List_Name_Header"	"Kuvaus"
"DOTA_Custom_Lobby_List_Players_Header"	"Pelaajia"
"DOTA_Custom_Lobby_List_Map_Header"	"Kartta"
"DOTA_Custom_Lobby_List_Region_Header"	"Alue"
"DOTA_Custom_Lobby_List_Connection_Header"	"Yhteys"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Kartta: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Pelaajia: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Join_Chat"	"Liity keskusteluun"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_TabName_ModsSubscribed"	"Kokoelma"
"DOTA_WatchReplays_SavedForLater"	"MYÖHEMPÄÄ KATSOMISTA VARTEN"
"DOTA_Watch_Pending"	"Odotetaan pelin katselua..."
"DOTA_Watch_GameServerNotFound"	"Tätä peliä isännöivää palvelinta ei löytynyt."
"DOTA_Watch_Unavailable"	"Tätä peliä ei voi katsella tällä hetkellä."
"DOTA_Watch_LobbyNotFound"	"Aulaa ei löydetty."
"dota_matchmaking_language_primary_invalid"	"{s:environment_language} ei ole Dota 2:n virallinen pelinhakukieli."
"dota_matchmaking_language_select_secondary"	"Jos haluat, voit valita toissijaisen kielen:"
"dota_matchmaking_language_select_primary"	"Valitse pelihaun kieli:"
"dota_matchmaking_language_no_selection"	"Ei valintaa"
"dota_matchmaking_language_english"	"englanti"
"dota_matchmaking_language_russian"	"venäjä"
"dota_matchmaking_language_chinese"	"Kiina (perint.)"
"dota_matchmaking_language_schinese"	"Kiina (yks.)"
"dota_matchmaking_language_korean"	"korea"
"dota_matchmaking_language_koreana"	"korea"
"dota_matchmaking_language_spanish"	"espanja"
"dota_matchmaking_language_portuguese"	"portugali"
"GameUI_Language_English"	"Englanti"
"GameUI_Language_German"	"Saksa"
"GameUI_Language_French"	"Ranska"
"GameUI_Language_Italian"	"Italia"
"GameUI_Language_Korean"	"Korea"
"GameUI_Language_Spanish"	"Espanja"
"GameUI_Language_Simplified_Chinese"	"Yksinkertaistettu kiina"
"GameUI_Language_Traditional_Chinese"	"Perinteinen kiina"
"GameUI_Language_Russian"	"Venäjä"
"GameUI_Language_Thai"	"Thai"
"GameUI_Language_Japanese"	"Japani"
"GameUI_Language_Portuguese"	"Portugali"
"GameUI_Language_Polish"	"Puola"
"GameUI_Language_Danish"	"Tanska"
"GameUI_Language_Dutch"	"Hollanti"
"GameUI_Language_Finnish"	"Suomi"
"GameUI_Language_Norwegian"	"Norja"
"GameUI_Language_Swedish"	"Ruotsi"
"GameUI_Language_Hungarian"	"Unkari"
"GameUI_Language_Czech"	"Tšekki"
"GameUI_Language_Romanian"	"Romania"
"GameUI_Language_Turkish"	"Turkki"
"GameUI_Language_Brazilian"	"Brasilianportugali"
"GameUI_Language_Bulgarian"	"Bulgaria"
"GameUI_Language_Greek"	"Kreikka"
"GameUI_Language_Ukrainian"	"Ukraina"
"client_version_out_of_date_title"	"Päivitys vaaditaan"
"client_version_out_of_date"	"Pelisi on vanhentunut. Sulje ja käynnistä Dota 2 uudelleen päivittääksesi viimeisimpään versioon."
"limited_heroes_abandon_header"	"Rajatut sankarit"
"limited_heroes_abandon_explanation"	"Rajatut sankarit -pelin hylkäämisestä ei rangaista, koska botti ottaa sankarisi haltuunsa. Kaikissa muissa pelimuodoissa pelin hylkäämällä voit joutua alhaisen prioriteetin hakujonoon."
"dota_abandon_dialog_confirm"	"Haluatko varmasti hylätä tämän pelin?"
"dota_abandon_dialog_yes"	"Kyllä, hylkää peli."
"dota_leave_dialog_confirm"	"Haluatko varmasti poistua tästä pelistä?"
"dota_leave_dialog_yes"	"Kyllä, lähde pelistä."
"dota_accept_match_title"	"Pelisi on valmis"
"dota_accept_match_accept"	"Hyväksy"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"Kieltäydy"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_match_connected"	"Yhteydessä peliin"
"dota_match_local_game"	"Yhdistetty paikalliseen peliin"
"dota_match_connecting"	"Yhdistetään peliin..."
"dota_match_in_progress"	"Peli käynnissä"
"dota_match_finished"	"Peli loppunut"
"matchmaking_waiting_for_players"	"Odotetaan muita pelaajia"
"matchmaking_player_declined"	"Pelaaja kieltäytyi ottelusta"
"dota_match_wait_for_host"	"Odotetaan isäntää"
"dota_match_find_server"	"Etsitään palvelinta"
"dota_ready_up_count"	"{s:ready_up_ready} / {s:ready_up_lobby_members}"
"dota_play_1v1_desc"	"Harjoittele yksilösuoritustasi keskilinjalla yhtä muuta pelaajaa vastaan. Harjoitus päättyy, kun toinen pelaajista kuolee kahdesti tai menettää tornin."
"dota_play"	"Pelaa Dotaa"
"dota_play_searching"	"Etsitään peliä"
"dota_play_lobby_find_server"	"Etsitään palvelinta"
"dota_play_find_match_label"	"{s:find_match_label}"
"dota_reconnect"	"Yhdistä takaisin"
"dota_abandon_game"	"Hylkää"
"dota_safe_leave_game"	"Poistu pelistä"
"dota_disconnect"	"Katkaise yhteys"
"dota_leaver_consequences"	"{s:leaver_consequences}"
"dota_leaver_consequence_header_failure_to_reconnect"	"Jos et liity takaisin peliin, tulee siitä seuraavat seuraamukset:"
"dota_leaver_consequence_LetDownTeammates"	"Jätät tiimikaverisi huonoon asemaan."
"dota_leaver_consequence_SmallMatchmakingCooldown"	"Et voi hakea uutta peliä vähään aikaan."
"dota_leaver_consequence_CreditWithAbandon"	"Sinulle merkitään pelin hylkääminen."
"dota_leaver_consequence_ForcedLossForLeaver"	"Sinulle merkitään pelin häviäminen."
"dota_leaver_consequence_ForcedLossForLeaversParty"	"Ryhmäsi jokaiselle jäsenelle merkitään pelin häviäminen."
"dota_leaver_consequence_ForcedLossForLeaversTeam"	"Joukkueellesi, %s1, merkitään tappio."
"dota_leaver_consequence_MMRLossForLeaver"	"Ranking-pistemääräsi (MMR) laskee."
"dota_leaver_consequence_MMRLossForLeaversParty"	"Ryhmäsi jokaisen jäsenen ranking-pistemäärä (MMR) laskee."
"dota_leaver_consequence_MMRLossForLeaversTeam"	"Joukkueesi, %s1, ranking-pisteet laskevat."
"dota_leaver_consequence_MatchDiscardedForOtherPlayers"	"Peliä ei tilastoida muille pelaajille."
"dota_leaver_consequence_NotDecrementLowPriGamesRemaining"	"Sinun ei katsota pelanneen tätä peliä loppuun."
"dota_matchmaking_region_offline"	"Huoltokatko"
"DOTA_VAC_Verification_Header"	"Valven huijauksenesto (VAC)"
"DOTA_VAC_Verification_Header_Solo"	"Pelinhakuun ei voitu liittyä, sillä VAC-järjestelmän toiminta on estetty laitteellasi. Varmista, ettei käytössäsi ole VAC-järjestelmän toimintaa häiritseviä ohjelmia, ja että Steam on asennettu oikein."
"DOTA_VAC_Verification_Header_Party"	"Pelinhakuun ei voitu liittyä, sillä VAC-järjestelmän toiminta on estetty yhden tai useamman ryhmänjäsenen laitteella. Varmista, ettei heidän käytössään ole VAC-järjestelmän toimintaa häiritseviä ohjelmia, ja että he ovat asentaneet Steamin oikein."
"DOTA_VAC_Verification_Button1"	"Lisätietoja"
"DOTA_VAC_Verification_Button2"	"Sulje"
"dota_play_no_language_selected"	"VALITSE KIELI"
"dota_ready_fail"	"VALMISTAUTUMINEN EPÄONNISTUI"
"dota_ready_fail_desc"	"Pelisi oli valmiina, mutta et vastannut ja sinut poistettiin pelihausta."
"dota_all_chat_label"	"[KAIKKI]"
"dota_chatwheel_label_Ok"	"Selvä"
"dota_chatwheel_label_Care"	"Varo"
"dota_chatwheel_label_GetBack"	"Perääntykää"
"dota_chatwheel_label_NeedWards"	"Wardiapu"
"dota_chatwheel_label_Stun"	"Tainnutus"
"dota_chatwheel_label_Help"	"Apua"
"dota_chatwheel_label_Push"	"Rynnäkkö"
"dota_chatwheel_label_GoodJob"	"Hyvin tehty"
"dota_chatwheel_label_Missing"	"Puuttuu"
"dota_chatwheel_label_Missing_Top"	"Ylä puuttuu"
"dota_chatwheel_label_Missing_Mid"	"Keski puuttuu"
"dota_chatwheel_label_Missing_Bottom"	"Ala puuttuu"
"dota_chatwheel_label_Go"	"Mene!"
"dota_chatwheel_label_Initiate"	"Aloita!"
"dota_chatwheel_label_Follow"	"Seuratkaa"
"dota_chatwheel_label_Group_Up"	"Kokoonnutaan"
"dota_chatwheel_label_Spread_Out"	"Hajaannutaan"
"dota_chatwheel_label_Split_Farm"	"Kerätään kultaa"
"dota_chatwheel_label_Attack"	"Hyökätään!"
"dota_chatwheel_label_BRB"	"Palaan pian"
"dota_chatwheel_label_Dive"	"Syöksy!"
"dota_chatwheel_label_OMW"	"Tulossa"
"dota_chatwheel_label_Get_Ready"	"Valmiina"
"dota_chatwheel_label_Bait"	"Ansa"
"dota_chatwheel_label_Heal"	"Paranna"
"dota_chatwheel_label_Mana"	"Mana"
"dota_chatwheel_label_OOM"	"Mana loppu"
"dota_chatwheel_label_Skill_Cooldown"	"Latausaika"
"dota_chatwheel_label_Ulti_Ready"	"Ulti valmis"
"dota_chatwheel_label_Enemy_Returned"	"Palasi"
"dota_chatwheel_label_All_Missing"	"Kaikki puuttuu"
"dota_chatwheel_label_Enemy_Incoming"	"Vihollinen!"
"dota_chatwheel_label_Invis_Enemy"	"Näkymätön vihu"
"dota_chatwheel_label_Enemy_Had_Rune"	"Saivat riimun"
"dota_chatwheel_label_Split_Push"	"Hajaannutaan"
"dota_chatwheel_label_Coming_To_Gank"	"Tulen väijyttämään"
"dota_chatwheel_label_Request_Gank"	"Väijyttäkää"
"dota_chatwheel_label_Fight_Under_Tower"	"Tornin alla"
"dota_chatwheel_label_Deny_Tower"	"Evää torni"
"dota_chatwheel_label_Buy_Courier"	"Osta kuriiri"
"dota_chatwheel_label_Upgrade_Courier"	"Päivitä kuriiri"
"dota_chatwheel_label_Need_Detection"	"Tarvitsemme paljastimia"
"dota_chatwheel_label_They_Have_Detection"	"Vihollinen näkee"
"dota_chatwheel_label_Buy_TP"	"Osta TP"
"dota_chatwheel_label_Reuse_Courier"	"Käytä kuriiria"
"dota_chatwheel_label_Deward"	"Poista wardit"
"dota_chatwheel_label_Building_Mek"	"Teen Mekansmin"
"dota_chatwheel_label_Building_Pipe"	"Teen Pipen"
"dota_chatwheel_label_Stack_And_Pull"	"Kasaa ja vedä"
"dota_chatwheel_label_Pull"	"Vedä"
"dota_chatwheel_label_Pulling"	"Vedän kätyreitä"
"dota_chatwheel_label_Stack"	"Kasaa"
"dota_chatwheel_label_Jungling"	"Metsästän"
"dota_chatwheel_label_Roshan"	"Roshan"
"dota_chatwheel_label_Affirmative"	"Selvä"
"dota_chatwheel_label_Wait"	"Odottakaa"
"dota_chatwheel_label_Pause"	"Pysäytys"
