"dota"
{
"DOTA_Accept"	"Akceptuj"
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"Zespół"
"DOTA_ChatCommand_Party_Description"	"Czatuj ze swoim zespołem."
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"Poczekalnia"
"DOTA_ChatCommand_Lobby_Description"	"Czatuj z osobami ze swojej obecnej poczekalni."
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"Kanał"
"DOTA_ChatCommand_Channel_Description"	"Czatuj z osobami z konkretnego kanału."
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Whisper_Name"	"Szeptanie"
"DOTA_ChatCommand_Whisper_Description"	"Zaszepcz prywatnie do znajomego."
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"Odpowiedz"
"DOTA_ChatCommand_Reply_Description"	"Odpowiedz na szeptanie wysłane prywatnie przez znajomego."
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"Pomoc"
"DOTA_ChatCommand_Help_Description"	"Pokaż pomoc, by uzyskać komendy czatu."
"DOTA_ChatCommand_InviteToParty"	"partyinvite"
"DOTA_ChatCommand_InviteToParty_Name"	"Zaproś do zespołu"
"DOTA_ChatCommand_InviteToParty_Description"	"Zaproś znajomego, żeby dołączył do twojej obecnej drużyny."
"DOTA_ChatCommand_LeaveParty"	"leaveparty"
"DOTA_ChatCommand_LeaveParty_Name"	"Opuść zespół"
"DOTA_ChatCommand_LeaveParty_Description"	"Opuść swój obecny zespół."
"DOTA_ChatCommand_JoinChannel"	"joinchannel"
"DOTA_ChatCommand_JoinChannel_Name"	"Dołącz do kanału"
"DOTA_ChatCommand_JoinChannel_Description"	"Dołącz lub stwórz kanał czatu."
"DOTA_ChatCommand_LeaveChannel"	"leavechannel"
"DOTA_ChatCommand_LeaveChannel_Name"	"Opuść kanał"
"DOTA_ChatCommand_LeaveChannel_Description"	"Opuść określony kanał czatu."
"DOTA_ChatCommand_GameAll"	"all"
"DOTA_ChatCommand_GameAll_Name"	"Wszyscy"
"DOTA_ChatCommand_GameAll_Description"	"Czatuj ze wszystkimi graczami w grze."
"DOTA_ChatCommand_GameAllies"	"allies"
"DOTA_ChatCommand_GameAllies_Name"	"Sojusznicy"
"DOTA_ChatCommand_GameAllies_Description"	"Czatuj ze swoimi sojusznikami."
"DOTA_ChatCommand_GameCoaching"	"coach"
"DOTA_ChatCommand_GameCoaching_Name"	"Trenowanie"
"DOTA_ChatCommand_GameCoaching_Description"	"Czatuj ze swoim podopiecznym lub trenerem."
"DOTA_ChatCommand_GameSpectator"	"spectator"
"DOTA_ChatCommand_GameSpectator_Name"	"Widz"
"DOTA_ChatCommand_GameSpectator_Description"	"Czatuj z innymi widzami."
"DOTA_ChatCommand_Clear"	"clear"
"DOTA_ChatCommand_Clear_Name"	"Wyczyść"
"DOTA_ChatCommand_Clear_Description"	"Wyczyść widoczny czat w tej zakładce."
"DOTA_Chat_UnknownCommandMessage"	"Nieznana komenda czatu: {s:chat_command}"
"DOTA_ChatHelp_Targets"	"Cele"
"DOTA_ChatHelp_Commands"	"Komendy"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_JoinedParty"	"Dołączasz do zespołu: {s:party_members}"
"DOTA_Chat_LeftParty"	"Rozwiązano zespół."
"DOTA_Chat_MemberJoinedParty"	"Gracz dołączył do zespołu: {s:party_members}"
"DOTA_Chat_MemberLeftParty"	"Gracz opuścił zespół: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"Zaproszono: {s:party_members}"
"DOTA_Chat_RequestedToJoinParty"	"Gracz {s:party_members} prosi o dołączenie do zespołu"
"DOTA_Chat_PartyMemberSeparator"	", "
"DOTA_Feature_Under_Construction_Title"	"W budowie"
"DOTA_Feature_Under_Construction_Text"	"Ta funkcjonalność nie jest jeszcze dostępna."
"DOTA_Treasure_Purchase_Under_Construction_Text"	"Kupowanie skarbów nie jest jeszcze dostępne, ale zakupy ze sklepu Dota tak. Sprawdź zestawy przedmiotów po lewej stronie listy dostępnych zestawów przedmiotów."
"DOTA_Marketplace_Purchase_Under_Construction_Text"	"Kupowanie na Rynku nie jest jeszcze dostępne, ale zakupy ze sklepu Dota tak. Sprawdź zestawy przedmiotów po lewej stronie listy dostępnych zestawów przedmiotów."
"DOTA_PartyJoinRequest_Title"	"Prośba o dołączenie do zespołu"
"DOTA_PartyJoinRequest_Description"	"{g:dota_persona:b:inviter} chce dołączyć do twojego zespołu."
"DOTA_PartyMergeRequest_Title"	"Prośba o połączenie zespołów."
"DOTA_PartyMergeRequest_Description"	"{g:dota_persona:b:inviter} chce połączyć wasze zespoły."
"DOTA_PartyMergeRequestLowPriWarning"	"Uwaga: zaakceptowanie tej prośby przeniesie wasz zespół do kolejki o niskim priorytecie."
"DOTA_PartyInvite_Title"	"Zaproszenie do zespołu"
"DOTA_Invite_IOfN"	"{d:received_invite_index} z {d:received_invite_count}"
"DOTA_PartyInvite_Description"	"{g:dota_persona:b:inviter} zaprasza cię do zespołu."
"DOTA_PartyInvite_LowPriority_Title"	"Zaproszenie do zespołu (niski priorytet)"
"DOTA_PartyInvite_LowPriority_Description"	"{g:dota_persona:b:inviter} zaprasza cię do zespołu o niskim priorytecie."
"DOTA_PartyInvite_BlockPartyLeader"	"Zablokuj komunikację z graczem {g:dota_persona:b:inviter}"
"DOTA_LobbyInvite_BlockInviter"	"Zablokuj komunikację z tym graczem"
"DOTA_PartyInvite_BlockNonFriendInvites"	"Blokuj zaproszenia od graczy spoza listy znajomych"
"DOTA_PartyInvite_BlockNonFriendInvitesDescription"	"Można przełączyć w panelu Ustawienia w Opcje/Profil"
"DOTA_PartyInvite_Expired"	"Ta prośba została anulowana lub straciła ważność."
"DOTA_PartyInvite_Coach"	"Trener:"
"DOTA_PartyVisTooltip_TitleOpen"	"Szukam członków zespołu"
"DOTA_PartyVisTooltip_TitleNotOpen"	"Nie szukam członków zespołu"
"DOTA_PartyVisTooltip_SoloNotOpen"	"Kliknij, by zmienić status."
"DOTA_PartyVisTooltip_SoloOpen"	"Znajomi mogą wysyłać prośby o dołączenie.<br/>Kliknij, by zmienić status."
"DOTA_PartyVisTooltip_LeaderOpen"	"Prośby znajomych członków zespołu o dołączenie są akceptowane automatycznie.<br/>Kliknij, by wyłączyć status Otwartego zespołu."
"DOTA_PartyVisTooltip_LeaderOpenManualAccept"	"Znajomi członków zespołu mogą poprosić o dołączenie.<br/>Kliknij, by wyłączyć status Otwartego zespołu."
"DOTA_PartyVisTooltip_LeaderNotOpen"	"Znajomi członków zespołu mogą poprosić o dołączenie.<br/>Kliknij, by włączyć status Otwartego zespołu, zwiększając jego widoczność znajomym."
"DOTA_PartyVisTooltip_NotOpenHidden"	"Ukrywasz członkostwo w tym zespole przed swoimi znajomymi zgodnie z ustawieniami prywatności<br/>Uwaga: inni członkowie zespołu mogą zezwolić swoim znajomym na widzenie stanu zespołu oraz wysłanie prośby o dołączenie."
"DOTA_PartyVisTooltip_NonLeaderOpen"	"Prośby o dołączenie od znajomych.<br/>Kliknij, by wyłączyć status Otwartego zespołu."
"DOTA_PartyVisTooltip_NonLeaderNotOpen"	"Znajomi członków zespołu mogą poprosić o dołączenie.<br/>Tylko przywódca zespołu może akceptować prośby o dołączenie.<br/>Kliknij, by włączyć status Otwartego zespołu, zwiększając jego widoczność znajomym."
"DOTA_TogglePartyOpenMic_Tooltip"	"Przełącz otwarty mikrofon zespołu"
"DOTA_PartySettings"	"Ustawienia zespołu"
"DOTA_PartySettings_OpenParty"	"Zezwól na otrzymywanie próśb o dołączenie do zespołu"
"DOTA_PartySettings_BroadcastToFriends"	"Pokazuj znajomym, że jestem w zespole"
"DOTA_PartySettings_OpenState_NotOpen"	"Przywódca zespołu nie zezwolił temu zespołowi na otrzymywanie próśb o dołączenie."
"DOTA_PartySettings_OpenState_NotOpenLeader"	"Ten zespół nie ma zezwolenia na otrzymywanie próśb o dołączenie."
"DOTA_PartySettings_OpenState_OpenButHiddenFromFriends"	"Ten zespół ma zezwolenie na otrzymywanie próśb o dołączenie. Nie rozgłaszasz tego zespołu wśród znajomych, ale znajomi członków zespołu mogą go widzieć."
"DOTA_PartySettings_OpenState_Open"	"Ten zespół ma zezwolenie na otrzymywanie próśb o dołączenie i jest widoczny dla twoich znajomych. Znajomi członków zespołu mogą go widzieć."
"DOTA_LobbyInvite_Title"	"Zaproszenie do poczekalni"
"DOTA_LobbyInvite_Description"	"{g:dota_persona:inviter} zaprasza cię do poczekalni."
"DOTA_PartyJoinedLobby_Title"	"Dołączasz do poczekalni"
"DOTA_PartyJoinedLobby_Generic"	"{s:party_leader} przenosi cię do poczekalni."
"DOTA_PartyJoinedLobby_Custom"	"{s:party_leader} przenosi cię do poczekalni trybu {s:custom_game}."
"DOTA_PartyLeader"	"Przywódca zespołu"
"DOTA_LobbyKicked_Header"	"Wyrzucono z poczekalni"
"DOTA_LobbyKicked_Message"	"Wyrzucono cię z poczekalni przez jej zarządcę."
"DOTA_PlayerContextMenu_ViewProfile"	"Zobacz profil"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"Wyślij wiadomość"
"DOTA_PlayerContextMenu_InviteToParty"	"Zaproś do zepołu"
"DOTA_PlayerContextMenu_SuggestInviteToParty"	"Zasugeruj zaproszenie do zespołu"
"DOTA_PlayerContextMenu_KickFromParty"	"Wyrzuć z zespołu"
"DOTA_PlayerContextMenu_SetPartyLeader"	"Ustaw przywódcę zespołu"
"DOTA_PlayerContextMenu_LeaveParty"	"Wyjdź z zespołu"
"DOTA_PlayerContextMenu_CoachParty"	"Trenuj ten zespół"
"DOTA_PlayerContextMenu_StopCoachingParty"	"Przestań trenować ten zespół"
"DOTA_PlayerContextMenu_AddFriend"	"Dodaj znajomego"
"DOTA_PlayerContextMenu_RemoveFriend"	"Usuń znajomego"
"DOTA_PlayerContextMenu_AcceptFriendRequest"	"Zaakceptuj zaproszenie do znajomych"
"DOTA_PlayerContextMenu_IgnoreFriendRequest"	"Zignoruj zaproszenie do znajomych"
"DOTA_PlayerContextMenu_Spectate"	"Oglądaj grę"
"DOTA_PlayerContextMenu_InviteToLobby"	"Zaproś do poczekalni"
"DOTA_PlayerContextMenu_SuggestInviteToLobby"	"Zasugeruj zaproszenie do poczekalni"
"DOTA_PlayerContextMenu_KickFromLobby"	"Wyrzuć z poczekalni"
"DOTA_PlayerContextMenu_KickFromLobbyTeam"	"Wyrzuć z drużyny poczekalni"
"DOTA_FeaturedHero_UnableToLoad"	"Nie można załadować wyróżnionych bohaterów."
"DOTA_FeaturedHero_ViewGrid"	"Pokaż siatkę"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_FeaturedHeroReason_NewHero"	"Nowo wydany bohater"
"DOTA_FeaturedHeroReason_NewItem"	"Nowy {s:item_rarity}"
"DOTA_FeaturedHeroReason_FrequentlyPlayedHero"	"Ponieważ niedawno grano"
"DOTA_FeaturedHeroReason_FeaturedItem"	"Polecany przedmiot"
"DOTA_FeaturedHeroReason_PopularItem"	"Bestseller"
"DOTA_FeaturedHeroReason_SaleItem"	"Na wyprzedaży"
"DOTA_NewFeaturedHero_WinterWyvern"	"Prasmok przybywa, niosąc ze sobą chłodny wiatr."
"DOTA_HeroSelectorCategory_Default"	"Wszyscy"
"DOTA_HeroSelectorCategory_NewItems"	"Nowe przedmioty"
"DOTA_HeroSelectorCategory_Favorites"	"Ulubieni"
"DOTA_HeroSelectorCategory_MostPlayed"	"Najczęściej grani"
"DOTA_HeroSelectorCategory_LeastPlayed"	"Najrzadziej grani"
"DOTA_HeroSelectorCategory_HaveItems"	"Dla których mam przedmioty"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Siła"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Zręczność"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Inteligencja"
"DOTA_HeroSelectorCategory_AttackRange_Melee"	"Wręcz"
"DOTA_HeroSelectorCategory_AttackRange_Ranged"	"Dystans"
"DOTA_HeroSelector_SelectHero_Label"	"Wybierz"
"DOTA_HeroSelector_ClearFilters"	"Wyczyść filtry"
"DOTA_OwnedItemSet_Selector_Title"	"Posiadany"
"DOTA_EquippedItemSet_Selector_Title"	"Założony"
"DOTA_OwnedItemSet_Available_Title"	"Dostępny"
"DOTA_FeaturedItemSet_Selector_Title"	"Wyróżniony"
"DOTA_AllItemSet_Selector_Title"	"Wszyscy"
"DOTA_ConfirmLANLobby_title"	"LOKALNA POCZEKALNIA"
"DOTA_ConfirmLANLobby_desc"	"Lokalna gra jest hostowana na twoim komputerze. Wymagania systemowe są wyższe, gdy hostujesz grę lokalną."
"DOTA_ConfirmLANLobbyDisconnect_title"	"Wyjść z lokalnej poczekalni?"
"DOTA_ConfirmLANLobbyDisconnect_desc"	"Ta gra jest hostowana na twoim sprzęcie, a rozłączenie sprawi, że wszyscy gracze się rozłączą. Kontynuować?"
"DOTA_ConfirmLANLobbyDisconnect_ok"	"Tak, rozłącz"
"DOTA_Lobby_Settings_General"	"OGÓLNE USTAWIENIA POCZEKALNI"
"DOTA_Lobby_Settings_Required"	"WYMAGANE"
"DOTA_Lobby_Settings_Confirm"	"{s:lobby_confirm_label}"
"DOTA_Lobby_Settings_Game_Mode"	"TRYB GRY"
"DOTA_Lobby_Settings_Region"	"LOKALIZACJA SERWERA"
"DOTA_Lobby_Settings_Password"	"HASŁO POCZEKALNI"
"DOTA_Lobby_Settings_Game_Name"	"NAZWA GRY"
"DOTA_Lobby_Settings_Advanced"	"ZAAWANSOWANE USTAWIENIA POCZEKALNI"
"DOTA_Lobby_Settings_Competitive"	"TURNIEJOWY"
"DOTA_Lobby_Settings_Starting_Team"	"DRUŻYNA ZACZYNAJĄCA"
"DOTA_Lobby_Settings_Starting_Team_Random"	"LOSOWO"
"DOTA_Lobby_Settings_Starting_Team_Radiant"	"ŚWIETLIŚCI"
"DOTA_Lobby_Settings_Starting_Team_Dire"	"MROCZNI"
"DOTA_Lobby_Settings_Penalty_Radiant"	"KARA - ŚWIETLIŚCI"
"DOTA_Lobby_Settings_Penalty_Dire"	"KARA - MROCZNI"
"DOTA_Lobby_Settings_Penalty_Level_0"	"Brak kar"
"DOTA_Lobby_Settings_Penalty_Level_1"	"-30 s Fazy banów"
"DOTA_Lobby_Settings_Penalty_Level_2"	"-70 s Fazy banów"
"DOTA_Lobby_Settings_Penalty_Level_3"	"-110 s Fazy banów"
"DOTA_Lobby_Settings_Penalty_Tooltip"	"W trybie Captain's Mode redukuje to czas Fazy banów dla tej drużyny."
"DOTA_Lobby_Settings_Series_Type"	"TYP SERII"
"DOTA_Lobby_Settings_No_Series"	"BRAK SERII"
"DOTA_Lobby_Settings_Series_Best_of_3"	"DO 2 ZWYCIĘSTW"
"DOTA_Lobby_Settings_Series_Best_of_5"	"NAJLEPSZY Z 5"
"DOTA_Lobby_Settings_Gameplay_Rules"	"ZASADY GRY"
"DOTA_Lobby_Settings_Enable_Cheats"	"WŁĄCZ OSZUSTWA"
"DOTA_Lobby_Settings_All_Chat"	"CZAT OGÓLNY"
"DOTA_Lobby_Settings_Fill_Bots"	"ZAPEŁNIJ PUSTE MIEJSCA BOTAMI"
"DOTA_Lobby_Settings_Bot_Difficulty"	"TRUDNOŚĆ BOTÓW"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"PASYWNE"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"ŁATWE"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"ŚREDNIE"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"TRUDNE"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"NIEUCZCIWE"
"DOTA_Lobby_Settings_Version"	"WERSJA"
"DOTA_Lobby_Settings_Version_Latest"	"NAJNOWSZA"
"DOTA_Lobby_Settings_Version_Tournament"	"TURNIEJOWA"
"DOTA_Lobby_Settings_Spectator_Section"	"WIDZ"
"DOTA_Lobby_Settings_Dota_TV_Delay"	"OPÓŹNIENIE DOTA TV"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 minuty"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 minut"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 sekund"
"DOTA_Lobby_Settings_Spectators"	"WIDZOWIE"
"DOTA_Lobby_Settings_Spectators_Enabled"	"WŁĄCZENI"
"DOTA_Lobby_Settings_Spectators_Disabled"	"WYŁĄCZENI"
"dota_lobby_settings_hide_password"	"Ukryj hasło"
"dota_lobby_settings_local_host"	"Host lokalny"
"DOTA_Lobby_Settings_Visibility"	"Widoczność poczekalni"
"DOTA_Lobby_Settings_Visibility_Public"	"Publiczna"
"DOTA_Lobby_Settings_Visibility_Friends"	"Znajomi"
"DOTA_Lobby_Settings_Visibility_Unlisted"	"Ukryta"
"DOTA_Lobby_Settings_Visibility_Tooltip"	"Kontroluje widoczność poczekalni. Publiczne poczekalnie są widoczne w wyszukiwarce poczekalni i na liście znajomych. Poczekalnie znajomych są widoczne tylko dla znajomych, ale można zaprosić innych graczy. Ukryte poczekalnie nie są nigdzie widoczne."
"DOTA_TeamUnsetHeader"	"Drużyna niewybrana"
"DOTA_TeamUnsetMessage"	"Przynajmniej jedna z drużyn nie ma nazwy lub logo zespołu. Rozpocząć mecz mimo to?"
"DOTA_LeagueUnsetHeader"	"Liga niewybrana"
"DOTA_LeagueUnsetMessage"	"Nie ustawiono żadnej ligi dla tej poczekalni, ale jesteś w stanie to zrobić. Czy na pewno chcesz rozpocząć mecz?"
"DOTA_LobbyAllowSpectatingHeader"	"Nie można rozpocząć gry z poczekalni"
"DOTA_LobbyAllowSpectatingMessage"	"Póki są widzowie w poczekalni, oglądanie gry musi być dla nich włączone. Włącz oglądanie w panelu Ustawienia."
"dota_radiant"	"Świetliści"
"dota_dire"	"Mroczni"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"Brak drużyny"
"dota_lobby_broadcast_default_channel_name"	"Nazwa kanału"
"dota_lobby_broadcast_join"	"Dołącz"
"dota_lobby_broadcast_leave"	"Wyjdź"
"dota_lobby_broadcast_create"	"Stwórz nowy kanał"
"dota_lobby_broadcast_no_channels"	"Nie stworzono kanałów komentatorskich"
"dota_popup_broadcast_channel_edit_title"	"Dostosuj kanał komentatorski"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_channel_name"	"Nazwa kanału"
"dota_popup_broadcast_channel_edit_country"	"Kraj"
"dota_popup_broadcast_channel_edit_language"	"Język"
"dota_popup_broadcast_channel_edit_save"	"Zapisz ustawienia jako domyślne i zastosuj do pustych kanałów po dołączeniu"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Inny język"
"lobby_slot_error_header"	"Nie można zmienić slotu"
"generic_gc_timeout"	"Pakiet przekroczył limit czasu."
"lobby_slot_success_header"	"Sukces"
"lobby_slot_denied"	"Nie masz uprawnień do dołączenia do tego slotu."
"lobby_slot_cameramanalready"	"Kanały komentatorskie mogą mieć tylko po jednym kamerzyście"
"lobby_slot_cameramanon"	"Oznaczono cię jako kamerzystę"
"lobby_slot_cameramanoff"	"Nie jesteś już kamerzystą"
"lobby_slot_error"	"Nie udało się zmienić slotu w poczekalni."
"lobby_create_timeout"	"Nie udało się utworzyć poczekalni."
"find_match_error"	"Nie można obecnie wejść do kolejki wyszukiwania gier."
"DOTA_DialogVariableTest1"	"Proste: {s:var}"
"DOTA_DialogVariableTest2"	"Wartość pieniężna: {m:money}"
"DOTA_DialogVariableTest3"	"Odnośnik do przedmiotu: {g:dota_item_link:item_def}"
"DOTA_DialogVariableTest4"	"Cena przedmiotu: {g:dota_item_price:item_def}"
"DOTA_DialogVariableTest5"	"Imię wg ID konta: {g:dota_persona:account_id}, imię zawodowca: {g:dota_persona:pro:account_id}"
"DOTA_DialogVariableTest6"	"Prosty ze span: <span class=\"TextSpan\">{s:var}</span>"
"LobbySetting_GameMode"	"Tryb gry"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Boty"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Hasło"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Serwer"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Oszustwa"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Widzowie"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Widoczność"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Lokalny serwer"
"dota_lobby_coaches_none"	"Trenerzy: Brak"
"dota_lobby_coaches"	"Trenerzy:"
"DOTA_Custom_Game"	"Niestandardowa gra"
"DOTA_Custom_Game_Info"	"Informacje"
"DOTA_Custom_Game_View_Details"	"Zobacz szczegóły gry"
"DOTA_Custom_Game_Author"	"autorstwa {g:dota_persona:author}"
"DOTA_Custom_Game_Lobby_Count"	"Poczekalnie: {d:lobby_count}"
"DOTA_Custom_Game_Lobby_Count_Plural"	"Poczekalnie: {d:lobby_count}"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"Znajomi w otwartych poczekalniach gry: {d:friend_count}"
"DOTA_Custom_Game_Friend_Lobbies_Alert_Plural"	"Znajomi w otwartych poczekalniach gry: {d:friend_count}"
"DOTA_Custom_Game_Quick_Join"	"Szybkie dołączenie"
"DOTA_Custom_Game_View_Lobbies"	"Zobacz poczekalnie"
"DOTA_Custom_Game_Find_Lobby"	"Znajdź poczekalnię"
"DOTA_Custom_Game_Create_Lobby"	"Stwórz poczekalnię"
"DOTA_Custom_Game_Game_Page"	"Strona gry"
"DOTA_Custom_Game_Workshop_Page"	"Strona Warsztatu"
"DOTA_Custom_Game_Download_Queued"	"Pobieranie w kolejce"
"DOTA_Custom_Game_Downloading"	"Pobieranie..."
"DOTA_Custom_Game_Downloading_Percent"	"Pobieranie - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Wymaga aktualizacji"
"DOTA_Custom_Game_Play"	"Graj w {s:game_mode_name}"
"DOTA_Custom_Game_Uninstall"	"Odinstaluj"
"DOTA_Custom_Game_Install"	"Zainstaluj"
"DOTA_Custom_Game_Installed"	"Zainstalowane"
"DOTA_Custom_Game_Not_Installed"	"Niezainstalowane"
"DOTA_Custom_Game_Connect"	"Dołącz do poczekalni"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"Wydano {s:release_date}</b> przez: <b>{g:dota_persona:author}</b>"
"DOTA_Custom_Game_Subscription"	"Subskrypcje: {s:subscriptions_count}"
"DOTA_Custom_Game_Subscriptions"	"Subskrypcje: {s:subscriptions_count}"
"DOTA_Custom_Game_Rating"	"Ocena"
"DOTA_Custom_Game_Release_Date"	"Wydano"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} teraz gra"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Ostatnia aktualizacja: {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Zrzuty ekranu"
"DOTA_Custom_Game_Map_Label"	"Mapa"
"DOTA_Custom_Game_Map_Any"	"Dowolna"
"DOTA_Custom_Game_Update"	"Aktualizuj"
"DOTA_Custom_Game_Spectate"	"Oglądaj"
"DOTA_Custom_Game_Already_In_Lobby"	"Zakończ swoją obecną grę, by rozpocząć ten tryb gry."
"DOTA_Custom_Game_Friends_Playing"	"znajomych w niestandardowych grach"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} w otwartych poczekalniach"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} znajomych w niestandardowych grach"
"DOTA_Custom_Games_Friends_Play"	"Niestandardowe gry, w które grają twoi znajomi"
"DOTA_Custom_Game_Invite_Friend"	"Zaproś znajomego"
"DOTA_Custom_Game_Tooltip_Subscribers"	"Subskrypcje: {d:subscriber_count}"
"DOTA_Custom_Game_Tooltip_Subscriber"	"Subskrypcje: {d:subscriber_count}"
"DOTA_Custom_Game_Most_Popular"	"Najpopularniejsze"
"DOTA_Custom_Game_Installed_Games"	"Zainstalowane gry"
"DOTA_Custom_Game_Favorite_Games"	"Pokazuj tylko ulubione"
"DOTA_Custom_Game_Add_Favorite"	"Ulubiona"
"DOTA_Custom_Game_VotePrompt"	"Czy powinniśmy pomóc ludziom dowiedzieć się o tej grze?"
"DOTA_Custom_Game_DetailsPrompt"	"Odwiedź stronę szczegółów gry, by ją zainstalować, grać i dowiedzieć się więcej."
"DOTA_Custom_Game_Vote_Box_Title"	"Głosowanie Warsztatu"
"DOTA_Custom_Game_Vote_Box_Desc"	"Pomóż nieodkrytym grom zdobyć popularność w społeczności."
"DOTA_Custom_Game_Vote_Start"	"Rozpocznij głosowanie"
"DOTA_Custom_Game_VoteThanks"	"Dziękujemy za głosowanie!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Poprz. gra"
"DOTA_Custom_Game_Vote_NextLabel"	"Nast. gra"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Głosowanie Warsztatu"
"DOTA_Custom_Game_Vote_YesLabel"	"Tak, wypromuj ją!"
"DOTA_Custom_Game_Vote_NoLabel"	"Nie, wymaga pracy."
"DOTA_Custom_Game_Vote_SkipLabel"	"Pomiń tę grę, nie mam nic do powiedzenia."
"DOTA_Custom_Game_Vote_Up"	"Dobra gra"
"DOTA_Custom_Game_Vote_Down"	"Wymaga pracy"
"Video_Support_Coming_Soon"	"Wsparcie wideo już wkrótce"
"DOTA_Custom_Game_Leave_Lobby"	"Wyjdź z tej poczekalni"
"DOTA_Custom_Game_Suggested_Title"	"Proponowane gry"
"DOTA_Custom_Game_Suggested_Info"	"Ta lista zawiera popularne gry i gry z pozytywnymi głosami.<br><br>Lista zmienia się co 30 minut i cała społeczność widzi te same 15 gier w danym czasie."
"DOTA_Custom_Game_Addon_Restricted"	"Nie można wykonać tej operacji podczas działania w ograniczonym trybie dodatków narzędzi."
"DOTA_Custom_Game_Search"	"Szukaj niestandardowych gier"
"DOTA_Custom_Lobby_Create_Button"	"Stwórz niestandardową poczekalnię"
"DOTA_Custom_Lobby_Settings_Title"	"Stwórz poczekalnię"
"DOTA_Custom_Lobby_Settings_Mode"	"Tryb gry"
"DOTA_Custom_Lobby_Settings_Map"	"Mapa"
"DOTA_Custom_Lobby_LobbyName"	"Opcjonalny opis"
"DOTA_Custom_Lobby_List_Desc"	"Lista prywatnych poczekalni (zabezpieczonych hasłem) i niefiltrowanych aktywnych niestandardowych gier"
"DOTA_Custom_Lobby_Public"	"Publiczna"
"DOTA_Custom_Lobby_Passworded"	"Gracze mogą dołączać do tej poczekalni poprzez zaproszenia lub filtrowanie list poczekalni hasłem."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Dołączenie nieudane"
