"dota"
{
"DOTA_Accept"	"承諾"
"DOTA_ChatCommand_Clear_Name"	"クリア"
"DOTA_ChatCommand_Clear_Description"	"このタブ内の全チャットをクリアする。"
"DOTA_Chat_UnknownCommandMessage"	"不明なチャットコマンド '{s:chat_command}'"
"DOTA_ChatHelp_Targets"	"対象"
"DOTA_ChatHelp_Commands"	"コマンド"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_JoinedParty"	"パーティに参加: {s:party_members}"
"DOTA_Chat_LeftParty"	"パーティが解散しました。"
"DOTA_Chat_MemberJoinedParty"	"プレイヤーがパーティに参加: {s:party_members}"
"DOTA_Chat_MemberLeftParty"	"プレイヤーがパーティから退出: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"招待: {s:party_members}"
"DOTA_PartyInvite_Description"	"{g:dota_persona:b:inviter} があなたをパーティに招待しました。"
"DOTA_PartyInvite_BlockNonFriendInvitesDescription"	"設定パネルのオプション/プロフィールから設定できます"
"DOTA_PlayerContextMenu_ViewProfile"	"プロフィールを表示"
"DOTA_PlayerContextMenu_InviteToParty"	"パーティーに招待"
"DOTA_PlayerContextMenu_RemoveFriend"	"フレンドを削除"
"DOTA_PlayerContextMenu_InviteToLobby"	"ロビーに招待"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Strength"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Agility"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Intelligence"
"DOTA_HeroSelectorCategory_AttackRange_Melee"	"近距離"
"DOTA_HeroSelectorCategory_AttackRange_Ranged"	"遠距離"
"DOTA_HeroSelector_SelectHero_Label"	"ピック"
"DOTA_HeroSelector_ClearFilters"	"フィルタをクリア"
"DOTA_OwnedItemSet_Available_Title"	"入手可能"
"DOTA_FeaturedItemSet_Selector_Title"	"一押し"
"DOTA_AllItemSet_Selector_Title"	"全て"
"DOTA_Lobby_Settings_Required"	"必須"
"DOTA_Lobby_Settings_Confirm"	"{s:lobby_confirm_label}"
"DOTA_Lobby_Settings_Game_Mode"	"ゲームモード"
"DOTA_Lobby_Settings_Region"	"サーバーの位置"
"DOTA_Lobby_Settings_Password"	"ロビーパスワード"
"DOTA_Lobby_Settings_Game_Name"	"ゲーム名"
"DOTA_Lobby_Settings_Advanced"	"上級者向けロビー設定"
"DOTA_Lobby_Settings_Competitive"	"対戦"
"DOTA_Lobby_Settings_Starting_Team"	"開始チーム"
"DOTA_Lobby_Settings_Starting_Team_Random"	"ランダム"
"DOTA_Lobby_Settings_Starting_Team_Radiant"	"RADIANT"
"DOTA_Lobby_Settings_Starting_Team_Dire"	"DIRE"
"DOTA_Lobby_Settings_Penalty_Radiant"	"ペナルティ - RADIANT"
"DOTA_Lobby_Settings_Penalty_Dire"	"ペナルティ - DIRE"
"DOTA_Lobby_Settings_Penalty_Level_0"	"ペナルティなし"
"DOTA_Lobby_Settings_Series_Best_of_3"	"3番勝負"
"DOTA_Lobby_Settings_Series_Best_of_5"	"5番勝負"
"DOTA_Lobby_Settings_Gameplay_Rules"	"ゲームプレイのルール"
"DOTA_Lobby_Settings_Enable_Cheats"	"チートを有効化"
"DOTA_Lobby_Settings_Bot_Difficulty"	"ボットの難易度"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"パッシブ"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"イージー"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"ミディアム"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"ハード"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"アンフェア"
"DOTA_Lobby_Settings_Version"	"バージョン"
"DOTA_Lobby_Settings_Version_Latest"	"最新"
"DOTA_Lobby_Settings_Version_Tournament"	"トーナメント"
"DOTA_Lobby_Settings_Spectator_Section"	"観戦者"
"DOTA_Lobby_Settings_Dota_TV_Delay"	"DOTA TV 遅延"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2分"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5分"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10秒"
"DOTA_Lobby_Settings_Spectators"	"観戦者"
"DOTA_Lobby_Settings_Spectators_Enabled"	"有効"
"DOTA_Lobby_Settings_Spectators_Disabled"	"無効"
"dota_lobby_settings_hide_password"	"パスワードを非表示"
"dota_lobby_settings_local_host"	"ローカルホスト"
"DOTA_Lobby_Settings_Visibility"	"ロビー公開度"
"DOTA_Lobby_Settings_Visibility_Public"	"公開"
"DOTA_Lobby_Settings_Visibility_Friends"	"フレンド"
"dota_radiant"	"The Radiant"
"dota_dire"	"The Dire"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"チームなし"
"dota_lobby_broadcast_default_channel_name"	"チャンネル名"
"dota_lobby_broadcast_join"	"参加"
"dota_lobby_broadcast_leave"	"退出"
"dota_lobby_broadcast_create"	"新しいチャンネルを作成"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_country"	"国"
"dota_popup_broadcast_channel_edit_language"	"言語"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"他の言語"
"lobby_slot_error_header"	"スロット変更ができません"
"generic_gc_timeout"	"メッセージがタイムアウトしました。"
"lobby_slot_success_header"	"成功"
"lobby_slot_denied"	"このスロットに参加できません。"
"DOTA_DialogVariableTest5"	"アカウント ID 名: {g:dota_persona:account_id}, プロネーム: {g:dota_persona:pro:account_id}"
"LobbySetting_GameMode"	"ゲームモード"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"ボット"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"パスワード"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"サーバー"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"チート"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"観戦者"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"公開設定"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"ローカルロビー"
"dota_lobby_coaches_none"	"コーチ: なし"
"dota_lobby_coaches"	"コーチ:"
"DOTA_Custom_Game"	"カスタムゲーム"
"DOTA_Custom_Game_Info"	"情報"
"DOTA_Custom_Game_View_Details"	"ゲーム詳細を表示"
"DOTA_Custom_Game_Author"	"{g:dota_persona:author}作成"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} ロビー"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} ロビー"
"DOTA_Custom_Game_View_Lobbies"	"ロビーを表示"
"DOTA_Custom_Game_Find_Lobby"	"ロビーを検索"
"DOTA_Custom_Game_Create_Lobby"	"ロビーを作成"
"DOTA_Custom_Game_Game_Page"	"ゲームページ"
"DOTA_Custom_Game_Downloading"	"ダウンロード中..."
"DOTA_Custom_Game_Downloading_Percent"	"ダウンロード中 - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"要アップデート"
"DOTA_Custom_Game_Play"	"{s:game_mode_name}をプレイ"
"DOTA_Custom_Game_Uninstall"	"アンインストール"
"DOTA_Custom_Game_Install"	"インストール"
"DOTA_Custom_Game_Installed"	"インストール済み"
"DOTA_Custom_Game_Not_Installed"	"インストールしていません"
"DOTA_Custom_Game_Connect"	"ロビーに参加"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"リリース日 {s:release_date}</b> <b>{g:dota_persona:author}</b>作"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} サブスクリプション"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} サブスクリプション"
"DOTA_Custom_Game_Rating"	"評価"
"DOTA_Custom_Game_Release_Date"	"リリース日"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} 人プレイ中"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"最終更新 {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"スクリーンショット"
"DOTA_Custom_Game_Map_Label"	"マップ"
"DOTA_Custom_Game_Map_Any"	"任意"
"DOTA_Custom_Game_Update"	"更新"
"DOTA_Custom_Game_Spectate"	"観戦"
"DOTA_Custom_Game_Already_In_Lobby"	"現在のゲームを終了してこのゲームモードを開始する。"
"DOTA_Custom_Game_Friends_Playing"	"カスタムゲームをプレイ中のフレンド"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} 人がオープンンロビー内"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} 人のフレンドがカスタムゲーム"
"DOTA_Custom_Games_Friends_Play"	"フレンドがプレイしているカスタムゲーム"
"DOTA_Custom_Game_Invite_Friend"	"フレンドを招待"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} サブスクリプション"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} サブスクリプション"
"DOTA_Custom_Game_Search"	"カスタムゲームを検索"
"DOTA_Custom_Lobby_Create_Button"	"カスタムロビーを作成"
"DOTA_Custom_Lobby_Settings_Mode"	"ゲームモード"
"DOTA_Custom_Lobby_Settings_Map"	"マップ"
"DOTA_Custom_Lobby_Public"	"公開"
"DOTA_Custom_Lobby_Passworded"	"招待を受けたプレイヤーか、パスワードでロビーリストをフィルタしたユーザーのみこのロビーに参加できます。"
"DOTA_Custom_Lobby_Join_Failed_Title"	"参加に失敗"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Join_Failed_Prompt"	"オープン {s:game_name} ロビーを検索しますか？"
"DOTA_Custom_Lobby_List_Game_Header"	"ゲーム"
"DOTA_Custom_Lobby_List_Name_Header"	"説明"
"DOTA_Custom_Lobby_List_Players_Header"	"プレイヤー"
"DOTA_Custom_Lobby_List_Map_Header"	"マップ"
"DOTA_Custom_Lobby_List_Region_Header"	"地域"
"DOTA_Custom_Lobby_List_Connection_Header"	"接続"
"DOTA_Custom_Lobby_List_Status_Header"	"ローカルステータス"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"マップ: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"プレイヤー: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"ロビー公開設定"
"DOTA_Custom_Join_Chat"	"チャットに参加"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"チャットを退出"
"DOTA_Page_Number"	"ページ: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"概要"
"DOTA_TabName_ModsSubscribed"	"ライブラリ"
"DOTA_TabName_ModsWorkshop"	"ワークショップ"
"DOTA_TabName_ModsBrowse"	"閲覧"
"DOTA_WatchTabName_Live"	"ライブ"
"DOTA_WatchTabName_Featured"	"一押し"
"DOTA_WatchTabName_Replays"	"リプレイ"
"DOTA_WatchTabName_Tournaments"	"トーナメント"
"DOTA_WatchTabName_Downloads"	"ダウンロード"
"DOTA_WatchLive_Search"	"ヒーローで検索して観戦"
"DOTA_WatchLive_DataPending"	"ライブゲームを検索中..."
"DOTA_WatchLive_DataError"	"ライブゲームロード中のエラー"
"DOTA_WatchLive_NoGames"	"プレイ中のライブゲームがありません"
"DOTA_WatchLive_Connecting"	"ゲームデータを待機中..."
"DOTA_WatchLive_HeroFilter"	"フィルタ: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} 観戦中"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} 人のフレンドと {i:num_spectating} 人の観戦者"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} 人のフレンドと {i:num_spectating} 人の観戦者"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} 人のフレンドがプレイ中"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} と {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2}, と {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3}, と {i:friend_count_over_3} など等..."
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"DotaTV で観戦"
"DOTA_WatchLivePurchase"	"トーナメントパスを入手 {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends1"	"{g:dota_persona:spectator_friend_1} 人観戦中"
"DOTA_WatchLiveSpectatorFriends2"	"{g:dota_persona:spectator_friend_1} と {g:dota_persona:spectator_friend_2} 人観戦中"
"DOTA_WatchLiveSpectatorFriends3"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, 更に {g:dota_persona:spectator_friend_3} 人観戦中"
"DOTA_WatchLiveSpectatorFriends4Plus"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3}, と {i:spectator_friend_count_over_3} 人のフレンドが観戦中"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} 人観戦中"
"DOTA_WatchLivePreGame"	"ゲーム前"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} 対 {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_MatchType_Public"	"マッチ {s:match_id} - {s:game_mode}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations3Plus"	"{g:dota_persona:friend_1} + {i:friend_count_over_1} 人以上のフレンド + {i:recommendations}"
"DOTA_WatchReplays_Views"	"{i:views} 回再生"
"DOTA_WatchReplays_SharedMatch"	"{g:dota_persona:shared_by} が共有 - '{s:shared_text}'"
"DOTA_WatchReplays_SharedHighlight"	"{g:dota_persona:shared_by} がハイライトを共有"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
"DOTA_WatchReplays_Tag"	"\"{s:recommendation_text}\""
"DOTA_WatchTournaments_FeaturedTitle"	"{s:tournament_featured_title}"
"DOTA_WatchTournaments_FeaturedDates"	"{s:tournament_featured_start} - {s:tournament_featured_end}"
"DOTA_WatchTournaments_FeaturedDescription"	"{s:tournament_featured_description}"
"DOTA_WatchTournaments_FeaturedTeams"	"チーム"
"DOTA_WatchTournaments_PrizePool"	"賞金プール:"
"DOTA_WatchTournaments_PrizePoolAmt"	"{s:tournament_featured_prize_pool}"
"DOTA_WatchTournaments_Purchase"	"トーナメントパス - {s:tournament_featured_price}"
"DOTA_WatchTournament_TournamentName"	"{s:tournament_name}"
"DOTA_WatchTournament_Price"	"{s:price}"
"DOTA_Watch_Pending"	"ゲーム観戦を待っています..."
"DOTA_Watch_GameServerNotFound"	"このゲームをホストしているゲームサーバーが見つかりません。"
"DOTA_Watch_Unavailable"	"現在このゲームの観戦はできません。"
"DOTA_Watch_LobbyNotFound"	"ロビーがありません。"
"vs"	"対"
"dota_matchmaking_language_title"	"マッチメイキング言語を選択"
"dota_matchmaking_language_primary_label"	"あなたの第一マッチメイキング言語は:"
"dota_matchmaking_language_primary"	"{s:environment_language}"
"dota_matchmaking_language_primary_invalid"	"あなたの言語, {s:environment_language}, は Dota 2内でマッチメイキング言語として使用できません。"
"dota_matchmaking_language_select_secondary"	"ご希望なら第二言語を選択できます:"
"dota_matchmaking_language_select_primary"	"マッチメイキング言語を選択してください:"
"dota_matchmaking_language_no_selection"	"選択なし"
"dota_matchmaking_language_english"	"英語"
"dota_matchmaking_language_russian"	"ロシア語"
"dota_matchmaking_language_chinese"	"中国語"
"dota_matchmaking_language_schinese"	"中国語"
"dota_matchmaking_language_korean"	"韓国語"
"dota_matchmaking_language_koreana"	"韓国語"
"dota_matchmaking_language_spanish"	"スペイン語"
"dota_matchmaking_language_portuguese"	"ポルトガル語"
"GameUI_Language_English"	"英語"
"GameUI_Language_German"	"ドイツ語"
"GameUI_Language_French"	"フランス語"
"GameUI_Language_Italian"	"イタリア語"
"GameUI_Language_Korean"	"韓国語"
"GameUI_Language_Spanish"	"スペイン語"
"GameUI_Language_Simplified_Chinese"	"簡体中国語"
"GameUI_Language_Traditional_Chinese"	"繁体中国語"
"GameUI_Language_Russian"	"ロシア語"
"GameUI_Language_Thai"	"タイ語"
"GameUI_Language_Japanese"	"日本語"
"GameUI_Language_Portuguese"	"ポルトガル語"
"GameUI_Language_Polish"	"ポーランド語"
"GameUI_Language_Danish"	"デンマーク語"
"GameUI_Language_Dutch"	"オランダ語"
"GameUI_Language_Finnish"	"フィンランド語"
"GameUI_Language_Norwegian"	"ノルウェー語"
"GameUI_Language_Swedish"	"スウェーデン語"
"GameUI_Language_Hungarian"	"ハンガリー語"
"GameUI_Language_Czech"	"チェコ語"
"GameUI_Language_Romanian"	"ルーマニア語"
"GameUI_Language_Turkish"	"トルコ語"
"GameUI_Language_Brazilian"	"ブラジルポルトガル語"
"GameUI_Language_Bulgarian"	"ブルガリア語"
"GameUI_Language_Greek"	"ギリシャ語"
"GameUI_Language_Ukrainian"	"ウクライナ語"
"client_version_out_of_date_title"	"更新必須"
"client_version_out_of_date"	"ゲームクライアントが最新版ではありません。Dota 2 を終了してから再起動し、最新版を入手してください。"
"limited_heroes_abandon_explanation"	"限定ヒーローモードを抜けたとしてもあなたの代わりにボットがプレイを続けるので、罰はありません。他のゲームモードにおいてゲームを放棄すると、優先度の低いキューに入れられてしまいます。"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"拒否"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_finding_match_players"	"（マッチを検索しています...  {s:searching_player_count})"
"dota_finding_match_generic"	"ノーマルマッチ"
"dota_finding_match_ranked"	"ランクマッチ"
"dota_finding_match_bot"	"ボットマッチ"
"dota_finding_match_bot_passive"	"ボットマッチ (パッシブ)"
"dota_finding_match_bot_easy"	"ボットマッチ (イージー)"
"dota_finding_match_bot_medium"	"ボットマッチ (ミディアム)"
"dota_finding_match_bot_hard"	"ボットマッチ (ハード)"
"dota_finding_match_bot_unfair"	"ボットマッチ (アンフェア)"
"dota_finding_match_practice_lobby"	"ロビーゲーム"
"dota_match_connected"	"ゲームに接続"
"dota_match_local_game"	"ローカルゲームに接続済み"
"dota_match_connecting"	"ゲームに接続中..."
"dota_match_in_progress"	"ゲーム中"
"dota_match_finished"	"ゲーム終了"
"matchmaking_waiting_for_players"	"他のプレイヤーを待っています"
"matchmaking_player_declined"	"プレイヤーがマッチを拒否しました"
"dota_match_wait_for_host"	"ホストを待っています"
"dota_match_find_server"	"サーバーを検索中"
"ranked_mmr_solo_label"	"ソロ"
"ranked_mmr_solo_value"	"{i:solo_mmr}"
"ranked_mmr_party_label"	"パーティ"
"ranked_mmr_party_value"	"{i:party_mmr}"
"matchmaking_account_disabled"	"悪影響を及ぼしたため、 %s1 の間チャットを使用できず、マッチメイキングへの参加もできません。"
"matchmaking_match_disabled_party"	"準備完了に失敗したか、最後のゲームを途中放棄したため、{s:match_denied_player_name} は {t:r:match_denied_time} の間マッチに参加できません。"
"matchmaking_low_priority_party"	"ゲームを放棄したか、過度のプレイヤー報告を受けたため、{s:match_denied_player_name} は {d:match_denied_games} の間、優先度の低いマッチメイキングにしか参加できません"
"matchmaking_match_disabled_local"	"準備完了に失敗したか、最後のゲームで途中棄権したため、{t:r:match_denied_time} の間マッチングに参加できません。"
"matchmaking_low_priority_local"	"ゲームを放棄したか、過度のプレイヤー報告を受けたために、優先度の低いマッチメイキングプールに{d:match_denied_games} まで残ります。"
"dota_ready_up_count"	"{s:ready_up_ready} / {s:ready_up_lobby_members}"
"dota_play_normal_match"	"ノーマルマッチ"
"dota_play_ranked_match"	"ランクマッチ"
"dota_play_practice_1v1"	"プラクティス 1v1"
"dota_play_practice_with_bots"	"ボットとプラクティス"
"dota_play_button_label"	"{s:play_button_label}"
"dota_play"	"Dota をプレイ"
"dota_play_find_match_label"	"{s:find_match_label}"
"dota_reconnect"	"再接続"
"dota_abandon_game"	"ゲームから退出"
"dota_safe_leave_game"	"ゲームを退出"
"dota_disconnect"	"切断"
"dota_play_unavailable"	"使用不可"
"dota_leaver_consequences"	"{s:leaver_consequences}"
"dota_leaver_consequences_details"	"{s:leaver_consequences_details}"
"dota_leaver_view_tooltip"	"詳細を表示"
"dota_matchmaking_region_ping"	"{s:region_ping}"
"DOTA_VAC_Verification_Header"	"Valve Anti-Cheat (VAC)"
"DOTA_VAC_Verification_Header_Solo"	"ご利用のコンピュータの問題がVACシステムをブロックしているため、マッチメイキングに参加できません。VACと競合する可能性のあるプログラムが使用されておらず、Steamが正しくインストールされていることをご確認ください。"
"DOTA_VAC_Verification_Button2"	"閉じる"
"dota_matchmaking_regions_button"	"{s:regions_selected}"
"dota_play_no_language_selected"	"言語を選択"
"dota_play_language"	"{s:match_language}"
"dota_play_language_many"	"言語: {i:match_language_count}"
"dota_all_chat_label"	"[全員]"
"dota_chatwheel_label_Ok"	"OK"
"dota_chatwheel_label_Care"	"要注意"
"dota_chatwheel_label_GetBack"	"戻れ"
"dota_chatwheel_label_NeedWards"	"ワードが必要"
"dota_chatwheel_label_Stun"	"スタン"
"dota_chatwheel_label_Help"	"助けて"
"dota_chatwheel_label_Push"	"プッシュ"
"dota_chatwheel_label_GoodJob"	"ナイスプレイ"
"dota_chatwheel_label_Missing"	"行方不明"
"dota_chatwheel_label_Missing_Top"	"行方不明@トップ"
"dota_chatwheel_label_Missing_Mid"	"行方不明@ミドル"
"dota_chatwheel_label_Missing_Bottom"	"行方不明@ボトム"
"dota_chatwheel_label_Go"	"行け！"
"dota_chatwheel_label_Follow"	"ついて来て"
"dota_chatwheel_label_Group_Up"	"集まれ"
"dota_chatwheel_label_Spread_Out"	"広がれ"
"dota_chatwheel_label_Split_Farm"	"別々にファーム"
"dota_chatwheel_label_Attack"	"今すぐ攻撃！"
"dota_chatwheel_label_BRB"	"直ぐ戻る"
"dota_chatwheel_label_Dive"	"飛び込め！"
"dota_chatwheel_label_OMW"	"今行く"
"dota_chatwheel_label_Get_Ready"	"準備して"
"dota_chatwheel_label_Mana"	"マナ"
"dota_chatwheel_label_OOM"	"マナが足りない"
"dota_chatwheel_label_Skill_Cooldown"	"クールダウン"
"dota_chatwheel_label_Ulti_Ready"	"Ulti準備OK"
"dota_chatwheel_label_Enemy_Had_Rune"	"敵はルーンを持っている"
"dota_chatwheel_label_Split_Push"	"分かれてプッシュ"
"dota_chatwheel_label_Fight_Under_Tower"	"タワーの下"
"dota_chatwheel_label_Deny_Tower"	"タワーをディナイ"
"dota_chatwheel_label_Buy_Courier"	"クーリエを買って"
"dota_chatwheel_label_Upgrade_Courier"	"クーリエをアップグレード"
"dota_chatwheel_label_Nice"	"いいね"
"dota_chatwheel_label_Thanks"	"ありがとう"
"dota_chatwheel_label_Sorry"	"ごめん"
"dota_chatwheel_label_No_Give_Up"	"あきらめるな"
"dota_chatwheel_label_My_Bad"	"悪かった"
"dota_chatwheel_label_Relax"	"リラックス"
"dota_chatwheel_label_GG"	"GG"
"dota_chatwheel_label_GGWP"	"GGWP"
"dota_chatwheel_label_All_GG"	"(全員) GG"
"dota_chatwheel_label_All_GGWP"	"(全員) GGWP"
"dota_chatwheel_label_What_To_Buy"	"何を買うべき？"
"dota_chatwheel_label_Im_Retreating"	"撤退する"
"dota_chatwheel_label_Whoops"	"おっと"
"dota_chatwheel_header_enemy"	"敵"
"dota_chatwheel_header_lane"	"レーン"
"dota_chatwheel_header_items"	"アイテム"
"dota_chatwheel_message_Ok"	"オーケー。"
"dota_chatwheel_message_Care"	"注意して！"
"dota_chatwheel_message_GetBack"	"戻って!"
"dota_chatwheel_message_NeedWards"	"ワードが必要。"
"dota_chatwheel_message_Stun"	"今すぐスタン！"
"dota_chatwheel_message_Help"	"ヘルプ！"
"dota_chatwheel_message_Push"	"今すぐプッシュ"
"dota_chatwheel_message_GoodJob"	"ナイスプレイ！"
"dota_chatwheel_message_Missing"	"姿が見えない！"
"dota_chatwheel_message_Missing_Top"	"トップには居ない！"
"dota_chatwheel_message_Missing_Mid"	"ミドルには居ない！"
"dota_chatwheel_message_Missing_Bottom"	"ボトムには居ない！"
"dota_chatwheel_message_Go"	"行け！"
"dota_chatwheel_message_Follow"	"ついて来て"
"dota_chatwheel_message_Nice"	"ナイス"
"dota_chatwheel_message_Thanks"	"ありがとう！"
"dota_chatwheel_message_Sorry"	"ゴメン"
"dota_chatwheel_message_No_Give_Up"	"あきらめるな！"
"dota_settings_hotkeys"	"ホットキー"
"dota_settings_options"	"オプション"
"dota_settings_volume"	"ボリューム"
"dota_settings_video"	"ビデオ"
"dota_settings_resetkeys"	"ホットキーをリセット..."
"dota_settings_legacykeys"	"レガシーキーを使用"
"dota_settings_abilities"	"アビリティ"
"dota_settings_abilities_hero"	"ヒーロー"
"dota_settings_abilities_neutrals"	"中立クリープ"
"dota_settings_abilities_courier"	"クーリエ"
"dota_settings_abilities_primary1"	"1"
"dota_settings_abilities_primary2"	"2"
"dota_settings_abilities_primary3"	"3"
"dota_settings_abilities_secondary1"	"4"
"dota_settings_abilities_secondary2"	"5"
"dota_settings_abilities_neutral1"	"1"
"dota_settings_abilities_neutral2"	"2"
"dota_settings_abilities_neutral3"	"3"
"dota_settings_abilities_neutral4"	"4"
"dota_settings_abilities_courier1"	"1"
"dota_settings_abilities_courier2"	"2"
"dota_settings_abilities_courier3"	"3"
"dota_settings_abilities_courier4"	"4"
"dota_settings_abilities_courier5"	"5"
"dota_settings_abilities_courier6"	"6"
"dota_settings_abilities_ultimate"	"U"
"dota_settings_cast"	"キャスト"
"dota_settings_autocast"	"自動キャスト"
"dota_settings_quickcast"	"クイックキャスト"
"dota_settings_mirror"	"ヒーローパネルのホットキー設定をコピー"
"dota_settings_move"	"移動"
"dota_settings_stop"	"停止"
"dota_settings_selectcourier"	"クーリエを選択"
"dota_settings_camera"	"カメラ"
"dota_settings_chat"	"チャット"
"dota_settings_chatwheel_show"	"チャットホイール"
