"dota"
{
"DOTA_Accept"	"Приемане"
"DOTA_TeamUnsetMessage"	"Поне един от отборите няма зададено име/лого. Наистина ли искате мачът да започне?"
"DOTA_LeagueUnsetHeader"	"Не е избрана лига"
"DOTA_LeagueUnsetMessage"	"Не е зададена лига за това лоби, но сте способни установите такава. Наистина ли да се започне мача?"
"DOTA_LobbyAllowSpectatingHeader"	"Не може да се започне лоби играта"
"DOTA_LobbyAllowSpectatingMessage"	"Тази игра трябва да е зададена като достъпна за наблюдаване, докато има зрители в лобито. Включете наблюдаването в панела с настройки."
"dota_radiant"	"Radiant"
"dota_dire"	"Dire"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"Няма отбор"
"dota_lobby_broadcast_default_channel_name"	"Име на канала"
"dota_lobby_broadcast_join"	"Присъединяване"
"dota_lobby_broadcast_leave"	"Напускане"
"dota_lobby_broadcast_create"	"Създаване на нов канал"
"dota_lobby_broadcast_no_channels"	"Няма създадени канали за коментатори"
"dota_popup_broadcast_channel_edit_title"	"Персонализиране на канала за коментатор"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_channel_name"	"Заглавие на канала"
"dota_popup_broadcast_channel_edit_country"	"Държава"
"dota_popup_broadcast_channel_edit_language"	"Език"
"dota_popup_broadcast_channel_edit_save"	"Запазване като настройки по подразбиране и прилагане към празните канали при присъединяване"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Друг език"
"lobby_slot_error_header"	"Неуспех при размяната на слота"
"generic_gc_timeout"	"Времето за изпращане на съобщението изтече."
"lobby_slot_success_header"	"Успешно"
"lobby_slot_denied"	"Нямате правомощия, за да се присъедините към този слот."
"lobby_slot_cameramanalready"	"Каналите за коментатори могат да имат само един оператор на камерата"
"lobby_slot_cameramanon"	"В момента сте отбелязани като оператор на камерата"
"lobby_slot_cameramanoff"	"Вече не сте оператор на камерата"
"lobby_slot_error"	"Неуспешна смяната на слота в лобито."
"lobby_create_timeout"	"Създаването на лоби беше неуспешно."
"find_match_error"	"В момента не можете да вредите за търсене на мачове."
"DOTA_DialogVariableTest1"	"Семпло: {s:var}"
"DOTA_DialogVariableTest2"	"Парична стойност: {m:money}"
"DOTA_DialogVariableTest3"	"Връзка към предмета: {g:dota_item_link:item_def}"
"DOTA_DialogVariableTest4"	"Цена към предмета: {g:dota_item_price:item_def}"
"DOTA_DialogVariableTest5"	"ID име на акаунта: {g:dota_persona:account_id}, професионално име: {g:dota_persona:pro:account_id}"
"DOTA_DialogVariableTest6"	"Семпло със „span“ таг: <span class=\"TextSpan\">{s:var}</span>"
"LobbySetting_GameMode"	"Режим на игра"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Ботове"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Парола"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Сървър"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Кодове"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Наблюдатели"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Видимост"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Локален сървър"
"dota_lobby_coaches_none"	"Треньори: Няма"
"dota_lobby_coaches"	"Треньори:"
"DOTA_Custom_Game"	"Потребителска игра"
"DOTA_Custom_Game_Info"	"Информация"
"DOTA_Custom_Game_View_Details"	"Преглед на подробностите за играта"
"DOTA_Custom_Game_Author"	"от {g:dota_persona:author}"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} лоби"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} лобита"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"Имате {d:friend_count} приятел с отворено игрално лоби."
"DOTA_Custom_Game_Friend_Lobbies_Alert_Plural"	"Имате {d:friend_count} приятели с отворени игрални лобита."
"DOTA_Custom_Game_Quick_Join"	"Бързо присъединяване"
"DOTA_Custom_Game_View_Lobbies"	"Преглед на лобитата"
"DOTA_Custom_Game_Find_Lobby"	"Търсене на лоби"
"DOTA_Custom_Game_Create_Lobby"	"Създаване на лоби"
"DOTA_Custom_Game_Game_Page"	"Страница за играта"
"DOTA_Custom_Game_Workshop_Page"	"Страница в работилницата"
"DOTA_Custom_Game_Download_Queued"	"Сваляне на опашка"
"DOTA_Custom_Game_Downloading"	"Сваляне…"
"DOTA_Custom_Game_Downloading_Percent"	"Сваляне — {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Нужно е обновяване"
"DOTA_Custom_Game_Play"	"Пускане на {s:game_mode_name}"
"DOTA_Custom_Game_Uninstall"	"Деинсталиране"
"DOTA_Custom_Game_Install"	"Инсталиране"
"DOTA_Custom_Game_Installed"	"Инсталирани"
"DOTA_Custom_Game_Not_Installed"	"Не е инсталирано"
"DOTA_Custom_Game_Connect"	"Присъединяване към лоби"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"Излязла на {s:release_date}</b> От <b>{g:dota_persona:author}</b>"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} абонамент"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} абонамента"
"DOTA_Custom_Game_Rating"	"Оценка"
"DOTA_Custom_Game_Release_Date"	"Излязла на"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} играещи сега"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Последно обновена на {t:r:t:last_updated}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Снимки"
"DOTA_Custom_Game_Map_Label"	"Карта"
"DOTA_Custom_Game_Map_Any"	"Всякакви"
"DOTA_Custom_Game_Update"	"Обновяване"
"DOTA_Custom_Game_Spectate"	"Наблюдаване"
"DOTA_Custom_Game_Already_In_Lobby"	"Довършете текущия си мач, за да стартирате този игрален режим."
"DOTA_Custom_Game_Friends_Playing"	"Приятели пуснали персонализирани игри"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} в отворени лобита"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} приятели в персонализирани игри"
"DOTA_Custom_Games_Friends_Play"	"Персонализирани игри, които приятелите Ви са пускали"
"DOTA_Custom_Game_Invite_Friend"	"Поканете приятел"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} абонамента"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} абонамент"
"DOTA_Custom_Game_Most_Popular"	"Най-популярни"
"DOTA_Custom_Game_Installed_Games"	"Инсталирани игри"
"DOTA_Custom_Game_Favorite_Games"	"Показване само на любими"
"DOTA_Custom_Game_Add_Favorite"	"Любима"
"DOTA_Custom_Game_VotePrompt"	"Трябва ли да помогнем на още хора да разберат тази игра?"
"DOTA_Custom_Game_DetailsPrompt"	"Посетете страницата с подробностите за тази игра. Така ще научите още за нвя, а можете да я инсталиране и пуснете."
"DOTA_Custom_Game_Vote_Box_Title"	"Вот в работилницата"
"DOTA_Custom_Game_Vote_Box_Desc"	"Помогнете на неоткритите игри да придобият по-солидно положение."
"DOTA_Custom_Game_Vote_Start"	"Стартиране на вота"
"DOTA_Custom_Game_VoteThanks"	"Благодарим, че дадохте вот!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Предишна игра"
"DOTA_Custom_Game_Vote_NextLabel"	"Следваща игра"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Вот в работилницата"
"DOTA_Custom_Game_Vote_YesLabel"	"Да, популяризирайте я!"
"DOTA_Custom_Game_Vote_NoLabel"	"Не. Нужна е още работа"
"DOTA_Custom_Game_Vote_SkipLabel"	"Пропускане на тази игра, нямам отзив."
"DOTA_Custom_Game_Vote_Up"	"Добра игра"
"DOTA_Custom_Game_Vote_Down"	"Нужна е още работа"
"Video_Support_Coming_Soon"	"Очаквайте видео поддръжка скоро"
"DOTA_Custom_Game_Leave_Lobby"	"Напускане на лобито"
"DOTA_Custom_Game_Suggested_Title"	"Препоръчани игри"
"DOTA_Custom_Game_Suggested_Info"	"Този списък включва популярни в момента игри и такива, които са получили позитивни вотове.<br><br>Подборът им ще се променя на всеки 30 минути, представяйки на всички в общността същите 15 игри по всяко време."
"DOTA_Custom_Game_Addon_Restricted"	"Тази операция не може да се извърши, докато се работи в режим за инструменти, който ограничава добавките."
"DOTA_Custom_Game_Search"	"Търсене на персонализирани игри"
"DOTA_Custom_Lobby_Create_Button"	"Създаване на персонализирано лоби"
"DOTA_Custom_Lobby_Settings_Title"	"Създаване на лоби"
"DOTA_Custom_Lobby_Settings_Mode"	"Режим на игра"
"DOTA_Custom_Lobby_Settings_Map"	"Карта"
"DOTA_Custom_Lobby_LobbyName"	"Незадължително описание"
"DOTA_Custom_Lobby_List_Desc"	"Списък от частни лобита (защитени от парола) и нефилтрирани активни потребителски игри"
"DOTA_Custom_Lobby_Public"	"Публично"
"DOTA_Custom_Lobby_Passworded"	"Играчите могат да се присъединят към това лоби само посредством покани или чрез филтриране на списъка за тези с парола."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Неуспешно присъединяване"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Join_Failed_Prompt"	"Искате да търсите отворено лоби за {s:game_name} сега?"
"DOTA_Lobby_Failed_Pings"	"Неуспешно придобиване на информацията за пинга. Моля, уверете се, че интернет връзката Ви работи и Dota 2 сървърите са на линия."
"DOTA_Custom_Lobby_Create_Private_Button"	"Създаване на частно лоби"
"DOTA_Custom_Lobby_Find_Private_Button"	"Намиране на частно лоби"
"DOTA_Custom_Lobby_Find_Private_Title"	"Намиране на частно лоби"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Въвеждане на парола, за да намерите частно лоби:"
"DOTA_Custom_Lobby_List_Game_Header"	"Игра"
"DOTA_Custom_Lobby_List_Name_Header"	"Описание"
"DOTA_Custom_Lobby_List_Players_Header"	"Играчи"
"DOTA_Custom_Lobby_List_Map_Header"	"Карта"
"DOTA_Custom_Lobby_List_Region_Header"	"Област"
"DOTA_Custom_Lobby_List_Connection_Header"	"Свързване"
"DOTA_Custom_Lobby_List_Status_Header"	"Локален статус"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"…"
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Карта: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Играчи: {d:player_count} от {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"Видимост на лобито"
"DOTA_Custom_Join_Chat"	"Присъединяване към чата"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"Напускане на чата"
"DOTA_Custom_Game_Vote_Up_Tooltip"	"Кликнете, за да одобрите тази игра в Steam работилницата."
"DOTA_Page_Number"	"Страница: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"Общ изглед"
"DOTA_TabName_ModsSubscribed"	"Библиотека"
"DOTA_TabName_ModsWorkshop"	"Работилница"
"DOTA_TabName_ModsBrowse"	"Преглед"
"DOTA_WatchTabName_Live"	"На живо"
"DOTA_WatchTabName_Featured"	"Отличени"
"DOTA_WatchTabName_Replays"	"Повторения"
"DOTA_WatchTabName_Tournaments"	"Турнири"
"DOTA_WatchTabName_Downloads"	"Сваляния"
"DOTA_WatchLive_Search"	"Търсене за герои, които да наблюдавате"
"DOTA_WatchLive_DataPending"	"Намиране на „Игри на живо“…"
"DOTA_WatchLive_DataError"	"Грешка при зареждане на „Игри на живо“"
"DOTA_WatchLive_NoGames"	"Няма игри на живо, които да се играят в момента"
"DOTA_WatchLive_Connecting"	"Изчакване на данни за играта…"
"DOTA_WatchLive_HeroFilter"	"Филтър: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} наблюдаващи"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} приятел и {i:num_spectating} наблюдаващи"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} приятели и {i:num_spectating} наблюдаващи"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} приятели играят"
"DOTA_WatchLive_ParticipantsVs"	"<font color='#ffffff'>{s:team_1}</font> <font color='#888888'> срещу </font> <font color='#ffffff'>{s:team_2}</font>"
"DOTA_WatchLive_ParticipantsMMR"	"<font color='#ffffff'>{i:mmr}</font> <font color='#888888'>среден рейтинг</font>"
"DOTA_WatchLive_ParticipantsUnranked"	"Без класиране"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} и {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2} и {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3} и още {i:friend_count_over_3}…"
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"Наблюдаване в DotaTV"
"DOTA_WatchLivePurchase"	"Вземане на турнирен пропуск {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends1"	"{g:dota_persona:spectator_friend_1} наблюдава"
"DOTA_WatchLiveSpectatorFriends2"	"{g:dota_persona:spectator_friend_1} и {g:dota_persona:spectator_friend_2} наблюдават"
"DOTA_WatchLiveSpectatorFriends3"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} и {g:dota_persona:spectator_friend_3} наблюдават"
"DOTA_WatchLiveSpectatorFriends4Plus"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} и {i:spectator_friend_count_over_3} други приятели наблюдават"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} наблюдаващи"
"DOTA_WatchLivePreGame"	"Преди игра"
"DOTA_WatchLive_ElapsedTime"	"Изминало време:"
"DOTA_WatchLive_Spectating"	"Наблюдаващи:"
"DOTA_WatchReplays_TournamentsHeader"	"ПОПУЛЯРНИ ТУРНИРНИ МАЧОВЕ"
"DOTA_WatchReplays_FriendsHeader"	"МАЧОВЕ НА ПРИЯТЕЛИ"
"DOTA_WatchReplays_Popular"	"ПОПУЛЯРНИ МАЧОВЕ"
"DOTA_WatchReplays_SavedForLater"	"ЗАПАЗЕНО ЗА ГЛЕДАНЕ ПО-КЪСНО"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} с/у {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_MatchType_Public"	"Мач {s:match_id} — {s:game_mode}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations3Plus"	"{g:dota_persona:friend_1} + още {i:friend_count_over_1} приятели + {i:recommendations}"
"DOTA_WatchReplays_Friends1"	"{g:dota_persona:b:friend_1} е играл"
"DOTA_WatchReplays_Friends2"	"{g:dota_persona:b:friend_1} и {g:dota_persona:friend_2} са играли"
"DOTA_WatchReplays_Friends3Plus"	"{g:dota_persona:b:friend_1}, {g:dota_persona:b:friend_2} и още {i:friend_count_over_2} приятели"
"DOTA_WatchReplays_Views"	"{i:views} преглеждания"
"DOTA_WatchReplays_Price"	"{g:dota_item_price:ticket_itemdef}"
"DOTA_WatchReplays_SharedMatch"	"{g:dota_persona:shared_by} сподели — „{s:shared_text}“"
"DOTA_WatchReplays_SharedHighlight"	"{g:dota_persona:shared_by} сподели добър момент"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
"DOTA_WatchReplays_Tag"	"„{s:recommendation_text}“"
"DOTA_WatchTournaments_FeaturedTitle"	"{s:tournament_featured_title}"
"DOTA_WatchTournaments_FeaturedDates"	"{s:tournament_featured_start} — {s:tournament_featured_end}"
"DOTA_WatchTournaments_FeaturedDescription"	"{s:tournament_featured_description}"
"DOTA_WatchTournaments_FeaturedTeams"	"Отбори"
"DOTA_WatchTournaments_PrizePool"	"Награден фонд:"
"DOTA_WatchTournaments_PrizePoolAmt"	"{s:tournament_featured_prize_pool}"
"DOTA_WatchTournaments_Purchase"	"Турнирен пропуск — {s:tournament_featured_price}"
"DOTA_WatchTournament_TournamentName"	"{s:tournament_name}"
"DOTA_WatchTournament_Price"	"{s:price}"
"DOTA_Replays_Search"	"Търсене за № на мачове"
"DOTA_Watch_GameStatus"	"Наблюдаване статуса на играта"
"DOTA_Watch_Pending"	"Изчакване, за да гледате игра…"
"DOTA_Watch_GameServerNotFound"	"Сървърът, който е хост на играта, не беше намерен."
"DOTA_Watch_Unavailable"	"В момента не може да гледате тази игра."
"DOTA_Watch_LobbyNotFound"	"Лобито не е намерено."
"DOTA_Watch_MissingLeagueSubscription"	"Тази игра е част от лига, която изисква абонамент, за да бъде наблюдавана."
"vs"	"СРЕЩУ"
"dota_matchmaking_language_title"	"Изберете език за търсенето на мачове"
"dota_matchmaking_language_primary_label"	"Основният Ви език при търсене на мачове е:"
"dota_matchmaking_language_primary"	"{s:environment_language}"
"dota_matchmaking_language_primary_invalid"	"Езикът Ви, {s:environment_language}, е недостъпен като част от търсенето на мачове в Dota 2."
"dota_matchmaking_language_select_secondary"	"Ако желаете, можете да изберете второстепенен език:"
"dota_matchmaking_language_select_primary"	"Моля, изберете език за търсенето на мачове:"
"dota_matchmaking_language_no_selection"	"Не е избран"
"dota_matchmaking_language_english"	"English"
"dota_matchmaking_language_russian"	"Русский"
"dota_matchmaking_language_chinese"	"繁體中文"
"dota_matchmaking_language_schinese"	"繁體中文"
"dota_matchmaking_language_korean"	"한국어"
"dota_matchmaking_language_koreana"	"한국어"
"dota_matchmaking_language_spanish"	"Español"
"dota_matchmaking_language_portuguese"	"Português"
"GameUI_Language_English"	"English"
"GameUI_Language_German"	"Deutsch"
"GameUI_Language_French"	"Français"
"GameUI_Language_Italian"	"Italiano"
"GameUI_Language_Korean"	"한국어"
"GameUI_Language_Spanish"	"Español"
"GameUI_Language_Simplified_Chinese"	"简体中文"
"GameUI_Language_Traditional_Chinese"	"繁體中文"
"GameUI_Language_Russian"	"Русский"
"GameUI_Language_Thai"	"ไทย"
"GameUI_Language_Japanese"	"日本語"
"GameUI_Language_Portuguese"	"Português"
"GameUI_Language_Polish"	"Polski"
"GameUI_Language_Danish"	"Dansk"
"GameUI_Language_Dutch"	"Nederlands"
"GameUI_Language_Finnish"	"Suomi"
"GameUI_Language_Norwegian"	"Norsk"
"GameUI_Language_Swedish"	"Svenska"
"GameUI_Language_Hungarian"	"Magyar"
"GameUI_Language_Czech"	"čeština"
"GameUI_Language_Romanian"	"Română"
"GameUI_Language_Turkish"	"Türkçe"
"GameUI_Language_Brazilian"	"Português-Brasil"
"GameUI_Language_Bulgarian"	"български"
"GameUI_Language_Greek"	"Ελληνικά"
"GameUI_Language_Ukrainian"	"Українська"
"client_version_out_of_date_title"	"Изисква се обновяване"
"client_version_out_of_date"	"Клиентът на играта не е актуализиран. Моля, затворете Dota 2 и я рестартирайте, за да получите най-новата версия."
"dota_matchmaking_region_title"	"Избор на региони за търсене на мач"
"dota_matchmaking_region_auto"	"Автоматично избиране на най-добрия регион спрямо местоположението ми."
"dota_matchmaking_region_select"	"Изберете до три региона за търсене на мачове. Изберете само близките до Вас региони за най-добро преживяване."
"limited_heroes_abandon_header"	"Режим Limited Heroes"
"limited_heroes_abandon_explanation"	"Няма наказание за напускане на мач в режим Limited Heroes, тъй като героят Ви ще бъде заменен от бот. Напускането на всеки друг игрален режим, може да доведе до поставяне в ниско приоритетното търсене на мачове."
"dota_abandon_dialog_title"	"Изоставяне на играта"
"dota_abandon_dialog_confirm"	"Сигурни ли сте, че искате да изоставите тази игра?"
"dota_abandon_dialog_yes"	"Да, изоставяне на играта."
"dota_leave_dialog_title"	"Напускане на играта"
"dota_leave_dialog_confirm"	"Сигурни ли сте, че искате да напуснете играта?"
"dota_leave_dialog_yes"	"Да, напускане на играта."
"dota_accept_match_title"	"Играта Ви е готова"
"dota_accept_match_readyup_title"	"Изчакване за играчите"
"dota_accept_match_accept"	"Приемане"
"dota_accept_match_accept_low_pri"	"Приемане на ниско приоритетен мач"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"Отхвърляне на мача"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_finding_match_players"	"( {s:searching_player_count} търсят)"
"dota_finding_match_time"	"Време за намиране на мач: {s:find_match_time}"
"dota_finding_match_accept_count"	"приет мач: {s:match_num_accepted} / {s:match_num_total}"
"dota_finding_match_generic"	"Нормален мач"
"dota_finding_match_ranked"	"Мач с класиране"
"dota_finding_match_bot"	"Мач с ботове"
"dota_finding_match_bot_passive"	"Мач с ботове (пасивни)"
"dota_finding_match_bot_easy"	"Мач с ботове (лесни)"
"dota_finding_match_bot_medium"	"Мач с ботове (средни)"
"dota_finding_match_bot_hard"	"Мач с ботове (трудни)"
"dota_finding_match_bot_unfair"	"Мач с ботове (нечестни)"
"dota_finding_match_team"	"Отборен мач с рейтинг"
"dota_finding_1v1_match_casual"	"Мач 1 срещу 1"
"dota_finding_match_practice_lobby"	"Лоби игра"
"dota_safe_to_abandon_inline"	"Играта е безопасна за напускане"
"dota_match_connected"	"Свързани сте към игра"
"dota_match_local_game"	"Свързани сте към локална игра"
"dota_match_connecting"	"Свързване към играта…"
"dota_match_in_progress"	"Започната игра"
"dota_match_finished"	"Играта е приключила"
"matchmaking_waiting_for_players"	"Изчакване за други играчи"
"matchmaking_player_declined"	"Даден играч отказа мача"
"dota_match_wait_for_host"	"Изчакване за хоста"
"dota_match_find_server"	"Намиране на сървър"
"ranked_disabled"	"Търсенето на мачове с класиране е временно недостъпно."
"ranked_mmr"	"Вашият ранг при търсене на мачове"
"ranked_mmr_solo_label"	"Самостоятелно"
"ranked_mmr_solo_value"	"{i:solo_mmr}"
"ranked_mmr_solo_calibrating"	"НЕУСТАНОВЕН — {i:solo_calibrating_games} оставащи игри"
"ranked_mmr_solo_no_data"	"Изискват се {i:solo_calibrating_required_games} игри за калибриране"
"ranked_mmr_party_label"	"Екип"
"ranked_mmr_party_value"	"{i:party_mmr}"
"ranked_mmr_party_calibrating"	"НЕУСТАНОВЕН — {i:party_calibrating_games} оставащи игри"
"ranked_mmr_party_no_data"	"Изискват се {i:party_calibrating_required_games} игри за калибриране"
"ranked_mmr_locked_explain"	"Търсене на мачове с класиране:\nОтключва се при трофей за опит ниво 50.\nПо съревнователен режим, който следи и изобразява статистика за рейтинга на всеки играч (MMR)."
"matchmaking_account_disabled"	"Вие сте твърде подривен и няма да имате възможност за чат или присъединяване към търсенето на мачове за %s1"
"matchmaking_match_disabled_party"	"{s:match_denied_player_name} ще попречи включването към играта, поради предишна липса на реакция за готовност или изоставена игра. Оставащо време: {t:r:match_denied_time}"
"matchmaking_low_priority_party"	"{s:match_denied_player_name} ще позволи само мачове с нисък приоритет за следващите, поради напускания на игри или получени прекомерно много доклади от играчи. Оставащи победи: {d:match_denied_games}"
"matchmaking_match_disabled_local"	"Не Ви е позволено да се присъедините към играта %s1. Поради предишна липса на реакция за готовност, или защото сте изоставили последната си игра. Оставащо време: {t:r:match_denied_time}"
"matchmaking_low_priority_local"	"Ще сте способни да търсите мачове само с нисък приоритет, поради напускания на игри или доклади от играчи. Оставащи победи: {d:match_denied_games}"
"dota_ready_up_count"	"{s:ready_up_ready} / {s:ready_up_lobby_members}"
"dota_play_normal_match"	"Нормален мач"
"dota_play_ranked_match"	"Мач с класиране"
"dota_play_practice_1v1"	"Тренировка 1 срещу 1"
"dota_play_practice_with_bots"	"Тренировка с ботове"
"dota_play_practice_1v1_playtab"	"ТРЕНИРОВКА 1 срещу 1"
"dota_play_1v1_desc"	"Упражнявайте своята самостоятелна игра в средната алея срещу един играч. Тренировката приключва, когато единия играч умре два пъти или загуби кула."
"dota_play_practice_1v1_party_warning"	"Не се позволяват екипи при търсенето на мачове за 1 срещу 1."
"dota_play_button_label"	"{s:play_button_label}"
"dota_play"	"Играйте Dota"
"dota_play_searching"	"Намиране на мач"
"dota_play_connecting"	"Зареждане на хоста…"
"dota_play_lobby_find_server"	"Намиране на сървър"
"dota_play_find_match_label"	"{s:find_match_label}"
"dota_reconnect"	"Повторно свързване"
"dota_abandon_game"	"Изоставяне"
"dota_safe_leave_game"	"Напускане на играта"
"dota_disconnect"	"Разкачване"
"dota_play_unavailable"	"Недостъпно"
"dota_leaver_consequence_tooltip_header"	"Последствия"
"dota_leaver_consequences"	"{s:leaver_consequences}"
"dota_leaver_consequences_details"	"{s:leaver_consequences_details}"
"dota_leaver_view_tooltip"	"Преглед на подробностите"
"dota_leaver_consequence_header_failure_to_reconnect"	"Неуспехът при повторно свързване ще доведе до следните последствия:"
"dota_leaver_consequence_header_leave_match"	"Напускането на този мач ще доведе до следните отрицателни последствия"
"dota_leaver_consequence_LetDownTeammates"	"Съотборниците Ви ще играят при неизгодно положение."
"dota_leaver_consequence_SmallMatchmakingCooldown"	"Ще бъдете възпрепятствани при търсенето на мачове за определен период от време."
"dota_leaver_consequence_CreditWithAbandon"	"Ще се отчете изоставяне."
"dota_leaver_consequence_ForcedLossForLeaver"	"Ще получите загуба."
"dota_leaver_consequence_ForcedLossForLeaversParty"	"Всички в екипа Ви ще получат загуба."
"dota_leaver_consequence_ForcedLossForLeaversTeam"	"Отборът Ви, %s1, ще получи загуба."
"dota_leaver_consequence_MMRLossForLeaver"	"Рейтингът Ви ще намалее."
"dota_leaver_consequence_MMRLossForLeaversParty"	"Рейтингът на всички в екипа Ви ще намалее."
"dota_leaver_consequence_MMRLossForLeaversTeam"	"Рейтингът на отбора Ви, %s1, ще намалее."
"dota_leaver_consequence_MatchDiscardedForOtherPlayers"	"Резултатът от мача няма да бъде отбелязан за другите играчи."
"dota_leaver_consequence_NotDecrementLowPriGamesRemaining"	"Мачът няма да бъде отчетен като завършен."
"dota_reconnect_popup_title"	"Повторно свързване?"
"dota_reconnect_popup_message"	"Временен текст — искате ли да се свържете повторно към играта?"
"dota_matchmaking_regions_refresh"	"Опресняване на пинговете"
"dota_matchmaking_region_ping"	"{s:region_ping}"
"dota_matchmaking_region_offline"	"Извън линия поради профилактика"
"dota_matchmaking_region_unknown_ping"	"Пинг: Неизвестен"
