"dota"
{
"DOTA_Accept"	"Αποδοχή"
"lobby_slot_cameramanon"	"Έχετε επισημανθεί ως εικονολήπτης"
"lobby_slot_cameramanoff"	"Δεν είστε πια εικονολήπτης"
"lobby_slot_error"	"Αποτυχία αλλαγής θέσης παιχνιδιού."
"lobby_create_timeout"	"Αποτυχία δημιουργίας λόμπι."
"DOTA_DialogVariableTest1"	"Απλό: {s:var}"
"DOTA_DialogVariableTest2"	"Τιμή χρημάτων: {m:money}"
"DOTA_DialogVariableTest3"	"Σύνδεσμος αντικειμένου: {g:dota_item_link:item_def}"
"DOTA_DialogVariableTest4"	"Τιμή αντικειμένου: {g:dota_item_price:item_def}"
"DOTA_DialogVariableTest5"	"ID λογαριασμού: {g:dota_persona:account_id}, Όνομα επαγγελματία: {g:dota_persona:pro:account_id}"
"DOTA_DialogVariableTest6"	"Απλό με span: <span class=\"TextSpan\">{s:var}</span>"
"LobbySetting_GameMode"	"ΤΥΠΟΣ"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"ΒΟΤ"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"ΚΩΔΙΚΟΣ"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"ΔΙΑΚΟΜΙΣΤΗΣ"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"ΚΩΔΙΚΟΙ"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"ΘΕΑΤΕΣ"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"ΟΡΑΤΟΤΗΤΑ"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"ΤΟΠΙΚΟ ΠΑΙΧΝΙΔΙ"
"dota_lobby_coaches_none"	"Καθοδηγητές: Κανένας"
"dota_lobby_coaches"	"Καθοδηγητές:"
"DOTA_Custom_Game"	"Προσαρμοσμένο παιχνίδι"
"DOTA_Custom_Game_Info"	"Πληροφορίες"
"DOTA_Custom_Game_View_Details"	"Προβολή λεπτομερειών παιχνιδιού"
"DOTA_Custom_Game_Author"	"από {g:dota_persona:author}"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} λόμπι"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} λόμπι"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"Έχετε {d:friend_count} φίλο με ανοιχτό λόμπι παιχνιδιού."
"DOTA_Custom_Game_Friend_Lobbies_Alert_Plural"	"Έχετε {d:friend_count} φίλους με ανοιχτά λόμπι παιχνιδιών."
"DOTA_Custom_Game_Quick_Join"	"Γρήγορη σύνδεση"
"DOTA_Custom_Game_View_Lobbies"	"Προβολή λόμπι"
"DOTA_Custom_Game_Find_Lobby"	"Εύρεση λόμπι"
"DOTA_Custom_Game_Create_Lobby"	"Δημιουργία λόμπι"
"DOTA_Custom_Game_Game_Page"	"Σελίδα παιχνιδιού"
"DOTA_Custom_Game_Workshop_Page"	"ΣΕΛΙΔΑ ΕΡΓΑΣΤΗΡΙΟΥ"
"DOTA_Custom_Game_Download_Queued"	"Λήψη σε αναμονή"
"DOTA_Custom_Game_Downloading"	"Λήψη..."
"DOTA_Custom_Game_Downloading_Percent"	"Λήψη - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Χρειάζεται ενημέρωση"
"DOTA_Custom_Game_Play"	"Εκκίνηση {s:game_mode_name}"
"DOTA_Custom_Game_Uninstall"	"ΑΠΕΓΚΑΤΑΣΤΑΣΗ"
"DOTA_Custom_Game_Install"	"ΕΓΚΑΤΑΣΤΑΣΗ"
"DOTA_Custom_Game_Installed"	"Εγκαταστάθηκε"
"DOTA_Custom_Game_Not_Installed"	"Δεν εγκαταστάθηκε"
"DOTA_Custom_Game_Connect"	"Σύνδεση σε λόμπι"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"Κυκλοφόρησε {s:release_date}</b> Από <b>{g:dota_persona:author}</b>"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} Συνδρομή"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} Συνδρομές"
"DOTA_Custom_Game_Rating"	"Βαθμολογία"
"DOTA_Custom_Game_Release_Date"	"Κυκλοφόρησε"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} Σε παιχνίδι"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Τελευταία ενημέρωση: {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Φωτογραφίες"
"DOTA_Custom_Game_Map_Label"	"Χάρτης"
"DOTA_Custom_Game_Map_Any"	"Οποιοσδήποτε"
"DOTA_Custom_Game_Update"	"Ενημέρωση"
"DOTA_Custom_Game_Spectate"	"Παρακολούθηση"
"DOTA_Custom_Game_Already_In_Lobby"	"Ολοκληρώστε το τρέχον παιχνίδι σας για να ξεκινήσετε αυτή τη λειτουργία παιχνιδιού."
"DOTA_Custom_Game_Friends_Playing"	"Φίλοι σε προσαρμοσμένα παιχνίδια"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} σε ανοικτά λόμπι"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} φίλοι σε προσαρμοσμένα παιχνίδια"
"DOTA_Custom_Games_Friends_Play"	"Προσαρμοσμένα παιχνίδια στα οποία παίζουν φίλοι σας"
"DOTA_Custom_Game_Invite_Friend"	"Πρόσκληση φίλου"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} συνδρομές"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} συνδρομή"
"DOTA_Custom_Game_Most_Popular"	"Πιο δημοφιλή"
"DOTA_Custom_Game_Installed_Games"	"Εγκατεστημένα παιχνίδια"
"DOTA_Custom_Game_Favorite_Games"	"Εμφάνιση μόνο αγαπημένων"
"DOTA_Custom_Game_Add_Favorite"	"ΑΓΑΠΗΜΕΝΟ"
"DOTA_Custom_Game_VotePrompt"	"Να βοηθήσουμε περισσότερα άτομα να μάθουν για αυτό το παιχνίδι;"
"DOTA_Custom_Game_DetailsPrompt"	"Επισκεφθείτε τη σελίδα λεπτομερειών του παιχνιδιού για να μάθετε περισσότερα, να το εγκαταστήσετε, και να παίξετε."
"DOTA_Custom_Game_Vote_Box_Title"	"Ψήφος εργαστηρίου"
"DOTA_Custom_Game_Vote_Start"	"Εκκίνηση ψηφοφορίας"
"DOTA_Custom_Game_VoteThanks"	"Ευχαριστούμε για την ψήφο σας!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Προηγ παιχνίδι"
"DOTA_Custom_Game_Vote_NextLabel"	"Επόμενο παιχνίδι"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Ψήφος εργαστηρίου"
"DOTA_Custom_Game_Vote_YesLabel"	"Ναι, προωθήστε το!"
"DOTA_Custom_Game_Vote_NoLabel"	"Όχι, χρειάζεται δουλειά."
"DOTA_Custom_Game_Vote_SkipLabel"	"Παράλειψη παιχνιδιού, δεν έχω κάτι."
"DOTA_Custom_Game_Vote_Up"	"Καλό παιχνίδι"
"DOTA_Custom_Game_Vote_Down"	"Χρειάζεται δουλειά"
"Video_Support_Coming_Soon"	"Προσεχώς υποστήριξη βίντεο"
"DOTA_Custom_Game_Leave_Lobby"	"Αποχώρηση από το λόμπι"
"DOTA_Custom_Game_Suggested_Title"	"Προτεινόμενα παιχνίδια"
"DOTA_Custom_Game_Search"	"Αναζήτηση προσαρμοσμένων παιχνιδιών"
"DOTA_Custom_Lobby_Create_Button"	"ΔΗΜΙΟΥΡΓΙΑ ΛΟΜΠΙ"
"DOTA_Custom_Lobby_Settings_Title"	"ΔΗΜΙΟΥΡΓΙΑ ΛΟΜΠΙ"
"DOTA_Custom_Lobby_Settings_Mode"	"ΤΥΠΟΣ ΠΑΙΧΝΙΔΙΟΥ"
"DOTA_Custom_Lobby_Settings_Map"	"Χάρτης"
"DOTA_Custom_Lobby_LobbyName"	"Προαιρετική περιγραφή"
"DOTA_Custom_Lobby_List_Desc"	"Μια λίστα ιδιωτικών λόμπι (προστατευμένα με κωδικό) και αφιλτράριστων ενεργών προσαρμοσμένων παιχνιδιών"
"DOTA_Custom_Lobby_Public"	"Δημόσιο"
"DOTA_Custom_Lobby_Passworded"	"Οι παίκτες μπορούν να συνδεθούν στο λόμπι μόνο μέσω προσκλήσεων ή φιλτράροντας τη λίστα λόμπι βάσει κωδικού."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Αποτυχία σύνδεσης"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Create_Private_Button"	"Δημιουργία ιδιωτικού λόμπι"
"DOTA_Custom_Lobby_Find_Private_Button"	"Εύρεση ιδιωτικού λόμπι"
"DOTA_Custom_Lobby_Find_Private_Title"	"Εύρεση ιδιωτικού λόμπι"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Εισάγετε έναν κωδικό για να βρείτε ένα ιδιωτικό λόμπι:"
"DOTA_Custom_Lobby_List_Game_Header"	"ΠΑΙΧΝΙΔΙ"
"DOTA_Custom_Lobby_List_Name_Header"	"ΠΕΡΙΓΡΑΦΗ"
"DOTA_Custom_Lobby_List_Players_Header"	"ΠΑΙΚΤΕΣ"
"DOTA_Custom_Lobby_List_Map_Header"	"ΧΑΡΤΗΣ"
"DOTA_Custom_Lobby_List_Region_Header"	"ΠΕΡΙΟΧΗ"
"DOTA_Custom_Lobby_List_Connection_Header"	"ΣΥΝΔΕΣΗ"
"DOTA_Custom_Lobby_List_Status_Header"	"ΤΟΠΙΚΗ ΚΑΤΑΣΤΑΣΗ"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"ΧΑΡΤΗΣ: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"ΠΑΙΚΤΕΣ: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"ΟΡΑΤΟΤΗΤΑ ΛΟΜΠΙ"
"DOTA_Custom_Join_Chat"	"Σύνδεση σε συνομιλία"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"Αποχώρηση από συνομιλία"
"DOTA_Custom_Game_Vote_Up_Tooltip"	"Πατήστε για να ψηφίσετε θετικά αυτό το παιχνίδι στο Εργαστήρι Steam."
"DOTA_Page_Number"	"Σελίδα: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"ΕΠΙΣΚΟΠΗΣΗ"
"DOTA_TabName_ModsSubscribed"	"ΣΥΛΛΟΓΗ"
"DOTA_TabName_ModsWorkshop"	"Εργαστήρι"
"DOTA_TabName_ModsBrowse"	"Περιήγηση"
"DOTA_WatchTabName_Live"	"Ζωντανά"
"DOTA_WatchTabName_Featured"	"Προβαλλόμενα"
"DOTA_WatchTabName_Replays"	"Επαναλήψεις"
"DOTA_WatchTabName_Tournaments"	"Διοργανώσεις"
"DOTA_WatchTabName_Downloads"	"Λήψεις"
"DOTA_WatchLive_Search"	"Αναζήτηση ηρώων για παρακολούθηση"
"DOTA_WatchLive_DataPending"	"Εύρεση ζωντανών παιχνιδιών..."
"DOTA_WatchLive_DataError"	"Σφάλμα φόρτωσης παιχνιδιών ζωντανά"
"DOTA_WatchLive_NoGames"	"Δεν υπάρχουν ζωντανά παιχνίδια σε εξέλιξη"
"DOTA_WatchLive_Connecting"	"Αναμονή για δεδομένα παιχνιδιού..."
"DOTA_WatchLive_HeroFilter"	"Φίλτρο: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} θεατές"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} φίλος και {i:num_spectating} θεατές"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} φίλοι και {i:num_spectating} θεατές"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} φίλοι σε παιχνίδι"
"DOTA_WatchLive_ParticipantsVs"	"<font color='#ffffff'>{s:team_1}</font> <font color='#888888'>εναντίον</font> <font color='#ffffff'>{s:team_2}</font>"
"DOTA_WatchLive_ParticipantsMMR"	"<font color='#ffffff'>{i:mmr}</font> <font color='#888888'>μέσο MMR</font>"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} και {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2}, και {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3}, και {i:friend_count_over_3} περισσότεροι..."
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"Παρακολούθηση στο DotaTV"
"DOTA_WatchLivePurchase"	"Λήψη πάσου διοργάνωσης {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends1"	"Ο {g:dota_persona:spectator_friend_1} παρακολουθεί"
"DOTA_WatchLiveSpectatorFriends2"	"Οι {g:dota_persona:spectator_friend_1} και {g:dota_persona:spectator_friend_2} παρακολουθούν"
"DOTA_WatchLiveSpectatorFriends3"	"Οι {g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} και {g:dota_persona:spectator_friend_3} παρακολουθούν"
"DOTA_WatchLiveSpectatorFriends4Plus"	"Οι {g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} και {i:spectator_friend_count_over_3} ακόμη φίλοι παρακολουθούν"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} θεατές"
"DOTA_WatchLive_ElapsedTime"	"Διανυμένος χρόνος:"
"DOTA_WatchLive_Spectating"	"ΠΑΡΑΚΟΛΟΥΘΟΥΝ:"
"DOTA_WatchReplays_TournamentsHeader"	"ΔΗΜΟΦΙΛΕΙΣ ΑΓΩΝΕΣ ΤΟΥΡΝΟΥΑ"
"DOTA_WatchReplays_FriendsHeader"	"ΑΓΩΝΕΣ ΦΙΛΩΝ"
"DOTA_WatchReplays_Popular"	"ΔΗΜΟΦΙΛΕΙΣ ΑΓΩΝΕΣ"
"DOTA_WatchReplays_SavedForLater"	"ΑΠΟΘΗΚΕΥΤΗΚΕ ΓΙΑ ΜΕΛΛΟΝΤΙΚΗ ΠΡΟΒΟΛΗ"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} εναντίον {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_MatchType_Public"	"Αγώνας {s:match_id} - {s:game_mode}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations3Plus"	"{g:dota_persona:friend_1} + {i:friend_count_over_1} περισσότεροι φίλοι + {i:recommendations}"
"DOTA_WatchReplays_Friends1"	"Ο {g:dota_persona:b:friend_1} έπαιξε"
"DOTA_WatchReplays_Friends2"	"Οι {g:dota_persona:b:friend_1} και {g:dota_persona:friend_2} έπαιξαν"
"DOTA_WatchReplays_Friends3Plus"	"{g:dota_persona:b:friend_1}, {g:dota_persona:b:friend_2} και {i:friend_count_over_2} περισσότεροι φίλοι"
"DOTA_WatchReplays_Views"	"{i:views} προβολές"
"DOTA_WatchReplays_Price"	"{g:dota_item_price:ticket_itemdef}"
"DOTA_WatchReplays_SharedMatch"	"Ο {g:dota_persona:shared_by} κοινοποίησε - '{s:shared_text}'"
"DOTA_WatchReplays_SharedHighlight"	"Ο {g:dota_persona:shared_by} κοινοποίησε ένα στιγμιότυπο"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
"DOTA_WatchReplays_Tag"	"«{s:recommendation_text}»"
"DOTA_WatchTournaments_FeaturedTitle"	"{s:tournament_featured_title}"
"DOTA_WatchTournaments_FeaturedDates"	"{s:tournament_featured_start} - {s:tournament_featured_end}"
"DOTA_WatchTournaments_FeaturedDescription"	"{s:tournament_featured_description}"
"DOTA_WatchTournaments_FeaturedTeams"	"Ομάδες"
"DOTA_WatchTournaments_PrizePool"	"ΧΡΗΜΑΤΙΚΟ ΕΠΑΘΛΟ:"
"DOTA_WatchTournaments_PrizePoolAmt"	"{s:tournament_featured_prize_pool}"
"DOTA_WatchTournaments_Purchase"	"Πάσο διοργάνωσης - {s:tournament_featured_price}"
"DOTA_WatchTournament_TournamentName"	"{s:tournament_name}"
"DOTA_WatchTournament_Price"	"{s:price}"
"DOTA_Replays_Search"	"Αναζήτηση MatchID"
"DOTA_Watch_Pending"	"Αναμονή παρακολούθησης παιχνιδιού..."
"DOTA_Watch_GameServerNotFound"	"Δε βρέθηκε ο διακομιστής που διοργανώνει αυτό το παιχνίδι."
"DOTA_Watch_Unavailable"	"Αδυναμία παρακολούθησης αυτού του παιχνιδιού τώρα."
"DOTA_Watch_LobbyNotFound"	"Αποτυχία εύρεσης παιχνιδιού."
"DOTA_Watch_MissingLeagueSubscription"	"Αυτό το παιχνίδι είναι παιχνίδι πρωταθλήματος το οποίο απαιτεί συνδρομή για παρακολούθηση."
"vs"	"VS"
"dota_matchmaking_language_title"	"ΕΠΙΛΟΓΗ ΓΛΩΣΣΑΣ MATCHMAKING"
"dota_matchmaking_language_primary_label"	"Η κύρια γλώσσα matchmaking σας είναι:"
"dota_matchmaking_language_primary"	"{s:environment_language}"
"dota_matchmaking_language_primary_invalid"	"Η γλώσσα σας, τα {s:environment_language}, δεν είναι διαθέσιμη ως γλώσσα matchmaking στο Dota 2."
"dota_matchmaking_language_select_secondary"	"Αν επιθυμείτε, μπορείτε να επιλέξετε μια δευτερεύουσα γλώσσα:"
"dota_matchmaking_language_select_primary"	"Παρακαλούμε επιλέξτε μια γλώσσα παιχνιδιού:"
"dota_matchmaking_language_no_selection"	"Χωρίς επιλογή"
"dota_matchmaking_language_english"	"Αγγλικά"
"dota_matchmaking_language_russian"	"Ρώσικα"
"dota_matchmaking_language_chinese"	"Κινέζικα"
"dota_matchmaking_language_schinese"	"Κινέζικα"
"dota_matchmaking_language_korean"	"Κορεάτικα"
"dota_matchmaking_language_koreana"	"Κορεάτικα"
"dota_matchmaking_language_spanish"	"Ισπανικά"
"dota_matchmaking_language_portuguese"	"Πορτογαλικά"
"GameUI_Language_English"	"Αγγλικά"
"GameUI_Language_German"	"Γερμανικά"
"GameUI_Language_French"	"Γαλλικά"
"GameUI_Language_Italian"	"Ιταλικά"
"GameUI_Language_Korean"	"Κορεάτικα"
"GameUI_Language_Spanish"	"Ισπανικά"
"GameUI_Language_Simplified_Chinese"	"Απλοποιημένα Κινέζικα"
"GameUI_Language_Traditional_Chinese"	"Παραδοσιακά Κινέζικα"
"GameUI_Language_Russian"	"Ρώσικα"
"GameUI_Language_Thai"	"Ταϊλανδέζικα"
"GameUI_Language_Japanese"	"Ιαπωνικά"
"GameUI_Language_Portuguese"	"Πορτογαλικά"
"GameUI_Language_Polish"	"Πολωνικά"
"GameUI_Language_Danish"	"Δανικά"
"GameUI_Language_Dutch"	"Ολλανδικά"
"GameUI_Language_Finnish"	"Φινλανδικά"
"GameUI_Language_Norwegian"	"Νορβηγικά"
"GameUI_Language_Swedish"	"Σουηδικά"
"GameUI_Language_Hungarian"	"Ουγγρικά"
"GameUI_Language_Czech"	"Τσέχικα"
"GameUI_Language_Romanian"	"Ρουμανικά"
"GameUI_Language_Turkish"	"Τούρκικα"
"GameUI_Language_Brazilian"	"Πορτογαλικά-Βραζιλία"
"GameUI_Language_Bulgarian"	"Βουλγάρικα"
"GameUI_Language_Greek"	"Ελληνικά"
"GameUI_Language_Ukrainian"	"Ουκρανικά"
"client_version_out_of_date_title"	"Απαιτείται ενημέρωση"
"client_version_out_of_date"	"Το παιχνίδι δεν είναι ενημερωμένο. Τερματίστε και εκκινήστε ξανά το Dota 2 για να αποκτήσετε την τελευταία έκδοση."
"dota_matchmaking_region_title"	"ΕΠΙΛΟΓΗ ΠΕΡΙΟΧΩΝ ΠΑΙΧΝΙΔΙΟΥ"
"dota_matchmaking_region_auto"	"Αυτόματη επιλογή της καλύτερης περιοχής με βάση την τοποθεσία μου."
"dota_matchmaking_region_select"	"Επιλέξτε μέχρι και τρεις περιοχές matchmaking. Επιλέξτε μόνο τις περιοχές που είναι πιο κοντά σε εσάς για την καλύτερη εμπειρία."
"limited_heroes_abandon_header"	"Limited Heroes"
"limited_heroes_abandon_explanation"	"Δεν υπάρχει ποινή για αποχώρηση από παιχνίδι Limited Heroes, επειδή ο ήρωάς σας αντικαθίσταται με ένα bot. Η αποχώρηση από άλλο τύπο παιχνιδιού μπορεί να έχει ως αποτέλεσμα την τοποθέτησή σας σε χαμηλή προτεραιότητα."
"dota_abandon_dialog_title"	"ΕΓΚΑΤΑΛΕΙΨΗ"
"dota_abandon_dialog_confirm"	"Θέλετε σίγουρα να εγκαταλείψετε το παιχνίδι;"
"dota_abandon_dialog_yes"	"Ναι, εγκατάλειψη."
"dota_leave_dialog_title"	"ΑΠΟΧΩΡΗΣΗ"
"dota_leave_dialog_confirm"	"Θέλετε σίγουρα να αποχωρήσετε από το παιχνίδι;"
"dota_leave_dialog_yes"	"Ναι, αποχώρηση."
"dota_accept_match_title"	"Το παιχνίδι σας είναι έτοιμο"
"dota_accept_match_readyup_title"	"Αναμονή για παίκτες"
"dota_accept_match_accept"	"Αποδοχή"
"dota_accept_match_accept_low_pri"	"Αποδοχή αγώνα χαμηλής προτεραιότητας"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"Απόρριψη"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_finding_match_players"	"( {s:searching_player_count} σε αναζήτηση )"
"dota_finding_match_generic"	"Κανονικός αγώνας"
"dota_finding_match_ranked"	"Αγώνας κατάταξης"
"dota_finding_match_bot"	"Αγώνας Bot"
"dota_finding_match_team"	"Ομαδικός αγώνας κατάταξης"
"dota_finding_1v1_match_casual"	"Αγώνας 1v1"
"dota_finding_match_practice_lobby"	"Λόμπι παιχνιδιού"
"dota_safe_to_abandon_inline"	"Το παιχνίδι είναι ασφαλές για αποχώρηση"
"dota_match_connected"	"Σε παιχνίδι"
"dota_match_local_game"	"Σε τοπικό παιχνίδι"
"dota_match_connecting"	"Σύνδεση στο παιχνίδι..."
"dota_match_in_progress"	"Παιχνίδι σε εξέλιξη"
"dota_match_finished"	"Το παιχνίδι ολοκληρώθηκε"
"matchmaking_waiting_for_players"	"Αναμονή για υπόλοιπους παίκτες"
"matchmaking_player_declined"	"Ένας παίκτης απέρριψε το παιχνίδι"
"dota_match_wait_for_host"	"Αναμονή για εξυπηρετητή"
"dota_match_find_server"	"Εύρεση διακομιστή"
"ranked_mmr"	"Η κατάταξη matchmaking σας"
"ranked_mmr_solo_label"	"Solo"
"ranked_mmr_solo_value"	"{i:solo_mmr}"
"ranked_mmr_solo_calibrating"	"Υπό καθορισμό - Απομένουν {i:solo_calibrating_games} παιχνίδια"
"ranked_mmr_solo_no_data"	"Απαιτούνται {i:solo_calibrating_required_games} παιχνίδια για υπολογισμό"
"ranked_mmr_party_label"	"Παρέα"
"ranked_mmr_party_value"	"{i:party_mmr}"
"ranked_mmr_party_calibrating"	"Υπό καθορισμό - Απομένουν {i:solo_calibrating_games} παιχνίδια"
"ranked_mmr_party_no_data"	"Απαιτεί {i:party_calibrating_required_games} παιχνίδια για υπολογισμό"
"matchmaking_account_disabled"	"Λόγω υπερβολικά απρεπούς συμπεριφοράς δεν είστε σε θέση να συνομιλείτε ή να προσχωρείτε σε Matchmaking για %s1"
"matchmaking_match_disabled_party"	"Ο %s1 αποκλείστηκε από το matchmaking για %s2 επειδή δεν ήταν έτοιμος ή επειδή εγκατέλειψε το προηγούμενο παιχνίδι του."
"matchmaking_low_priority_party"	"Ο %s1 επιτρέπει μόνο εύρεση παιχνιδιού χαμηλής προτεραιότητας για %s2 εξαιτίας αποχωρήσεων από παιχνίδια ή λήψης υπερβολικών αναφορών."
"matchmaking_match_disabled_local"	"Αποκλειστήκατε από το matchmaking για %s1 επειδή δεν ήσασταν έτοιμοι ή επειδή εγκαταλείψατε το προηγούμενο παιχνίδι σας."
"matchmaking_low_priority_local"	"Θα παραμείνετε στην εύρεση παιχνιδιού χαμηλής προτεραιότητας για %s1 εξαιτίας αποχωρήσεων από παιχνίδια ή λήψης υπερβολικών αναφορών."
"dota_ready_up_count"	"{s:ready_up_ready} / {s:ready_up_lobby_members}"
"dota_play_normal_match"	"Κανονικός αγώνας"
"dota_play_ranked_match"	"Αγώνας κατάταξης"
"dota_play_practice_1v1"	"Εξάσκηση 1v1"
"dota_play_practice_with_bots"	"ΕΞΑΣΚΗΣΗ ΜΕ BOT"
"dota_play_practice_1v1_playtab"	"ΠΑΙΧΝΙΔΙ 1v1"
"dota_play_1v1_desc"	"Εξασκηθείτε εναντίον ενός αντιπάλου στο κεντρικό μέτωπο. Το παιχνίδι τελειώνει όταν ένας παίκτης πεθάνει δύο φορές ή χάσει ένα πύργο."
"dota_play_button_label"	"{s:play_button_label}"
"dota_play"	"ΠΑΙΞΤΕ DOTA"
"dota_play_searching"	"Εύρεση αγώνα"
"dota_play_connecting"	"Φόρτωση εξυπηρετητή..."
"dota_play_lobby_find_server"	"Εύρεση διακομιστή"
"dota_play_find_match_label"	"{s:find_match_label}"
"dota_reconnect"	"Επανασύνδεση"
"dota_abandon_game"	"Εγκατάλειψη"
"dota_safe_leave_game"	"Αποχώρηση από παιχνίδι"
"dota_disconnect"	"Αποσύνδεση"
"dota_play_unavailable"	"Μη διαθέσιμο"
"dota_leaver_consequence_tooltip_header"	"Συνέπειες"
"dota_leaver_consequences"	"{s:leaver_consequences}"
"dota_leaver_consequences_details"	"{s:leaver_consequences_details}"
"dota_leaver_view_tooltip"	"Προβολή λεπτομερειών"
"dota_leaver_consequence_header_failure_to_reconnect"	"Η αποτυχία επανασύνδεσης επιφέρει τις ακόλουθες συνέπειες:"
"dota_leaver_consequence_header_leave_match"	"Η αποχώρηση από αυτό το παιχνίδι επιφέρει τις ακόλουθες συνέπειες:"
"dota_leaver_consequence_LetDownTeammates"	"Οι συμπαίκτες σας θα παίζουν με αριθμητικό μειονέκτημα."
"dota_leaver_consequence_SmallMatchmakingCooldown"	"Δε θα μπορείτε να συμμετέχετε σε matchmaking για κάποιο χρονικό διάστημα."
