"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_4"		"For å være ærlig regnet jeg med at vi var ferdige her. Jeg gav deg alle de uvurderlige tingene mine. Jeg fortalte deg den forbannelsespålagte bakgrunnshistorien."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_5"		"Å, jeg skjønner. Du vil se på hanskene der borte. Drakons vrede. Selvfølgelig vil du det, de er perfekte."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_6"		"De er også i en glasskasse nederst i denne haugen med kofferter jeg nettopp pakket."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_7"		"La meg bare pakke ut ALT igjen, da. Med mindre du ønsket å komme tilbake ... nei."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_8"		"Selvfølgelig ikke. Akkurat."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_0"		"^-1.5Så bare hanskene, da? Bra. Hjelmen fra Drakons vrede er den beste delen av settet, jeg vil helst ikke ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_1"		"Sa jeg nettopp sett? Søren."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_2"		"Greit, ja, disse er en del av et sett. Det beste settet jeg eier, faktisk."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_3"		"^-2.0Det er bare at ... vel, det ligner veldig på gjenstandssettet jeg allerede har gitt deg. Jeg hadde faktisk håpet på å finne en ANNEN helt å gi det til ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_4"		"Vel, jeg skjønner poenget. Hva med at du gir meg det andre tilbake, så ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_5"		"Greit. Hvorfor ikke bare gi deg ALT ... og INGENTING til noen andre? Det gir også mening."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_6"		"Greit nok."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_7"		"Ja vel, la meg ta ned denne boksen og ... nei, ikke der. Kanskje denne tunge kisten ... uff! Nei."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-head_Quartero_8"		"Jeg får vel bare pakke ut alt igjen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-legs_Quartero_0"		"Du vet, jeg kan bare nekte. Hva er det verste som kan skje?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-legs_Quartero_1"		"Jeg SKAL faktisk nekte. Nei."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-legs_Quartero_2"		"Jeg kommer IKKE til å gi deg AAAAAHH, BEINMARGEN!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-legs_Quartero_3"		"Greit, greit, greit. Her, ta de uvurderlige lårskinnene. De er dine."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-legs_Quartero_4"		"Jeg håper du setter pris på det lille smutthullet du har funnet."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-shoulders_Quartero_0"		"La meg bare si ... du MINNER meg om noen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-shoulders_Quartero_1"		"En god person? Nei, helt. En skikkelig drittsekk. Noen hissige."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-shoulders_Quartero_2"		"^-2.0Noen uten et snev av anstendighet. Noen som er villige til å vekke noen andre klokka tre på natta for å presse dem for et dumt sett med skulderplater."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-shoulders_Quartero_3"		"Jeg tar det tilbake. Disse skulderplatene er vidunderlige. Jeg fant dem selv, forresten. Her."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-shoulders_Quartero_4"		"Uansett, du minner meg om ... om ... "
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-shoulders_Quartero_5"		"For å være ærlig minner du meg om meg selv."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-back_Quartero_0"		"Du minner meg om meg selv før jeg ble forbannet."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-back_Quartero_1"		"^-1.0Før jeg var kvartermester til og med. Da jeg var en ung lommetjuv i Kladds røffe gater. Det var noen røffe gater, skal jeg si deg. "
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-back_Quartero_2"		"^-1.0Til å være en dyr havneby, mener jeg. Den gang stengte isbutikken klokka fem, og da måtte man være forsiktig."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-back_Quartero_3"		"Jeg hørte til lyktesmuggutta. Og vi var raske, skal jeg si deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-back_Quartero_4"		"Lysestaker, halskjeder, snusdåser – vi stjal alt som ikke var spikret fast. Hvis det mot formodning VAR spikret fast, tok vi med Hammer-Peder."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-back_Quartero_5"		"Å, her! Fanene fra Drakons vrede. De lå rett under alle de tunge koffertene jeg hadde pakket. Det er alltid det siste stedet man ... har lyst til å lete."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-weapon_Quartero_0"		"Jeg ble bare fakket én gang. Jeg ranet et hus så raskt at jeg tråkket på et overbonet gulv og slo hodet i en dekorativ bjelle."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-weapon_Quartero_1"		"Vekket hele huset. Herren i huset utlovet til og med en dusør på meg. Og vet du hva jeg gjorde? "
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-weapon_Quartero_2"		"Jeg brøt meg inn i huset IGJEN klokka tre på natta, og stjal dusøren også!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-weapon_Quartero_3"		"^-2.0Litt som det du gjør nå – tar og tar og tar. Det føles annerledes på denne siden av disken, men jeg må bare si: Jeg respekterer tælen din."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-weapon_Quartero_4"		"Ta det. Ta alt. Ta lansen fra Drakons vrede. Nei, jeg insisterer."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-weapon_Quartero_5"		"Inntil vi møtes igjen ... kjære helt."
	"DOTA_VisualNovel_seasonal_winter_2025_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_winter_2025_Heading_itemset-01"		"Nether Beetle"
	"DOTA_VisualNovel_seasonal_winter_2025_Heading_itemset-02"		"Molten Monarch"
	"DOTA_VisualNovel_seasonal_winter_2025_Heading_itemset-03"		"Ember Enforcer"
	"DOTA_VisualNovel_seasonal_winter_2025_Heading_itemset-04"		"Gilded Tyrant"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_0"		"Helten! Du er TILBAKE! Og du ser FORFERDELIG ut! (Latter) Ha, perfekt!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_1"		"Se på de fillene du har på deg! Kom, kom, inn hit!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_2"		"Jeg vedder på at du leter etter et nytt parti med Kvartens unike gjenstandssett. Vel, flaks ... for ... deg!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_3"		"Samme vilkår som sist, du husker selvfølgelig min tragiske bakgrunnshistorie."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_4"		"Den ... jeg brukte en hel dag på å fortelle deg om? Ja? Nei ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_5"		"Vel, jeg antar at det var MYE å ta inn."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_6"		"Kort sagt: Jeg er forbannet til å gi bort ting, gratis, ellers dør jeg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_7"		"Smertefullt."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_8"		"Jeg ser du har fått øye på lunsjen min. Vel, jeg trenger ikke å spise den hvis du vil ha den som en varde."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_9"		"Men du går glipp av noe. Jeg er jo en geit, så jeg spiser hva som helst, men likevel."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm01_Quartero_10"		"(Tygging) Det er et ... søtt skall, noen knasende biter, et ... metallisk hint, tror jeg? Definitivt skinke. Det er mye som skjer her."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_0"		"Her, prøv på deg dette underjordshornet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_1"		"Ja, ja, JA. Ganske rått, ikke sant?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_2"		"Jeg klarte å fange denne lille rakkeren i en liten landsby opp i fjellet. Regjert av en EDDERKOPP, tro det eller ei."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_3"		"Ikke en liten edderkopp heller ... Nei, det hadde vært latterlig."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_4"		"Nei, en stor edderkopp, med en kongekrone på hodet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_5"		"Og som du sikkert kan gjette, er det en eventyrlig historie bak hvordan jeg fikk tak i den."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_6"		"Jeg ble selvfølgelig bundet av taushetsplikt."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_7"		"Men hvis jeg har lært noe om deg, hører du ikke engang etter akkurat nå, så det spiller ingen rolle."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm02_Quartero_8"		"Det var en gang ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_0"		"Det var en gang ... jeg gav deg denne gratis kappen: underjordsskallet! En gang eid ... av Edderkoppkongen!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_1"		"Trosset denne edderkoppen alle odds og ble konge? For en inspirerende historie DET hadde vært."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_2"		"Men nei. Denne historien handler om en lat konge som BLE til en edderkopp."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_3"		"Hvordan? Noen av landsbyboerne sa at kongen hadde blitt BITT av en edderkopp."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_4"		"Andre landsbyboere sa at han hadde blitt bitt av en heks, og DET gjorde ham om til en edderkopp, og jeg spurte, så det var en EDDERKOPP-heks, da?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_5"		"Og de sa nei, bare en vanlig heks, og jeg sa at det gir jo ikke så mye mening, og de sa det er morsomt, vi visste ikke at du var en sabla hekseekspert, og jeg bare, å skitt, jeg må slåss mot alle disse folkene."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm03_Quartero_6"		"Og så sa lederen at når en heks gjør deg om til en frosk, betyr det at hun er en FROSKE-heks? Og for å være ærlig, det hjalp meg en del. Du kunne se at de hadde ... tenkt mye på dette."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_0"		"Ah. Armbeskytterne! Se på håndverket på piggene. Det er en ekte billekjeve. Du ser det på måten lyset speiles. (Plystring) Se på den glansen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_1"		"Uansett, da jeg løp fra landsbyboerne, gjett hvem jeg traff på? Kongen!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_2"		"Og jeg tenkte, hvorfor ikke bare spørre ham om hvordan han hadde blitt en edderkopp, og hør: Han hadde ikke blitt BITT av en heks, bare FORBANNET."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_3"		"Så. Gåten løst, men hvem bryr seg egentlig, fordi POENGET er at det viste seg at han hadde hamstret RUSTNINGER."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_4"		"Denne kongen elsket rustning. MYE. Han hadde brukt hver eneste mynt i riket på altfor dyre gjenstandssett. Og nå, takket være heksens forbannelse, kunne han ikke bruke NOEN av dem."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_5"		"Og din gamle venn Kvarten tenkte, så tragisk."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm04_Quartero_6"		"Men også, takk ... som ... byr."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_0"		"Her, få dreis på denne tryllestaven. Ja. Kjenner du balansen? Det er ekte tverrgående skjoldstål."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_1"		"Uansett, han sa at jeg kunne få hele settet, og han kunne til og med slenge med stavene, og alt jeg måtte gjøre, var å dra på en søken etter Babrasbas kilde og finne en magisk eliksir til ham. Hørtes ut som grei skuring ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_2"		"... før han tok frem kartet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_3"		"Kilden lå i en slags grav, midt i en kannibaljungel, på et gudsforlatt møkkasted kalt Slangeøya, og ... nei. Absolutt ikke."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_4"		"Se på disse hendene. Se på disse myke, myke hendene. Jeg nærmer meg ikke jungelgraver."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_5"		"Nei, jeg hadde en bedre plan. Heksen som forbannet ham, bodde fem minutter unna slottet. Har du noen gang sett en heks? "
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_6"		"De er to hundre år gamle, og de er laget av balsatre. Jeg tenkte at jeg bare skulle finne denne heksen ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm05_Quartero_7"		"Og slå henne så hardt at hun kreperte."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_0"		"Og der er den andre tryllestaven. Jeg er glad for at du tar begge. Det hadde vært synd å dele dem fra hverandre."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_1"		"Heller ikke lett å smugle disse ut av Borekongeriket lenger. Ikke siden ... vel, det er en annen historie."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_2"		"Apropos historier, hvor var jeg? Ja visst. Finn heksen, slå henne, heve forbannelsen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_3"		"Det var i alle fall planen. Hun slapp meg faktisk ikke inn i hytta si."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_4"		"Så. Det jeg gjorde ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_5"		"Hm. La meg være forsiktig her. Jeg ... gikk ... TILBAKE til landsbyen og kjøpte flere runder øl på vertshuset for de mange vitnene som var til stede."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_6"		"Ja. Og MENS jeg var der ... du vil ikke tro dette ... brente noen huset hennes ned til grunnen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set01_itm06_Quartero_7"		"Det hevet forbannelsen umiddelbart."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_0"		"Ah, den smeltede kjeften. Her, len deg fremover, la meg få den på deg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_1"		"Uff! Den er TUNG!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_2"		"Hvordan føles det? Kan du se meg ut av øyehullene?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_3"		"Du ser VIRKELIG ond ut, forresten. Jeg vet ikke hvilke grimaser du gjør under der, men herfra ser det skremmende ut."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_4"		"Forresten, sånn juridisk så vil jeg være veldig, veldig tydelig på den siste delen jeg fortalte om heksens hus som brant ned, og at jeg befant meg på et annet sted med utallige vitner til stede."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_5"		"Jeg tror ikke heksen er DØD. (Fnising) Næ-æ-ei. Spøker du? Det hadde vært ... mord."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_6"		"Nei, jeg tror hun opphevde forbannelsen, flyttet til en annen by og endret navnet sitt."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm01_Quartero_7"		"Det er nesten helt sikkert det som skjedde. Det er faktisk det jeg fortalte politibetjentene."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_0"		"Uansett så dro jeg tilbake til kongen, og han var blitt til menneske igjen! Og død."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_1"		"Jeg tror at han må ha løpt rett til rustkammeret og begynt å prøve alle de flotte rustningene sine, og jeg antar at heksen kom TILBAKE til livet et lite øyeblikk før hun døde igjen, for han ble plutselig forvandlet tilbake til edderkopp, og så til menneske igjen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_2"		"Og hvis du plutselig går fra en PERSONFORMET kropp til en EDDERKOPPKROPP, og så tilbake til en PERSONKROPP igjen, mens du fortsatt har på deg rustning ... Jeg skal skåne deg for detaljene."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_3"		"Han døde momentant."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_4"		"Men hvis du VIL ha detaljene, så eksploderte alle ryggvirvlene i ryggraden hans samtidig som at organene ble presset opp i strupen slik at han ble kvalt i hjel mens ryggen hans eksploderte."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_5"		"Ærlig talt tok det overraskende lang tid. Et par minutter, minst."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm02_Quartero_6"		"Å. Dessuten, tidligere ... Sa jeg at heksen kom TILBAKE fra de DØDE? (Nervøst fnis) Det jeg egentlig mente ... var at ... du ser fantastisk ut med de klørne."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_0"		"Uansett kan jeg rapportere at, til forskjell fra heksen, lykkelig pensjonert et eller annet sted vil jeg tro, var kongen død."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_1"		"Jeg klarte å lirke det meste av ham ut av denne her mantelen, så nå kan vi få den på deg, hm?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_2"		"Nffh! Sånn! Tettsittende og fin."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_3"		"Det er mulig det fortsatt er noen biter inni der. Du kan beholde dem hvis du finner noen. Landsbyfolket og jeg fant nok til å begrave ham."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_4"		"Poenget er at kongen var teknisk sett 100 % forbannelsesfri til slutt, og en avtale er en avtale."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_5"		"Så undertegnede tok for seg, som avtalt, av ett gjenstandssett jeg selv fikk velge."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_6"		"Naturlig nok valgte jeg Nether Beetle. Men jeg likte også hvordan Molten Monarch så ut, så jeg tenkte, hvorfor ikke bare ta BEGGE så jeg kunne prøve dem på, og så returnere det jeg ikke likte?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_7"		"Og DET gav meg enda en idé, nemlig hvorfor ikke bare stjele ALT, og jeg holdt på å knuse et tredje sett ut av et glasskap da noen vakter dukket opp."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_8"		"Nå lurer du sikkert: Jeg sa i begynnelsen at denne historien har en LYKKELIG slutt. Men her er vi på slutten av historien, og hele rollebesetningen er døde eller savnede."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set02_itm03_Quartero_9"		"Ah! Men DU har to uvurderlige gjenstandssett. Og du levde lykkelig i alle dine dager i dem ... snipp, snapp, snute."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_0"		"Ah, det glødende settet! Kom igjen, prøv det!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_1"		"Jeg vet at det ser ut som om den brenner. Det er fordi at den brenner."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_2"		"Men mesteparten av varmen stråler utover, så når du har tatt den på deg, er de verste forbrenningene overstått."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_3"		"En morsom fortelling bak dette gjenstandssettet. Jeg kom faktisk i besittelse av det mens jeg prøvde å anskaffe et annet sett på Ultimyrakademiet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_4"		"Jeg prøvde å snike meg inn på universitetet forkledd som en professor. «Velkommen til forelesning! Du der! Les den boka! Bra!» og så videre."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_5"		"Jeg hadde ikke regnet med en klarsynsstein, som vurderte hvert hjerte i rommet for det minste glimt av ondsinnet hensikt."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm01_Quartero_6"		"Vel, hjertet mitt må ha glimtet noe inni helsike av fæle hensikter, for jeg befant meg plutselig i universitetets fangehull før jeg kunne knabbe så mye som en eneste jernsko."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_0"		"La oss få på deg denne rustningen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_1"		"Uff! Den er tung."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_2"		"Du må jo bli stekt som en and i den der. Jaja, du får vinke hvis det blir for hett."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_3"		"Uansett, fengsel. Jeg likte det ikke så godt."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_4"		"Jeg likte ikke cellen. Jeg likte ikke rottene eller sengen, eller dassen ved siden av sengen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_5"		"Men minst av alt likte jeg Ludolf, fangevokteren."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_6"		"Altså, jeg skjønner jo at det er fengsel. Kvarten er ikke laget av syltetøykake. Men altså ... et enkelt PLEDD for å holde varmen om natta."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_7"		"Jo da, jeg hadde jo et, men to hadde vært enda koseligere, og det fantes en hel bunke av dem i lintøyskapet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_8"		"Eller maten, skal jeg si deg. En skål med vassgraut er jo bare vann og mel. Det hadde knapt kostet fengselet noe som helst å gi oss gratis påfyll."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm02_Quartero_9"		"Det var som om Ludolf med vilje prøvde å gjøre fengselet så utrivelig som mulig."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_0"		"Se på det glødende seglet på dette bakstykket!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_1"		"Vet du hva, det er litt merkelig. Når jeg ser direkte på seglet ... er det som om det fyller hjertet mitt med ... "
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_2"		"Akk, hva er ordet jeg leter etter?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_3"		"Ah! Fortvilelse. Det var det. Å se på det fyller meg med fortvilelse."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_4"		"Vet du hva, jeg slutter med det nå."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_5"		"Uansett, der var jeg, lå og råtnet i fangehullet på den møkkete madrassen ved siden av den møkkete dassen, da jeg la merke til det på den møkkete veggen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_6"		"En tilkallingsformel! Jeg kunne tilkalle en ÅND!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_7"		"Jeg kunne ønske meg at Ludolf falt i grøten og druknet!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_8"		"Og at dødskrampene hans skulle velte stabelen med ekstra pledd så de rullet inn i cellen min!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_9"		"Jeg kunne så klart ha ønsket meg å ikke være i FENGSEL, men jeg var fortsatt VELDIG irritert på Ludolf i det øyeblikket og, tja, tenkte ikke klart."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm03_Quartero_10"		"Jeg kludret til noen av stavelsene her og der, men fikk mer eller mindre til formelen, så vips!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_0"		"La meg stramme beltet for deg. Sånn! Gi den krigskilten en snurr."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_1"		"Ja! Veldig fin snurring."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_2"		"Neste gang har du på deg noe under krigskilten, for det var ... STERK kost for din gamle venn Kvarten."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_3"		"Hvor var jeg i den gripende fengselsfortellingen? Akkurat! Flukten! Jeg hadde tilkalt en ånd som oppfyller ønsker!"
