"lang"
{
"Language"	"polish"
"[english]announcer_ann_custom_mode_05"	"Custom Game."
"announcer_ann_custom_mode_06"	"Wszyscy na wszystkich."
"[english]announcer_ann_custom_mode_06"	"Free for All."
"announcer_ann_custom_mode_07"	"Drużyny."
"[english]announcer_ann_custom_mode_07"	"Teams."
"announcer_ann_custom_mode_08"	"Obrona."
"[english]announcer_ann_custom_mode_08"	"Defense."
"announcer_ann_custom_mode_09"	"Atak."
"[english]announcer_ann_custom_mode_09"	"Offense."
"announcer_ann_custom_mode_10"	"Loch."
"[english]announcer_ann_custom_mode_10"	"Dungeon."
"announcer_ann_custom_mode_11"	"Przygoda."
"[english]announcer_ann_custom_mode_11"	"Adventure."
"announcer_ann_custom_mode_12"	"Logiczna."
"[english]announcer_ann_custom_mode_12"	"Puzzle."
"announcer_ann_custom_mode_13"	"Walka wręcz."
"[english]announcer_ann_custom_mode_13"	"Melee Battle."
"announcer_ann_custom_mode_14"	"Walka zasięgowa."
"[english]announcer_ann_custom_mode_14"	"Ranged Battle."
"announcer_ann_custom_mode_15"	"Bitwa bohaterów."
"[english]announcer_ann_custom_mode_15"	"Hero Battle."
"announcer_ann_custom_mode_16"	"Przejmowanie."
"[english]announcer_ann_custom_mode_16"	"Capture."
"announcer_ann_custom_mode_17"	"Bitwa."
"[english]announcer_ann_custom_mode_17"	"Battle."
"announcer_ann_custom_mode_18"	"Taktyki."
"[english]announcer_ann_custom_mode_18"	"Tactics."
"announcer_ann_custom_mode_19"	"Przed fazą wybierania."
"[english]announcer_ann_custom_mode_19"	"Pre Pick."
"announcer_ann_custom_mode_20"	"Pojedynek."
"[english]announcer_ann_custom_mode_20"	"Duel."
"announcer_ann_custom_mode_21"	"Wojna."
"[english]announcer_ann_custom_mode_21"	"War."
"announcer_ann_custom_mode_22"	"Pościg."
"[english]announcer_ann_custom_mode_22"	"Pursuit."
"announcer_ann_custom_mode_23"	"Eksploracja."
"[english]announcer_ann_custom_mode_23"	"Explore."
"announcer_ann_custom_mode_24"	"Trening."
"[english]announcer_ann_custom_mode_24"	"Training."
"announcer_ann_custom_mode_25"	"Wyścig."
"[english]announcer_ann_custom_mode_25"	"Race."
"announcer_ann_custom_mode_26"	"Gra w piłkę."
"[english]announcer_ann_custom_mode_26"	"Ballgame."
"announcer_ann_custom_vote_call"	"Ogłoszono głosowanie."
"[english]announcer_ann_custom_vote_call"	"A vote has been called."
"announcer_ann_custom_vote_begun"	"Rozpoczęło się głosowanie."
"[english]announcer_ann_custom_vote_begun"	"A vote has begun."
"announcer_ann_custom_vote_complete"	"Głosowanie zostało zakończone."
"[english]announcer_ann_custom_vote_complete"	"A vote has completed."
"announcer_ann_custom_begin"	"Start!"
"[english]announcer_ann_custom_begin"	"Begin!"
"announcer_ann_custom_overtime"	"Dogrywka."
"[english]announcer_ann_custom_overtime"	"Overtime."
"announcer_ann_custom_sudden_death"	"Nagła śmierć."
"[english]announcer_ann_custom_sudden_death"	"Sudden Death."
"announcer_ann_custom_add_time_01"	"Czas został doliczony."
"[english]announcer_ann_custom_add_time_01"	"Time has been added."
"announcer_ann_custom_add_time_02"	"Przeciwnikowi został przyznany dodatkowy czas."
"[english]announcer_ann_custom_add_time_02"	"The enemy has received additional time."
"announcer_ann_custom_add_time_03"	"Przeciwnikowi został przyznany dodatkowy czas."
"[english]announcer_ann_custom_add_time_03"	"An enemy has received additional time."
"announcer_ann_custom_add_time_04"	"Otrzymaliście dodatkowy czas."
"[english]announcer_ann_custom_add_time_04"	"You have received additional time."
"announcer_ann_custom_time_expired"	"Koniec czasu."
"[english]announcer_ann_custom_time_expired"	"Time expired."
"announcer_ann_custom_timer_02"	"Pozostały dwie minuty."
"[english]announcer_ann_custom_timer_02"	"Two minutes remaining."
"announcer_ann_custom_timer_03"	"Pozostały trzy minuty."
"[english]announcer_ann_custom_timer_03"	"Three minutes remaining."
"announcer_ann_custom_timer_04"	"Pozostały cztery minuty."
"[english]announcer_ann_custom_timer_04"	"Four minutes remaining."
"announcer_ann_custom_timer_05"	"Pozostało pięć minut."
"[english]announcer_ann_custom_timer_05"	"Five minutes remaining."
"announcer_ann_custom_timer_10"	"Pozostało dziesięć minut."
"[english]announcer_ann_custom_timer_10"	"Ten minutes remaining."
"announcer_ann_custom_timer_15"	"Pozostało piętnaście minut."
"[english]announcer_ann_custom_timer_15"	"Fifteen minutes remaining."
"announcer_ann_custom_timer_sec_05"	"Pozostało pięć sekund."
"[english]announcer_ann_custom_timer_sec_05"	"Five seconds remaining."
"announcer_ann_custom_timer_sec_10"	"Pozostało dziesięć sekund."
"[english]announcer_ann_custom_timer_sec_10"	"Ten seconds remaining."
"announcer_ann_custom_timer_sec_15"	"Pozostało piętnaście sekund."
"[english]announcer_ann_custom_timer_sec_15"	"Fifteen seconds remaining."
"announcer_ann_custom_timer_sec_30"	"Pozostało trzydzieści sekund."
"[english]announcer_ann_custom_timer_sec_30"	"Thirty seconds remaining."
"announcer_ann_custom_end_01"	"Zwycięstwo!"
"[english]announcer_ann_custom_end_01"	"Victory!"
"announcer_ann_custom_end_02"	"Jesteście zwycięzcami!"
"[english]announcer_ann_custom_end_02"	"You are victorious!"
"announcer_ann_custom_end_03"	"Przegrana!"
"[english]announcer_ann_custom_end_03"	"Defeated!"
"announcer_ann_custom_end_04"	"Pokonano was."
"[english]announcer_ann_custom_end_04"	"You were defeated."
"announcer_ann_custom_end_05"	"Przegraliście."
"[english]announcer_ann_custom_end_05"	"You have failed."
"announcer_ann_custom_end_06"	"Pat."
"[english]announcer_ann_custom_end_06"	"Stalemate."
"announcer_ann_custom_end_07"	"Remis."
"[english]announcer_ann_custom_end_07"	"Tie."
"announcer_ann_custom_end_08"	"Koniec gry."
"[english]announcer_ann_custom_end_08"	"Game over."
"announcer_ann_custom_end_09"	"Nie żyjesz."
"[english]announcer_ann_custom_end_09"	"You died."
"announcer_ann_custom_end_10"	"Gratulacje!"
"[english]announcer_ann_custom_end_10"	"Congratulations!"
"announcer_ann_custom_end_11"	"Kontynuować?"
"[english]announcer_ann_custom_end_11"	"Continue?"
"announcer_ann_custom_bad_01"	"Źle!"
"[english]announcer_ann_custom_bad_01"	"Bad!"
"announcer_ann_custom_countdown_01"	"Jeden."
"[english]announcer_ann_custom_countdown_01"	"One."
"announcer_ann_custom_countdown_02"	"Dwa."
"[english]announcer_ann_custom_countdown_02"	"Two."
"announcer_ann_custom_countdown_03"	"Trzy."
"[english]announcer_ann_custom_countdown_03"	"Three."
"announcer_ann_custom_countdown_04"	"Cztery."
"[english]announcer_ann_custom_countdown_04"	"Four."
"announcer_ann_custom_countdown_05"	"Pięć."
"[english]announcer_ann_custom_countdown_05"	"Five."
"announcer_ann_custom_countdown_06"	"Sześć."
"[english]announcer_ann_custom_countdown_06"	"Six."
"announcer_ann_custom_countdown_07"	"Siedem."
"[english]announcer_ann_custom_countdown_07"	"Seven."
"announcer_ann_custom_countdown_08"	"Osiem."
"[english]announcer_ann_custom_countdown_08"	"Eight."
"announcer_ann_custom_countdown_09"	"Dziewięć."
"[english]announcer_ann_custom_countdown_09"	"Nine."
"announcer_ann_custom_countdown_10"	"Dziesięć."
"[english]announcer_ann_custom_countdown_10"	"Ten."
"announcer_ann_custom_round_01"	"Runda 1."
"[english]announcer_ann_custom_round_01"	"Round 1."
"announcer_ann_custom_round_02"	"Runda 2."
"[english]announcer_ann_custom_round_02"	"Round 2."
"announcer_ann_custom_round_03"	"Runda 3."
"[english]announcer_ann_custom_round_03"	"Round 3."
"announcer_ann_custom_round_04"	"Runda 4."
"[english]announcer_ann_custom_round_04"	"Round 4."
"announcer_ann_custom_round_05"	"Runda 5."
"[english]announcer_ann_custom_round_05"	"Round 5."
"announcer_ann_custom_round_06"	"Runda 6."
"[english]announcer_ann_custom_round_06"	"Round 6."
"announcer_ann_custom_round_07"	"Runda 7."
"[english]announcer_ann_custom_round_07"	"Round 7."
"announcer_ann_custom_round_08"	"Runda 8."
"[english]announcer_ann_custom_round_08"	"Round 8."
"announcer_ann_custom_round_09"	"Runda 9."
"[english]announcer_ann_custom_round_09"	"Round 9."
"announcer_ann_custom_round_10"	"Runda 10."
"[english]announcer_ann_custom_round_10"	"Round 10."
"announcer_ann_custom_round_final"	"Ostatnia runda."
"[english]announcer_ann_custom_round_final"	"Final round."
"announcer_ann_custom_round_begin_01"	"Następna runda zaraz się zacznie."
"[english]announcer_ann_custom_round_begin_01"	"The next round will begin soon."
"announcer_ann_custom_round_begin_02"	"Przygotujcie się. Następna runda zaraz się zacznie."
"[english]announcer_ann_custom_round_begin_02"	"Prepare yourselves. The next round will begin soon."
"announcer_ann_custom_round_complete"	"Koniec rundy."
"[english]announcer_ann_custom_round_complete"	"Round complete."
"announcer_ann_custom_team_alerts_01"	"Objęliście prowadzenie."
"[english]announcer_ann_custom_team_alerts_01"	"You have taken the lead."
"announcer_ann_custom_team_alerts_02"	"Twoja drużyna objęła prowadzenie."
"[english]announcer_ann_custom_team_alerts_02"	"Your team has taken the lead."
"announcer_ann_custom_team_alerts_03"	"Straciliście prowadzenie."
"[english]announcer_ann_custom_team_alerts_03"	"You have lost the lead."
"announcer_ann_custom_team_alerts_04"	"Twoja drużyna utraciła prowadzenie."
"[english]announcer_ann_custom_team_alerts_04"	"Your team has lost the lead."
"announcer_ann_custom_team_alerts_05"	"Przejmijcie wszystkie punkty, aby wygrać mecz."
"[english]announcer_ann_custom_team_alerts_05"	"Capture all points to win the match."
"announcer_ann_custom_team_alerts_06"	"Ten punkt jest zablokowany."
"[english]announcer_ann_custom_team_alerts_06"	"This point is locked."
"announcer_ann_custom_team_alerts_07"	"Wszystkie punkty są zablokowane."
"[english]announcer_ann_custom_team_alerts_07"	"All points are locked."
"announcer_ann_custom_team_alerts_08"	"Wszystkie punkty są odblokowane."
"[english]announcer_ann_custom_team_alerts_08"	"All points are unlocked."
"announcer_ann_custom_team_alerts_09"	"Twój punkt jest przejmowany."
"[english]announcer_ann_custom_team_alerts_09"	"Your point is being contested."
"announcer_ann_custom_team_alerts_10"	"Jeden z twoich punktów jest przejmowany."
"[english]announcer_ann_custom_team_alerts_10"	"One of your points is being contested."
"announcer_ann_custom_new_item_01"	"Dostępny nowy przedmiot."
"[english]announcer_ann_custom_new_item_01"	"New item available."
"announcer_ann_custom_new_message_01"	"Nowa wiadomość."
"[english]announcer_ann_custom_new_message_01"	"New message."
"announcer_ann_custom_new_shop_01"	"Został otworzony nowy sklep."
"[english]announcer_ann_custom_new_shop_01"	"A new shop has opened."
"announcer_ann_custom_draft_01"	"Rozpoczęto wybór."
"[english]announcer_ann_custom_draft_01"	"Draft begins."
"announcer_ann_custom_draft_02"	"Wybrano ciebie."
"[english]announcer_ann_custom_draft_02"	"You have been chosen."
"announcer_ann_custom_draft_03"	"Wybierz swoją pozycję."
"[english]announcer_ann_custom_draft_03"	"Select your position."
"announcer_ann_custom_adventure_alerts_01"	"Nowy poziom."
"[english]announcer_ann_custom_adventure_alerts_01"	"Level up."
"announcer_ann_custom_adventure_alerts_02"	"Drużyna przeciwnika osiągnęła nowy poziom."
"[english]announcer_ann_custom_adventure_alerts_02"	"The enemy team has gained a level."
"announcer_ann_custom_adventure_alerts_03"	"Przeciwnik osiągnął nowy poziom."
"[english]announcer_ann_custom_adventure_alerts_03"	"An enemy has gained a level."
"announcer_ann_custom_adventure_alerts_04"	"Przeciwnik osiągnął nowy poziom."
"[english]announcer_ann_custom_adventure_alerts_04"	"The enemy has gained a level."
"announcer_ann_custom_adventure_alerts_05"	"Awans."
"[english]announcer_ann_custom_adventure_alerts_05"	"Ascended."
"announcer_ann_custom_adventure_alerts_06"	"Awansujesz w rankingu."
"[english]announcer_ann_custom_adventure_alerts_06"	"You have ascended."
"announcer_ann_custom_adventure_alerts_07"	"Twoja drużyna awansowała w rankingu."
"[english]announcer_ann_custom_adventure_alerts_07"	"Your team has ascended."
"announcer_ann_custom_adventure_alerts_08"	"Wroga drużyna awansowała w rankingu."
"[english]announcer_ann_custom_adventure_alerts_08"	"The enemy team has ascended."
"announcer_ann_custom_adventure_alerts_09"	"Masz nowe zadanie."
"[english]announcer_ann_custom_adventure_alerts_09"	"You have a new quest."
"announcer_ann_custom_adventure_alerts_10"	"Zadanie uaktualnione."
"[english]announcer_ann_custom_adventure_alerts_10"	"Quest updated."
"announcer_ann_custom_adventure_alerts_11"	"Zadanie ukończone."
"[english]announcer_ann_custom_adventure_alerts_11"	"Quest complete."
"announcer_ann_custom_adventure_alerts_12"	"Przeciwnik ukończył zadanie."
"[english]announcer_ann_custom_adventure_alerts_12"	"The enemy has completed a quest."
"announcer_ann_custom_adventure_alerts_13"	"Przeciwnicy dokonali postępu."
"[english]announcer_ann_custom_adventure_alerts_13"	"The enemy has progressed."
"announcer_ann_custom_adventure_alerts_14"	"Przeciwnicy przejęli cel."
"[english]announcer_ann_custom_adventure_alerts_14"	"The enemy has taken an objective."
"announcer_ann_custom_adventure_alerts_15"	"Przed wyruszeniem w drogę należy zebrać drużynę."
"[english]announcer_ann_custom_adventure_alerts_15"	"You must gather your party before venturing forth."
"announcer_ann_custom_adventure_alerts_16"	"Zbierz swoją drużynę."
"[english]announcer_ann_custom_adventure_alerts_16"	"Gather your party."
"announcer_ann_custom_adventure_alerts_17"	"Zdrajca atakuje."
"[english]announcer_ann_custom_adventure_alerts_17"	"A traitor attacks."
"announcer_ann_custom_adventure_alerts_18"	"Udało ci się wskazać zdrajcę."
"[english]announcer_ann_custom_adventure_alerts_18"	"You have revealed a traitor."
"announcer_ann_custom_adventure_alerts_19"	"Udało ci się zgładzić zdrajcę."
"[english]announcer_ann_custom_adventure_alerts_19"	"You have slain a traitor."
"announcer_ann_custom_adventure_alerts_20"	"Zinfiltrowano was."
"[english]announcer_ann_custom_adventure_alerts_20"	"You have been infiltrated."
"announcer_ann_custom_adventure_alerts_21"	"Twój agent zinfiltrował przeciwnika."
"[english]announcer_ann_custom_adventure_alerts_21"	"Your agent has infiltrated the enemy."
"announcer_ann_custom_adventure_alerts_22"	"Twój agent zinfiltrował przeciwnika."
"[english]announcer_ann_custom_adventure_alerts_22"	"Your agent has infiltrated an enemy."
"announcer_ann_custom_adventure_alerts_23"	"Twój agent atakuje."
"[english]announcer_ann_custom_adventure_alerts_23"	"Your agent attacks."
"announcer_ann_custom_adventure_alerts_24"	"Twój agent został wykryty."
"[english]announcer_ann_custom_adventure_alerts_24"	"Your agent has been revealed."
"announcer_ann_custom_adventure_alerts_25"	"Twój agent został zabity."
"[english]announcer_ann_custom_adventure_alerts_25"	"Your agent has been slain."
"announcer_ann_custom_adventure_alerts_26"	"Przeciwnik wykrył zdrajcę."
"[english]announcer_ann_custom_adventure_alerts_26"	"The enemy has revealed a traitor."
"announcer_ann_custom_adventure_alerts_27"	"Przeciwnik zabił zdrajcę."
"[english]announcer_ann_custom_adventure_alerts_27"	"The enemy has slain a traitor."
"announcer_ann_custom_adventure_alerts_28"	"Zdrajca atakuje przeciwnika."
"[english]announcer_ann_custom_adventure_alerts_28"	"A traitor attacks an enemy."
"announcer_ann_custom_adventure_alerts_29"	"Zdrajca atakuje przeciwnika."
"[english]announcer_ann_custom_adventure_alerts_29"	"A traitor attacks the enemy."
"announcer_ann_custom_adventure_alerts_30"	"Najemnik dołącza do ciebie."
"[english]announcer_ann_custom_adventure_alerts_30"	"A mercenary joins your cause."
"announcer_ann_custom_adventure_alerts_31"	"Najemnik został przez ciebie zatrudniony."
"[english]announcer_ann_custom_adventure_alerts_31"	"You have recruited a mercenary."
"announcer_ann_custom_adventure_alerts_32"	"Przeciwnik zatrudnił najemnika."
"[english]announcer_ann_custom_adventure_alerts_32"	"The enemy has recruited a mercenary."
"announcer_ann_custom_adventure_alerts_33"	"Przeciwnik zatrudnił najemnika."
"[english]announcer_ann_custom_adventure_alerts_33"	"An enemy has recruited a mercenary."
"announcer_ann_custom_adventure_alerts_34"	"Twój szlachcic jest w niebezpieczeństwie."
"[english]announcer_ann_custom_adventure_alerts_34"	"Your noble is in danger."
"announcer_ann_custom_adventure_alerts_35"	"Twój szlachcic jest bezpieczny."
"[english]announcer_ann_custom_adventure_alerts_35"	"Your noble is safe."
"announcer_ann_custom_adventure_alerts_36"	"Twój szlachcic został zamordowany."
"[english]announcer_ann_custom_adventure_alerts_36"	"Your noble has been assassinated."
"announcer_ann_custom_adventure_alerts_37"	"Szlachcic przeciwnika został zamordowany."
"[english]announcer_ann_custom_adventure_alerts_37"	"The enemy noble has been assassinated."
"announcer_ann_custom_adventure_alerts_38"	"Szlachcic przeciwnika został zamordowany."
"[english]announcer_ann_custom_adventure_alerts_38"	"An enemy noble has been assassinated."
"announcer_ann_custom_adventure_alerts_39"	"Szlachcic przeciwnika jest bezpieczny."
"[english]announcer_ann_custom_adventure_alerts_39"	"The enemy noble is safe."
"announcer_ann_custom_adventure_alerts_40"	"Szlachcic przeciwnika jest bezpieczny."
"[english]announcer_ann_custom_adventure_alerts_40"	"An enemy noble is safe."
"announcer_ann_custom_adventure_alerts_41"	"Zdrada!"
"[english]announcer_ann_custom_adventure_alerts_41"	"Betrayal!"
"announcer_ann_custom_adventure_alerts_42"	"Walcz!"
"[english]announcer_ann_custom_adventure_alerts_42"	"Fight!"
"announcer_ann_custom_adventure_alerts_43"	"Wróć do miasta."
"[english]announcer_ann_custom_adventure_alerts_43"	"Return to town."
"announcer_ann_custom_adventure_alerts_44"	"Miasto jest atakowane."
"[english]announcer_ann_custom_adventure_alerts_44"	"Town is under attack."
"announcer_ann_custom_adventure_alerts_45"	"Pojawił się skarb."
"[english]announcer_ann_custom_adventure_alerts_45"	"A treasure has appeared."
"announcer_ann_custom_adventure_alerts_46"	"Pojawiła się broń."
"[english]announcer_ann_custom_adventure_alerts_46"	"A weapon has appeared."
"announcer_ann_custom_adventure_alerts_47"	"Pojawił się przeciwnik."
"[english]announcer_ann_custom_adventure_alerts_47"	"An enemy has appeared."
"announcer_ann_custom_adventure_alerts_48"	"Pojawił się potwór."
"[english]announcer_ann_custom_adventure_alerts_48"	"A monster has appeared."
"announcer_ann_custom_turns_01"	"Twoja kolej."
"[english]announcer_ann_custom_turns_01"	"Your turn."
"announcer_ann_custom_turns_02"	"Twoja tura jest następna."
"[english]announcer_ann_custom_turns_02"	"Your turn is next."
"announcer_ann_custom_turns_03"	"Twoja drużyna jest następna."
"[english]announcer_ann_custom_turns_03"	"Your team is next."
"announcer_ann_custom_turns_04"	"Koniec tury."
"[english]announcer_ann_custom_turns_04"	"Turn ended."
"announcer_ann_custom_turns_05"	"Pozostał jeden ruch."
"[english]announcer_ann_custom_turns_05"	"One move remaining."
"announcer_ann_custom_turns_06"	"Brak ruchów."
"[english]announcer_ann_custom_turns_06"	"Out of moves."
"announcer_ann_custom_turns_07"	"Tura przeciwnika."
"[english]announcer_ann_custom_turns_07"	"Enemy turn."
"announcer_ann_custom_turns_08"	"Następnie wybierasz ty."
"[english]announcer_ann_custom_turns_08"	"You will pick next."
"announcer_ann_custom_ctf_01"	"Wróg zdobył sztandar."
"[english]announcer_ann_custom_ctf_01"	"The enemy has taken the banner."
"announcer_ann_custom_ctf_02"	"Twoja drużyna ma sztandar."
"[english]announcer_ann_custom_ctf_02"	"Your team has the banner."
"announcer_ann_custom_ctf_03"	"Zdobywasz sztandar."
"[english]announcer_ann_custom_ctf_03"	"You have taken the banner."
"announcer_ann_custom_ctf_04"	"Masz sztandar."
"[english]announcer_ann_custom_ctf_04"	"You have the banner."
"announcer_ann_custom_ctf_05"	"Twoja drużyna przejęła sztandar."
"[english]announcer_ann_custom_ctf_05"	"Your team has captured the banner."
"announcer_ann_custom_ctf_06"	"Twoja drużyna uzyskała punkt."
"[english]announcer_ann_custom_ctf_06"	"Your team has scored."
"announcer_ann_custom_ctf_07"	"Drużyna przeciwnika uzyskała punkt."
"[english]announcer_ann_custom_ctf_07"	"The enemy team has scored."
"announcer_ann_custom_ctf_08"	"Drużyna przeciwnika przejęła sztandar."
"[english]announcer_ann_custom_ctf_08"	"The enemy team has captured the banner."
"announcer_ann_custom_ctf_09"	"Drużyna przeciwnika przejęła flagę."
"[english]announcer_ann_custom_ctf_09"	"The enemy team has captured the flag."
"announcer_ann_custom_ctf_10"	"Drużyna przeciwnika zdobyła flagę."
"[english]announcer_ann_custom_ctf_10"	"The enemy has taken the flag."
"announcer_ann_custom_ctf_11"	"Twoja drużyna ma flagę."
"[english]announcer_ann_custom_ctf_11"	"Your team has the flag."
"announcer_ann_custom_ctf_12"	"Zdobywasz flagę."
"[english]announcer_ann_custom_ctf_12"	"You have taken the flag."
"announcer_ann_custom_ctf_13"	"Masz flagę."
"[english]announcer_ann_custom_ctf_13"	"You have the flag."
"announcer_ann_custom_ctf_14"	"Twoja drużyna przejęła flagę."
"[english]announcer_ann_custom_ctf_14"	"Your team has captured the flag."
"announcer_ann_custom_ctf_15"	"Sojusznik zdobył sztandar."
"[english]announcer_ann_custom_ctf_15"	"An ally has taken the banner."
"announcer_ann_custom_ctf_16"	"Sojusznik zdobył flagę."
"[english]announcer_ann_custom_ctf_16"	"An ally has taken the flag."
"announcer_ann_custom_ctf_17"	"Sojusznik przejął flagę."
"[english]announcer_ann_custom_ctf_17"	"An ally has captured the flag."
"announcer_ann_custom_ctf_18"	"Sojusznik przejął sztandar."
"[english]announcer_ann_custom_ctf_18"	"An ally has captured the banner."
"announcer_ann_custom_generic_alert_01"	"Twoja baza została zaatakowana."
"[english]announcer_ann_custom_generic_alert_01"	"Your base is under attack."
"announcer_ann_custom_generic_alert_02"	"Sojusznik został zaatakowany."
"[english]announcer_ann_custom_generic_alert_02"	"An ally is under attack."
"announcer_ann_custom_generic_alert_03"	"Twoje wojska zostały zaatakowane."
"[english]announcer_ann_custom_generic_alert_03"	"Your forces are under attack."
"announcer_ann_custom_generic_alert_04"	"Twoje wojska zostały zniszczone."
"[english]announcer_ann_custom_generic_alert_04"	"Your forces have been destroyed."
"announcer_ann_custom_generic_alert_05"	"Za mało zasobów."
"[english]announcer_ann_custom_generic_alert_05"	"Not enough resources."
"announcer_ann_custom_generic_alert_06"	"Niewystarczające środki."
"[english]announcer_ann_custom_generic_alert_06"	"Insufficient funds."
"announcer_ann_custom_generic_alert_07"	"Niegotowe."
"[english]announcer_ann_custom_generic_alert_07"	"Not ready."
"announcer_ann_custom_generic_alert_08"	"Ulepszenie ukończone."
"[english]announcer_ann_custom_generic_alert_08"	"Upgrade complete."
"announcer_ann_custom_generic_alert_09"	"Badania zakończone."
"[english]announcer_ann_custom_generic_alert_09"	"Research complete."
"announcer_ann_custom_generic_alert_10"	"Budowa ukończona."
"[english]announcer_ann_custom_generic_alert_10"	"Construction complete."
"announcer_ann_custom_generic_alert_11"	"Nadeszło wsparcie."
"[english]announcer_ann_custom_generic_alert_11"	"Reinforcements have arrived."
"announcer_ann_custom_generic_alert_12"	"Budowanie."
"[english]announcer_ann_custom_generic_alert_12"	"Building."
"announcer_ann_custom_generic_alert_13"	"Wstrzymano."
"[english]announcer_ann_custom_generic_alert_13"	"Paused."
"announcer_ann_custom_generic_alert_14"	"Wstrzymano."
"[english]announcer_ann_custom_generic_alert_14"	"On hold."
"announcer_ann_custom_generic_alert_15"	"Anulowano."
"[english]announcer_ann_custom_generic_alert_15"	"Cancelled."
"announcer_ann_custom_generic_alert_16"	"Misja ukończona."
"[english]announcer_ann_custom_generic_alert_16"	"Mission accomplished."
"announcer_ann_custom_generic_alert_17"	"Misja nieudana."
"[english]announcer_ann_custom_generic_alert_17"	"Mission failed."
"announcer_ann_custom_generic_alert_18"	"Przeciwna drużyna została zniszczona."
"[english]announcer_ann_custom_generic_alert_18"	"Enemy team destroyed."
"announcer_ann_custom_generic_alert_19"	"Sojusznicza drużyna została zniszczona."
"[english]announcer_ann_custom_generic_alert_19"	"Allied team destroyed."
"announcer_ann_custom_generic_alert_20"	"Przyznano złoto."
"[english]announcer_ann_custom_generic_alert_20"	"Gold awarded."
"announcer_ann_custom_generic_alert_21"	"Obrona."
"[english]announcer_ann_custom_generic_alert_21"	"Defend."
"announcer_ann_custom_generic_alert_22"	"Atak."
"[english]announcer_ann_custom_generic_alert_22"	"Attack."
"announcer_ann_custom_generic_alert_23"	"Punkt nawigacyjny."
"[english]announcer_ann_custom_generic_alert_23"	"Waypoint."
"announcer_ann_custom_generic_alert_24"	"Odwrót."
"[english]announcer_ann_custom_generic_alert_24"	"Retreat."
"announcer_ann_custom_generic_alert_25"	"Niewystarczające złoto."
"[english]announcer_ann_custom_generic_alert_25"	"Insufficient gold."
"announcer_ann_custom_generic_alert_26"	"Przeciwnikowi przyznano złoto."
"[english]announcer_ann_custom_generic_alert_26"	"Gold has been awarded to the enemy."
"announcer_ann_custom_generic_alert_27"	"Przeciwnikowi przyznano złoto."
"[english]announcer_ann_custom_generic_alert_27"	"Gold has been awarded to an enemy."
"announcer_ann_custom_generic_alert_28"	"Cel zbliża się do punktu nawigacyjnego."
"[english]announcer_ann_custom_generic_alert_28"	"The objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_29"	"Cel zbliża się do swojego punktu docelowego."
"[english]announcer_ann_custom_generic_alert_29"	"The objective is nearing its destination."
"announcer_ann_custom_generic_alert_30"	"Cel zbliża się do punktu nawigacyjnego."
"[english]announcer_ann_custom_generic_alert_30"	"An objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_31"	"Cel zbliża się do swojego punktu docelowego."
"[english]announcer_ann_custom_generic_alert_31"	"An objective is nearing its destination."
"announcer_ann_custom_generic_alert_32"	"Cel przeciwnika zbliża się do punktu nawigacyjnego."
"[english]announcer_ann_custom_generic_alert_32"	"The enemy's objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_33"	"Cel przeciwnika zbliża się do swojego punktu docelowego."
"[english]announcer_ann_custom_generic_alert_33"	"The enemy's objective is nearing its destination."
"announcer_ann_custom_generic_alert_34"	"Cel przeciwnika zbliża się do punktu nawigacyjnego."
"[english]announcer_ann_custom_generic_alert_34"	"An enemy's objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_35"	"Cel przeciwnika zbliża się do punktu docelowego."
"[english]announcer_ann_custom_generic_alert_35"	"An enemy's objective is nearing its destination."
"announcer_ann_custom_generic_alert_36"	"Bestia została zgładzona."
"[english]announcer_ann_custom_generic_alert_36"	"The beast has been slain."
"announcer_ann_custom_generic_alert_37"	"Przeciwnik zgładził bestię."
"[english]announcer_ann_custom_generic_alert_37"	"The beast has been slain by the enemy."
"announcer_ann_custom_generic_alert_38"	"Przeciwnik zgładził bestię."
"[english]announcer_ann_custom_generic_alert_38"	"The beast has been slain by an enemy."
"announcer_ann_custom_generic_alert_39"	"Bestia została zgładzona."
"[english]announcer_ann_custom_generic_alert_39"	"A beast has been slain."
"announcer_ann_custom_generic_alert_40"	"Przeciwnik zgładził bestię."
"[english]announcer_ann_custom_generic_alert_40"	"A beast has been slain by the enemy."
"announcer_ann_custom_generic_alert_41"	"Przeciwnik zgładził bestię."
"[english]announcer_ann_custom_generic_alert_41"	"A beast has been slain by an enemy."
"announcer_ann_custom_generic_alert_42"	"Sojusznik zgładził bestię."
"[english]announcer_ann_custom_generic_alert_42"	"The beast has been slain by an ally."
"announcer_ann_custom_generic_alert_43"	"Sojusznik zgładził bestię."
"[english]announcer_ann_custom_generic_alert_43"	"A beast has been slain by an ally."
"announcer_ann_custom_generic_alert_44"	"Zagrożenie nadciąga z północy."
"[english]announcer_ann_custom_generic_alert_44"	"A threat has been spotted to the north."
"announcer_ann_custom_generic_alert_45"	"Zagrożenie nadciąga z północnego wschodu."
"[english]announcer_ann_custom_generic_alert_45"	"A threat has been spotted to the northeast."
"announcer_ann_custom_generic_alert_46"	"Zagrożenie nadciąga ze wschodu."
