"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Próbálj a csapatod tornyainak hatósugarában harcolni a creepekkel és az ellenséges hősökkel."
		"dota_tip_intermediate_77"			"Az Aghanim's Shard közvetlenül fejleszti hősöd képességeit anélkül, hogy tárgyhelyet foglalna."
		"dota_tip_intermediate_78"			"Aghanim's Shard nem vásárolható a 15. perc előtt."
		"dota_tip_intermediate_79"			"A Glyph of Fortification újratöltődési ideje nullázódik, valahányszor az egyes szintek első tornyát ledöntik (a 4. szint kivételével)."

//ADVANCED LOADSCREEN TIPS		(150+ games played)
		"dota_tip_advanced_1"				"Biztos arany passzív arany formájában, és Adomány rúnák aktiválásával szerezhető. Az összes többi szerzemény bizonytalan arany, mely halálkor elveszíthető."
		"dota_tip_advanced_2"				"Kicsalogathatod a csapatod biztonságos vonalához legközelebbi semleges creep-tábor teremtényeit a vonali creepjeidhez."
		"dota_tip_advanced_3"				"Számos tárgy alkotóelemeire bontható, jobb egérgombbal rájuk kattintva a felszereléseid között, majd a „Szétszerel” lehetőséget választva. Hasznosítsd újra ezeket az összetevőket új tárgyak készítéséhez!"
		"dota_tip_advanced_4"				"Használj vezérlőcsoportokat parancsok kiadásához az irányításod alatt lévő különböző egységeknek. Vezérlőcsoport beállításához válassz ki egy vagy több egységet, tartsd lenyomva a Controlt, és nyomj meg egy számot. Adott vezérlőcsoport kiválasztásához nyomd meg a hozzá tartozó számot."
		"dota_tip_advanced_5"				"Ha hamarosan meghalsz, nyomd meg „Gyorsvétel végrehajtása” billentyűdet, hogy elköltsd az aranyadat, mielőtt elveszne!"
		"dota_tip_advanced_6"				"Az elsődleges tulajdonság Intelligenciára váltása a Power Treads-en egy kis extra manát adhat számodra."
		"dota_tip_advanced_7"				"Ha rendelkezel Armlet of Mordiggiannel, aktiválhatod az Unholy Strength-et, hogy ideiglenesen megnöveld életerődet. Az Unholy Strength kikapcsolása eltávolítja a hozzáadott életerőt, minimum 1 életerőt hagyva."
		"dota_tip_advanced_8"				"Desolatorral támadva már az első támadásra is hat a páncélcsökkentés a célponton."
		"dota_tip_advanced_9"				"A Manta Style aktiválása számos gyengítést eltávolít, és a már úton levő lövedékek egy részének céltévesztését okozza."
		"dota_tip_advanced_10"				"A visszavétel használata után 25 másodperc adódik hozzá a következő halálhoz."
		"dota_tip_advanced_11"				"A Cheese és a Refresher Shard is eladható 500 aranyért."
		"dota_tip_advanced_17"				"Ha számos azonos hatású aura hatókörén belül vagy, csak a legerősebb aura hatása érvényesül."
		"dota_tip_advanced_18"				"Ha tudod, hogy hamarosan meg fogsz halni, próbálj bemenni egy semleges creep-táborba, vagy Roshanhoz, és hagyd, hogy azok öljenek meg. Ez meggátolja, hogy az ellenséges csapat megkapja a haláloddal szerezhető aranyat és tapasztalatot."
		"dota_tip_advanced_19"				"A közelharcos barakkok másodpercenként 5 életponttal regenerálódnak. A távolsági barakkok nem regenerálódnak."
		"dota_tip_advanced_23"				"A Shadow Blade a Town Portal Scroll vagy bármely fenntartást igénylő varázslat közben is aktiválható."
		"dota_tip_advanced_24"				"A Power Treads Ügyességre váltása gyógyulás közben kicsit gyorsabb élet- és manatöltődést tesz lehetővé. Csak ne felejtsd el visszaváltani!"
		"dota_tip_advanced_25"				"Az Aegis of the Immortal támadható és beáldozható."
		"dota_tip_advanced_26"				"Az illúziók megosztott aurát adnak az eredeti hősüktől a közeli egységeknek."
		"dota_tip_advanced_28"				"Nem kell elpusztítanod az ellenség barakkjait az Ősük közelében levő tornyok sebzéséhez. A barakkok elpusztítása opcionális."
		"dota_tip_advanced_30"				"A Dust of Appearance hatásai megszüntethetők, de újra alkalmazva lesznek, ha az egység ismét belép a hatóterületre."
		"dota_tip_advanced_31"				"A rúnák megtámadhatók és beáldozhatók."
		"dota_tip_advanced_32"				"A Cleave sebzése olyan fizikai sebzés, amit a páncél csökkent."
		"dota_tip_advanced_33"				"Az 1-es szintű tornyoknak nincs Backdoor védelme."
		"dota_tip_advanced_34"				"A 2-es szintű tornyok Backdoor védelme le van tiltva, ha ellenséges vonali creep van a közelben. Az egyes 2-es szintű tornyok Backdoor védelme független a többiétől."
		"dota_tip_advanced_35"				"Minden 3-as és 4-es szintű torony, barakk és az Ős osztozik a Backdoor védelemben, ami le van tiltva, amikor ellenséges vonali creep van a bázis bármely része közelében."
		"dota_tip_advanced_36"				"A Backdoor védelem rövid időre még az után is tiltva lesz, hogy minden ellenséges creep meghalt a területen."
		"dota_tip_advanced_37"				"A Blade Mail a kapott sebzést ugyanolyan típusúként fordítja vissza."
		"dota_tip_advanced_39"				"Az Eye of Skadi áthatol a gyengítésimmunitáson, és nem lehet megszüntetni."
		"dota_tip_advanced_40"				"Ne feledj mindig magadnál tartani egy Town Portal Scrollt."
		"dota_tip_advanced_42"				"Egyes semleges creepek akkor varázsolják a képességeiket, amikor több egység van a közelben."
		"dota_tip_advanced_43"				"Az ősi creepnek nagy a mágiaellenállása, így más semleges creepekhez képest sokkal kevésbé hatékony varázslatokkal megölni őket."
		"dota_tip_advanced_44"				"A normál támadásoknak van egy „visszamozgás” animációja, ami a támadáspont után játszódik le. Bármilyen parancs megszakítja ezt a visszamozgás animációt, ami felhasználható arra, hogy gyorsabban üldözhess egy célpontot."
		"dota_tip_advanced_45"				"Egy ellenséges hős csak akkor kap Magic Wand tölteteket, ha lát téged, amikor varázsolsz. Ezt használhatod ellenséges wardok megtalálására."
		"dota_tip_advanced_46"				"A Shiva's Guard 800 egység területű repülő látómezőt ad a varázslója körül varázsláskor, ami hasznossá teszi hegynek felfelé vagy akadályok mögötti felderítéskor."
		"dota_tip_advanced_48"				"Ha 500 egységnél távolabb vagy közelharci creepektől, amikor hőst támadsz, azok nem fognak megtámadni."
		

//HERO-SPECIFIC TIPS (see them if the hero is in the game)
		"dota_tip_hero_abaddon_1"			"Abaddon Borrowed Time-ja manuálisan továbbra is aktiválható, amikor Abaddon Break hatása alatt áll."
		"dota_tip_hero_abaddon_2"			"Abaddon Aphotic Shieldje lejáratakor a védett szövetséges körül egy területen mindig a teljes sebzést okozza, függetlenül attól, mennyi sebzést nyelt el."
		"dota_tip_hero_abaddon_3"			"Abaddon használhatja Aphotic Shield képességét a legtöbb gyengítés és bénítás szövetséges hősökről való eltávolítására."
		"dota_tip_hero_abaddon_4"			"Abaddon Curse of Avernus képességének gyengítése hat az épületekre, ami nagyon hatékonnyá teszi őt az ostromlásban."
		"dota_tip_hero_abaddon_5"			"Abaddon Borrowed Time képessége aktiválható manuálisan még bénítás vagy álom közben is, eltávolítva a legtöbb gyengítést."
		"dota_tip_hero_abaddon_6"			"Abaddon meghalhat a Borrowed Time automatikus aktiválása előtt, ha a sebzés, ami az aktiválási küszöb alá viszi, egyben meg is öli őt."
		"dota_tip_hero_abaddon_7"			"Alacsony sebzésű bénítások és magatehetetlenné tételek használatával, mint az Eul's Scepter, hatásosan meggátolható, hogy Abaddon a Borrowed Time ideje alatt sebzést szenvedjen."
		"dota_tip_hero_abaddon_8"			"Abaddon Aphotic Shieldje nem sebzi azokat az egységeket, amelyeket Abaddon nem lát. A sebződés elkerüléséhez használhatod a háború ködét vagy láthatatlanságot."

		"dota_tip_hero_abyssal_underlord_1"	"Underlord Firestorm képessége az áldozat maximális életerejének százalékát sebzi mágikus sebzésként minden hullámmal, ami nagyon hatékonnyá teszi magas életerejű hősök ellen."

		"dota_tip_hero_alchemist_1"			"Alchemist Greevil's Greeddel szerzett aranya nem megbízható."
		"dota_tip_hero_alchemist_2"			"Alchemist Acid Spray képessége fizikai sebzést okoz és csökkenti a páncélt, hatásos eszközzé téve azt ősi semlegesek vagy Roshan megölésére."
		"dota_tip_hero_alchemist_3"			"Helyesen időzítve Alchemist Unstable Concoctionjének bénítása elkerülhető Manta Style vagy Eul's Scepter of Divinity használatával, még maga Alchemist által is."
		"dota_tip_hero_alchemist_4"			"Ha Alchemist el van hallgattatva vagy nincs célozható ellenséges hős, amikorra az Unstable Concoction eléri teljes hatóerejét, maga Alchemist lesz megbénítva, kiszolgáltatottá válva az ellenségeknek."
		"dota_tip_hero_alchemist_5"			"Alchemist Greevil's Greedjének Adomány Rúna bónusza csak magára Alchemistre hat. Nem számít, ki veszi fel magát a rúnát."
		"dota_tip_hero_alchemist_6"			"Alchemist Chemical Rage képessége hatalmas életerőtöltődés-bónuszt ad neki, ami csökkenthető Spirit Vessellel, Orb of Corrosionnel, Shiva's Guarddal, Eye of Skadival, vagy Ancient Apparition Ice Blastjával."


		"dota_tip_hero_ancient_apparition_1" "Ancient Apparition Ice Blast képessége megakadályozza a gyógyító hatásokat a hatása alatt álló egységeken. Ha egy áldozat életereje egy kritikus határ alá csökken, az áldozat meghal."

		"dota_tip_hero_arc_warden_1"		"Arc Warden sárga mágneses mezeje kitérést ad a mezőn belüli szövetségeseknek a mezőn kívülről érkező támadásokkal szemben, beleértve tornyok támadásait is. A Tempest Double kék mágneses mezeje nem nyújt ilyen védelmet."
		"dota_tip_hero_arc_warden_2"		"Arc Warden sárga Magnetic Field képessége a mezőn belüli szövetséges épületeknek is kitérést tud adni a mezőn kívülről érkező támadások ellen."
		"dota_tip_hero_arc_warden_4"		"Arc Warden Flux képességének sebzése elkerülhető egy szövetséges egység közelében állva, de a lassítása meg fog maradni."

		"dota_tip_hero_axe_1"				"Axe Battle Hunger képességének hatása megszüntethető bármilyen egység elleni utolsó találattal vagy beáldozással."
		"dota_tip_hero_axe_2"				"Axe Berserker's Callja áthatol a gyengítésimmunitáson, ami hatásossá teszi azt Black King Bart használó ellenségek helyhez szegezésére."
		"dota_tip_hero_axe_4"				"A Battle Hunger csak addig lassítja az ellenségeket, amíg nem Axe felé néznek."
		"dota_tip_hero_axe_5"				"Axe illúzióinak, például az Illúzió rúnából vagy a Manta Style-ból, teljes erősségű Counter Helixe van."
		"dota_tip_hero_axe_6"				"Axe Culling Blade-je meg tudja ölni a célpontot még Dazzle Shallow Grave-jén vagy Oracle False Promise-án keresztül is, a Linken's Sphere-en viszont nem hatol át."
		"dota_tip_hero_axe_7"				"Axe Culling Blade-je használható a futár megölésére."

		"dota_tip_hero_bane_1"				"Egy Bane Nightmare képességének hatása alatt álló szövetségest megtámadva az kiszabadul a hatás alól, de helyette átkerül rád."
		"dota_tip_hero_bane_2"				"Bane akkor is meg tudja szüntetni a Nightmare-jét, ha ő maga is a hatása alatt áll, de ha el van hallgattatva, nem lesz képes erre."
		"dota_tip_hero_bane_3"				"Bane Nightmare-je egy pillanatnyi sebezhetetlenséget ad a célpontnak varázsláskor, így használható a bejövő sebzés enyhítésére szövetségeseken."
		"dota_tip_hero_bane_4"				"Bane-nek sok egy célpontos képessége van, ami nagyon hatékonnyá teszi a Linken's Sphere-t és a Lotus Orbot ellene használva."

		"dota_tip_hero_batrider_1"			"Batrider Sticky Napalm képessége többlet mágikus sebzést okoz az áldozatnak, amikor Batrider támadja. A Sticky Napalm nem aktiválódik, amikor más egységek támadják a célpontot."

		"dota_tip_hero_beastmaster_1"		"Beastmaster Primal Roar képessége a gyengítésimmunis célpontokat is megbénítja."
		"dota_tip_hero_beastmaster_2"		"Beastmaster Wild Axes képessége használható fák kivágására rejtett ellenségek felfedéséhez."
		"dota_tip_hero_beastmaster_3"		"Beastmaster Inner Beast képessége minden szövetséges hősre, valamint creepre és idézett egységre hat. A Helm of the Overlord vagy Helm of the Dominator által létrehozott egységek nagy hasznot húznak ebből az aurából."
		"dota_tip_hero_beastmaster_4"		"A Linken's Sphere az elsődleges célponton teljesen blokkolja Beastmaster Primal Roarját."
		"dota_tip_hero_beastmaster_5"		"A Beastmaster Call of the Wild képessége által idézett egységek rendkívül hasznosak felderítésre és ellenséges hősök zaklatására, de jelentős mennyiségű aranyat és tapasztalatot adnak, ha megölik őket."
		"dota_tip_hero_beastmaster_6"		"Erős megszüntetés, mint az Aeon Disk vagy Abaddon Aphotic Shieldje, használható Beastmaster Primal Roar bénításának eltávolítására."

		"dota_tip_hero_bloodseeker_1"		"Bloodseeker Rupture-jének hatása alatt lehet Town Portal Scrollt használni anélkül, hogy további sebződést szenvednél."
		"dota_tip_hero_bloodseeker_2"		"Légy óvatos, amikor sebesült vagy: a Thirst látómezőt és igazlátást ad Bloodseekernek a 25% alatti életerejű ellenségeken."
		"dota_tip_hero_bloodseeker_4"		"Bloodseeker Bloodrage-e varázslaterősítést és támadási sebességbónuszt biztosít. Szövetségeseken használva a támadási sebességbónusz feleakkora."
		"dota_tip_hero_bloodseeker_5"		"A Linken's Sphere blokkolja Bloodseeker Rupture-jét, így bizonyos hősöknek megérheti beruházni rá Bloodseekerrel állva szemben."
		"dota_tip_hero_bloodseeker_6"		"Bloodseeker Bloodrage-e növeli a Magic Stick vagy Magic Wand tölteteit, ami igen hasznos lehet ellene a játék elején."
		"dota_tip_hero_bloodseeker_7"		"Bloodseeker Thirstje lehetővé teszi számára a normál 550-es mozgási sebességkorlát átlépését."
		"dota_tip_hero_bloodseeker_8"		"Ha van elég ÉP-d, a Blade Mail nagyon hatékony tud lenni a Rupture Bloodseeker ellen fordítására."

		"dota_tip_hero_bounty_hunter_1"		"A szövetségesek csak akkor kapják meg a bónuszaranyat Bounty Hunter Track képességétől, ha 1200 egységen belül vannak az áldozattól, amikor az meghal. Magának Bounty Hunternek nincs távolságkorlátozása a Track bónuszaranyára, és akkor is megkapja a Track bónuszt, ha ő maga épp halott."
		"dota_tip_hero_bounty_hunter_2"		"Alt-kattintás a Track gyengítés ikonjára megmutatja a célpontnál lévő aranymennyiséget."

		"dota_tip_hero_brewmaster_1"		"Amikor Brewmaster Primal Splitje véget ér, Brewmaster az első élő Brewling helyén jelenik meg újra, a következő sorrendben: Earth, Storm, Fire, Void."
		"dota_tip_hero_brewmaster_4"		"Primal Split alatt a Brewmaster által hordozott összes aura az első élő Brewlingot fogja követni a következő sorrendben: Earth, Storm, Fire, Void."
		"dota_tip_hero_brewmaster_6"		"Brewmaster Storm Brewlingje a Dispel Magic használatával meg tudja szüntetni a saját Cyclone-ját."

		"dota_tip_hero_bristleback_1"		"Amikor Bristleback Break hatása alatt áll, Bristleback képessége kikapcsol, jelentősen csökkentve túlélőképességét."
		"dota_tip_hero_bristleback_3"		"Bristleback többször is varázsolhat Viscous Nasal Goot az ellenségekre, jelentősen csökkentve páncéljukat és mozgási sebességüket, ami hatékonnyá teszi Roshan ellen."
		"dota_tip_hero_bristleback_4"		"Bristlebacket megakadályozva a Quill Spray folyamatos varázslásában, például elhallgattatással, jelentősen csökkenteni fogja az által okozható sebzés mértékét."
		"dota_tip_hero_bristleback_5"		"Bristleback képességeinek nem kell eltalálniuk ellenséges egységeket Warpath-jának aktiválódásához."
		"dota_tip_hero_bristleback_6"		"Bristleback Quill Spray sebzése fizikai, és csökkenthető páncéllal."
		"dota_tip_hero_bristleback_7"		"Bristleback szeret sokat varázsolni, így egy Magic Stick vagy Magic Wand nagyon hatékony ellene használva."

		"dota_tip_hero_broodmother_1"		"Broodmother Spiderlingjeinek támadásától a célzott egység egy Spiderite-ot hoz létre rögtön a halálakor."

		"dota_tip_hero_centaur_1"			"Centaur Warrunner Retaliate képessége a kapott sebzést fizikai sebzésként veri vissza. A tornyok támadásának sebzését is visszaveri."
		"dota_tip_hero_centaur_2"			"Centaur Warrunner Double Edge-je mágikus sebzést okoz, amit célpontjai és maga Centaur Warrunner is csökkenteni tud mágiaellenállással."
		"dota_tip_hero_centaur_3"			"Centaur Warrunner Stampede-je globális és használható a szövetségesek támadásának vagy visszavonulásának segítésére még akkor is, ha Centaur Warrunner messze van."
		"dota_tip_hero_centaur_4"			"A Rod of Atos vagy az Eul's Scepter of Divinity jó módja Centaur Warrunner szövetségesei elmenekülésének megakadályozására Stampede során."
		"dota_tip_hero_centaur_5"			"Centaur Warrunnernek jelentős életerő-mennyisége van, így bármely képesség, amely az ellenfél életereje alapján sebez, mint Lifestealer Feastje vagy Necrophos Heartstopper Aurája, nagyon hatásos."

		"dota_tip_hero_chaos_knight_1" 		"Chaos Knight Phantasmja rövid időre sebezhetetlenné teszi őt, ami lehetővé teszi számára lövedékek lerázását és magatehetetlenné tételek elkerülését."
		"dota_tip_hero_chaos_knight_2"		"Chaos Knight Chaos Boltja lassan mozog, így egy jól időzített blinkeléssel vagy Eul's Scepter of Divinityvel lerázható."
		"dota_tip_hero_chaos_knight_3"		"Az Armlet of Mordiggian aktiválása Phantasm használata előtt többletsebzést és életerő-bónuszt ad Chaos Knight másolatainak."
		"dota_tip_hero_chaos_knight_5"		"Chaos Knight Reality Riftjének látványeffektje varázsláskor azonnal megjelenik, de még meggátolható elteleportálva, vagy eltűnve a háború ködében."
		"dota_tip_hero_chaos_knight_6"		"A Chaos Knight okozta sebzés zöme fizikai, így Ghost Scepterrel és páncélt adó tárgyakkal csökkenthető."
		"dota_tip_hero_chaos_knight_7"		"Chaos Knight Reality Riftje az összes közeli illúzióját begyűjti, beleértve a Manta Style és az Illusion Rune illúzióit, valamint azokat, amelyeket más hősök hoztak létre Aghanim' Scepterrel."

		"dota_tip_hero_chen_1"				"Chen Penitence képességének hatására a célegységet támadó összes szövetséges egység támadási sebességbónuszt kap."

		"dota_tip_hero_crystal_maiden_1"	"Crystal Maiden Frostbite képessége, mint bármelyik legyökereztetés, használható egy ellenség fenntartott varázslatának vagy Town Portal Scrolljának megszakítására."
		"dota_tip_hero_crystal_maiden_2"	"Crystal Maiden Crystal Novája rövid időre látómezőt ad a földön a célzott helyen, és nagyon hasznos lehet rejtett területek felderítésekor, vagy a fák közt menekülni próbáló ellenségek keresésére."
		"dota_tip_hero_crystal_maiden_3"	"A legyökereztetések többségéhez hasonlóan Crystal Maiden Frostbite-ja kivédhető megszüntetés használatával olyan tárgyakból, mint az Eul's Scepter of Divinity vagy a Manta Style."
		"dota_tip_hero_crystal_maiden_4"	"Crystal Maiden Aghanim's Scepterrel fejlesztett Freezing Field képessége minden olyan ellenségre Frostbite-ot varázsol, amelyik túl sokáig marad a területén."

		"dota_tip_hero_dark_seer_1"			"Dark Seer Ion Shellje minden ellenséget sebez a célpont körül, még akkor is, ha nem láthatók."

		"dota_tip_hero_dark_willow_1"		"Még ha Dark Willow a Shadow Realm hatása alatt áll is, területre ható képességek továbbra is tudnak hatni rá."

		"dota_tip_hero_dazzle_1"			"Dazzle Shallow Grave képessége meggátolja a célpont halálát az időtartam során bármekkora mennyiségű, bármilyen forrású sebzéssel szemben, az azonnali halált okozó képességek azonban továbbra is meg tudják ölni az egységet Shallow Grave során."

		"dota_tip_hero_death_prophet_1"		"Death Prophet Exorcism képességének szellemei fizikai sebzést okoznak, ami csökkenthető páncéllal."

		"dota_tip_hero_disruptor_1"			"Disruptor Thunder Strike-ja két másodpercenként pulzál. A Glimpse négy másodperccel mozgatja vissza az időben a célpontot. A Thunder Strike-ot tudod használni a Glimpse tökéletes időzítésére."

		"dota_tip_hero_doom_bringer_1" 		"Doom Doom képessége tiszta sebzést okoz, ami nem csökkenthető páncéllal vagy mágiaellenállással."
		"dota_tip_hero_doom_bringer_2" 		"A Devour nem csak a célegység aktív képességét adja Doomnak, de passzív képességeit és auráit is, nélkülözhetetlenné téve Doomot a csapatharcokban."
		"dota_tip_hero_doom_bringer_3" 		"Egy Linken's Sphere remek mód Doom Doomjának blokkolására. Doom kivédheti ezt célzott képesség használatával felfalva egy semleges creepet, megfelelő aktív tárgyat készítve, vagy az Aghanim's Scepter fejlesztést használva."
		"dota_tip_hero_doom_bringer_4" 		"A Scorched Earth sebzi a közeli ellenségeket, és megnövelt mozgási sebességgel látja el Doomot."
		"dota_tip_hero_doom_bringer_6" 		"Doom Adottságfejlesztése Break hatást biztosít a Doom képességnek, nagyon hatásossá téve azt erős passzív képességekkel rendelkező ellenségek ellen, mint Phantom Assassin vagy Spirit Breaker."

		"dota_tip_hero_dragon_knight_1"		"Dragon Knight Elder Dragon Formjának Corrosive Breath képessége az egységek mellett az épületekre is hat, ami hatásos ostromképességgé teszi."
		"dota_tip_hero_dragon_knight_2" 	"Dragon Knight Breathe Fire-jének sebzéscsökkentése nagyon hatásos eszköz, amikor kölcsönösen támadjátok egymást egy ellenféllel, vagy egy ellenség képességének csökkentésére utolsó találatok bevitelére vonali creepeken."
		"dota_tip_hero_dragon_knight_3" 	"Dragon Knight túlélőképességének nagy része Dragon Blood passzív képességéből ered, ami bónusz életerő-töltődést és páncélt ad neki, ez pedig sebezhetővé teszi őt a Break hatással szemben olyan dolgoktól mint Viper Viper Strike-ja vagy a Silver Edge."
		"dota_tip_hero_dragon_knight_4"		"Elder Dragon Form során Dragon Knight távolsági hőssé változik, lehetővé téve, hogy hasznot húzzon olyan tárgyakból, mint a Hurricane Pike, de elveszítve az olyan tárgyak adta bónuszokat, mint az Echo Sabre."
		"dota_tip_hero_dragon_knight_5"		"Dragon Knight akkor tud hatékony lenni, ha közel kerül a célpontjaihoz. Az olyan képességek és tárgyak, amelyek lelassítják, mint a Shiva's Guard vagy a Rod of Atos nagyon hatásosak a távol tartására."
		"dota_tip_hero_dragon_knight_6"		"Dragon Knight nagy páncélja nagyon szívóssá teszi őt fizikai sebzéssel szemben, de csökkenthető olyan páncélcsökkentő tárgyakkal, mint az Assault Cuirass vagy Medallion of Courage."

		"dota_tip_hero_drow_ranger_1"		"Drow Ranger Frost Arrows nyilai nem fognak creep aggrót vonzani, ha manuálisan varázsolod őket a támadás közbeni auto-varázslás helyett. Ezt használhatod a vonalon való zaklatásra."
		"dota_tip_hero_drow_ranger_2"		"Drow Ranger Gustja nem teszi magatehetetlenné az ellenséges egységeket, és nem szakítja meg az olyan fenntartott tárgyakat, mint a Town Portal Scroll. A Gust által hátralökött ellenséges hősök továbbra is tudnak tárgyakat használni és támadni."
		"dota_tip_hero_drow_ranger_4"		"Drow Ranger Aghanim's Scepter fejlesztése Hypothermia hatást ad Frost Arrows és Multishot képességéhez, ami csökkenti a célpont életerő-töltődését, és az mindegyik összeadódás hatására többletsebzést szenved a Frost Arrowstól."
		"dota_tip_hero_drow_ranger_5"		"Drow Rangernek távolságot kell tartania az ellenségtől, ami sebezhetővé teszi a Blink Daggeres vagy Shadow Blade-es kezdeményezéssel szemben."

		"dota_tip_hero_earth_spirit_2"		"Earth Spirit használhat tárgyakat és képességeket Rolling Boulder közben, ami lehetővé teszi számára a jövőbeni támadásokra való felkészülést."
		"dota_tip_hero_earth_spirit_3"		"Egy Rolling Bouldert használt Earth Spirit elé kerülve hatékonyan megakadályozható annak elmenekülése."
		"dota_tip_hero_earth_spirit_4"		"Gondosan időzítve, Earth Spirit használhatja ugyanazt a Stone Remnantot egy ellenség lelassítására, elhallgattatására és megbénítására is, lehetővé téve a Remnantok megőrzését jövőbeli használatra."
		"dota_tip_hero_earth_spirit_5"		"A Boulder Smash-t szövetségeseken használva hatékonyan biztonságba vagy előnyös pozícióba lehet juttatni őket."
		"dota_tip_hero_earth_spirit_6"		"A Geomagnetic Gripet Aghanim's Sharddal fejlesztve, Earth Spirit könnyen megmentheti az ellenségek támadása alatt álló szövetségeseit."
		"dota_tip_hero_earth_spirit_7"		"Az Enchant Remnant ideiglenesen sebezhetetlenné teszi a célpontot, így Earth Spirit megmentheti a veszélyben lévő szövetségeseit."

		"dota_tip_hero_earthshaker_1"		"Earthshaker Echo Slam képessége több sebzést okoz, amikor sok ellenséges egység van a hatóterületen. Earthshakerrel kerülve szembe igyekezzetek szétszóródni."
		"dota_tip_hero_earthshaker_2"		"Earthshaker Fissure-je az útjába kerülő bármilyen egységet félretol egyik vagy másik oldalra, lehetővé téve számára a szövetségesek vagy ellenségek kedvezőbb helyzetbe mozgatását."
		"dota_tip_hero_earthshaker_3"		"Earthshaker többletsebzése az Enchant Totemből tovább tart, mint a varázslat újratöltődése, ami lehetővé teszi számára hatalmas fizikai sebzés okozását, ha egy harc előtt és során használja."
		"dota_tip_hero_earthshaker_4"		"Earthshaker erősen támaszkodik olyan tárgyakra, mint a Blink Dagger és a Force Staff, hogy jó pozícióba kerüljön varázslatai használatához. Mozgásképességének korlátozása döntő fontosságú sebzésokozásának csökkentéséhez."
		"dota_tip_hero_earthshaker_5"		"Earthshaker Enchant Totemje elvétéskor nem használódik el."
		"dota_tip_hero_earthshaker_6"		"Earthshaker többi képességétől eltérően az Echo Slamnek nincs varázslási ideje, ami nagyszerűvé teszi harcok kezdeményezésére, mielőtt az ellenség védekező tárgyakkal reagálhatna."
		"dota_tip_hero_earthshaker_7"		"A Fissure nagy hatótávja remek egy ellenség menekülési útvonalának elzárására, vagy akár szövetséges creepek előrehaladásának rövid idejű megakadályozására is."
		"dota_tip_hero_earthshaker_8"		"Earthshaker hasznosságának jó része nagy mennyiségű magatehetetlenné tevő képességéből ered. Gyengítésimmunitás olyan tárgyaktól, mint a Black King Bar, létfontosságú hatásosságának csökkentéséhez."

		"dota_tip_hero_elder_titan_1"		"Elder Titan Natural Order képességének hatására csökken az Elder Titan körüli ellenségek páncélja, és az Elder Titan Astral Spiritje körüli ellenségek mágiaellenállása."

		"dota_tip_hero_ember_spirit_1" 		"Ember Spirit Searing Chains képessége meg tudja szakítani a Town Portal Scroll fenntartását, más fenntartott képességeket viszont nem szakít meg."

		"dota_tip_hero_enchantress_1"		"Enchantress Untouchable képességének gyengítése csökkenthető a támadás utáni visszamozgás során rövid időre másik célpontot támadva."
		"dota_tip_hero_enchantress_2"		"Enchantress Nature's Attendants képessége véletlenszerűen céloz közeli sebződött szövetséges egységeket. Sokkal kevésbé hatékony a hősök gyógyításában sebesült szövetséges creepek mellett varázsolva."
		"dota_tip_hero_enchantress_3"		"Enchantress Enchantja alap megszüntetést alkalmaz az ellenséges hősön."

		"dota_tip_hero_enigma_1"			"Enigma Midnight Pulse képessége a célpont jelenlegi ÉP-jének bizonyos százaléka alapján okoz sebzést."

		"dota_tip_hero_faceless_void_1"		"Faceless Void Time Walk képessége nem rázza le a lövedékeket. A Time Walk gyógyító hatás, ami meggátolható Ancient Apparition Ice Blast képességével vagy csökkenthető Spirit Vessellel."

		"dota_tip_hero_furion_1"			"Nature's Prophet Sprout képességének fái kivághatók Quelling Blade-del vagy Battle Furyvel, vagy elfogyaszthatók Tangóval."

		"dota_tip_hero_gyrocopter_1"		"Gyrocopter Homing Missile képessége meg tudja találni a láthatatlan célpontokat, de nem ad igazlátást."

		"dota_tip_hero_huskar_1"			"Huskar Burning Spear képessége többlet mágikus sebzést okoz, vagy tiszta sebzést egy bizonyos adottságot választva. A Burning Spear nem hat épületekre."
		"dota_tip_hero_huskar_2"			"Huskar Life Breakje az ugrás során alapmegszüntetést okoz és gyengítésimmunitást biztosít."

		"dota_tip_hero_invoker_1"			"Invoker Sun Strike képessége tiszta sebzést okoz, ami nem csökkenthető mágiaellenállással vagy gyengítésimmunitással."

		"dota_tip_hero_jakiro_1"			"Jakiro Liquid Fire képessége épületekre is hat, ami hatásos ostromképességgé teszi."

		"dota_tip_hero_juggernaut_1"		"Juggernaut Omnislash közben véletlenszerű közeli célpontokhoz ugrik. Magányos ellenségek több sebzést szenvednek tőle, mint olyanok, akiket szövetségesek vesznek körül."
		"dota_tip_hero_juggernaut_2"		"Juggernaut Blade Fury képessége használható gyengítésimmunitás biztosítására Town Portal Scroll fenntartása előtt vagy közben."
		"dota_tip_hero_juggernaut_3"		"Juggernaut Omnislash előtt használhat Blink Daggert olyan célpontok elérésére, amelyek egyébként elérhetetlenek lennének."
		"dota_tip_hero_juggernaut_4"		"Juggernaut Omnislash-e fizikai sebzést okoz, ami teljesen kivédhető Ghost Scepter vagy Eul's Scepter of Divinity használatával."
