"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_scepter_attack_speed"					"보너스 공격 속도:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_scepter_move_speed_pct"				"%보너스 이동 속도:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_scepter_aura_radius"			"오라 반경:"
		//"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_scepter_respawn_pct"			"%RESPAWN TIME REDUCTION:"
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_Note0"						"죽음이 지연된 아군의 처치 점수는 원래 마지막 타격을 날린 영웅에게 돌아갑니다."
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_Note1"						"부활 후 사망에는 영향을 미치지 않습니다."
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_Note2"						"단절로 지속 흡혈 요소만 비활성화됩니다."
		"DOTA_Tooltip_ability_skeleton_king_vampiric_spirit_Note3"						"부활 시간이 망령 지속시간만큼 감소합니다."


		"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast"				"망령의 불꽃"
		"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_Description"	"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 둔화, 지속 피해"
		"DOTA_Tooltip_modifier_skeleton_king_bone_guard_buff"				"흡혈의 오라"
		"DOTA_Tooltip_modifier_skeleton_king_bone_guard_buff_Description"	"매 공격 시 체력 회복"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnate_slow"				"부활"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnate_slow_Description"	"망령 제왕의 부활에 영향받음, 이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 및 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 둔화"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnation_scepter"				"망령 지연시간"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnation_scepter_Description"	"죽음을 당하면 죽기 전 %dMODIFIER_PROPERTY_TOOLTIP%초 동안 망령이 됨"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnation_scepter_active"				"죽음 지연"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnation_scepter_active_Description"	"망령이 되어 죽음이 지연되지만, 잠시 후 사망함"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnation_scepter_respawn_time"		"부활"
		"DOTA_Tooltip_modifier_skeleton_king_reincarnation_scepter_respawn_time_Description"	"망령 제왕의 부활로 망령 상태에서 사망, 부활 시간 감소"
		"DOTA_Tooltip_modifier_skeleton_king_bone_guard"					"백골 수호병 해골 충전"
		"DOTA_Tooltip_modifier_skeleton_king_bone_guard_Description"					"현재 해골 수"
		"DOTA_Tooltip_modifier_skeleton_king_bone_guard_summon"						"백골 수호병과 함께 소환됨"
		"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_skeleton_buff"				"망령의 불꽃"
		"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_skeleton_buff_Description"	"이동 및 공격 속도 증가함"

		"DOTA_Tooltip_modifier_skeleton_king_curse"										"오스타리온의 저주"
		"DOTA_Tooltip_modifier_skeleton_king_curse_Description"							"강화 효과가 끝날 때 피해받음"

		"DOTA_Tooltip_modifier_skeleton_king_curse_cooldown"							"저주의 와드"
		"DOTA_Tooltip_modifier_skeleton_king_curse_cooldown_Description"				"망령 제왕의 저주를 받을 수 없습니다."

		"DOTA_Tooltip_Facet_skeleton_king_facet_bone_guard"								"백골 수호병"
		"DOTA_Tooltip_Facet_skeleton_king_facet_bone_guard_Description"					"망령 제왕이 자신을 위해 싸울 해골을 소환할 수 있습니다."
		"DOTA_Tooltip_Facet_skeleton_king_facet_cursed_blade"								"영령의 검"
		"DOTA_Tooltip_Facet_skeleton_king_facet_cursed_blade_Description"					"망령 제왕의 공격으로 적에게 저주를 걸어 지연시간 후 추가 피해를 받게 합니다."
	
		//DROW RANGER
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows"									"얼음 화살"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_Description"						"드로우 레인저의 공격에 빙결 효과를 더해 적의 이동을 둔화하고 보너스 피해를 줍니다. 둔화는 %abilityduration%초 동안 지속합니다."
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_scepter_description"				"얼음 화살이 적에게 저체온증 중첩을 적용하여, 얼음 화살로 받는 피해가 증가하고 중첩당 재생 효과가 감소하게 합니다. 적이 저체온증 중첩으로 죽으면, 폭발하며 주위 범위에 중첩당 피해를 주고 느려지게 합니다."
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_regen_reduction_pct_per_stack"	"%중첩당 재생 감소:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_bonus_damage_per_stack"		"보너스 중첩당 피해:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_stack_duration"						"중첩 지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_burst_radius"				"폭발 반경:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_burst_damage_per_stack"	"중첩당 폭발 피해:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_burst_move_slow_pct"		"%폭발 이동 둔화:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_burst_slow_duration"		"폭발 둔화 지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_shard_max_stacks"				"최대 중첩:"

		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_Lore"							"서리 내린 화살이 정적을 가르고 날아가 희생자의 뼛속까지 얼립니다."
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_Note0"							"연속 시전 시 둔화의 지속시간이 초기화됩니다."
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_frost_arrows_movement_speed"		"%이동 둔화:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_damage"		"보너스 피해:"
		"DOTA_Tooltip_ability_drow_ranger_frost_arrows_frost_arrows_abilityduration"	"지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_multishot"									"다중 발사"
		"DOTA_Tooltip_ability_drow_ranger_multishot_Description"						"집중 기술 - 정신을 집중하는 동안 계속해서 일제 사격으로 질풍처럼 화살을 쏘아 보내 타격하는 적에게 추가 피해를 주고 얼음 화살을 쏩니다. %abilitychanneltime%초 동안 지속합니다."
		"DOTA_Tooltip_ability_drow_ranger_multishot_Facet_drow_ranger_sidestep"						"드로우가 다중 발사를 시전하는 동안 천천히 이동하며 아이템을 사용할 수 있습니다."
		"DOTA_Tooltip_ability_drow_ranger_multishot_Lore"						"레인저가 어렸을 때, 한 번에 화살 여러 개를 쏘는 법을 배우는 행위는 경박하고도 정신이 산만해지는 행위로 여겨졌습니다. 고대의 전쟁을 치르면서, 기묘하게도 그러한 기술은 꼭 필요한 것이 되었습니다."
		
		"DOTA_Tooltip_ability_drow_ranger_multishot_wave_count"							"단계 적용 수:"
		"DOTA_Tooltip_ability_drow_ranger_multishot_multishot_movespeed"				"%이동 속도 불이익:"
		"DOTA_Tooltip_ability_drow_ranger_multishot_scepter_wave_count"					"홀 장착 시 단계 적용 수:"
		"DOTA_Tooltip_ability_drow_ranger_multishot_arrow_count_per_wave"				"단계 적용당 화살 수:"
		"DOTA_Tooltip_ability_drow_ranger_multishot_arrow_damage_pct"					"%화살 기본 피해 보너스:"
		"DOTA_Tooltip_ability_drow_ranger_multishot_arrow_range_multiplier"				"화살 범위 배수:"
		"DOTA_Tooltip_ability_drow_ranger_multishot_Note0"								"화살의 기본 피해는 마법 면역을 관통합니다."
		"DOTA_Tooltip_ability_drow_ranger_multishot_Note1"								"얼음 화살의 피해와 둔화 효과는 마법 면역을 관통하지 않습니다."
		"DOTA_Tooltip_ability_drow_ranger_silence"										"침묵"
		"DOTA_Tooltip_ability_drow_ranger_silence_Description"							"지정 범위 내의 모든 적 유닛이 주문을 쓰지 못하게 합니다."
		"DOTA_Tooltip_ability_drow_ranger_silence_Lore"									"트락젝스는 육탄전도 조용하게 치르기를 좋아하기에 드로우 종족에 전해져 내려오는 기술을 이용하여 상대 마법사가 주문을 외지 못하게 입을 막습니다."
		"DOTA_Tooltip_ability_drow_ranger_silence_Note0"								"아이템 사용을 막지 않습니다."
		"DOTA_Tooltip_ability_drow_ranger_silence_silence_radius"						"반경:"
		"DOTA_Tooltip_ability_drow_ranger_silence_duration"								"지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence"								"돌풍"
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence_Description"					"공기의 파장을 내보내어 적 유닛을 침묵에 빠뜨리고, 뒤로 밀쳐내며, 보이지 않는 적 유닛을 밝힙니다. 적과 거리가 가까울수록 밀치기 거리가 길어집니다."
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence_Lore"							"트락젝스는 육탄전도 조용하게 치르기를 좋아하기에 드로우 종족에 전해져 내려오는 기술을 이용하여 상대 마법사가 주문을 외지 못하게 입을 막습니다."
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence_wave_width"					"너비:"
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence_silence_duration"				"침묵 지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence_knockback_duration"			"밀치기 지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_wave_of_silence_knockback_distance_max"		"밀치기 최대:"
		"DOTA_Tooltip_ability_drow_ranger_trueshot"										"명중의 오라"
		"DOTA_Tooltip_ability_drow_ranger_trueshot_Description"							"현재 민첩과 레벨에 따라 드로우 레인저에게 보너스 민첩이 부여됩니다. 근처에 있는 원거리 영웅은 보너스 민첩의 %trueshot_agi_bonus_allies_pct%%%를 받습니다."
		"DOTA_Tooltip_ability_drow_ranger_trueshot_Lore"								"트락젝스는 드로우 고향 숲에서 홀로 시간을 보내는 동안 다른 궁수들을 가르쳐 궁술 실력을 키워 주었습니다."
		"DOTA_Tooltip_ability_drow_ranger_trueshot_trueshot_agi_bonus_base"				"%민첩 기본 보너스:"
		"DOTA_Tooltip_ability_drow_ranger_trueshot_trueshot_agi_bonus_per_level"		"%레벨당 민첩 보너스:"
		"DOTA_Tooltip_ability_drow_ranger_trueshot_agi_bonus_pct_tooltip"				"%총 민첩 보너스:"
		"DOTA_Tooltip_ability_drow_ranger_trueshot_radius"								"반경:"
		"DOTA_Tooltip_ability_drow_ranger_marksmanship"									"명사수"
		"DOTA_Tooltip_ability_drow_ranger_marksmanship_Description"						"드로우 레인저는 전투 경험 덕분에 일정 확률에 따라 놀라울 정도로 정확하고 효율적으로 화살을 발사합니다. 적의 방어를 꿰뚫고 기본 방어력을 무시합니다. %disable_range% 범위 내에 적 영웅이 있으면 비활성화됩니다."
		"DOTA_Tooltip_ability_drow_ranger_marksmanship_Lore"							"드로우 레인저는 뛰어난 궁술의 완벽한 본보기입니다."
		"DOTA_Tooltip_ability_drow_ranger_marksmanship_Note0"							"명사수가 발동하면 정밀 타격 효과를 얻습니다."
		"DOTA_Tooltip_ability_drow_ranger_marksmanship_chance"		"%확률:"
		"DOTA_Tooltip_ability_drow_ranger_marksmanship_bonus_damage"		"보너스 발동 피해:"

		"DOTA_Tooltip_ability_drow_ranger_creep_rally"									"크립 집결"
		"DOTA_Tooltip_ability_drow_ranger_creep_rally_Description"						"명중의 오라로 주위의 영웅이 아닌 원거리 유닛에게 레벨당 3% 공격 속도가 부여됩니다."
		
		"DOTA_Tooltip_ability_drow_ranger_vantage_point"									"유리한 고지"
		"DOTA_Tooltip_ability_drow_ranger_vantage_point_Description"						"드로우가 높은 지대에서 공격할 때 피해를 %damage_bonus%%% 더 줍니다."
		

		"DOTA_Tooltip_Facet_drow_ranger_sidestep"							"옆걸음"		
		"DOTA_Tooltip_Facet_drow_ranger_sidestep_Description"			"드로우가 다중 발사를 시전하는 동안 천천히 이동하며 아이템을 사용할 수 있습니다."

		"DOTA_Tooltip_ability_drow_ranger_glacier"										"빙하"
		"DOTA_Tooltip_ability_drow_ranger_glacier_Description"							"자신의 아래에 얼음 무더기를 생성합니다. 무더기 위에 서 있는 공격자는 보너스 공격 범위를 얻고, 고지대 혜택을 받아 공격이 빗나가지 않으며 비행 시야를 얻습니다. 드로우가 무더기 위에 있는 동안에는 다중 발사의 단계 적용마다 보너스 화살이 추가됩니다. 무더기 앞면은 시야를 방해하며 드로우 외에는 지나갈 수 없습니다. 시전 시 다중 발사를 방해하지 않습니다."
		"DOTA_Tooltip_ability_drow_ranger_glacier_shard_duration"						"지속시간:"
		"DOTA_Tooltip_ability_drow_ranger_glacier_attack_range_bonus"						"공격 범위 보너스:"
		"DOTA_Tooltip_ability_drow_ranger_glacier_multishot_arrow_bonus"				"단계 적용당 보너스 화살 수:"

		"DOTA_Tooltip_modifier_drowranger_wave_of_silence"					"돌풍"
		"DOTA_Tooltip_modifier_drowranger_wave_of_silence_Description"					"드로우 레인저에 의해 침묵 당함"
		"DOTA_Tooltip_modifier_drow_ranger_wave_of_silence_buff"					"돌풍"
		"DOTA_Tooltip_modifier_drow_ranger_wave_of_silence_buff_Description"					"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 증가"

		
		"DOTA_Tooltip_modifier_drow_ranger_frost_arrows_slow"				"얼음 화살 둔화"
		"DOTA_Tooltip_modifier_drow_ranger_frost_arrows_slow_Description"	"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 둔화"
		"DOTA_Tooltip_modifier_drow_ranger_frost_arrows_hypothermia"		"저체온증"
		"DOTA_Tooltip_modifier_drow_ranger_frost_arrows_hypothermia_Description"		"치유, 흡혈, 주문 흡혈, 체력 재생 %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%% 감소"
		"DOTA_Tooltip_modifier_drow_ranger_frost_arrows_shard_slow"				"저체온증"
		"DOTA_Tooltip_modifier_drow_ranger_frost_arrows_shard_slow_Description"	"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 둔화"
		"DOTA_Tooltip_modifier_drow_ranger_trueshot_aura"						"명중의 오라"
		"DOTA_Tooltip_modifier_drow_ranger_trueshot_aura_Description"			"공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 증가"
		"DOTA_Tooltip_modifier_drow_ranger_multishot"						"다중 발사"
		"DOTA_Tooltip_modifier_drow_ranger_multishot_Description"						"공격에 정신을 집중하는 중"
		"DOTA_Tooltip_modifier_drow_ranger_marksmanship_aura_bonus"						"명중의 오라"
		"DOTA_Tooltip_modifier_drow_ranger_marksmanship_aura_bonus_Description"			"보너스 민첩 %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% 부여"

		//MORPHLING
		"DOTA_Tooltip_ability_morphling_waveform"										"파도 형상"
		"DOTA_Tooltip_ability_morphling_waveform_Description"							"모플링이 물결 형태로 모습을 바꾸고 전방으로 쇄도하며 직선 경로상에 있는 적에게 피해를 줍니다. 모플링은 파도 형상을 취한 동안에는 무적 상태가 됩니다."
		"DOTA_Tooltip_ability_morphling_waveform_Lore"									"압도적인 힘을 가진 파도가 적을 제압합니다."
		"DOTA_Tooltip_ability_morphling_waveform_pct_damage"							"%공격력 비율:"
		"DOTA_Tooltip_ability_morphling_waveform_Facet_morphling_agi"					"파도 형상이 경로상에 있는 적을 공격합니다. 적중 시 효과는 적용하지 않습니다."
		
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi"							"다면 공격"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_Description"				"적 유닛 하나에게 쇄도하는 물결을 일으켜 기본 피해와 모플링의 민첩에 배수를 곱한 수치를 바탕으로 하는 추가 피해를 줍니다. 모플링의 민첩이 힘보다 50% 이상 크면, 민첩 배수가 최대로 적용됩니다.\n\n또한, 대상은 모플링의 힘에 따라 뒤로 밀쳐집니다. 모플링의 힘이 민첩보다 50% 이상 크면, 밀치기 거리가 최대로 적용됩니다."
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_Facet_morphling_str"		"다면 공격 시 모플링의 힘에 따라 기절시킵니다."
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_Lore"						"모플링은 물의 원소를 불러내어 적을 파도로 으스러뜨립니다."
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_Note0"						"투사체는 %projectile_speed%의 속도로 이동합니다."
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_damage_base"				"기본 피해:"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_damage_max"					"최대 민첩 배수 피해:"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_damage_min"					"최소 민첩 배수 피해:"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_stun_max"					"기절 최대:"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_stun_min"					"기절 최소:"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_knockback_max"				"밀치기 최대:"
		"DOTA_Tooltip_ability_morphling_adaptive_strike_agi_knockback_min"				"밀치기 최소:"

		"DOTA_Tooltip_ability_morphling_morph_agi"										"능력치 전환(민첩 증가)"
		"DOTA_Tooltip_ability_morphling_morph_agi_Description"							"모플링이 형상을 전환하여 힘을 민첩으로 바꿉니다. 이 전환은 반대로 수행할 수도 있습니다. 능력치 전환의 레벨이 상승할수록 능력치 변경 속도가 빨라집니다."
		"DOTA_Tooltip_ability_morphling_morph_agi_shard_description"					"모플링이 기절한 상태에서도 능력치 전환을 사용할 수 있습니다. 소모 마나가 감소합니다."
		"DOTA_Tooltip_ability_morphling_morph_agi_Lore"									"물의 형태는 계속 바뀌므로 모플링의 속성을 파악하기란 어렵습니다."
		"DOTA_Tooltip_ability_morphling_morph_agi_Note0"								"아이템으로 증가한 능력치는 능력치 전환으로 변환되지 않습니다."
		"DOTA_Tooltip_ability_morphling_morph_agi_Note1"								"민첩 증가의 레벨을 올리면 힘 증가의 레벨도 올라갑니다."
		"DOTA_Tooltip_ability_morphling_morph_agi_morph_rate_tooltip"					"전환 속도:"
		"DOTA_Tooltip_ability_morphling_morph_agi_mana_cost"							"초당 소모 마나:"
		"DOTA_Tooltip_ability_morphling_morph_str"										"능력치 전환(힘 증가)"
		"DOTA_Tooltip_ability_morphling_morph_str_Description"							"모플링이 형상을 전환하여 민첩을 힘으로 바꿉니다. 이 전환은 반대로 수행할 수도 있습니다. 능력치 전환의 레벨이 상승할수록 능력치 변경 속도가 빨라집니다."
		"DOTA_Tooltip_ability_morphling_morph_str_shard_description"					"모플링이 기절한 상태에서도 능력치 전환을 사용할 수 있습니다. 소모 마나가 감소합니다."
		"DOTA_Tooltip_ability_morphling_morph_str_Lore"									"물의 형태는 계속 바뀌므로 모플링의 속성을 파악하기란 어렵습니다."
		"DOTA_Tooltip_ability_morphling_morph_str_Note0"								"아이템으로 증가한 능력치는 능력치 전환으로 변환되지 않습니다."
		"DOTA_Tooltip_ability_morphling_morph_str_Note1"								"힘 증가 레벨을 올리면 민첩 증가 레벨도 오릅니다."
		"DOTA_Tooltip_ability_morphling_morph_str_morph_rate_tooltip"					"전환 속도:"
		"DOTA_Tooltip_ability_morphling_morph_str_mana_cost"							"초당 소모 마나:"
		"DOTA_Tooltip_ability_morphling_replicate"										"형상변환"
		"DOTA_Tooltip_ability_morphling_replicate_Description"							"모플링이 적을 대상으로 하여 그 모습대로 자신의 형상을 바꾸고 대상의 기본 능력도 얻습니다. 능력의 지속시간 동안 켜고 끌 수 있습니다."
		"DOTA_Tooltip_ability_morphling_replicate_scepter_description"					"형상변환에 교체 시전이 추가됩니다. 활성화하면, 대상 영웅의 강력한 환영이 만들어지며, 환영은 해당 영웅의 기본 능력을 모두 시전할 수 있습니다. 능력을 켜고 끌 때 환영이 살아 있다면, 모플링이 환영을 파괴하면서 대체합니다."
		"DOTA_Tooltip_ability_morphling_replicate_Lore"									"모플링을 쳐다보면 바라보는 이와 똑같은 모습을 지닌 환영이 생겨납니다."
		"DOTA_Tooltip_ability_morphling_replicate_Note0"								"자기 자신을 대상으로 형상변환을 할 수 없습니다."
		"DOTA_Tooltip_ability_morphling_replicate_Note1"								"모플링이 파편/홀을 소유하지 않으면 형상변환 시 해당 능력이 복사되지 않습니다."
		"DOTA_Tooltip_ability_morphling_replicate_Note2"								"주문 반사를 발동하지 않습니다."
		"DOTA_Tooltip_ability_morphling_replicate_duration"								"지속시간:"
		"DOTA_Tooltip_ability_morphling_replicate_scepter_illusion_outgoing"			"%환영이 주는 피해:"
		"DOTA_Tooltip_ability_morphling_replicate_scepter_illusion_incoming"			"%환영이 받는 피해:"
		"DOTA_Tooltip_ability_morphling_morph_replicate"								"복제물 대체"
		"DOTA_Tooltip_ability_morphling_morph_replicate_Description"					"모플링이 자신과 복제한 적의 모습을 번갈아 선택합니다."
		"DOTA_Tooltip_ability_morphling_hybrid"							"혼성체"
		"DOTA_Tooltip_ability_morphling_hybrid_Description"				"모플링이 대상 아군 영웅의 혼성체를 생성합니다. 혼성체는 해당 영웅의 궁극기를 제외한 모든 능력을 사용합니다. 적은 혼성체를 식별할 수 있습니다."
		"DOTA_Tooltip_ability_morphling_hybrid_duration"						"지속시간:"

		"DOTA_Tooltip_ability_morphling_accumulation"								"축적"
		"DOTA_Tooltip_ability_morphling_accumulation_Description"					"모플링이 레벨이 오를 때 전체 보너스를 받는 대신 레벨이 절반 오를 때마다 능력치 상승 보너스의 %percent_to_increment%%%를 얻습니다. 특성 계도 상의 기술 점수로 얻는 모든 속성 보너스로 모플링의 주 속성에 추가로 +%bonus_primary_stat_per_level_of_attributes%만큼을 제공합니다."
		"DOTA_Tooltip_modifier_morphling_accumulation"								"축적"
		"DOTA_Tooltip_modifier_morphling_accumulation_Description"					"보너스 능력치 얻는 중"

		"DOTA_Tooltip_Facet_morphling_agi"										"썰물"
		"DOTA_Tooltip_Facet_morphling_agi_Description"							"이제 모플링의 주 속성이 <font color='#9acd32'>민첩</font>이 됩니다. 파도 형상이 경로상에 있는 적을 공격합니다."

		"DOTA_Tooltip_ability_morphling_ebb"					"썰물"
		"DOTA_Tooltip_ability_morphling_ebb_Description"		"모플링의 주 속성이 <font color='#9acd32'>민첩</font>이 됩니다."
		"DOTA_Tooltip_ability_morphling_flow"					"밀물"
		"DOTA_Tooltip_ability_morphling_flow_Description"		"이제 모플링의 주 속성이 <font color='#ff0000'>힘</font>이 됩니다. 다면 공격 시 모플링의 힘에 따라 기절시킵니다. 모플링이 민첩 %agi_per_one_spell_amp%당 주문 증폭 %one_percent_tooltip%%%를 얻습니다."
		"DOTA_Tooltip_ability_morphling_flow_Note0"				"단절은 민첩당 주문 증폭을 사용하지 못하게 합니다."
		"DOTA_Tooltip_ability_morphling_flow_spell_amp_tooltip"	"%주문 증폭:"
		
		"DOTA_Tooltip_modifier_morphling_morph_str"				"능력치 전환(힘)"
		"DOTA_Tooltip_modifier_morphling_morph_str_Description"	"민첩을 희생하여 힘을 얻음"
		"DOTA_Tooltip_modifier_morphling_morph_agi"				"능력치 전환(민첩)"
		"DOTA_Tooltip_modifier_morphling_morph_agi_Description"	"힘을 희생해 민첩을 얻음"
		"DOTA_Tooltip_modifier_morphling_morph"					"능력치 전환"
		"DOTA_Tooltip_modifier_morphling_morph_Description"		"힘: %-dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%\n민첩: %-dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%"
		"DOTA_Tooltip_modifier_morphling_replicate_timer"						"복제물 유효 시간"
		"DOTA_Tooltip_modifier_morphling_replicate_timer_Description"			"모플링의 능력으로 생성된 복제물 유효 시간"
		"DOTA_Tooltip_modifier_morphling_replicate_manager"					"형상변환 타이머"
		"DOTA_Tooltip_modifier_morphling_replicate_manager_Description"		"모플링이 원래 형상으로 돌아가는 시간을 표시"
		"DOTA_Tooltip_modifier_morphling_waveform_charge_counter"	"파도 형상 충전"
		"DOTA_Tooltip_modifier_morphling_adaptive_strike"					"다면 공격"
		"DOTA_Tooltip_modifier_morphling_adaptive_strike_Description"		"뒤로 밀쳐짐"

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_strength_buff"							"형상변환 힘 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_strength_buff_Description"				"힘 %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, 민첩 %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%, 지능 %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%, 상태 저항력 %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% 증가"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_strength_debuff"						"형상변환 힘 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_strength_debuff_Description"			"능력치 %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS_PERCENTAGE%%% 및 상태 저항력 %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% 손실"

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_agility_buff"							"형상변환 민첩 흡수"
