"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"de vida"					// $health
		"dota_ability_variable_mana"				"de mana"						// $mana
		"dota_ability_variable_armor"				"de armadura"						// $armor
		"dota_ability_variable_damage"				"de dano"					// $damage
		"dota_ability_variable_str"					"de Força"					// $str
		"dota_ability_variable_int"					"de Inteligência"				// $int
		"dota_ability_variable_agi"					"de Agilidade"					// $agi
		"dota_ability_variable_all"					"a todos os atributos"			// $all
		"dota_ability_variable_primary_attribute"	"ao atributo principal"			// $primary_attribute
		"dota_ability_variable_attack"				"de rapidez de ataque"				// $attack
		"dota_ability_variable_attack_pct"			"de rapidez de ataque base"	// $attack_pct
		"dota_ability_variable_hp_regen"			"de regeneração de vida"		// $hp_regen
		"dota_ability_variable_lifesteal"			"de roubo de vida"					// $lifesteal
		"dota_ability_variable_mana_regen"			"de regeneração de mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"de regeneração de mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"de dano de feitiços"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"à duração de debuffs"			// $debuff_amp
		"dota_ability_variable_move_speed"			"de rapidez de movimento"			// $move_speed
		"dota_ability_variable_evasion"				"de evasão"					// $evasion
		"dota_ability_variable_spell_resist"		"de resistência a magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"de roubo de vida por habilidades"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"de roubo de vida por habilidades (creeps)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"de roubo de vida por habilidades (heróis)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ao atributo selecionado"		// $selected_attribute
		"dota_ability_variable_attack_range"		"de alcance de ataque <font color='#7d7d7d'>(Só à distância)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"de alcance de ataque <font color='#7d7d7d'>(Só corpo a corpo)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"de alcance de uso"				// $cast_range
		"dota_ability_variable_status_resist"		"de resistência a debuffs"			// $status_resist
		"dota_ability_variable_projectile_speed"	"à rapidez dos projéteis"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"de redução dos custos de mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"de redução de cooldowns"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"de mana máxima"			// $max_mana_percentage
		"dota_ability_variable_slow_resistance"		"de resist. a abrandamentos"			// $slow_resistance
		"dota_ability_variable_aoe_bonus"			"de área de efeito adicional"					// $aoe_bonus

		"DOTA_Tooltip_ability_kunkka_tidebringer_cleave_distance"						"ALCANCE DE CLEAVE:"
		"DOTA_Tooltip_ability_kunkka_tidebringer_cooldown_reduction_per_hero_hit"		"REDUÇÃO DO COOLDOWN P/ HERÓI ATINGIDO:"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot"									"X Marks the Spot"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_Facet_kunkka_grog"				"Quando X Marks the Spot envia o alvo para o local marcado, todos os aliados por perto ganham o buff de atraso de dano de Ghostship."
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_Description"						"Seleciona um herói aliado ou inimigo, marca o local onde este se encontra com um X, e envia-o para esse local marcado após alguns segundos. Kunkka pode ativar o regresso a qualquer momento até ao fim da duração. Dura o dobro do tempo em heróis aliados."
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_Lore"								"Algumas das habilidades arcanas do Almirante servem tanto para a batalha como para divertimento."
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_Note1"							"Interrompe feitiços que requerem <font color='#F2A93E'>concentração</font>."
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_duration"							"ATRASO (INIMIGOS):"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_allied_duration"					"ATRASO (ALIADOS):"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_rum_allies_radius"				"RAIO DO RUM:"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_buff_duration"					"DURAÇÃO DO RUM:"
		"DOTA_Tooltip_ability_kunkka_return"											"Return"
		"DOTA_Tooltip_ability_kunkka_return_Description"								"Retorna o herói marcado para o X."
		"DOTA_Tooltip_ability_kunkka_ghostship"											"Ghostship"
		"DOTA_Tooltip_ability_kunkka_ghostship_Description"								"Invoca um navio fantasma que navega pela batalha antes de colidir, causando dano e atordoamento (stun) a todos os inimigos apanhados pelo naufrágio. Heróis aliados tocados pelo navio são afetados por Rum, o que lhes concede um bónus de rapidez de movimento e uma reação tardia ao dano que sofrerem."
		"DOTA_Tooltip_ability_kunkka_ghostship_Lore"									"O último navio da Armada de Cladd não é nada mais do que um fantasma, mas é bem real para os inimigos do Almirante."
		"DOTA_Tooltip_ability_kunkka_ghostship_Scepter_Description"						"Ghostship cria uma frota de %fleet_count% navios no ponto selecionado, com um intervalo de %fleet_interval% segundos. Cada navio também dispara %num_cannon_volleys% rajadas de bolas de canhão de cada lado que causam %cannon_ball_damage_pct%%% do dano do navio fantasma original enquanto atravessam inimigos."
		"DOTA_Tooltip_ability_kunkka_ghostship_tooltip_delay"							"TEMPO DO IMPACTO:"
		"DOTA_Tooltip_ability_kunkka_ghostship_movespeed_bonus"							"%BÓNUS DE RAPIDEZ DO RUM:"
		"DOTA_Tooltip_ability_kunkka_ghostship_buff_duration"							"DURAÇÃO DO RUM:"
		"DOTA_Tooltip_ability_kunkka_ghostship_ghostship_distance"						"ALCANCE:"
		"DOTA_Tooltip_ability_kunkka_ghostship_ghostship_width"							"LARGURA:"
		"DOTA_Tooltip_ability_kunkka_ghostship_stun_duration"							"DURAÇÃO DO STUN:"
		"DOTA_Tooltip_ability_kunkka_ghostship_ghostship_absorb"						"%DANO ADIADO:"
		"DOTA_Tooltip_ability_kunkka_ghostship_Note0"									"O dano recebido quando o efeito do Rum passa não é letal e nunca pode matar um herói."
		"DOTA_Tooltip_ability_kunkka_ghostship_Note1"									"A área de efeito da colisão do navio é maior do que o próprio navio."
		"DOTA_Tooltip_ability_kunkka_ghostship_Note2"									"O navio tem uma rapidez de movimento de %ghostship_speed%."
		"DOTA_Tooltip_ability_kunkka_tidal_wave"										"Tidal Wave"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_Description"							"Invoca uma onda gigantesca atrás do Kunkka que causa dano e arrasta inimigos ao longo da duração. Inimigos não podem atacar enquanto estão a ser arrastados."
		"DOTA_Tooltip_ability_kunkka_tidal_wave_damage"							"DANO:"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_speed"							"RAPIDEZ:"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_radius"							"RAIO:"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_duration"							"DURAÇÃO:"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_knockback_distance"				"DISTÂNCIA DO EMPURRÃO:"

		"DOTA_Tooltip_Ability_kunkka_admirals_rum"									"Admiral's Rum"
		"DOTA_Tooltip_Ability_kunkka_admirals_rum_Description"						"Se a vida do Kunkka descer abaixo de um certo limite devido a dano causado pelo Roshan ou por heróis ou edifícios inimigos, ele é encharcado de Rum, o que lhe concede um bónus de rapidez de movimento e uma reação tardia ao dano que sofrer."
		"DOTA_Tooltip_Ability_kunkka_admirals_rum_Note0"							"Acumula-se aditivamente com outras fontes de Rum."
		"DOTA_Tooltip_Ability_kunkka_admirals_rum_damage_threshold"					"%LIMITE DE VIDA:"
		"DOTA_Tooltip_Ability_kunkka_admirals_rum_buff_duration"					"DURAÇÃO DO RUM:"
		"DOTA_Tooltip_Ability_kunkka_admirals_rum_movespeed_bonus"					"%BÓNUS DE RAPIDEZ DO RUM:"
		"DOTA_Tooltip_Ability_kunkka_admirals_rum_ghostship_absorb"					"%DANO ADIADO:"
		"DOTA_Tooltip_modifier_kunkka_admirals_rum"									"Admiral's Rum"
		"DOTA_Tooltip_modifier_kunkka_admirals_rum_Description"						"O dano sofrido por esta unidade será adiado."

		"DOTA_Tooltip_Facet_kunkka_grog"									"Grog Blossom"		
		"DOTA_Tooltip_Facet_kunkka_high_tide"						"High Tide"	
		"DOTA_Tooltip_Facet_kunkka_grog_Description"			"Quando X Marks the Spot envia o alvo para o local marcado, todos os aliados por perto ganham o buff do Rum de Ghostship."
		"DOTA_Tooltip_Facet_kunkka_high_tide_Description"			"O cooldown de Tidebringer é reduzido por cada herói inimigo atingido."

		"DOTA_Tooltip_modifier_kunkka_tidebringer"				"Tidebringer"
		"DOTA_Tooltip_modifier_kunkka_tidebringer_Description"	"Dano físico aumentado em %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% com um ataque em área (efeito Cleave)."
		"DOTA_Tooltip_modifier_kunkka_tidebringer_slow"						"Tidebringer"
		"DOTA_Tooltip_modifier_kunkka_tidebringer_slow_Description"			"Abrandado em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_kunkka_torrent"					"Torrent"
		"DOTA_Tooltip_modifier_kunkka_torrent_Description"		"Atordoado (stun) por uma enorme explosão de água."
		"DOTA_Tooltip_modifier_kunkka_torrent_slow"				"Torrent - Abrandado"
		"DOTA_Tooltip_modifier_kunkka_torrent_slow_Description"	"Rapidez de movimento reduzida em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_kunkka_torrent_storm"				"Torrent Storm"
		"DOTA_Tooltip_modifier_kunkka_torrent_storm_Description"				"A invocar uma tempestade de jorradas de água!"
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_damage_absorb"					"Admiral's Rum"
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_damage_absorb_Description"		"Estás com uma valente bebedeira! Rapidez de movimento aumentada em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% e com insensibilidade temporária a qualquer dano sofrido."
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_damage_absorb_lesser"				"Admiral's Rum"
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_damage_absorb_lesser_Description"	"Estás com uma valente bebedeira! Rapidez de movimento aumentada em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% e com insensibilidade temporária a qualquer dano sofrido."
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_damage_delay"					"Ressaca do Rum"
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_damage_delay_Description"		"De ressaca. A sentir gradualmente o resto do dano sofrido enquanto sob os efeitos do Rum."
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_loaded"					    "A bordo"
		"DOTA_Tooltip_modifier_kunkka_ghost_ship_loaded_Description"		    "Estás a bordo do navio fantasma do Kunkka!"
		"DOTA_Tooltip_modifier_kunkka_x_marks_the_spot"			                "X Marks the Spot"
		"DOTA_Tooltip_modifier_kunkka_x_marks_the_spot_Description"			    "Vais regressar ao local marcado com X"

		//WARLOCK
		"DOTA_Tooltip_ability_warlock_fatal_bonds"										"Fatal Bonds"
		"DOTA_Tooltip_ability_warlock_fatal_bonds_Description"							"Liga várias unidades inimigas, fazendo com que uma percentagem do dano causado a uma delas seja sentido pelas outras."
		"DOTA_Tooltip_ability_warlock_fatal_bonds_Lore"									"Uma encantação antiga que liga as energias vitais de múltiplas formas de vida num corpo coletivo."
		"DOTA_Tooltip_ability_warlock_fatal_bonds_count"								"INIMIGOS LIGADOS:"
		"DOTA_Tooltip_ability_warlock_fatal_bonds_damage_share_percentage"				"%DANO PARTILHADO:"
		"DOTA_Tooltip_ability_warlock_fatal_bonds_duration"								"DURAÇÃO:"
		"DOTA_Tooltip_ability_warlock_fatal_bonds_Note0"								"O tipo do dano partilhado é o mesmo que o tipo do dano infligido."		
		"DOTA_Tooltip_ability_warlock_shadow_word"										"Shadow Word"
		"DOTA_Tooltip_ability_warlock_shadow_word_Description"							"Warlock enfeitiça uma unidade, fazendo com que cause dano a inimigos e cure aliados por perto. O alvo também será curado se for um aliado ou sofrerá dano se for um inimigo."
		"DOTA_Tooltip_ability_warlock_shadow_word_shard_description"					"Transforma Shadow Word num feitiço com uma área de efeito de %shard_aoe%."
		"DOTA_Tooltip_ability_warlock_shadow_word_Lore"									"As artes misteriosas de Warlock têm inúmeros usos, servindo de poderosos encantamentos aliados ou maldições dolorosas."
		"DOTA_Tooltip_ability_warlock_shadow_word_duration"								"DURAÇÃO:"
		"DOTA_Tooltip_ability_warlock_shadow_word_spell_aoe"							"RAIO DO EFEITO:"
		"DOTA_Tooltip_ability_warlock_shadow_word_damage"						"CURA/DANO:"
		"DOTA_Tooltip_ability_warlock_upheaval"											"Upheaval"
		"DOTA_Tooltip_ability_warlock_upheaval_Description"								"<font color='#F2A93E'>REQUER CONCENTRAÇÃO</font> - Uma poderosa corrente que abranda, causa dano e fica mais forte à medida que for <font color='#F2A93E'>concentrada</font>. Dura até %abilitychanneltime% segundos. Os inimigos são abrandados durante %duration% segundos depois de saírem da área ou a habilidade terminar."
		"DOTA_Tooltip_ability_warlock_upheaval_Lore"									"Demnok manipula o espaço-tempo, prejudicando exércitos inteiros."
		"DOTA_Tooltip_ability_warlock_upheaval_Note0"									"O abrandamento aumenta com base na duração da <font color='#F2A93E'>concentração</font> e não com base no tempo durante o qual um inimigo esteve na área."
		"DOTA_Tooltip_ability_warlock_upheaval_abilitychanneltime"						"DURAÇÃO MÁX. DA CONCENTRAÇÃO:"
		"DOTA_Tooltip_ability_warlock_upheaval_max_slow"								"%ABRANDAMENTO MÁX. (MOVIMENTO):"
		"DOTA_Tooltip_ability_warlock_upheaval_slow_per_second"							"%ABRANDAMENTO P/ SEGUNDO:"
		"DOTA_Tooltip_ability_warlock_upheaval_aoe"										"RAIO:"
		"DOTA_Tooltip_ability_warlock_upheaval_damage_per_second"						"DANO P/ SEGUNDO:"
		"DOTA_Tooltip_ability_warlock_upheaval_max_damage"								"MÁX. DE DANO:"
		"DOTA_Tooltip_ability_warlock_upheaval_shard_description"						"Durante a concentração, o Warlock invoca um diabrete inferior a cada %imps_interval% segundos que dura %minor_imp_duration% segundos e explode ao morrer, causando dano a todos os inimigos por perto."
		"DOTA_Tooltip_ability_warlock_rain_of_chaos"									"Chaotic Offering"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_Description"						"Invoca um Golem das profundezas, causando atordoamento (stun) a inimigos durante %stun_duration%s. O Golem vive durante %golem_duration%s, sofre dano reduzido de feitiços, é resistente a abrandamentos e tem as habilidades Permanent Immolation e Flaming Fists quando ataca."
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_Facet_warlock_golem"				"Golems de Chaotic Offering causam mais dano por segundo com base na regeneração de vida e mana do Warlock."
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_tooltip_manahealthboost"			"%REGEN. DE VIDA/MANA CONVERTIDA EM DPS:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_scepter_description"				"Invoca %number_of_golems_scepter% Golems."
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_Lore"								"Demnok liberta o espírito aprisionado no seu bastão de Dreadwood, causando destruição aos seus inimigos."
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_Note0"								"Esta habilidade destrói árvores na sua área de efeito."
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_aoe"								"RAIO DA INVOCAÇÃO:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_hp"							"VIDA DO GOLEM:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_dmg"							"DANO DO GOLEM:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_tooltip_golem_armor"				"ARMADURA DO GOLEM:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_health_regen"					"REGEN. DE VIDA DO GOLEM:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_movement_speed"				"RAPIDEZ DE MOVIMENTO DO GOLEM:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaosgolem_gold_bounty"					"OURO AO MATAR GOLEM:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_hp_scepter"					"VIDA DOS GOLEMS:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_dmg_scepter"					"DANO DOS GOLEMS:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_golem_gold_bounty_scepter"			"OURO AO MATAR GOLEMS:"
		"DOTA_Tooltip_ability_warlock_rain_of_chaos_bonus_slow_resistance"				"%RESIST. DO GOLEM A ABRANDAMENTOS:"
		"DOTA_Tooltip_ability_warlock_golem_flaming_fists"								"Flaming Fists"
		"DOTA_Tooltip_ability_warlock_golem_flaming_fists_Description"					"Causa dano adicional a unidades próximas ao atacar."
		"DOTA_Tooltip_ability_warlock_golem_flaming_fists_damage"						"BÓNUS DE DANO:"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation"						"Permanent Immolation"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_Description"			"Queima os inimigos do Golem na sua proximidade, causando dano por segundo."		
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_aura_damage"			"DANO:"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_aura_radius"			"RAIO DA AURA:"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_healboost"				"%CURA COMO DANO:"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_healboost_duration"	"DURAÇÃO DA CURA COMO DANO:"

		"DOTA_Tooltip_ability_warlock_eldritch_summoning"						"Eldritch Summoning"				
		"DOTA_Tooltip_ability_warlock_eldritch_summoning_Note0"					"Diabretes inferiores têm %tooltip_imp_health% de vida e, quando explodem, causam %tooltip_imp_explode% de dano num raio de %tooltip_imp_explode_radius%."
		"DOTA_Tooltip_ability_warlock_eldritch_summoning_Description"			"Sempre que uma unidade inimiga morrer enquanto afetada por uma ou mais habilidades do Warlock, é invocado um diabrete inferior que dura %minor_imp_duration%s e explode ao morrer. Os diabretes irão perseguir automaticamente unidades por perto (perseguem heróis afetados por Fatal Bonds primeiro, sempre que possível) e irão explodir quando alcançarem o alvo."
		"DOTA_Tooltip_ability_warlock_eldritch_summoning_shard_Description"		"Aumenta o poder de todos os diabretes invocados por Warlock."

		"DOTA_Tooltip_Facet_warlock_golem"														"Champion of Gorroth"
		"DOTA_Tooltip_Facet_warlock_golem_Description"						"Golems de Chaotic Offering causam mais dano por segundo com base na regeneração de vida e mana do Warlock."
		"DOTA_Tooltip_Ability_warlock_black_grimoire"									"Black Grimoire"
		"DOTA_Tooltip_Ability_warlock_black_grimoire_Description"						"Concede ao Warlock o item Black Grimoire, que pode ser consumido para conceder experiência por cada herói que o Warlock matar ou ajudar a matar. Começa com 1 carga."
		"DOTA_Tooltip_Ability_warlock_black_grimoire_tooltip_xp"						"XP P/ VÍTIMA/ASSIST.:"
		"DOTA_Tooltip_Ability_warlock_black_grimoire_tooltip_seconds"					"COOLDOWN INICIAL:"

		"DOTA_Tooltip_Ability_item_black_grimoire"										"Black Grimoire"
		"DOTA_Tooltip_Ability_item_black_grimoire_Description"							"<h1>Uso: Profane Knowledge</h1>Matar e ajudar a matar heróis fortalece este item, concedendo-lhe cargas. Clica com o botão direito para as consumires e conceder %xp_per_charge% de experiência por carga. Começa a partida em cooldown. <br><font color='#e03e2e'>Este item não pode ser largado.</font>"

		
		"DOTA_Tooltip_modifier_warlock_fatal_bonds"										"Fatal Bonds"
		"DOTA_Tooltip_modifier_warlock_fatal_bonds_Description"							"A distribuir %dMODIFIER_PROPERTY_TOOLTIP%%% de todo o dano a unidades ligadas"
		"DOTA_Tooltip_modifier_warlock_shadow_word"										"Shadow Word"
		"DOTA_Tooltip_modifier_warlock_shadow_word_Description"							"A sofrer dano periódico se for um inimigo e a ser curado periodicamente se for um aliado."
		"DOTA_Tooltip_modifier_warlock_upheaval"										"Upheaval"
		"DOTA_Tooltip_modifier_warlock_upheaval_Description"							"Rapidez de Movimento reduzida."
		"DOTA_Tooltip_modifier_warlock_upheaval_ally"									"Upheaval"
		"DOTA_Tooltip_modifier_warlock_upheaval_ally_Description"						"Rapidez de ataque aumentada em %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_warlock_golem_permanent_immolation_debuff"				"Immolation"
		"DOTA_Tooltip_modifier_warlock_golem_permanent_immolation_debuff_Description"	"A receber dano enquanto perto do golem"
		"DOTA_Tooltip_modifier_warlock_golem_permanent_immolation"						"Champion of Gorroth"
		"DOTA_Tooltip_modifier_warlock_golem_permanent_immolation_Description"			"Dano de Permanent Immolation aumentado em %dMODIFIER_PROPERTY_TOOLTIP%."

		//ZEUS
		"DOTA_Tooltip_ability_zuus_arc_lightning"										"Arc Lightning"
		"DOTA_Tooltip_ability_zuus_arc_lightning_Description"							"Lança um raio de eletricidade que salta através de unidades inimigas por perto e causa dano base mais uma percentagem da vida atual do alvo."
		"DOTA_Tooltip_ability_zuus_arc_lightning_Lore"									"O feitiço preferido de Zeus para usar contra mortais insignificantes."
		"DOTA_Tooltip_ability_zuus_arc_lightning_jump_count"							"SALTOS:"
		"DOTA_Tooltip_ability_zuus_arc_lightning_arc_damage"							"DANO BASE:"
		"DOTA_Tooltip_ability_zuus_arc_lightning_damage_health_pct"						"%VIDA ATUAL COMO DANO:"
		"DOTA_Tooltip_ability_zuus_arc_lightning_abilitydraft_note"						"<span class=\"ADBlue\">Aghanim's Shard:</span> <span class=\"ADWhite\"><b>Lightning Hands</b></span> está oculto no painel de habilidades quando Aghanim's Shard é adquirido, mas pode ser ativado e desativado com o uso alternativo de Arc Lightning."
		"DOTA_Tooltip_ability_zuus_lightning_bolt"										"Lightning Bolt"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_Description"							"Invoca um raio de eletricidade que atinge um inimigo, causando dano e mini-stun. Lightning Bolt também proporciona visão desobstruída e visão verdadeira (True Sight) num raio de %sight_radius_night% unidades à volta do alvo. Pode ser usado no chão, afetando o herói inimigo mais próximo num raio de %spread_aoe% unidades."
		"DOTA_Tooltip_ability_zuus_lightning_bolt_sight_radius_day"						"RAIO DE VISÃO:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_sight_duration"						"DURAÇÃO DA VISÃO:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_ministun_duration"					"DURAÇÃO DO MINI-STUN:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_Lore"									"Uma punição chocante para hereges rebeldes."
		"DOTA_Tooltip_ability_zuus_lightning_bolt_Note0"								"Com esta habilidade, podes interromper feitiços e itens que requerem <font color='#F2A93E'>concentração</font>."
		"DOTA_Tooltip_ability_zuus_static_field"										"Static Field"
		"DOTA_Tooltip_ability_zuus_static_field_Description"							"Zeus eletrocuta todos os inimigos que ele atacar com ataques básicos ou habilidades, causando dano igual a uma percentagem da vida deles no momento."		
		"DOTA_Tooltip_ability_zuus_static_field_Facet_zuus_livewire"						"Static Field causa mais dano a inimigos por perto."
		"DOTA_Tooltip_ability_zuus_static_field_distance_threshold_min"					"ALCANCE P/ DANO MÁXIMO:"
		"DOTA_Tooltip_ability_zuus_static_field_distance_threshold_max"					"ALCANCE P/ DANO MÍNIMO:"
		"DOTA_Tooltip_ability_zuus_static_field_damage_health_pct_min_close"			"%MÍN. DE DANO:"
		"DOTA_Tooltip_ability_zuus_static_field_damage_health_pct_max_close"			"%MÁX. DE DANO:"
		"DOTA_Tooltip_ability_zuus_static_field_damage_health_pct"						"%VIDA ATUAL COMO DANO:"

		"DOTA_Tooltip_ability_zuus_static_field_Lore"									"O ar crepita com eletricidade estática quando o Deus dos Trovões caminha pelo mundo."
		"DOTA_Tooltip_ability_zuus_static_field_abilitydraft_note"						"Static Field está associado a esta habilidade e não afeta habilidades que não sejam do Zeus."
			
		"DOTA_Tooltip_Facet_zuus_livewire"													"Livewire"
		"DOTA_Tooltip_Facet_zuus_livewire_Description"										"Static Field causa mais dano a inimigos por perto."
		"DOTA_Tooltip_Facet_zuus_divine_rampage"											"Divine Rampage"	
		"DOTA_Tooltip_Facet_zuus_divine_rampage_Description"								"Quando Thundergod's Wrath mata um inimigo, causa mais dano aos outros inimigos."

		"DOTA_Tooltip_ability_zuus_thundergods_wrath"									"Thundergod's Wrath"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_Description"						"Causa dano a todos os heróis inimigos com um raio de eletricidade, onde quer que estejam.<br><br>Thundergod's Wrath também concede visão verdadeira à volta de cada herói atacado. Se um herói inimigo estiver invisível, este não sofrerá dano, mas será revelado na mesma."
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_Facet_zuus_divine_rampage"			"O dano é causado a um inimigo de cada vez, do herói com menos vida ao herói com mais. Se um inimigo for morto por esta habilidade, o dano causado a todos os inimigos subsequentes será aumentado."
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_Lore"								"O Senhor dos Céus castiga todos os que se lhe opõem, estando eles próximos ou longe."
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_damage"							"DANO:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_sight_radius_day"					"RAIO DE VISÃO VERDADEIRA:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_sight_duration"					"DURAÇÃO:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_growing_delay"						"ATRASO ENTRE RAIOS:"
		"DOTA_Tooltip_Ability_zuus_thundergods_wrath_grow_kill_amp"						"%AUMENTO DE DANO P/ VÍTIMA:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_abilitydraft_note"					"<span class=\"ADWarning\">Nimbus só pode causar dano se tiveres a habilidade <b>Lightning Bolt</b>.</span>"
		"DOTA_Tooltip_ability_zuus_cloud"                                               "Nimbus"
		"DOTA_Tooltip_ability_zuus_cloud_Description"                                   "Cria uma nuvem tempestuosa em qualquer local do mapa que utiliza automaticamente a habilidade Lightning Bolt em inimigos por perto."
		"DOTA_Tooltip_ability_zuus_cloud_cloud_duration"                                "DURAÇÃO:"
		"DOTA_Tooltip_ability_zuus_cloud_cloud_bolt_interval"                           "COOLDOWN-BASE DE LIGHTNING BOLT:"
		"DOTA_Tooltip_ability_zuus_cloud_hits_to_kill_tooltip"				"ATAQUES PARA DESTRUIR:"
		"DOTA_Tooltip_ability_zuus_cloud_creep_hits_to_kill_tooltip"			"ATAQUES DE CREEPS PARA DESTRUIR:"
		"DOTA_Tooltip_ability_zuus_cloud_cloud_radius"										"RAIO:"
		"DOTA_Tooltip_ability_zuus_cloud_Note0"											"Concede %cloud_bounty_tooltip% de ouro se destruída por um herói inimigo."
		"DOTA_Tooltip_ability_zuus_cloud_Note1"											"Afeta a unidade inimiga mais próxima com raios idênticos aos da habilidade Lightning Bolt (no seu nível atual)."
		"DOTA_Tooltip_ability_zuus_cloud_Note2"											"Torres e creeps causam metade do dano à nuvem."
		"DOTA_Tooltip_ability_zuus_cloud_lore"											"Onde quer que a ira do Deus dos Trovões apareça, nuvens tempestuosas rapidamente se formam."
		"DOTA_Tooltip_ability_zuus_heavenly_jump"                   "Heavenly Jump"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_Description"       "Zeus dá um salto divino para a frente e eletrocuta o inimigo visível mais próximo (é dada prioridade a heróis). Causa dano ao alvo e reduz-lhe a rapidez de movimento e de ataque. Zeus ganha 900 de visão desobstruída à sua volta durante 3 segundos."
		"DOTA_Tooltip_ability_zuus_heavenly_jump_hop_distance"      "DISTÂNCIA:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_damage"								"DANO:"
