"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Намагайтеся битися з ворожими кріпами і героями в радіусі атаки союзної вежі."
		"dota_tip_advanced_23"				"Тіньовий клинок (Shadow Blade) можна активувати під час застосування сувою телепортації і під час чаклування будь-яких чар."
		"dota_tip_advanced_24"				"Якщо перемкнути Черевики наснаги (Power Treads) на спритність під час лікування, здоров’я та мана відновлюватимуться трохи швидше. Але не забудьте вибрати потім потрібну характеристику!"
		"dota_tip_advanced_25"				"Еґіду Безсмертя можна атакувати та знищити."
		"dota_tip_advanced_26"				"Ілюзії розповсюджують аури оригінального героя на істот поруч."
		"dota_tip_advanced_28"				"Щоб ушкодити вежі біля Древнього, не обов’язково знищувати ворожі казарми."
		"dota_tip_advanced_30"				"Ефекти Викривального пилу (Dust of Appearance) можна розвіяти, але вони накладуться заново, якщо істота повторно зайде в область дії пилу."
		"dota_tip_advanced_31"				"Руни можна атакувати та знищувати."
		"dota_tip_advanced_32"				"Шкода від січі — це фізична шкода, і вона зменшується бронею."
		"dota_tip_advanced_33"				"Вежі першого ступеня не мають тилового захисту."
		"dota_tip_advanced_34"				"Тиловий захист веж 2-го ступеня вимикається, якщо поблизу ворожий лінійний кріп. Усі тилові захисти веж 2-го ступеня не залежать один від одного."
		"dota_tip_advanced_35"				"Усі вежі третього й четвертого ступенів, казарми та Древній мають один тиловий захист, який вимикається, коли ворожий лінійний кріп наближається до будь-якої частини бази."
		"dota_tip_advanced_36"				"Тиловий захист не вмикається ще певний проміжок часу після того, як усі ворожі лінійні кріпи в зоні загинуть."
		"dota_tip_advanced_37"				"Укольчуга (Blade Mail) повертає шкоду того ж типу, яка була отримана."
		"dota_tip_advanced_39"				"Ефект від Ока Скаді (Eye of Skadi) пробиває імунітет до негативних ефектів і його не можна розвіяти."
		"dota_tip_advanced_40"				"Завжди носіть із собою портальний сувій."
		"dota_tip_advanced_42"				"Деякі нейтральні кріпи застосовують свої здібності, якщо поруч опиняється кілька істот."
		"dota_tip_advanced_43"				"Древні кріпи мають високий опір до магії. Їх неефективно вбивати за допомогою чарів у порівнянні з іншими нейтральними кріпами."
		"dota_tip_advanced_44"				"Нормальні атаки мають анімацію після атаки, котра відтворюється після моменту завершення атаки. Будь-яка команда герою скасує цю анімацію і цим можна користуватися для переслідування цілі, яка швидко рухається."
		"dota_tip_advanced_45"				"Ворожі герої отримують заряди Чарівного жезлу (Magic Wand), якщо бачать вас під час застосування чарів. Ви можете використовувати це, щоби виявляти розташування ворожих вардів."
		"dota_tip_advanced_46"				"Оберіг Шиви (Shiva's Guard) дає летючу видимість у радіусі 800 навколо носія, що робить предмет корисним для обстеження верховин і перешкод."
		"dota_tip_advanced_48"				"Якщо ви атакуєте героя, котрий на відстані 500 або далі від кріпів-мечників, то вони не нападуть на вас."
		

//HERO-SPECIFIC TIPS (see them if the hero is in the game)
		"dota_tip_hero_abaddon_1"			"Позичений час (Borrowed Time) Абаддона все ще можна активувати вручну, коли герой уражений вимкненням пасивних здібностей."
		"dota_tip_hero_abaddon_2"			"Темний щит (Aphotic Shield) Абаддона завжди наприкінці завдає повну шкоду в області навколо союзника зі щитом, незалежно від обсягу поглиненої шкоди."
		"dota_tip_hero_abaddon_3"			"Абаддон може використовувати свою здібність Темний щит (Aphotic Shield), щоби зняти негативні чари та приголомшення із союзних героїв."
		"dota_tip_hero_abaddon_4"			"Негативний ефект від Прокляття Авернуса (Curse of Avernus) Абаддона діє на споруди, що робить його дуже ефективним під час облоги."
		"dota_tip_hero_abaddon_5"			"Позичений час (Borrowed Time) Абаддона можна активувати вручну навіть під час приголомшення чи сну, і ця здібність усуне більшість негативних ефектів."
		"dota_tip_hero_abaddon_6"			"Абаддон може померти раніше автоматичної активації Позиченого часу (Borrowed Time), якщо достатня для активації одномоментна шкода його вбиває."
		"dota_tip_hero_abaddon_7"			"Використання приголомшень та знерухомлень, які завдають невеликої шкоди (як-от Скіпетр Еула), — це ефективний спосіб запобігти активації Позиченого часу (Borrowed Time) Абаддона."
		"dota_tip_hero_abaddon_8"			"Темний щит (Aphotic Shield) Абаддона не шкодитиме героям, котрих Абаддон не бачить. Ви можете користуватися туманом війни, щоб уникнути пошкоджень."

		"dota_tip_hero_abyssal_underlord_1"	"Вогняна буря (Firestorm) Підземного Лорда (Underlord) кожної хвилі завдає як магічну шкоду відсоток від максимального здоров’я жертви, що робить цю здібність дуже ефективною проти героїв із великим запасом здоров’я."

		"dota_tip_hero_alchemist_1"			"Золото від Жаднюги (Greevil's Greed), зароблене Алхіміком, можна втратити через смерть."
		"dota_tip_hero_alchemist_2"			"Кислотний спрей (Acid Spray) Алхіміка завдає фізичної шкоди та зменшує броню, що робить його ефективною здібністю для вбивства древніх нейтральних кріпів чи Рошана."
		"dota_tip_hero_alchemist_3"			"Якщо правильно розрахувати час, то можна ухилитися від приголомшення Нестабільної суміші (Unstable Concoction) Алхіміка за допомогою Різака Манти (Manta Style) або Скіпетра Еула (Eul's Scepter). Це може зробити навіть сам Алхімік."
		"dota_tip_hero_alchemist_4"			"Якщо Алхіміка знемовити, або якщо він не бачитиме придатної цілі для застосування Нестабільної суміші (Unstable Concoction), то він приголомшить сам себе і стане вразливим для ворогів."
		"dota_tip_hero_alchemist_5"			"Додаткову нагороду рун достатку від Жаднюги (Greevil's Greed) отримує лише Алхімік. Немає значення, хто саме піднімає руну."
		"dota_tip_hero_alchemist_6"			"Хімічний сказ (Chemical Rage) Алхіміка дає йому велику додаткову регенерацію здоров’я, яку можна послабити за допомогою Чаші душ (Spirit Vessel), Сфери корозії (Orb of Corrosion), Оберіга Шиви (Shiva's Guard), Ока Скаді (Eye of Skadi) або Крижаного спалаху (Ice Blast) Древнього Привида (Ancient Apparition)."


		"dota_tip_hero_ancient_apparition_1" "Крижаний спалах (Ice Blast) Древнього Привида (Ancient Apparition) не дає застосовувати лікувальні ефекти на ворожих істот. Якщо рівень здоров’я жертви падає нижче критичного порогу, то жертва гине."

		"dota_tip_hero_arc_warden_1"		"Жовте Магнетичне поле (Magnetic Field) Вартового (Arc Warden) дає ухилення союзникам усередині поля від атак іззовні, включно з атаками від веж. Синє Магнетичне поле від Буремного двійника не дає такого захисного ефекту."
		"dota_tip_hero_arc_warden_2"		"Жовте Магнетичне поле (Magnetic Field) Вартового (Arc Warden) також може давати ухилення всім союзним спорудам усередині поля від атак іззовні."
		"dota_tip_hero_arc_warden_4"		"Пошкодження від Потоку (Flux) Вартового (Arc Warden) можна уникнути, якщо стати біля союзної істоти, але сповільнення залишиться."

		"dota_tip_hero_axe_1"				"Ефект від Жаги битви (Battle Hunger) Сокирника (Axe) можна розвіяти останнім ударом або добиванням будь-якого кріпа."
		"dota_tip_hero_axe_2"				"Клич берсерка (Berserker's Call) Сокирника (Axe) пробиває імунітет до негативних ефектів, що робить його дуже ефективним для знешкодження ворогів із Посохом чорного короля (Black King Bar)."
		"dota_tip_hero_axe_4"				"Жага битви (Battle Hunger) сповільнює ворогів, тільки якщо вони не дивляться в бік Сокирника (Axe)."
		"dota_tip_hero_axe_5"				"Ілюзії Сокирника (Axe), наприклад, від руни ілюзій чи Різака Манти (Manta Style), також мають повноцінний Контроберт (Counter Helix)."
		"dota_tip_hero_axe_6"				"Відбракування (Culling Blade) Сокирника (Axe) може вбити ціль, навіть якщо та знаходиться під дією Порожньої могили (Shallow Grave) Дазла чи Оманливої обітниці (False Promise) Оракула, але воно не проб’є Сферу Лінкена (Linken's Sphere)."
		"dota_tip_hero_axe_7"				"Здібність Відбракування (Culling Blade) у Сокирника (Axe) можна використовувати для вбивства кур’єра."

		"dota_tip_hero_bane_1"				"Якщо ви нападете на союзника під дією Страшного сну (Nightmare) Губителя (Bane), це звільнить його від ефекту, але натомість ефект перейде на вас."
		"dota_tip_hero_bane_2"				"Губитель (Bane) може скасувати власний Страшний сон (Nightmare), навіть якщо сам перебуває під його дією, однак знемовлення не дасть йому це зробити."
		"dota_tip_hero_bane_3"				"Страшний сон (Nightmare) Губителя (Bane) дає цілі коротку невразливість під час застосування, чим можна скористатися, щоби зменшити вхідну шкоду по союзниках."
		"dota_tip_hero_bane_4"				"У Губителя (Bane) є багато здібностей для однієї цілі, що робить Сферу Лінкена (Linken's Sphere) та Сферу лотоса (Lotus Orb) дуже ефективними проти нього."

		"dota_tip_hero_batrider_1"			"Липкий напалм (Sticky Napalm) Летючого Вершника (Batrider) завдає додаткової магічної шкоди жертві, коли герой атакує. Липкий напалм не спрацьовує, якщо ціль атакують інші."

		"dota_tip_hero_beastmaster_1"		"Первісний рик (Primal Roar) Звіромайстра (Beastmaster) приголомшує цілі з імунітетом до негативних ефектів."
		"dota_tip_hero_beastmaster_2"		"Дикі сокири (Wild Axes) Звіромайстра (Beastmaster) можуть вирубувати дерева і так знаходити поміж них ворогів."
		"dota_tip_hero_beastmaster_3"		"Внутрішній звір (Inner Beast) Звіромайстра (Beastmaster) діє на союзних героїв, кріпів та прикликаних істот. Істоти, прикликані за допомогою Шолома повелителя (Helm of the Overlord) або Шолома домінування (Helm of the Dominator), стають значно сильнішими під дією цієї аури."
		"dota_tip_hero_beastmaster_4"		"Сфера Лінкена (Linken's Sphere) повністю захистить головну ціль від Первісного рику (Primal Roar) Звіромайстра (Beastmaster)."
		"dota_tip_hero_beastmaster_5"		"Прикликані істоти від Поклику пращурів (Call of the Wild) Звіромайстра (Beastmaster) дуже корисні для розвідки та переслідування ворогів, проте їхній убивця отримає багато золота та очок досвіду."
		"dota_tip_hero_beastmaster_6"		"Сильне розвіювання, як-от від Еонного диску (Aeon Disk) чи Темного щита (Aphotic Shield) Абаддона, може розвіяти приголомшення від Первісного рику (Primal Roar) Звіромайстра (Beastmaster)."

		"dota_tip_hero_bloodseeker_1"		"Під час дії Розриву (Rupture) Кривавого Жерця (Bloodseeker) можна скористатися портальним сувоєм без отримання подальшої шкоди."
		"dota_tip_hero_bloodseeker_2"		"Будьте обачні, коли отримуєте поранення — Кривавий Жрець (Bloodseeker) отримує від Спраги (Thrist) видимість та істинний зір на ворогів, що мають менше 25% здоров’я."
		"dota_tip_hero_bloodseeker_4"		"Кривава лють (Bloodrage) Кривавого Жерця (Bloodseeker) надає посилення чарів і збільшення швидкості атаки. У разі застосування на союзників надається половина прискорення атаки."
		"dota_tip_hero_bloodseeker_5"		"Сфера Лінкена (Linken's Sphere) блокує Розрив (Rupture) Кривавого Жерця (Bloodseeker), тож цей предмет є гарним вкладанням коштів для героїв, які вразливі до Розриву."
		"dota_tip_hero_bloodseeker_6"		"Кривава лють (Bloodrage) Кривавого Жерця (Bloodseeker) збільшує заряди Магічної палички (Magic Stick) чи Магічного жезла (Magic Wand), що може бути дуже корисним проти Кривавого Жерця на лінійній стадії гри."
		"dota_tip_hero_bloodseeker_7"		"Спрага (Thirst) Кривавого Жерця (Bloodseeker) дозволяє йому перевершити звичайне обмеження швидкості пересування, що дорівнює 550."
		"dota_tip_hero_bloodseeker_8"		"Якщо у вас достатньо здоров’я, то можна використати Укольчугу (Blade Mail), щоб обернути Розрив (Rupture) проти самого Кривавого Жерця (Bloodseeker)."

		"dota_tip_hero_bounty_hunter_1"		"Союзники отримають бонусне золото від Вистежування (Track) Головоріза (Bounty Hunter), тільки якщо вони перебуватимуть на відстані не більше 1200 від жертви, коли та помре. Сам Головоріз не має обмеження на відстань і отримує бонусне золото, навіть якщо сам мертвий."
		"dota_tip_hero_bounty_hunter_2"		"Alt+ЛКМ на піктограмі негативного ефекту Вистежування (Track) Головоріза (Bounty Hunter) оголосить суму золота, утримуваного ціллю."

		"dota_tip_hero_brewmaster_1"		"Коли Первісне розщеплення (Primal Split) Хмелемайстра (Brewmaster) завершується, то герой з’являється на місці першого живого воїна в такому порядку: Земля, Шторм, Вогонь, Порожнеча."
		"dota_tip_hero_brewmaster_4"		"Упродовж Первісного розщеплення (Primal Split) усі аури Хмелемайстра (Brewmaster) передаються першому живому воїну в такому порядку: Земля, Шторм, Вогонь, Порожнеча."
		"dota_tip_hero_brewmaster_6"		"Воїн Шторму Хмелемайстра (Brewmaster) може застосувати чари розвіювання, щоби скасувати свій власний Циклон (Cyclone)."

		"dota_tip_hero_bristleback_1"		"Коли Бронеспин (Bristleback) уражений вимкненням пасивних здібностей, то його Колюча спина (Bristleback) не діє, що значно погіршує його виживання."
		"dota_tip_hero_bristleback_3"		"Бронеспин (Bristleback) може застосовувати В’язкі шмарклі (Viscous Nasal Goo) на ворогів багато разів, сильно зменшуючи їхню броню та швидкість руху, що робить його ефективним для атаки Рошана."
		"dota_tip_hero_bristleback_4"		"Якщо вам вдасться не дати Бронеспину (Bristleback) постійно застосовувати Хмару голок (Quill Spray), наприклад, за допомогою знемовлення, то це суттєво зменшить обсяг шкоди, яку він зможе завдати."
		"dota_tip_hero_bristleback_5"		"Бронеспин (Bristleback) має Стежку війни (Warpath), навіть якщо його здібності нікого не зачіпають."
		"dota_tip_hero_bristleback_6"		"Хмара голок (Quill Spray) у Бронеспина (Bristleback) завдає фізичну шкоду, яку можна зменшити за допомогою броні."
		"dota_tip_hero_bristleback_7"		"Бронеспин (Bristleback) використовує багато заклинань, отже Чарівна паличка (Magic Stick) або Чарівний жезл (Magic Wand) дуже ефективні, коли використовуються проти нього."

		"dota_tip_hero_broodmother_1"		"Атаки павученят Павучихи (Broodmother) призводять до появи павучатка після смерті атакованої істоти."

		"dota_tip_hero_centaur_1"			"Відбивання (Retaliate) Кентавра-Воєводи (Centaur Warrunner) відбиває отриману шкоду назад як фізичну. Ця здібність також відбиває шкоду, отриману від веж."
		"dota_tip_hero_centaur_2"			"Двосічне лезо (Double Edge) Кентавра завдає магічну шкоду, яку можна послабити за допомогою опору до магії у ворогів, а також у самого Кентавра."
		"dota_tip_hero_centaur_3"			"Галоп (Stampede) Кентавра-Воєводи (Centaur Warrunner) — це глобальна здібність, яку можна застосувати для нападу чи відступу союзників, навіть якщо сам Кентавр перебуває далеко від них."
		"dota_tip_hero_centaur_4"			"Патериця Атоса (Rod of Atos) чи Скіпетр Еула (Eul's Scepter) — це хороший спосіб призупинити союзників Кентавра під дією Галопу (Stampede)."
		"dota_tip_hero_centaur_5"			"Кентавр має чималий запас здоров’я, тож будь-які здібності, які завдають шкоду відповідно до рівня здоров’я ворога, дуже ефективні. Наприклад, Пожива (Feast) Життєкрада (Lifestealer) чи Аура смерті (Heartstopper Aura) Некрофоса."

		"dota_tip_hero_chaos_knight_1" 		"Фантазм (Phantasm) Лицаря Хаосу ненадовго робить його невразливим, що дозволяє уникати снарядів та знерухомлень."
		"dota_tip_hero_chaos_knight_2"		"Розряд хаосу (Chaos Bolt) Лицаря Хаосу рухається повільно, тож його можна уникнути, якщо вчасно скористатися Стрибковим кинджалом (Blink Dagger) або Скіпетром Еула (Eul's Scepter)."
		"dota_tip_hero_chaos_knight_3"		"Активація Нарукавника Мордіґіана (Armlet of Mordiggian) перед використанням Фантазму (Phantasm) дає ілюзіям Лицаря Хаосу додаткову шкоду і здоров’я."
		"dota_tip_hero_chaos_knight_5"		"Візуальний ефект Розриву реальності (Reality Rift) Лицаря Хаосу показується одразу під час чаклування, але здібність можна уникнути, відстрибнувши чи сховавшись у тумані війни."
		"dota_tip_hero_chaos_knight_6"		"Більшість шкоди від Лицаря Хаосу — фізична, тож її можна послабити Примарним скіпетром (Ghost Scepter) чи предметами, котрі дають броню."
		"dota_tip_hero_chaos_knight_7"		"Розрив реальності (Reality Rift) Лицаря Хаосу переносить героя та всі його ілюзії поруч, включно з ілюзіями від Різака Манти (Manta Style) і руни ілюзій, а також ілюзії інших героїв від Скіпетра Аґаніма."

		"dota_tip_hero_chen_1"				"Каяття (Penitence) Чена змушує всіх союзників атакувати ціль, щоб отримати швидкість атаки."

		"dota_tip_hero_crystal_maiden_1"	"Обмороження (Frostbite) Кришталевої Діви (Crystal Maiden) та інші вкорінення можна використовувати для переривання чаклування портальних сувоїв (Town Portal Scroll)."
		"dota_tip_hero_crystal_maiden_2"	"Кришталевий спалах (Crystal Nova) Кришталевої Діви (Crystal Maiden) дає невеликий огляд території, на яку він застосований, що робить здібність корисною для обстеження прихованих зон чи пошуку ворогів, які намагаються сховатися між дерев."
		"dota_tip_hero_crystal_maiden_3"	"Як і від більшості вкорінень, від Обмороження (Frostbite) Кришталевої Діви (Crystal Maiden) можна захиститися за допомогою розвіювання від таких предметів, як Божественний скіпетр Еула (Eul’s Scepter of Divinity) або Різак Манти (Manta Style)."
		"dota_tip_hero_crystal_maiden_4"	"Покращене Скіпетром Аґаніма Морозне поле (Freezing Field) Кришталевої Діви застосовуватиме Обмороження (Frostbite) на кожного ворога, що затримується в полі."

		"dota_tip_hero_dark_seer_1"			"Іонний панцир (Ion Shell) Темновидця (Dark Seer) завдає шкоди ворогам навколо цілі, навіть якщо ті невидимі."

		"dota_tip_hero_dark_willow_1"		"Поки Темна Верба (Dark Willow) знаходиться під дією Тіньового Королівства (Shadow Realm), на неї можна застосовувати ефекти, що діють на область."

		"dota_tip_hero_dazzle_1"			"Порожня могила (Shallow Grave) Дазла захищає ціль від будь-якої шкоди на час своєї дії. Однак здібності, що завдають миттєвої смерті, можуть вбити і під дією Порожньої могили."

		"dota_tip_hero_death_prophet_1"		"Шкода від духів Екзорцизму (Exorcism) Провісниці Смерті (Death Prophet) є фізичною та може буде зменшена бронею."

		"dota_tip_hero_disruptor_1"			"Громовиця (Thunder Strike) Буревісника (Disruptor) пульсує кожні дві секунди. Проблиск (Glimpse) повертає ціль назад на чотири секунди. Ви можете користуватися Громовицею, щоби точно розрахувати час Проблиску."

		"dota_tip_hero_doom_bringer_1" 		"Кара (Doom) Доленосця (Doom) завдає чистої шкоди, яку не можна зменшити бронею чи опором до магії."
		"dota_tip_hero_doom_bringer_2" 		"Пожирання (Devour) дає Доленосцю (Doom) не лише активні здібності жертви, а й пасивні здібності та аури, що робить героя дуже корисним у командних боях."
		"dota_tip_hero_doom_bringer_3" 		"Сфера Лінкена (Linken's Sphere) — чудовий спосіб захиститися від Кари (Doom) Доленосця (Doom). Однак герой може обійти цей захист, якщо поглине нейтрального кріпа зі спрямованою на ціль здібністю, купить предмет з активним ефектом чи скористається покращенням від Скіпетра Аґаніма."
		"dota_tip_hero_doom_bringer_4" 		"Випалення (Scorched Earth) завдає шкоди найближчим ворогам та надає Доленосцю (Doom) збільшення швидкості руху."
		"dota_tip_hero_doom_bringer_6" 		"Покращення Кари (Doom) за допомогою таланту дасть Доленосцю (Doom) ефект переривання, що зробить його дуже ефективним проти ворогів із потужними пасивними здібностями, як Фантомна Вбивця (Phantom Assassin) чи Винищувач Духів (Spirit Breaker)."

		"dota_tip_hero_dragon_knight_1"		"Ядучий подих (Corrosive Breath) Лицаря-Дракона (Dragon Knight) у формі древнього дракона зачіпає не лише істот, а й споруди, що дозволяє швидше їх руйнувати."
		"dota_tip_hero_dragon_knight_2" 	"Зменшення шкоди від Вогняного подиху (Breathe Fire) Лицаря-Дракона — дуже корисна властивість, яка дозволяє ефективно розмінюватися атаками з ворогом, або зменшити здатність ворожого героя добивати кріпів на лінії."
		"dota_tip_hero_dragon_knight_3" 	"Витривалість Лицаря-Дракона пов’язана передовсім із його Кров’ю дракона (Dragon Blood), яка дає додаткову регенерацію здоров’я та броню. Однак це робить його вразливим до переривання — від здібності Укус гадюки (Viper Strike) Гадюки (Viper) чи предмета Срібний клинок (Silver Edge)."
		"dota_tip_hero_dragon_knight_4"		"У формі дракона Лицар-Дракон стає героєм дальнього бою, що дозволяє йому отримувати перевагу від таких предметів, як Ураганна піка (Hurricane Pike), але водночас у цій формі він втрачає бонуси від предметів ближнього бою, наприклад, від Шаблі відлуння (Echo Sabre)."
		"dota_tip_hero_dragon_knight_5"		"Лицарю-Дракону важливо триматися близько до своїх ворогів. Здібності та предмети, які його сповільнюють, як-от Оберіг Шиви (Shiva's Guard) й Патериця Атоса (Rod of Atos), дуже ефективні для утримання його на відстані."
		"dota_tip_hero_dragon_knight_6"		"Сильна броня Лицаря-Дракона робить його дуже стійким проти фізичної шкоди, але її можна ослабити за допомогою предметів, що зменшують броню, як-от Штурмова кіраса (Assault Cuirass) або Медальйон відваги (Medallion of Courage)."

		"dota_tip_hero_drow_ranger_1"		"Морозні стріли (Frost Arrows) Дроу-Рейнджер не привертають увагу ворожих кріпів, якщо запускати їх вручну, а не автоматично під час атаки. Це можна використовувати для переслідування на лінії."
		"dota_tip_hero_drow_ranger_2"		"Порив (Gust) Дроу-Рейнджер не знерухомлює ворожих істот і не скасовує чаклувальні предмети, як-от портальний сувій. Ворожі герої, котрих відштовхнув Порив, все ще можуть використовувати предмети й атакувати."
		"dota_tip_hero_drow_ranger_4"		"Покращення Скіпетра Аґаніма для Дроу-Рейнджер посилює її Морозні стріли (Frost Arrows) та Мультипостріл (Multishot) ефектом Переохолодження (Hypothermia), що зменшує регенерацію здоров’я і змушує ціль отримувати додаткову шкоду від Морозних стріл за кожен заряд."
		"dota_tip_hero_drow_ranger_5"		"Дроу-Рейнджер покладається на збереження дистанції з ворогами, що робить її вразливою для ініціаторів зі Стрибковим кинджалом (Blink Dagger) чи Тіньовим клинком (Shadow Blade)."

		"dota_tip_hero_earth_spirit_2"		"Земляний Дух (Earth Spirit) може використовувати предмети і здібності під час Плющильної брили (Rolling Boulder), що дозволяє йому приготуватися до подальших атак."
		"dota_tip_hero_earth_spirit_3"		"Якщо ви станете перед Земляним Духом (Earth Spirit), який використовує Плющильну брилу (Rolling Boulder), то він не зможе від вас втекти."
		"dota_tip_hero_earth_spirit_4"		"Якщо правильно розрахувати час, то Земний Дух (Earth Spirit) може сповільнити, приголомшити і знемовити ворога одним бовваном, що дозволить йому зберегти інші боввани для використання пізніше."
		"dota_tip_hero_earth_spirit_5"		"Використання Удару брили (Boulder Smash) на союзників може бути ефективним способом допомогти їм втекти, або перемістити їх на більш вигідну позицію."
		"dota_tip_hero_earth_spirit_6"		"Покращення Геомагнітного захвату (Geomagnetic Grip) Уламком Аґаніма дозволяє Земному Духу легко рятувати своїх союзників, коли їх атакують вороги."
		"dota_tip_hero_earth_spirit_7"		"Скам’яніння (Enchant Remnant) робить ціль тимчасово невразливою, що дозволяє Земляному Духу (Earth Spirit) використовувати цю здібність для порятунку союзників із небезпеки."

		"dota_tip_hero_earthshaker_1"		"Сейсмічний удар (Echo Slam) Землетруса (Earthshaker) завдає більше шкоди, якщо в області ефекту знаходиться багато ворогів. Розбігайтеся, якщо зустрінете його."
		"dota_tip_hero_earthshaker_2"		"Розлом (Fissure) Землетруса (Earthshaker) пересуне на той чи інший бік усіх істот, які потрапили під удар. Завдяки цьому можна рухати союзників чи ворогів, створюючи вигідніші позиції."
		"dota_tip_hero_earthshaker_3"		"Оскільки додаткова шкода від Зачарованого тотема (Enchant Totem) Землетруса (Earthshaker) діє довше, ніж зарядка здібності, герой може завдати величезної фізичної шкоди, якщо активує здібність і до бою, і під час нього."
		"dota_tip_hero_earthshaker_4"		"Землетрус (Earthshaker) дуже залежить від таких предметів, як Стрибковий кинджал (Blink Dagger) чи Посох примусу (Force Staff), щоби потрапити в гарну позицію для чаклування своїх здібностей. Обмеження його пересування дуже важливе для мінімізації його шкоди."
		"dota_tip_hero_earthshaker_5"		"Зачарований тотем (Enchant Totem) Землетруса (Earthshaker) не витрачається в разі промаху."
		"dota_tip_hero_earthshaker_6"		"На відміну від інших здібностей Землетруса (Earthshaker), Сейсмічний удар (Echo Slam) не має часу чаклування, тож він чудово підходить для початку бою, перш ніж вороги встигнуть зреагувати своїми захисними предметами."
		"dota_tip_hero_earthshaker_7"		"Велика дальність Розлому (Fissure) Землетруса (Earthshaker) чудово підходить для блокування шляхів відступу ворогів, або щоби на короткий час призупинити союзних кріпів."
		"dota_tip_hero_earthshaker_8"		"Корисність Землетруса (Earthshaker) полягає у його здатності приголомшити ворогів на довгий час. Імунітет до негативних ефектів, наприклад, від Посоха чорного короля (Black King Bar), надзвичайно важливий для уникнення цього."

		"dota_tip_hero_elder_titan_1"		"Природний порядок (Natural Order) Древнього Титана зменшує броню ворогів навколо героя, а опір до магії зменшується навколо титанового духа."

		"dota_tip_hero_ember_spirit_1" 		"Палючі окови (Searing Chains) Палючого Духа (Ember Spirit) можуть переривати чаклування портального сувою, але не скасовують інші здібності, що чаклуються."

		"dota_tip_hero_enchantress_1"		"Недоторканність (Untouchable) Чарівниці (Enchantress) можна зменшити, якщо швидко перемкнутися на іншу ціль після влучання по Чарівниці."
		"dota_tip_hero_enchantress_2"		"Діти природи (Nature's Attendants) Чарівниці (Enchantress) випадковим чином діють на поранених союзних істот. Вони значно менш ефективні в лікуванні героїв, якщо поруч є поранені союзні кріпи."
		"dota_tip_hero_enchantress_3"		"Зачарування (Enchant) Чарівниці (Enchantress) застосовує на ворожу ціль базове розвіювання."

		"dota_tip_hero_enigma_1"			"Опівнічний пульс (Midnight Pulse) Еніґми завдає шкоди у відсотках від поточного здоров’я цілі."

		"dota_tip_hero_faceless_void_1"		"Стрибок крізь час (Time Walk) Безликого (Faceless Void) не дозволяє уникати снарядів. Стрибок крізь час — це лікувальний ефект, який можна не допустити за допомогою Крижаного спалаху (Ice Blast) Древнього Привида (Ancient Apparition) або зменшити за допомогою Чаші душ (Spirit Vessel)."

		"dota_tip_hero_furion_1"			"Дерева від Паростків (Sprout) Провісника Природи (Nature's Prophet) можна зрубати за допомогою Нищівної сокири (Quelling Blade) чи Бойової люті (Battle Fury), або з’їсти за допомогою танґо (Tango)."

		"dota_tip_hero_gyrocopter_1"		"Самонавідна ракета (Homing Missile) Ґірольота може відстежувати невидимих істот, однак ця здібність не дає істинного зору."

		"dota_tip_hero_huskar_1"			"Палючий спис (Burning Spear) Хускара завдає додаткової магічної шкоди (чи абсолютної шкоди, якщо обрано відповідний талант). Ця здібність не діє на споруди."
		"dota_tip_hero_huskar_2"			"Переривання життя (Life Break) Хускара застосовує базове розвіювання й дає імунітет до негативних ефектів під час стрибка."

		"dota_tip_hero_invoker_1"			"Сонячний удар (Sun Strike) Заклинача (Invoker) завдає чистої шкоди, яку не можна зменшити опором до магії чи заблокувати імунітетом до негативних ефектів."

		"dota_tip_hero_jakiro_1"			"Рідке полум’я (Liquid Fire) Джакіро зачіпає не лише істот, а й споруди, що дозволяє швидше їх руйнувати."

		"dota_tip_hero_juggernaut_1"		"Джаґернаут під час Точкових ударів (Omnislash) стрибає до випадкових цілей поблизу. Поодинокі цілі отримують більше шкоди за ворогів, оточених своїми союзниками."
		"dota_tip_hero_juggernaut_2"		"Лють клинка (Blade Fury) Джаґернаута можна використати для отримання імунітету до негативних ефектів перед або під час чаклування портального сувою."
		"dota_tip_hero_juggernaut_3"		"Джаґернаут може скористатися Стрибковим кинджалом (Blink Dagger) перед Точковими ударами (Omnislash), щоби досягти цілей, яких інакше не дістати."
		"dota_tip_hero_juggernaut_4"		"Точкові удари (Omnislash) Джаґернаута завдають фізичної шкоди, якої можна повністю уникнути за допомогою Примарного скіпетру (Ghost Scepter) або Божественного скіпетру Еула (Eul’s Scepter of Divinity)."
		"dota_tip_hero_juggernaut_5"		"Під час Люті клинка (Blade Fury) звичайні атаки Джаґернаута не завдають шкоди нікому, крім споруд і вардів."
		"dota_tip_hero_juggernaut_6"		"Цілющий вард надзвичайно ефективний для лікування команди Джаґернаута і має бути пріоритетною ціллю ворогів під час командних боїв."

		"dota_tip_hero_keeper_of_the_light_1" "Коли Хранитель Світла (Keeper of the Light) перебуває у своїй Духовній формі (Spirit Form), то його Освітлення (Illuminate) лікує союзників і вдень, і вночі."

